"lang"
{
	"Language"		"dutch"
"scenario_euls_setup_task_move_to_location_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
"scenario_warding_task_move_to_location_1"									"Verplaats je held naar de locatie"
		"scenario_warding_task_move_to_location_1_Description"					"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_warding_task_move_to_location_2_Description"					"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_warding_ui_tip_click_to_open_shop"						"Klik hier om de winkel te openen"
		"scenario_warding_items"									"Wards"
"scenario_items_ui_tip_click_to_open_shop"						"Klik hier om de winkel te openen"
"scenario_dodging_task_move_to_location_1_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_dodging_task_move_to_location_2_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_dodging_task_move_to_location_3_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
"scenario_bkb_pa_task_move_near_rune_Description"					"Klik met de rechtermuisknop op de grond om te bewegen."
"scenario_creep_pulling_task_move_to_location_1"									"Verplaats je held naar de locatie"
		"scenario_creep_pulling_task_move_to_location_1_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_creep_pulling_task_lead_neutral_creep_1_Description"			"Klik met de rechtermuisknop op de grond om te bewegen. Ga naar de aangegeven locatie."
		"scenario_creep_pulling_task_move_to_location_2"									"Verplaats je held naar de locatie"
		"scenario_creep_pulling_task_move_to_location_2_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_creep_pulling_task_lead_neutral_creep_2_Description"			"Klik met de rechtermuisknop op de grond om te bewegen. Ga naar de aangegeven locatie."
		"scenario_creep_pulling_task_move_to_location_3"									"Verplaats je held naar de locatie"
		"scenario_creep_pulling_task_move_to_location_3_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_creep_pulling_task_lead_neutral_creep_3_Description"			"Klik met de rechtermuisknop op de grond om te bewegen. Ga naar de aangegeven locatie."
"scenario_creep_stacking_task_move_to_location_1"								"Verplaats je held naar de locatie"
		"scenario_creep_stacking_task_move_to_location_1_Description"			"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_creep_stacking_task_lead_neutral_creep_1_Description"			"Klik met de rechtermuisknop op de grond om te bewegen. Ga naar de aangegeven locatie."

		"scenario_creep_stacking_task_move_to_location_3"								"Verplaats je held naar de locatie"
		"scenario_creep_stacking_task_move_to_location_3_Description"			"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_creep_stacking_wizard_tip_farming_stacks_Text"				"Kampen kunnen meermaals op elkaar gestapeld worden. Helden die meer farm nodig hebben, kunnen deze allemaal doden en zo op een efficiëntere manier farmen."
"scenario_status_effects_task_move_to_location_1_Description"			"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_status_effects_task_move_to_location_2_Description"			"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_status_effects_task_move_to_location_3_Description"			"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_status_effects_task_move_to_location_4_Description"			"Klik met de rechtermuisknop op de grond om te bewegen."
		// Scenario: Mechanics
		"scenario_mechanics_main_objective"											"Leer de basisprincipes van een spelletje Dota"
		"scenario_mechanics_task_move_to_ancient"									"Verplaats je held naar de locatie"
		"scenario_mechanics_task_move_to_ancient_Description"				"Klik met de rechtermuisknop op de grond om te bewegen."
		"scenario_mechanics_task_move_to_shop"										"Beweeg je held weer naar de beginlocatie"
		"scenario_mechanics_task_move_to_shop_Description"					"Klik met de rechtermuisknop op de grond om te bewegen. Beweeg je cursor naar de randen van het scherm om de camera te verschuiven."
		"scenario_mechanics_task_buy_tango"											"Koop een Tango"
		"scenario_mechanics_task_buy_tango_Description"							"Klik op de knop van de winkel. Klik met de rechtermuisknop op Tango om deze te kopen."
		"scenario_mechanics_task_buy_salve"											"Koop een Salve"
		"scenario_mechanics_task_buy_salve_Description"							"Klik in de winkel met de rechtermuisknop op de Healing Salve om deze te kopen."
		"scenario_mechanics_task_buy_clarity"											"Koop een Clarity"
		"scenario_mechanics_task_buy_clarity_Description"						"Klik in de winkel met de rechtermuisknop op de Clarity om deze te kopen."
		"scenario_mechanics_task_buy_circlet"											"Koop een Circlet"
		"scenario_mechanics_task_buy_circlet_Description"						"Klik in de winkel met de rechtermuisknop op de Circlet om deze te kopen."
		"scenario_mechanics_task_buy_slippers"										"Koop Slippers of Agility"
		"scenario_mechanics_task_buy_slippers_Description"						"Klik in de winkel met de rechtermuisknop op de Slippers of Agility om deze te kopen."
		"scenario_mechanics_task_move_to_mid_lane"								"Beweeg je held naar het middelste pad"
		"scenario_mechanics_task_move_to_mid_lane_Description"			"Klik met de rechtermuisknop op de grond om te bewegen. Je kunt de camera ook verschuiven door het scrollwiel ingedrukt te houden en de muis te bewegen."
		"scenario_mechanics_task_follow_your_creeps"								"Volg je creeps naar het gevecht"
		"scenario_mechanics_task_follow_your_creeps_Description"			"Klik met de rechtermuisknop op de grond om te bewegen. Klik op het portret van je held om de camera op hem of haar te focussen."
		"scenario_mechanics_task_attack_enemy"										"Val een vijand aan"
		"scenario_mechanics_task_attack_enemy_Description"					"Klik met de rechtermuisknop op een vijandelijke creep om deze aan te vallen."
		"scenario_mechanics_task_earn_last_hit_Description"						"Klik met de rechtermuisknop op een vijand met een lage gezondheid."
		"scenario_mechanics_task_gain_level"											"Ga een level omhoog"
		"scenario_mechanics_task_gain_level_Description"							"Verhoog het level van je held door te helpen met het doden van vijandelijke eenheden."
		"scenario_mechanics_task_learn_lucent_beam"								"Leer Lucent Beam"
		"scenario_mechanics_task_use_lucent_beam"									"Gebruik Lucent Beam"
		"scenario_mechanics_ui_tip_shop"											"Klik hier om de winkel te openen"
}
}
