"lang"
{
	"Language"		"korean"
		"DOTA_HUD_Diretide_RoshanTarget_Dire"		"로샨이 다이어를 대상으로 합니다"
		"DOTA_HUD_Diretide_RoshanTarget_You"		"로샨이 <span class=\"BoldMessage\">나</span>를<br>쫓아옵니다"
		"DOTA_HUD_Diretide_RoshanTarget_Ally"		"로샨이 <span class=\"BoldMessageSmall\">우리 팀원</span>을<br>쫓아옵니다"
		"DOTA_HUD_Diretide_RoshanTarget_Enemy"		"로샨이 적을 쫓아갑니다"

		"DOTA_HUD_Diretide_CandyBucketAttacked"		"나의 쫀득사탕 바구니가 공격받고 있습니다"

		"DOTA_HUD_Diretide_StashRespawn"			"허수아비 보관함이 다시 채워졌습니다!"

		"npc_dota_radiant_bucket_soldier"			"쫀득사탕 수호자"
		"npc_dota_dire_bucket_soldier"				"쫀득사탕 수호자"

		"npc_dota_diretide_portal"					"침공 차원문"

		"npc_dota_crate"							"나무 상자"

		"npc_dota_creature_night_stalker"			"밤의 공포"
		"npc_dota_creature_life_stealer"			"맹렬한 위협"
		"npc_dota_creature_dark_troll_warlord"		"어둠트롤 소환사"
		"npc_dota_creature_hulk_radiant"			"썩어가는 덩치"
		"npc_dota_creature_hulk_dire"				"고름투성이 덩치"
		"npc_dota_creature_zombie_ogreseal"			"좀비 게리"

		"npc_dota_creature_visage_familiar1"		"시체불흡혈귀"
		"npc_dota_black_dragon"						"흑요석 용"

		"npc_dota_creature_pumpkin_giant"			"호박 거인"

		"npc_dota_creature_ranged_ghost"			"망령"
		"npc_dota_creature_melee_ghost"				"유령"

		"npc_dota_creature_huge_broodmother"		"휘발성 거미"
		"npc_dota_creature_newborn_spider"			"갓 부화한 해충"

		"neutral_candy_bucket"						"허수아비 보관함"

		"DOTA_Tooltip_ability_creature_life_stealer_rage"						"격노"
		"DOTA_Tooltip_ability_creature_life_stealer_rage_Description"			"주체할 수 없는 분노에 몸을 내맡깁니다. 주문 면역 효과를 얻고 이동 속도가 증가합니다.\n\n해제 유형: 기본 해제"
		"DOTA_Tooltip_ability_creature_life_stealer_rage_Lore"					"나익스는 그 광기와 흉포함 때문에 전투 시 잔인하고 인정사정없는 존재가 됩니다."
		"DOTA_Tooltip_ability_creature_life_stealer_rage_Note0"					"시전 시 강화 및 약화 효과가 다수 제거됩니다."
		"DOTA_Tooltip_ability_creature_life_stealer_rage_movement_speed_bonus"	"%이동 속도 보너스:"
		"DOTA_Tooltip_ability_creature_life_stealer_rage_duration"				"지속시간:"

		"DOTA_Tooltip_ability_creature_life_stealer_feast"						"체력 삼키기"
		"DOTA_Tooltip_ability_creature_life_stealer_feast_Description"			"흡혈마가 공격 시 대상의 최대 체력에서 일정 비율만큼 자신의 체력을 회복합니다. 공격 속도가 증가합니다."		
		"DOTA_Tooltip_ability_creature_life_stealer_feast_Lore"					"나익스는 데바라크의 감옥에서 도망쳐 나온 뒤 자신과 운 나쁘게도 자신과 마주친 자들의 살과 뼈로 연명해왔습니다." 
		"DOTA_Tooltip_ability_creature_life_stealer_feast_Note0"				"로샨에게는 적용되지 않습니다."
		"DOTA_Tooltip_ability_creature_life_stealer_feast_Note1"				"주문 면역 유닛에게 적용됩니다."
		"DOTA_Tooltip_ability_creature_life_stealer_feast_Note2"				"치유는 피해와 별개로 적용됩니다."
		"DOTA_Tooltip_ability_creature_life_stealer_feast_Note3"				"다른 흡혈 효과에 추가로 중첩됩니다."
		"DOTA_Tooltip_ability_creature_life_stealer_feast_hp_leech_percent"		"%최대 체력 흡혈:"
		"DOTA_Tooltip_ability_creature_life_stealer_feast_attack_speed_bonus"	"공격 속도:"

		"DOTA_Tooltip_modifier_creature_life_stealer_rage"				"격노"
		"DOTA_Tooltip_modifier_creature_life_stealer_rage_Description"	"공격 속도 증가, 주문 면역, 마법 피해 유형에 100% 저항"

		"DOTA_Tooltip_ability_creature_dark_troll_warlord_raise_dead"				"망자 일으키기"
		"DOTA_Tooltip_ability_creature_dark_troll_warlord_raise_dead_Description"	"어둠트롤 소환사가 발 밑의 대지를 흔들어 오래전 죽은 트롤의 유해를 일으킵니다. 해골 병사 둘이 되살아나 함께 싸웁니다."
		//"DOTA_Tooltip_ability_creature_dark_troll_warlord_raise_dead_duration"		"DURATION:"

		"npc_dota_creature_zombie_torso"			"좀비 상체"
		"npc_dota_creature_zombie_golem"			"좀비 골렘"
		"npc_dota_creature_zombie_basic"			"좀비"
		"npc_dota_creature_skeleton_basic"			"으스스한 해골"

		"npc_dota_creature_skeleton"				"해골"
		"npc_dota_creature_skeleton_champion"		"해골 용사"

		"DOTA_Tooltip_ability_ogreseal_flop"						"바다표범 철퍽"
		"DOTA_Tooltip_ability_ogreseal_flop_Description"			"짧은 지연 시간 후 앞으로 뛰어들며 지면을 강하게 두 번 내려쳐 적을 %stun_duration%초 동안 기절시키고 매번 %damage%의 피해를 줍니다."

		"DOTA_Tooltip_ability_ogreseal_stomp"						"고래지방 강타"
		"DOTA_Tooltip_ability_ogreseal_stomp_Description"			"공중에 높이 뛰어올랐다가 아래로 강하게 떨어지며 %stun_duration%초 동안 %radius% 반경에 있는 적에게 %damage%의 피해를 주고 기절시킵니다. 충격 시 해상 구울도 %self_stun_duration%초 동안 기절시킵니다."

		"DOTA_Tooltip_ability_ogreseal_stickybomb"					"영매질 튕기기"
		"DOTA_Tooltip_ability_ogreseal_stickybomb_Description"		"해상 구울이 대상 지역에 영매질 덩어리를 던져 점액 웅덩이를 만들고 그 안에 빠진 적 모두를 %move_speed_penalty% 느려지게 합니다. 웅덩이는 %duration%초 동안 지속합니다."

		"DOTA_Tooltip_ability_ogreseal_puke"					"토하기"
		"DOTA_Tooltip_ability_ogreseal_puke_Description"		"해상 구울이 대상 지역에 영매질 덩어리를 토해 그에 맞는 적 모두를 %move_speed_penalty%%% 느려지게 합니다. 근처에 있는 적이 격노 상태가 되어 영웅들을 공격합니다."

		"DOTA_Tooltip_ability_ogreseal_explode"						"고래지방 폭탄"
		"DOTA_Tooltip_ability_ogreseal_explode_Description"			"공중에 높이 뛰어올랐다가 아래로 강하게 떨어지며 자신을 파괴하고 %damage%의 피해를 주며 %radius% 반경에서 타격당한 적 모두를 %move_speed_penalty%%% 느려지게 합니다. 근처에 있는 적이 격노 상태가 되어 영웅들을 공격합니다."

		"DOTA_Tooltip_ability_hulk_immolation"				"연소"
		"DOTA_Tooltip_ability_hulk_immolation_Description"	"주위 유닛들을 불태워 매초 피해를 줍니다."
		"DOTA_Tooltip_ability_hulk_immolation_aura_damage"	"피해:"
		"DOTA_Tooltip_ability_hulk_immolation_aura_radius"	"오라 반경:"

		"DOTA_Tooltip_modifier_hulk_immolation_debuff"				"연소"
		"DOTA_Tooltip_modifier_hulk_immolation_debuff_Description"	"덩치 주위에 있는 동안 피해 받음"

		"DOTA_Tooltip_ability_building_defender_advantage"						"방어자 오라"
		"DOTA_Tooltip_ability_building_defender_advantage_Description"			"근처 아군에게 방어력 %bonus_armor% 및 체력 재생 %bonus_hp_regen% 제공"

		"DOTA_Tooltip_modifier_building_defender_advantage_buff"				"다이어타이드 방어자"
		"DOTA_Tooltip_modifier_building_defender_advantage_buff_Description"	"다이어타이드 건물에서 보너스 방어력과 체력 재생 효과 받는 중"

		"DOTA_Tooltip_ability_bucket_soldier_attack"				"겁주기"
		"DOTA_Tooltip_ability_bucket_soldier_attack_Description"	"공격 속도와 이동 속도를 둔화합니다."

		"DOTA_Tooltip_modifier_bucket_soldier_attack_debuff"					"겁먹음"
		"DOTA_Tooltip_modifier_bucket_soldier_attack_debuff_Description"		"공격 속도와 이동 속도가 느려짐"

		"DOTA_Tooltip_modifier_bucket_soldier_attack_fear"				"겁먹음"
		"DOTA_Tooltip_modifier_bucket_soldier_attack_fear_Description"	"무언가 으스스한 것에 겁먹었습니다!"

		"DOTA_Tooltip_modifier_ghost_pool_debuff"				"음산한 대혼란"
		"DOTA_Tooltip_modifier_ghost_pool_debuff_Description"	"지속하여 피해 받음"

		"npc_dota_roshan_diretide"				"로샨"

		"candy_bucket"							"쫀득사탕 우물"
		"home_candy_bucket"						"본진 바구니"

		"DOTA_Tooltip_Ability_item_spooky_tpscroll"						"으스스한 순간이동 주문서"		
		"DOTA_Tooltip_Ability_item_spooky_tpscroll_Description"			"지도에서 적이 있는 쪽으로 %buff_duration%초 동안 순간이동합니다."		

		"DOTA_Tooltip_modifier_spooky_tpscroll_buff"					"으스스한 순간이동 주문서 강화 효과"
		"DOTA_Tooltip_modifier_spooky_tpscroll_buff_Description"		"으스스한 순간이동 주문서로 강력해짐"

		"DOTA_Tooltip_Ability_item_candy"			"그리빌 쫀득사탕"
		"DOTA_Tooltip_Ability_item_candy_bag"		"그리빌 쫀득사탕 주머니"

		"DOTA_Tooltip_modifier_hero_candy"					"그리빌 쫀득사탕"
		"DOTA_Tooltip_modifier_hero_candy_Description"		"가지고 있는 쫀득사탕 개수"

		"DOTA_Tooltip_modifier_candy_eat_regen"						"쫀득사탕 재생"
		"DOTA_Tooltip_modifier_candy_eat_regen_Description"			"맛있는 쫀득사탕으로 체력과 마나 재생 중"
		
		"DOTA_Tooltip_modifier_candy_eaten_recently"				"쫀득사탕으로 배부름"
		"DOTA_Tooltip_modifier_candy_eaten_recently_Description"	"배가 너무 불러 잠시 쫀득사탕을 먹을 수 없음"

		"DOTA_Tooltip_Ability_item_hero_candy_bucket"				"쫀득사탕 주머니"
		"DOTA_Tooltip_Ability_item_hero_candy_bucket_Description"	"<h1>사용: 던지기</h1>팀의 본진 바구니를 대상으로 던지면 점수를 얻습니다.<br><br>아군 영웅에게 던지면 자신이 지닌 쫀득사탕이 해당 영웅에게 옮겨집니다.<br><br>로샨에게 던지면, 요구한 쫀득사탕을 먹여 잠시 진정시킬 수 있습니다.<br><br>범위: %abilitycastrange%"
		"DOTA_Tooltip_Ability_item_hero_candy_bucket_Lore"			"맛있는 쫀득사탕을 보관합니다! 사과는 담지 마세요!"

		"DOTA_Tooltip_Ability_hero_candy_bucket"				"쫀득사탕 주머니"
		"DOTA_Tooltip_Ability_hero_candy_bucket_Description"		"<h1>사용: 던지기</h1>팀의 본진 바구니를 대상으로 던지면 점수를 얻습니다.<br><br>아군 영웅에게 던지면 자신이 지닌 쫀득사탕이 해당 영웅에게 옮겨집니다.<br><br>로샨에게 던지면, 요구한 쫀득사탕을 먹여 잠시 진정시킬 수 있습니다.<br><br>범위: %abilitycastrange%"
		"DOTA_Tooltip_Ability_hero_candy_bucket_Lore"			"맛있는 쫀득사탕을 보관합니다! 사과는 담지 마세요!"

		"DOTA_Tooltip_modifier_item_hero_candy_bucket"				"쫀득사탕 주머니"
		"DOTA_Tooltip_modifier_item_hero_candy_bucket_Description"	"위험한 그리빌 쫀득사탕을 담아 나르는 중. 중첩당 최대 체력이 감소함"

		"DOTA_Tooltip_modifier_hero_candy_bucket"				"쫀득사탕 주머니"
		"DOTA_Tooltip_modifier_hero_candy_bucket_Description"	"위험한 그리빌 쫀득사탕을 옮기는 중. 중첩당 최대 체력 %dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%% 감소"

		"dota_hud_error_cant_cast_on_this_building"				"해당 건물을 대상으로 사용할 수 없는 기술입니다."
		"dota_hud_error_candy_already_in_flight"				"쫀득사탕이 이미 날아가고 있습니다!"
		"dota_hud_error_candy_eaten_recently"					"배탈이 날 겁니다!"
		"dota_hud_error_cant_cast_on_roshan_not_hungry"			"지금 로샨은 별로 배고프지 않습니다!"
		"dota_hud_error_cant_cast_on_roshan_wrong_team"			"로샨이 다른 팀에 가서 사탕 아니면 골탕을 하고 있습니다!"

		"DOTA_Tooltip_modifier_diretide_roshan_curse_debuff"				"로샨의 저주"
		"DOTA_Tooltip_modifier_diretide_roshan_curse_debuff_Description"	"팀이 로샨에게 사탕을 주지 못했기에 지속하여 피해를 받는 중"

		"DOTA_Tooltip_Ability_hulk_rot"				"부패"
		"DOTA_Tooltip_Ability_hulk_rot_Description"	"매초 %radius%반경에 있는 적에게 피해를 %damage% 줍니다."

		"DOTA_Tooltip_modifier_hulk_rot"									"썩는 중"
		"DOTA_Tooltip_modifier_hulk_rot_Description"						"근처에 있는 적에게 매초 피해를 주는 중"

		"DOTA_Tooltip_Ability_item_spooky_tranquil_boots"				"으스스한 평온의 장화"
		"DOTA_Tooltip_Ability_item_spooky_tranquil_boots_Description"	"보통 평온의 장화와 같지만 좀 으스스합니다."

		"DOTA_Tooltip_modifier_diretide_respawn_time_penalty"					"부활 시간 불이익"
		"DOTA_Tooltip_modifier_diretide_respawn_time_penalty_Description"		"이전의 죽음으로 이번 라운드 부활 시간에 +%dMODIFIER_PROPERTY_TOOLTIP%초 추가"

		"DOTA_Tooltip_ability_diretide_bucket_soldier_regen_building_passive"						"재생의 오라"
		"DOTA_Tooltip_ability_diretide_bucket_soldier_regen_building_passive_Description"			"범위 안의 쫀득사탕 수호자들이 전투 상태가 아닐 때 매초 최대 체력의 %regen_pct_per_second%%를 회복합니다. 수호자가 피해를 받으면 재생 효과가 %peace_time%초 동안 비활성화됩니다."
		"DOTA_Tooltip_modifier_diretide_bucket_soldier_passive"										"신성한 재생"
		"DOTA_Tooltip_modifier_diretide_bucket_soldier_passive_Description"							"전투 상태가 아닐 때 매초 최대 체력의 일정 비율을 회복. 쫀득사탕 수호자가 피해를 받으면 짧은 시간 동안 비활성화"
	}
}
