"lang"
{ 
	"Language" "vietnamese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"ƯU ĐÃI!"
		"DOTA_LevelLabel"		"Cấp độ: %s1"
		"DOTA_StackCount"		"Số lượng: %s1"
		"DOTA_Charges"			"Số lượt dùng: %s1"
		"DOTA_Aura_Active"		"Hào quang: Có hiệu lực"
		"DOTA_Aura_Inactive"	"Hào quang: Vô hiệu lực"
		"DOTA_Aura_Allied"		"Hào quang: Đồng minh"
		"DOTA_Aura_Enemy"	"Hào quang: Kẻ địch"
		"DOTA_Health"			"MÁU"
		"DOTA_Mana"			"MANA"
		"DOTA_Skills"			"KỸ NĂNG"
		"DOTA_AttributeFooter"		"SÁT THƯƠNG: %s1 GIÁP: %s2"
		"DOTA_UnitSelection_Title"	"LỰA CHỌN ĐƠN VỊ"
		"DOTA_SelectHeroAndCenter"		"Chọn Hero và căn giữa camera"
		"DOTA_TabUnit"			"Chuyển giữa các đơn vị được chọn"
		"DOTA_ActivateGlyph"	"Kích hoạt Glyph"	
		"DOTA_ActivateRadar"	"Dùng máy quét"
		"DOTA_RecentEvent"		"Xem sự kiện gần đây"
		"DOTA_SelectAllOthers"	"Chọn toàn bộ đơn vị còn lại"
		"DOTA_SelectAll"	"Chọn tất cả đơn vị"
		"DOTA_PurchaseQuickbuy"	"Mua đồ nhanh"
		"DOTA_PurchaseSticky"	"Mua vật phẩm được đính"
		"DOTA_GrabStashItems"	"Lấy vật phẩm trong kho"
		"DOTA_Pause"			"Tạm dừng"
		"DOTA_Summary"			"Tóm lược"
		"DOTA_Lore"				"Tiểu sử"
		"DOTA_View_Lore"		"Đọc tiểu sử tướng"
		"DOTA_SkillsLabel"		"Kỹ năng:"
		"DOTA_RoleLabel"		"Vai trò:"
		"DOTA_Legacy"			"Dùng phím kiểu cũ"
		"DOTA_CopyHeroBindsForCourier"	"Sao y phím tắt từ điều khiển cho tướng"
		"DOTA_CopyHeroBindsForNeutrals"	"Thiết lập tương tự phím dùng cho Hero"
		"DOTA_CopyPlayerBinds"			"Thiết lập tương tự bảng người chơi"
		"DOTA_No_Courier"		"KO CÓ THÚ"	// A courier does not exist
		"DOTA_LocalPlayer"		"Người chơi lân cận"
		"DOTA_ViewAll"			"Xem toàn bộ"
		"DOTA_LearnMore"		"Tìm hiểu thêm"
		"DOTA_PointsAvailable"				"Điểm còn lại"
		"DOTA_Hud_Shop_Toggle"		"Thay đổi bố trí của cửa hàng giữa dạng lưới và dạng cột."
		"DOTA_DPC"				"DPC"
		"DOTA_ProCircuit"		"Pro Circuit"
		"DOTA_LevelUpAttributes"	"+2 cho mọi chỉ số"

		"DOTA_Keybind_ALT"		"ALT"
		"DOTA_Keybind_SHIFT"	"SHIFT"
		"DOTA_Keybind_WINDOWS"	"WINDOWS"
		"DOTA_Keybind_COMMAND"	"COMMAND"
		"DOTA_Keybind_GUI"		"GUI"
		"DOTA_Keybind_CTRL"		"CTRL"

		"CopyToClipboard"			"Chép vào Ctrl+V"

		//top bar
		"TimeOfDay_Day"			"Ban ngày"
		"TimeOfDay_Night"		"Ban đêm"
		"TimeOfDay_am"			"a.m."
		"TimeOfDay_pm"			"p.m."
		"DOTA_Tooltip_topbar_dashboard"		"Tổng quan"
		"DOTA_Tooltip_topbar_chat"		"Trò chuyện"
		"DOTA_Tooltip_topbar_score"		"Bảng điểm"
		"DOTA_Tooltip_topbar_guide"		"Hướng dẫn"
		"DOTA_Tooltip_topbar_log"		"Nhật ký"
		"DOTA_Tooltip_topbar_stats"		"Chỉ số"
		"DOTA_Tooltip_topbar_spectate"		"Theo dõi"
		"DOTA_Tooltip_topbar_disconnect"	"Ngắt kết nối"
		"spectate_autospeed_label"		"Tốc độ tự động"
		"spectate_chatenabled_label"	"Khán giả trò chuyện"
		"new_store_items"		"HÀNG MỚI"

		//Connection
		"Dota2LauncherOutOfDate"			"Trình chạy Dota 2 lỗi thời"
		"SteamClientOutOfDate"				"Phần mềm Steam không tìm thấy hoặc lỗi thời"
		"DOTA_CustomGame_LaunchError"		"Chạy màn chơi tùy biến không thành"

		// Stat Tooltip - these are for scaleform - new ones lives in panorama dota_english - leaving these here for now in case of legacy uses
		"DOTA_StatTooltip_Header"	"Chỉ số tướng:\n\n"
		"DOTA_StatTooltip_Strength"		"Sức mạnh:"
		"DOTA_StatTooltip_Agility"		"Nhanh nhẹn:"
		"DOTA_StatTooltip_Intelligence"	"Trí tuệ:"
		"DOTA_StatTooltip_PrimaryAttrib"	"Chỉ số chính\n"

		"DOTA_StatTooltip_StrengthBonus"	"- Mỗi điểm tăng lượng máu tối đa thêm 20\n- Mỗi điểm tăng tốc độ hồi máu thêm 0.03\n"
		"DOTA_StatTooltip_AgilityBonus"		"- Mỗi 7 điểm tăng thêm 1 giáp\n- Mỗi điểm tăng tốc độ đánh thêm 1\n"
		"DOTA_StatTooltip_IntelligenceBonus"	"- Mỗi điểm tăng 12 mana tối đa\n- Mỗi điểm tăng tốc độ hồi mana thêm 0.04\n- Cứ 16 điểm tăng sát thương kỹ năng thêm 1%"
		"DOTA_StatTooltip_TotalAttributesSkilled"	"Cấp độ Thuộc tính: "
		"DOTA_StatTooltip_GainPerLevel"		"- Điểm nhận được mỗi cấp: %s1\n"

		"DOTA_StatTooltip_PrimaryBonus"	"- Mỗi điểm tăng sát thương thêm 1\n"

		"DOTA_StatTooltip_Buyback" "Giá chuộc mạng hiện tại: %s1\n"
		"DOTA_StatTooltip_Buyback_Ready"		"Chuộc mạng sẵn sàng"
		"DOTA_StatTooltip_Buyback_Cooldown"		"Chuộc mạng sau %s1"
		"DOTA_StatTooltip_Buyback_GoldLimit"	"Không nhận vàng dễ mất trong %s1"
		"DOTA_Buyback"	"CHUỘC MẠNG"
		"DOTA_NoBuyback"	"Ko chuộc"
		"DOTA_LevelUp"	"LÊN CẤP"
		"DOTA_Stash"	"KHO"
		"DOTA_Inventory_Grab_All"	"LẤY HẾT"
		"DOTA_Stash_QueueForPickup"	"Xếp hàng chờ thú vận chuyển"

		// Damage/Armor Tooltip
		"DOTA_DmgArmorTooltip_AttackSpeed"	"Tốc độ đánh"
		"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"giây mỗi đòn"
		"DOTA_DmgArmorTooltip_MoveSpeed"	"Tốc độ chạy:"

		"DOTA_DmgArmorTooltip_AttackDamage"	"Sát thương công kích: "
		"DOTA_DmgArmorTooltip_AttackRange"	"Cự ly công kích: "

		"DOTA_DmgArmorTooltip_Armor"		"Giáp Vật lý: "
		"DOTA_DmgArmorTooltip_DmgResist"	"Kháng sát thương vật lý: "

		"DOTA_DmgArmorTooltip_MagicArmor"	"Giáp phép: "
		"DOTA_DmgArmorTooltip_MagicDmgResist"	"Kháng sát thương phép thuật: "

		"DOTA_DmgArmorTooltip_SpellAmp"	"Sát thương kỹ năng:"

		//Ultimate Scepter Upgrade
		"DOTA_Tooltip_Ultimate_Upgrade"		"NÂNG CẤP: "
		"DOTA_Tooltip_Ultimate_Grant"		"CHO: "

		// Frostivus
		"DOTA_Vassals"			"Chư hầu"
		
		// Nian
		"DOTA_Defenders"				"Đội phòng thủ"
		"dota_watch_recentgame_status"	"ĐÃ KHIÊU CHIẾN NIÊN THÚ"

		// Spectating/Replays
		"DOTA_GoodGuys"			"Phe Radiant"
		"DOTA_BadGuys"			"Phe Dire"
		"DOTA_GoodGuysCaps"			"PHE RADIANT"
		"DOTA_BadGuysCaps"			"PHE DIRE"
		"DOTA_GoodGuysShort"		"Radiant"
		"DOTA_BadGuysShort"			"Dire"
		"DOTA_Towers"			"Số trụ còn lại: %s1"
		"DOTA_Barracks"			"Nhà lính: %s1"
		
		// Captains Mode
		"Captains Mode"			"CAPTAIN'S MODE"
		"timeline_ban"			"CẤM"
		"timeline_pick"			"CHỌN"
		
		// Keybindings
		"DOTA_NotAvailable"		"Không khả dụng"
		"DOTA_MoveForward"		"Máy quay đi lên"
		"DOTA_MoveBack"			"Máy quay đi xuống"
		"DOTA_MoveLeft"			"Máy quay sang trái"
		"DOTA_MoveRight"		"Máy quay sang phải"
		"DOTA_CameraGrip"		"Giữ máy quay"
		"DOTA_HeroSelect"		"Chọn tướng"
		"DOTA_HeroCenter"		"Căn giữa tướng"
		"DOTA_HeroMoveHome"		"Di chuyển Hero về"
		"DOTA_ControlGroupCycle"	"Đơn vị kế"
		"DOTA_ControlGroupCyclePrev"	"Đơn vị trước"
		"DOTA_ControlGroup1"		"Nhóm 1"
		"DOTA_ControlGroup2"		"Nhóm 2"
		"DOTA_ControlGroup3"		"Nhóm 3"
		"DOTA_ControlGroup4"		"Nhóm 4"
		"DOTA_ControlGroup5"		"Nhóm 5"
		"DOTA_ControlGroup6"		"Nhóm 6"
		"DOTA_ControlGroup7"		"Nhóm 7"
		"DOTA_ControlGroup8"		"Nhóm 8"
		"DOTA_ControlGroup9"		"Nhóm 9"
		"DOTA_ControlGroup10"		"Nhóm 10"
		"DOTA_Escape"			"Thoát"
		"DOTA_Scoreboard"		"Bảng điểm"
		"DOTA_Screenshot"		"Chụp màn hình"
		"DOTA_Voice"			"Đàm thoại"
		"DOTA_VoiceLane"		"Đàm thoại (theo đường)"
		"DOTA_ChatWheel"		"Vòng tán gẫu"
		"DOTA_ChatGlobal"		"Tán gẫu tất cả"
		"DOTA_ChatTeam"			"Tán gẫu trong đội"
		"DOTA_Learn_Abilities"	"Học kỹ năng"
		"DOTA_Learn_Stats"		"Nâng cấp chỉ số"
		"DOTA_UseActionItem_Key"	"Vật phẩm hành động"
		"DOTA_HeroTaunt_Key"		"Hành động khiêu khích"
		"DOTA_ChatPhraseSelect"		"Chọn một cụm từ"
		"UI_ChatSettings"			"CÁC PHÍM"
		"UI_ChatPhrases"			"CỤM TỪ"
		"Chat_Wheel_Customize"		"Tùy biến cụm từ xuất hiện trên vòng tán gẫu"
		"DOTA_ChatWheel_AllMessage"	"(Tất cả) %s1"
		"DOTA_InspectHeroInWorld"	"Góc trưng bày"
		"DOTA_InspectHeroInWorld_Error_EnemySelected"	"Góc nhìn trưng bày chỉ khả dụng cho các đơn vị đồng minh"
		"DOTA_InspectHeroInWorld_Error_FreeCamOnly"		"Góc nhìn trưng bày chỉ khả dụng với camera tự do"
		"DOTA_InspectHeroInWorld_Error_Dead"			"Chết"
		
		"dota_chatwheel_label_Ok"				"OK"
		"dota_chatwheel_label_Care"				"Cẩn thận"
		"dota_chatwheel_label_GetBack"			"Lùi lại"
		"dota_chatwheel_label_NeedWards"		"Cần cắm mắt"
		"dota_chatwheel_label_Stun"				"Làm choáng"
		"dota_chatwheel_label_Help"				"Cần giúp đỡ"
		"dota_chatwheel_label_Push"				"Đẩy nhà"
		"dota_chatwheel_label_GoodJob"			"Làm tốt lắm"
		"dota_chatwheel_label_Missing"			"Mất dấu"
		"dota_chatwheel_label_Missing_Top"		"Mất dấu đường trên"
		"dota_chatwheel_label_Missing_Mid"		"Mất dấu đường giữa"
		"dota_chatwheel_label_Missing_Bottom"	"Mất dấu đường dưới"
		"dota_chatwheel_label_Go"					"Tiến lên!"
		"dota_chatwheel_label_Initiate"				"Khai trận nào!"
		"dota_chatwheel_label_Follow"				"Theo tôi"
		"dota_chatwheel_label_Group_Up"				"Tập trung lại"
		"dota_chatwheel_label_Spread_Out"			"Tản ra"
		"dota_chatwheel_label_Split_Farm"			"Chia ra cày"
		"dota_chatwheel_label_Attack"				"Tấn công ngay!"
		"dota_chatwheel_label_BRB"					"Tôi sẽ quay lại ngay"
		"dota_chatwheel_label_Dive"					"Lao vào!"
		"dota_chatwheel_label_OMW"					"Đang tới"
		"dota_chatwheel_label_Get_Ready"			"Sẵn sàng nào"
		"dota_chatwheel_label_Bait"					"Nhử mồi"
		"dota_chatwheel_label_Heal"					"Hồi máu"
		"dota_chatwheel_label_Mana"					"Mana"
		"dota_chatwheel_label_OOM"					"Hết mana"
		"dota_chatwheel_label_Skill_Cooldown"		"Thời gian hồi"
		"dota_chatwheel_label_Ulti_Ready"			"Tuyệt kỹ sẵn sàng"
		"dota_chatwheel_label_Enemy_Returned"		"Đã trở lại"
		"dota_chatwheel_label_All_Missing"			"Mất dấu toàn bộ địch"
		"dota_chatwheel_label_Enemy_Incoming"		"Địch đang đến"
		"dota_chatwheel_label_Invis_Enemy"			"Đối phương tàng hình"
		"dota_chatwheel_label_Enemy_Had_Rune"		"Đối phương có rune"
		"dota_chatwheel_label_Split_Push"			"Chia ra đẩy nhà"
		"dota_chatwheel_label_Coming_To_Gank"		"Đang đến để gank"
		"dota_chatwheel_label_Request_Gank"			"Cần gank"
		"dota_chatwheel_label_Fight_Under_Tower"	"Giao chiến ở trụ"
		"dota_chatwheel_label_Deny_Tower"			"Triệt tiêu trụ"
		"dota_chatwheel_label_Buy_Courier"			"Mua thú vận chuyển"
		"dota_chatwheel_label_Upgrade_Courier"		"Nâng cấp thú vận chuyển"
		"dota_chatwheel_label_Need_Detection"		"Chúng ta cần đồ chống tàng hình"
		"dota_chatwheel_label_They_Have_Detection"	"Họ có đồ chống tàng hình"
		"dota_chatwheel_label_Buy_TP" 				"Mua Town Portal Scroll"
		"dota_chatwheel_label_Reuse_Courier"		"Dùng lại thú vận chuyển"
		"dota_chatwheel_label_Deward"				"Phá mắt"
		"dota_chatwheel_label_Building_Mek"			"Đang lên Mekansm"
		"dota_chatwheel_label_Building_Pipe"		"Đang lên Pipe of Insight"
		"dota_chatwheel_label_Stack_And_Pull"		"Dồn và kéo quái"
		"dota_chatwheel_label_Pull"					"Kéo quái rừng đi"
		"dota_chatwheel_label_Pulling"				"Đang kéo quái rừng"
		"dota_chatwheel_label_Stack"				"Dồn quái rừng"
		"dota_chatwheel_label_Jungling"				"Đi rừng"
		"dota_chatwheel_label_Roshan"				"Roshan"
		"dota_chatwheel_label_Affirmative"			"Đồng ý"
		"dota_chatwheel_label_Wait"					"Đợi chút"
		"dota_chatwheel_label_Pause"				"Tạm dừng"
		"dota_chatwheel_label_Current_Time"			"Thời gian hiện tại"
		"dota_chatwheel_label_Check_Runes"			"Kiểm tra rune"
		"dota_chatwheel_label_Smoke_Gank"			"Dùng Smoke để gank!"
		"dota_chatwheel_label_GLHF"					"Chúc may mắn!"
		"dota_chatwheel_label_Nice"					"Hay lắm"
		"dota_chatwheel_label_Thanks"				"Cảm ơn"
		"dota_chatwheel_label_Sorry"				"Xin lỗi"
		"dota_chatwheel_label_No_Give_Up"			"Đừng bỏ cuộc"
		"dota_chatwheel_label_Just_Happened"		"Thật là vi diệu"
		"dota_chatwheel_label_Game_Is_Hard"			"Trận này khó"
		"dota_chatwheel_label_New_Meta"				"Chiến thuật mới"
		"dota_chatwheel_label_My_Bad"				"Lỗi của tôi"
		"dota_chatwheel_label_Regret"				"Hối hận"
		"dota_chatwheel_label_Relax"				"Bình tĩnh"
		"dota_chatwheel_label_GG"					"GG"
		"dota_chatwheel_label_GGWP"					"GGWP"
		"dota_chatwheel_label_All_GG"				"GG"
		"dota_chatwheel_label_All_GGWP"				"GGWP"
		"dota_chatwheel_label_What_To_Buy"			"Tôi nên mua gì?"
		"dota_chatwheel_label_Im_Retreating"		"Tôi đang rút lui"
		"dota_chatwheel_label_Space_Created"		"Đã tạo khoảng trống"
		"dota_chatwheel_label_Whoops"				"Á nhầm"
		"dota_chatwheel_label_Tower_then_Back"		"Phá trụ rồi rút"
		"dota_chatwheel_label_Barracks_then_Back"	"Phá nhà lính rồi rút"
		"dota_chatwheel_label_Ward_Bottom_Rune"		"Cắm mắt rune dưới"
		"dota_chatwheel_label_Ward_Top_Rune"		"Cắm mắt rune trên"
		"dota_chatwheel_label_Zeus_Ult"				"Zeus tuyệt kỹ"
		"dota_chatwheel_label_Rimshot"				"Ba-dum tishh"
		"dota_chatwheel_label_Charge"				"Xung phong"
		"dota_chatwheel_label_Frog"					"Ộp oạp"
		"dota_chatwheel_label_Crash_and_Burn"		"Rớt máy bay"
		"dota_chatwheel_label_Applause"				"Vỗ tay"
		"dota_chatwheel_label_Sad_Trombone"			"Kèn đưa đám"
		"dota_chatwheel_label_Crickets"				"Tiếng dế"
		"dota_chatwheel_label_Drum_Roll"			"Nổi trống"
		"dota_chatwheel_label_Headshake"			"Lắc đầu"
		"dota_chatwheel_label_Crybaby"				"Oe oe"
		"dota_chatwheel_label_Day_Night_Cycle"		"Chu kỳ ngày/đêm"
		"dota_chatwheel_label_Bockbock"				"Cục tác"
		"dota_chatwheel_label_Kiss"					"Hôn"
		"dota_chatwheel_label_Ow"					"Áoooooo"
		"dota_chatwheel_label_Party_Horn"			"Thổi kèn"
		"dota_chatwheel_label_Snore"				"Ngáy"
		"dota_chatwheel_label_Yahoo"				"Dá hù"
		"dota_chatwheel_label_Greevil_Laughter"			"Greevil cười"
		"dota_chatwheel_label_Sparkling_Celebration"	"Hân hoan ăn mừng"
		"dota_chatwheel_label_Frostivus_Magic"			"Frostivus nhiệm màu"
		"dota_chatwheel_label_Sleighbells"				"Chuông chùm"
		"dota_chatwheel_label_Oink_Oink"				"Ủn ỉn!"
		"dota_chatwheel_label_Ceremonial_Drums"			"Trống lễ"
		"dota_chatwheel_label_Kooka_Laugh"				"Cười Kookaburra"
		"dota_chatwheel_label_Monkey_Business"			"Trò khỉ"
		"dota_chatwheel_label_Orangutan_Kiss"			"Đười ươi hôn chùn chụt"
		"dota_chatwheel_label_Mosquito_Buzz"			"Tiếng muỗi vo ve"
		"dota_chatwheel_label_Crowd_Groan"				"Đám đông thở dài"
		"dota_chatwheel_label_Head_Bonk"				"Cụng đầu"
		"dota_chatwheel_label_Mic_Drop"					"Thả mic"
		"dota_chatwheel_label_Record_Scratch"			"Cào đĩa nhạc"
		"dota_chatwheel_label_Ta_Daaaaaa"				"Ta Daaaaaa"
		"dota_chatwheel_label_Negative"					"Không được"
		"dota_chatwheel_label_Not_Yet"					"Chưa đến lúc"
		"dota_chatwheel_label_HappyPenguin"				"Cánh cụt hạnh phúc"
		"dota_chatwheel_label_AnnoyedPenguin"			"Cánh cụt bất mãn"
		"dota_chatwheel_label_FastPenguin"				"Cánh cụt thoăn thoắt"
		"dota_chatwheel_label_newbloom_firecrackers"	"Pháo nổ đì đùng!"
		"dota_chatwheel_label_Celebratory_Gong"			"Chiêng hội"
		"dota_chatwheel_label_Black_Cat"				"Mèo đen"
		"dota_chatwheel_label_Ghost"					"Ma"
		"dota_chatwheel_label_Nightmare"				"Ác mộng"
		"dota_chatwheel_label_Scream"					"Tiếng hét"
		"dota_chatwheel_label_Stabby"					"Tiếng vĩ cầm"
		"dota_chatwheel_label_Laugh"					"Cười"

		"dota_chatwheel_label_Candy_From_A_Baby"	"Dễ như bỡn"
		"dota_chatwheel_message_Candy_From_A_Baby" "Dễ như chôm kẹo từ em bé. Nhất là khi chẳng còn sống."
		
		"dota_chatwheel_label_Moon_Drives_You"	"Ánh trăng nói hộ lòng tôi"
		"dota_chatwheel_message_Moon_Drives_You"	"Trăng khiến bạn rơi vào cơn mê sảng."
		
		"dota_chatwheel_label_One_by_One"	"Từng kẻ một"
		"dota_chatwheel_message_One_by_One"	"Chúng gục ngã, từng kẻ một!"

		"dota_chatwheel_label_Celebrate"	"Ăn mừng!"
		"dota_chatwheel_message_Celebrate"	"Ăn mừng trong ánh Trăng Điên!"

		"dota_chatwheel_label_Something_Dire"	"Có gì đó tà ác..."
		"dota_chatwheel_message_Something_Dire"	"Có gì đó tà ác đang đến đây."

		"dota_chatwheel_label_Woods_Begin"	"Động rừng"
		"dota_chatwheel_message_Woods_Begin"	"Rừng bắt đầu chuyển mình!"

		"dota_chatwheel_label_Reap_Your_Harvest"	"Thu hoạch thành quả"
		"dota_chatwheel_message_Reap_Your_Harvest"	"Thu hoạch thành quả và bảo vệ linh hồn mình!"

		
		"dota_chatwheel_header_positioning"			"Vị trí"
		"dota_chatwheel_header_status"				"Trạng thái"
		"dota_chatwheel_header_enemy"				"Đối phương"
		"dota_chatwheel_header_lane"				"Đường"
		"dota_chatwheel_header_items"				"Trang bị"
		"dota_chatwheel_header_neutrals"			"Quái rừng"
		"dota_chatwheel_header_misc"				"Khác"
		"dota_chatwheel_header_flavor"				"Cổ vũ"
		"dota_chatwheel_header_international2017"		"The International 2017"
		"dota_chatwheel_header_international2017_desc"	"Chỉ các chủ nhân Battle Pass The International 2017 mới có các thông điệp này."
		"dota_chatwheel_header_international2018_sounds"		"The International 2018 - Âm thanh"
		"dota_chatwheel_header_international2018_sounds_desc"	"Những tin nhắn này dành riêng cho người có Battle Pass The International 2018."
		"dota_chatwheel_header_international2018_casters"		"The International 2018 - BLV"
		"dota_chatwheel_header_international2018_casters_desc"	"Những tin nhắn này dành riêng cho người có Battle Pass The International 2018."
		"dota_chatwheel_header_international2018_sprays"		"The International 2018 - Sơn xịt"
		"dota_chatwheel_header_international2018_sprays_desc"	"Đánh dấu lãnh thổ lên địa hình! Chỉ dành cho người có Battle Pass The International 2018."
		"dota_chatwheel_header_international2018_legacy"		"The International 2018 - Hoài niệm"
		"dota_chatwheel_header_international2018_legacy_desc"	"Tận hưởng những âm thanh từ Battle Pass The International 2017! Chỉ dành cho người có Battle Pass The International 2018."
		"dota_chatwheel_header_plus_sounds"		"Dota Plus"
		"dota_chatwheel_header_plus_sounds_desc"	"Chỉ có thể được mua bởi hội viên Dota Plus."
		"dota_chatwheel_header_plus_sounds_link"	"Xem phần thưởng Plus"
		"dota_chatwheel_header_frostivus_2018_sounds"		"Frosthaven"
		"dota_chatwheel_header_frostivus_2018_sounds_desc"	"Nhận bằng cách thăng cấp trong sự kiện Frosthaven.<br><br>Các thông điệp này chỉ có trong mùa và sẽ hết hạn vào ngày 1 tháng 2."
		"dota_chatwheel_header_frostivus_2018_sounds_link"	"Xem sự kiện"
		"dota_chatwheel_header_newbloom_2019_sounds"		"Tân Xuân"
		"dota_chatwheel_header_newbloom_2019_sounds_desc"	"Nhận bằng cách thăng cấp trong sự kiện Tân Xuân.<br><br>Các thông điệp này chỉ có trong mùa và sẽ hết hạn vào ngày 1 tháng 3."
		"dota_chatwheel_header_newbloom_2019_sounds_link"	"Xem sự kiện"
		"dota_chatwheel_header_international2019_sounds"		"International 2019 - Âm thanh"
		"dota_chatwheel_header_international2019_sounds_desc"	"Dành riêng cho chủ sở hữu Battle Pass The International 2019."
		"dota_chatwheel_header_international2019_sprays"		"International 2019 - Sơn xịt"
		"dota_chatwheel_header_international2019_sprays_desc"	"Để lại dấu ấn của bạn trên địa hình! Dành riêng cho chủ sở hữu Battle Pass The International 2019."
		"dota_chatwheel_header_international2019_casters"		"International 2019 - Bình luận viên"
		"dota_chatwheel_header_international2019_casters_desc"	"Các thông điệp này chỉ dành riêng cho chủ sở hữu Battle Pass The International 2019."
		"dota_chatwheel_header_international2019_legacy_2017"		"International 2019 - Tái xuất"
		"dota_chatwheel_header_international2019_legacy_2017_desc"	"Tận hưởng những âm thanh ưa thích từ Battle Pass The International 2017! Dành riêng cho chủ sở hữu Battle Pass The International 2019."
		"dota_chatwheel_header_international2019_legacy_2018"		"International 2019 - Tái xuất"
		"dota_chatwheel_header_international2019_legacy_2018_desc"	"Tận hưởng những âm thanh ưa thích từ Battle Pass The International 2018! Dành riêng cho chủ sở hữu Battle Pass The International 2019."


		"dota_chatwheel_header_guilds"				"Bang hội"
		"dota_chatwheel_header_guilds_desc"			"Mở khóa qua bảng xếp hạng bang hội hàng tuần."
		"dota_chatwheel_header_guilds_link"			"Xem bang hội"


		"dota_chatwheel_header_international2019_casters_korean"	"International 2019 - Gói bình luận viên Hàn Quốc"
		"dota_chatwheel_header_international2019_casters_korean_desc" "Dành riêng cho chủ sở hữu Battle Pass The International 2019."
		"dota_chatwheel_header_international2019_casters_epic"	"International 2019 - Gói bình luận viên khủng"
