"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"AKCIÓ!"
		"DOTA_Lore"				"Történet"
		"DOTA_View_Lore"		"Hős történetének megnézése"
		"DOTA_SkillsLabel"		"Képességek:"
		"DOTA_RoleLabel"		"Szerep:"
		"DOTA_Legacy"			"Hagyományos kiosztás"
		"DOTA_CopyHeroBindsForCourier"	"Gyorsbillentyűk tükrözése a hőspanelről"
		"DOTA_CopyHeroBindsForNeutrals"	"Gyorsbillentyűk tükrözése a hőspanelről"
		"DOTA_CopyPlayerBinds"			"Gyorsbillentyűk tükrözése a hőspanelről"
		"DOTA_No_Courier"		"NINCS FUTÁR"	// A courier does not exist
		"DOTA_LocalPlayer"		"Helyi játékos"
		"DOTA_ViewAll"			"Összes megnézése"
		"DOTA_LearnMore"		"Tudj meg többet"
		"DOTA_PointsAvailable"				"Elérhető pontok"
		"DOTA_Hud_Shop_Toggle"		"Váltás rács és oszlop boltnézet között."
		"DOTA_DPC"				"DHL"
		"DOTA_ProCircuit"		"Hivatásos Liga"
		"DOTA_LevelUpAttributes"	"+2 minden tulajdonsághoz"
		"DOTA_SeasonalGameMode"				"Szezonális játékmód"

		"DOTA_Keybind_ALT"		"ALT"
		"DOTA_Keybind_SHIFT"	"SHIFT"
		"DOTA_Keybind_WINDOWS"	"WINDOWS"
		"DOTA_Keybind_COMMAND"	"COMMAND"
		"DOTA_Keybind_GUI"		"KEZELŐFELÜLET"
		"DOTA_Keybind_CTRL"		"CTRL"

		"CopyToClipboard"			"Másolás vágólapra"

		//top bar
		"TimeOfDay_Day"			"Nappal"
		"TimeOfDay_Night"		"Éjszaka"
		"TimeOfDay_am"			"de."
		"TimeOfDay_pm"			"du."
		"DOTA_Tooltip_topbar_dashboard"		"Műszerfal"
		"DOTA_Tooltip_topbar_chat"		"Csevegés"
		"DOTA_Tooltip_topbar_score"		"Eredménytábla"
		"DOTA_Tooltip_topbar_guide"		"Útmutató"
		"DOTA_Tooltip_topbar_log"		"Napló"
		"DOTA_Tooltip_topbar_stats"		"Statisztikák"
		"DOTA_Tooltip_topbar_spectate"		"Megfigyelés"
		"DOTA_Tooltip_topbar_disconnect"	"Szétkapcsolás"
		"spectate_autospeed_label"		"Auto-sebesség"
		"spectate_chatenabled_label"	"Nézői csevegés"
		"new_store_items"		"ÚJ TÁRGYAK A BOLTBAN"

		//Connection
		"Dota2LauncherOutOfDate"			"A Dota 2 indító elavult."
		"SteamClientOutOfDate"				"A Steam kliens hiányzik vagy elavult."
		"DOTA_CustomGame_LaunchError"		"Egyedi játék indítása sikertelen"

		// Stat Tooltip - these are for scaleform - new ones lives in panorama dota_english - leaving these here for now in case of legacy uses
		"DOTA_StatTooltip_Header"	"Hős tulajdonságai:\n\n"
		"DOTA_StatTooltip_Strength"		"Erő:"
		"DOTA_StatTooltip_Agility"		"Ügyesség:"
		"DOTA_StatTooltip_Intelligence"	"Intelligencia:"
		"DOTA_StatTooltip_PrimaryAttrib"	"Elsődleges tulajdonság\n"

		"DOTA_StatTooltip_StrengthBonus"	"- Minden pont 20-szal növeli az életpontokat\n- Minden pont 0,03-dal növeli az életponttöltődést\n"
		"DOTA_StatTooltip_AgilityBonus"		"- Minden 7 pont 1-gyel növeli a páncélt\n- Minden pont 1-gyel növeli a támadási sebességet\n"
		"DOTA_StatTooltip_IntelligenceBonus"	"- Minden pont 12-vel növeli a manát\n- Minden pont 0,04-dal növeli a manatöltődést\n- Minden 16 pont 1%-kal növeli a varázssebzést\n"
		"DOTA_StatTooltip_TotalAttributesSkilled"	"Tulajdonságok szintje: "
		"DOTA_StatTooltip_GainPerLevel"		"- Szerzett pont hősszintenként: %s1\n"

		"DOTA_StatTooltip_PrimaryBonus"	"- Minden pont 1-gyel növeli a sebzést\n"

		"DOTA_StatTooltip_Buyback" "A visszavétel ára jelenleg: %s1\n"
		"DOTA_StatTooltip_Buyback_Ready"		"Visszavételre kész"
		"DOTA_StatTooltip_Buyback_Cooldown"		"Visszavételig %s1 mp"
		"DOTA_StatTooltip_Buyback_GoldLimit"	"%s1 ideig nincs bizonytalan arany"
		"DOTA_Buyback"	"VISSZAVESZ"
		"DOTA_NoBuyback"	"Visszavétel"
		"DOTA_LevelUp"	"FEJLESZT"
		"DOTA_Stash"	"TALON"
		"DOTA_Inventory_Grab_All"	"IDE MINDET"
		"DOTA_Stash_QueueForPickup"	"Besorolás a futárnak felvételre"

		// Damage/Armor Tooltip
		"DOTA_DmgArmorTooltip_AttackSpeed"	"Támadás sebessége: "
		"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"mp per támadás"
		"DOTA_DmgArmorTooltip_MoveSpeed"	"Mozgás sebessége: "

		"DOTA_DmgArmorTooltip_AttackDamage"	"Támadás sebzése: "
		"DOTA_DmgArmorTooltip_AttackRange"	"Harctáv: "

		"DOTA_DmgArmorTooltip_Armor"		"Fizikai páncél: "
		"DOTA_DmgArmorTooltip_DmgResist"	"Fizikai sebzésellenállás: "

		"DOTA_DmgArmorTooltip_MagicArmor"	"Mágikus páncél: "
		"DOTA_DmgArmorTooltip_MagicDmgResist"	"Mágikus sebzésellenállás: "

		"DOTA_DmgArmorTooltip_SpellAmp"	"Varázssebzés-erősítés:"

		//Ultimate Scepter Upgrade
		"DOTA_Tooltip_Ultimate_Upgrade"		"EZT FEJLESZTI: "
		"DOTA_Tooltip_Ultimate_Grant"		"EZT ADJA: "

		// Frostivus
		"DOTA_Vassals"			"A Vazallusok"
		
		// Nian
		"DOTA_Defenders"				"A Védők"
		"dota_watch_recentgame_status"	"MEGKÜZDÖTT AZ ÉVI BESTIÁVAL"

		// Spectating/Replays
		"DOTA_GoodGuys"			"A Radiant"
		"DOTA_BadGuys"			"A Dire"
		"DOTA_GoodGuysCaps"			"A RADIANT"
		"DOTA_BadGuysCaps"			"A DIRE"
		"DOTA_GoodGuysShort"		"Radiant"
		"DOTA_BadGuysShort"			"Dire"
		"DOTA_Towers"			"Megmaradt tornyok: %s1"
		"DOTA_Barracks"			"Barakkok: %s1"
		
		// Captains Mode
		"Captains Mode"			"CAPTAINS MODE"
		"timeline_ban"			"TILTÁS"
		"timeline_pick"			"VÁLASZTÁS"
		
		// Keybindings
		"DOTA_NotAvailable"		"Nem elérhető"
		"DOTA_MoveForward"		"Kamera előre"
		"DOTA_MoveBack"			"Kamera hátra"
		"DOTA_MoveLeft"			"Kamera balra"
		"DOTA_MoveRight"		"Kamera jobbra"
		"DOTA_CameraGrip"		"Kamera-megragadás"
		"DOTA_HeroSelect"		"Hős kiválasztása"
		"DOTA_HeroCenter"		"Hőshöz ugrás"
		"DOTA_HeroMoveHome"		"Hős hazaküldése"
		"DOTA_ControlGroupCycle"	"Következő egység"
		"DOTA_ControlGroupCyclePrev"	"Előző egység"
		"DOTA_ControlGroup1"		"1. csoport"
		"DOTA_ControlGroup2"		"2. csoport"
		"DOTA_ControlGroup3"		"3. csoport"
		"DOTA_ControlGroup4"		"4. csoport"
		"DOTA_ControlGroup5"		"5. csoport"
		"DOTA_ControlGroup6"		"6. csoport"
		"DOTA_ControlGroup7"		"7. csoport"
		"DOTA_ControlGroup8"		"8. csoport"
		"DOTA_ControlGroup9"		"9. csoport"
		"DOTA_ControlGroup10"		"10. csoport"
		"DOTA_Escape"			"Vissza"
		"DOTA_Scoreboard"		"Eredménytábla"
		"DOTA_Screenshot"		"Képernyőmentés"
		"DOTA_Voice"			"Beszéd"
		"DOTA_VoiceLane"		"Beszédsáv"
		"DOTA_ChatWheel"		"Csevegőkorong"
		"DOTA_ChatGlobal"		"Csevegés mindenkivel"
		"DOTA_ChatTeam"			"Csevegés a csapattal"
		"DOTA_Learn_Abilities"	"Képességtanulás"
		"DOTA_Learn_Stats"		"Tulajdonságok fejlesztése"
		"DOTA_UseActionItem_Key"	"Tevékenység-tárgy"
		"DOTA_HeroTaunt_Key"		"Gúnyolódás"
		"DOTA_ChatPhraseSelect"		"Válassz kifejezést"
		"UI_ChatSettings"			"BILLENTYŰK"
		"UI_ChatPhrases"			"KIFEJEZÉSEK"
		"Chat_Wheel_Customize"		"Add meg, mely kifejezések jelenjenek meg a Csevegőkorongon"
		"DOTA_ChatWheel_AllMessage"	"(Mindenki) %s1"
		"DOTA_InspectHeroInWorld"	"Bemutató nézet"
		"DOTA_InspectHeroInWorld_Error_EnemySelected"	"A Bemutató nézet csak baráti egységek számára érhető el"
		"DOTA_InspectHeroInWorld_Error_FreeCamOnly"		"A Bemutató nézet csak szabad kamera módban érhető el"
		"DOTA_InspectHeroInWorld_Error_Dead"			"Halott"
		
		"dota_chatwheel_label_Ok"				"OK"
		"dota_chatwheel_label_Care"				"Vigyázz"
		"dota_chatwheel_label_GetBack"			"Vissza"
		"dota_chatwheel_label_NeedWards"		"Wardok kellenének"
		"dota_chatwheel_label_Stun"				"Béníts"
		"dota_chatwheel_label_Help"				"Segítség"
		"dota_chatwheel_label_Push"				"Tolás"
		"dota_chatwheel_label_GoodJob"			"Szép volt"
		"dota_chatwheel_label_Missing"			"Eltűnt"
		"dota_chatwheel_label_Missing_Top"		"Eltűnt felülről"
		"dota_chatwheel_label_Missing_Mid"		"Eltűnt középről"
		"dota_chatwheel_label_Missing_Bottom"	"Eltűnt alulról"
		"dota_chatwheel_label_Go"					"Gyerünk!"
		"dota_chatwheel_label_Initiate"				"Kezdeményezzünk!"
		"dota_chatwheel_label_Follow"				"Kövessetek"
		"dota_chatwheel_label_Group_Up"				"Összeállni"
		"dota_chatwheel_label_Spread_Out"			"Szóródjunk szét"
		"dota_chatwheel_label_Split_Farm"			"Oszoljunk szét farmolni"
		"dota_chatwheel_label_Attack"				"Támadás!"
		"dota_chatwheel_label_BRB"					"Mindjárt jövök"
		"dota_chatwheel_label_Dive"					"Toronyhoz!"
		"dota_chatwheel_label_OMW"					"Úton vagyok"
		"dota_chatwheel_label_Get_Ready"			"Készüljetek"
		"dota_chatwheel_label_Bait"					"Csalizz"
		"dota_chatwheel_label_Heal"					"Gyógyítást"
		"dota_chatwheel_label_Mana"					"Manát"
		"dota_chatwheel_label_OOM"					"Nincs manám"
		"dota_chatwheel_label_Skill_Cooldown"		"Újratöltődik"
		"dota_chatwheel_label_Ulti_Ready"			"Ultimate kész"
		"dota_chatwheel_label_Enemy_Returned"		"Visszajött"
		"dota_chatwheel_label_All_Missing"			"Sehol senki"
		"dota_chatwheel_label_Enemy_Incoming"		"Támadnak"
		"dota_chatwheel_label_Invis_Enemy"			"Láthatatlan ellenség"
		"dota_chatwheel_label_Enemy_Had_Rune"		"Rúnás ellenség"
		"dota_chatwheel_label_Split_Push"			"Osztott tolás"
		"dota_chatwheel_label_Coming_To_Gank"		"Jövök gankelni"
		"dota_chatwheel_label_Request_Gank"			"Gank kellene"
		"dota_chatwheel_label_Fight_Under_Tower"	"Torony alatt"
		"dota_chatwheel_label_Deny_Tower"			"Tornyot beáldozni"
		"dota_chatwheel_label_Buy_Courier"			"Vegyél futárt"
		"dota_chatwheel_label_Upgrade_Courier"		"Fejlessz futárt"
		"dota_chatwheel_label_Need_Detection"		"Detektálás kell"
		"dota_chatwheel_label_They_Have_Detection"	"Látják a láthatatlanokat"
		"dota_chatwheel_label_Buy_TP" 				"Vegyél Town Portal Scrollt"
		"dota_chatwheel_label_Reuse_Courier"		"Használd újra a futárt"
		"dota_chatwheel_label_Deward"				"Wardtalaníts"
		"dota_chatwheel_label_Building_Mek"			"Mekansmöt készítek"
		"dota_chatwheel_label_Building_Pipe"		"Pipe of Insightot készítek"
		"dota_chatwheel_label_Stack_And_Pull"		"Halmozz és húzz"
		"dota_chatwheel_label_Pull"					"Húzd a creepeket"
		"dota_chatwheel_label_Pulling"				"Húzom a creepeket"
		"dota_chatwheel_label_Stack"				"Halmozd a semlegeseket"
		"dota_chatwheel_label_Jungling"				"Erdőzök"
		"dota_chatwheel_label_Roshan"				"Roshan"
		"dota_chatwheel_label_Affirmative"			"Vettem"
		"dota_chatwheel_label_Wait"					"Várjatok"
		"dota_chatwheel_label_Pause"				"Szünet"
		"dota_chatwheel_label_Current_Time"			"Jelenlegi idő"
		"dota_chatwheel_label_Check_Runes"			"Rúnaellenőrzés"
		"dota_chatwheel_label_Smoke_Gank"			"Gankeljünk Smoke-kal!"
		"dota_chatwheel_label_GLHF"					"Sok szerencsét"
		"dota_chatwheel_label_Nice"					"Szép"
		"dota_chatwheel_label_Thanks"				"Kösz"
		"dota_chatwheel_label_Sorry"				"Bocs"
		"dota_chatwheel_label_No_Give_Up"			"Ne adjátok fel"
		"dota_chatwheel_label_Just_Happened"		"Megesik az ilyen"
		"dota_chatwheel_label_Game_Is_Hard"			"Nehéz játék"
		"dota_chatwheel_label_New_Meta"				"Új meta"
		"dota_chatwheel_label_My_Bad"				"Az én hibám"
		"dota_chatwheel_label_Regret"				"Sajnálom"
		"dota_chatwheel_label_Relax"				"Nyugalom"
		"dota_chatwheel_label_GG"					"GG"
		"dota_chatwheel_label_GGWP"					"GGWP"
		"dota_chatwheel_label_All_GG"				"GG"
		"dota_chatwheel_label_All_GGWP"				"GGWP"
		"dota_chatwheel_label_What_To_Buy"			"Mit vegyek?"
		"dota_chatwheel_label_Im_Retreating"		"Visszavonulok"
		"dota_chatwheel_label_Space_Created"		"Helyet csináltam"
		"dota_chatwheel_label_Whoops"				"Upsz"
		"dota_chatwheel_label_Tower_then_Back"		"Torony, aztán vissza"
		"dota_chatwheel_label_Barracks_then_Back"	"Barakkok, aztán vissza"
		"dota_chatwheel_label_Ward_Bottom_Rune"		"Wardot az alsó rúnához"
		"dota_chatwheel_label_Ward_Top_Rune"		"Wardot a felső rúnához"
		"dota_chatwheel_label_Zeus_Ult"				"Zeus ulti"
		"dota_chatwheel_label_Rimshot"				"Ba-dam tsss"
		"dota_chatwheel_label_Charge"				"Roham"
		"dota_chatwheel_label_Frog"					"Béka"
		"dota_chatwheel_label_Crash_and_Burn"		"Szerencsétlenség"
		"dota_chatwheel_label_Applause"				"Taps"
		"dota_chatwheel_label_Sad_Trombone"			"Bánatos harsona"
		"dota_chatwheel_label_Crickets"				"Tücskök"
		"dota_chatwheel_label_Drum_Roll"			"Dobpergés"
		"dota_chatwheel_label_Headshake"			"Fejrázás"
		"dota_chatwheel_label_Crybaby"				"Bőgőmasina"
		"dota_chatwheel_label_Day_Night_Cycle"		"Nappal/éjszaka ciklus"
		"dota_chatwheel_label_Bockbock"				"Kot-kot"
		"dota_chatwheel_label_Kiss"					"Csók"
		"dota_chatwheel_label_Ow"					"Áúú"
		"dota_chatwheel_label_Party_Horn"			"Buliduda"
		"dota_chatwheel_label_Snore"				"Horkolás"
		"dota_chatwheel_label_Yahoo"				"Juhúú"
		"dota_chatwheel_label_Greevil_Laughter"			"Greevil nevetés"
		"dota_chatwheel_label_Sparkling_Celebration"	"Sziporkázó ünneplés"
		"dota_chatwheel_label_Frostivus_Magic"			"Frostivus varázslat"
		"dota_chatwheel_label_Sleighbells"				"Száncsengők"
		"dota_chatwheel_label_Oink_Oink"				"Röf-röf!"
		"dota_chatwheel_label_Ceremonial_Drums"			"Ünnepélyes dobok"
		"dota_chatwheel_label_Kooka_Laugh"				"Kacagójancsi nevetése"
		"dota_chatwheel_label_Monkey_Business"			"Majomkodás"
		"dota_chatwheel_label_Orangutan_Kiss"			"Nyálas orangutánpuszi"
		"dota_chatwheel_label_Mosquito_Buzz"			"Szúnyogzümmögés"
		"dota_chatwheel_label_Crowd_Groan"				"Felmorajló tömeg"
		"dota_chatwheel_label_Head_Bonk"				"Fejkoccanás"
		"dota_chatwheel_label_Mic_Drop"					"Mikrofonleejtés"
		"dota_chatwheel_label_Record_Scratch"			"Hanglemezkarcolás"
		"dota_chatwheel_label_Ta_Daaaaaa"				"Ta-daaaaa"
		"dota_chatwheel_label_Negative"					"Negatív"
		"dota_chatwheel_label_Not_Yet"					"Még ne"
		"dota_chatwheel_label_HappyPenguin"				"Vidám pingvin"
		"dota_chatwheel_label_AnnoyedPenguin"			"Bosszús pingvin"
		"dota_chatwheel_label_FastPenguin"				"Gyors pingvin"
		"dota_chatwheel_label_newbloom_firecrackers"	"Petárdák!"
		"dota_chatwheel_label_Celebratory_Gong"			"Ünnepi gong"
		"dota_chatwheel_label_Black_Cat"				"Fekete macska"
		"dota_chatwheel_label_Ghost"					"Szellem"
		"dota_chatwheel_label_Nightmare"				"Rémálom"
		"dota_chatwheel_label_Scream"					"Sikoly"
		"dota_chatwheel_label_Stabby"					"Hegedű"
		"dota_chatwheel_label_Laugh"					"[nevetés]"

		"dota_chatwheel_label_Candy_From_A_Baby"	"Mint cukorkát lopni"
		"dota_chatwheel_message_Candy_From_A_Baby" "Mint cukorkát lopni egy csecsemőtől. Egy már nem élő csecsemőtől."
		
		"dota_chatwheel_label_Moon_Drives_You"	"A hold űz"
		"dota_chatwheel_message_Moon_Drives_You"	"A hold delíriumba űz!"
		
		"dota_chatwheel_label_One_by_One"	"Egymás után"
		"dota_chatwheel_message_One_by_One"	"Egymás után elbukik mind!"

		"dota_chatwheel_label_Celebrate"	"Ünnepeljünk!"
		"dota_chatwheel_message_Celebrate"	"Ünnepeljünk az Őrült Hold fényénél!"

		"dota_chatwheel_label_Something_Dire"	"Valami gonosz..."
		"dota_chatwheel_message_Something_Dire"	"Valami gonosz közelít."

		"dota_chatwheel_label_Woods_Begin"	"Az erdő"
		"dota_chatwheel_message_Woods_Begin"	"Az erdő mozgolódni kezd!"

		"dota_chatwheel_label_Reap_Your_Harvest"	"Arasd le"
		"dota_chatwheel_message_Reap_Your_Harvest"	"Arasd le a termést és védd a lelked!"

		
		"dota_chatwheel_header_positioning"			"Helyezkedés"
		"dota_chatwheel_header_status"				"Helyzetjelentés"
		"dota_chatwheel_header_enemy"				"Ellenség"
		"dota_chatwheel_header_lane"				"Vonal"
		"dota_chatwheel_header_items"				"Tárgyak"
		"dota_chatwheel_header_neutrals"			"Semlegesek"
		"dota_chatwheel_header_misc"				"Egyéb"
		"dota_chatwheel_header_flavor"				"Légkör"
		"dota_chatwheel_header_international2017"		"The International 2017"
		"dota_chatwheel_header_international2017_desc"	"Ezek az üzenetek kizárólag a The International 2017 Csatabelépő tulajdonosainak érhetők el."
		"dota_chatwheel_header_international2018_sounds"		"The International 2018 - Hangok"
		"dota_chatwheel_header_international2018_sounds_desc"	"Ezek az üzenetek kizárólag a The International 2018 Csatabelépő tulajdonosainak érhetők el."
		"dota_chatwheel_header_international2018_casters"		"The International 2018 - Közvetítők"
		"dota_chatwheel_header_international2018_casters_desc"	"Ezek az üzenetek kizárólag a The International 2018 Csatabelépő tulajdonosainak érhetők el."
		"dota_chatwheel_header_international2018_sprays"		"The International 2018 - Festések"
		"dota_chatwheel_header_international2018_sprays_desc"	"Hagyj nyomot magán a tájon! Kizárólag a The International 2018 Csatabelépő tulajdonosainak érhető el."
		"dota_chatwheel_header_international2018_legacy"		"The International 2018 - Ismétlések"
		"dota_chatwheel_header_international2018_legacy_desc"	"Élvezd kedvenc hangjaidat a The International 2017 Csatabelépőből! Kizárólag a The International 2018 Csatabelépő tulajdonosainak érhető el."
		"dota_chatwheel_header_plus_sounds"		"Dota Plusz"
		"dota_chatwheel_header_plus_sounds_desc"	"Dota Plusz tagoknak érhető el megvásárlásra szilánkokért."
		"dota_chatwheel_header_plus_sounds_link"	"Plusz Jutalmak megnézése"
		"dota_chatwheel_header_frostivus_2018_sounds"		"Fagymenedék"
		"dota_chatwheel_header_frostivus_2018_sounds_desc"	"A Fagymenedék esemény során szintlépéssel kiérdemelve.<br><br>Ezek szezonális üzenetek, és február 1-jén lejárnak."
		"dota_chatwheel_header_frostivus_2018_sounds_link"	"Esemény megnézése"
		"dota_chatwheel_header_newbloom_2019_sounds"		"Új Virágzás"
		"dota_chatwheel_header_newbloom_2019_sounds_desc"	"Az Új Virágzás esemény során szintlépéssel kiérdemelve.<br><br>Ezek szezonális üzenetek, és március 1-jén lejárnak."
		"dota_chatwheel_header_newbloom_2019_sounds_link"	"Esemény megnézése"
		"dota_chatwheel_header_international2019_sounds"		"The International 2019 - Hangok"
		"dota_chatwheel_header_international2019_sounds_desc"	"Kizárólag a The International 2019 Csatabelépő tulajdonosainak érhető el."
		"dota_chatwheel_header_international2019_sprays"		"The International 2019 - Festések"
		"dota_chatwheel_header_international2019_sprays_desc"	"Hagyj nyomot magán a tájon! Kizárólag a The International 2019 Csatabelépő tulajdonosainak érhető el."
		"dota_chatwheel_header_international2019_casters"		"The International 2019 - Közvetítők"
		"dota_chatwheel_header_international2019_casters_desc"	"Ezek az üzenetek kizárólag a The International 2019 Csatabelépő tulajdonosainak érhetők el."
		"dota_chatwheel_header_international2019_legacy_2017"		"The International 2019 - Ismétlések"
		"dota_chatwheel_header_international2019_legacy_2017_desc"	"Élvezd kedvenc hangjaidat a The International 2017 Csatabelépőből! Kizárólag a The International 2019 Csatabelépő tulajdonosainak érhető el."
		"dota_chatwheel_header_international2019_legacy_2018"		"The International 2019 - Ismétlések"
		"dota_chatwheel_header_international2019_legacy_2018_desc"	"Élvezd kedvenc hangjaidat a The International 2018 Csatabelépőből! Kizárólag a The International 2019 Csatabelépő tulajdonosainak érhető el."


		"dota_chatwheel_header_guilds"				"Céhek"
		"dota_chatwheel_header_guilds_desc"			"A heti céhranglistával oldódik fel."
		"dota_chatwheel_header_guilds_link"			"Céh megnézése"


		"dota_chatwheel_header_international2019_casters_korean"	"The International 2019 - Koreai közvetítők csomag"
		"dota_chatwheel_header_international2019_casters_korean_desc" "Kizárólag a The International 2019 Csatabelépő tulajdonosainak érhető el."
		"dota_chatwheel_header_international2019_casters_epic"	"The International 2019 - Eposzi közvetítők csomag"
		"dota_chatwheel_header_international2019_casters_epic_desc" "Kizárólag a The International 2019 Csatabelépő tulajdonosainak érhető el."
		"dota_chatwheel_header_frostivus_2019_sounds"		"Frostivus"
		"dota_chatwheel_header_frostivus_2019_sounds_desc"	"A Frostivus esemény során szintlépéssel kiérdemelve.<br><br>Ezek szezonális üzenetek, és január 16-án lejárnak."
		"dota_chatwheel_header_frostivus_2019_sounds_link"	"Esemény megnézése"
		"dota_chatwheel_header_newbloom_2020_sounds"		"Új Virágzás"
		"dota_chatwheel_header_newbloom_2020_sounds_desc"	"Az Új Virágzás esemény során szintlépéssel kiérdemelve.<br><br>Ezek szezonális üzenetek, és február 17-én lejárnak."
		"dota_chatwheel_header_newbloom_2020_sounds_link"	"Esemény megnézése"
		
		"dota_chatwheel_header_international2020_sounds"		"The International 10 - Hangok"
