"lang"
{ 
	"Language" "spanish" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"¡OFERTA!"
		"DOTA_CopyHeroBindsForCourier"	"Mismas teclas rápidas que el panel Héroe"
		"DOTA_CopyHeroBindsForNeutrals"	"Mismas teclas rápidas que el panel Héroe"
		"DOTA_CopyPlayerBinds"			"Mismas teclas rápidas que el panel Jugador"
		"DOTA_No_Courier"		"SIN MENSAJERO"	// A courier does not exist
		"DOTA_LocalPlayer"		"Jugador local"
		"DOTA_ViewAll"			"Ver todo"
		"DOTA_LearnMore"		"Más información"
		"DOTA_PointsAvailable"				"Puntos disponibles"
		"DOTA_Hud_Shop_Toggle"		"Alternar entre las vistas en cuadrícula o en columnas de la tienda."
		"DOTA_DPC"				"CPD"
		"DOTA_ProCircuit"		"Circuito profesional"
		"DOTA_LevelUpAttributes"	"+2 de todos los atributos."
		"DOTA_SeasonalGameMode"				"Modo de juego estacional"
		"DOTA_PlayDiretide"				"Jugar al Despertar Dire"

		"DOTA_Keybind_ALT"		"ALT"
		"DOTA_Keybind_SHIFT"	"MAYÚS"
		"DOTA_Keybind_WINDOWS"	"WINDOWS"
		"DOTA_Keybind_COMMAND"	"COMANDO"
		"DOTA_Keybind_GUI"		"GUI"
		"DOTA_Keybind_CTRL"		"CTRL"

		"CopyToClipboard"			"Copiar al portapapeles"

		//top bar
		"TimeOfDay_Day"			"Día"
		"TimeOfDay_Night"		"Noche"
		"TimeOfDay_am"			"a.m."
		"TimeOfDay_pm"			"p.m."
		"DOTA_Tooltip_topbar_dashboard"		"Menú principal"
		"DOTA_Tooltip_topbar_chat"		"Chat"
		"DOTA_Tooltip_topbar_score"		"Tabla de puntuaciones"
		"DOTA_Tooltip_topbar_guide"		"Guía"
		"DOTA_Tooltip_topbar_log"		"Registro"
		"DOTA_Tooltip_topbar_stats"		"Estadísticas"
		"DOTA_Tooltip_topbar_spectate"		"Espectador"
		"DOTA_Tooltip_topbar_disconnect"	"Desconectar"
		"spectate_autospeed_label"		"Velocidad automática"
		"spectate_chatenabled_label"	"Chat de espectador"
		"new_store_items"		"NUEVOS OBJETOS EN LA TIENDA"

		//Connection
		"Dota2LauncherOutOfDate"			"El lanzador de Dota 2 está obsoleto"
		"SteamClientOutOfDate"				"No se ha encontrado el cliente de Steam o está obsoleto"
		"DOTA_CustomGame_LaunchError"		"No se ha podido iniciar un modo de juego personalizado"

		// Stat Tooltip - these are for scaleform - new ones lives in panorama dota_english - leaving these here for now in case of legacy uses
		"DOTA_StatTooltip_Header"	"Atributos del héroe:\n\n"
		"DOTA_StatTooltip_Strength"		"Fuerza:"
		"DOTA_StatTooltip_Agility"		"Agilidad:"
		"DOTA_StatTooltip_Intelligence"	"Inteligencia:"
		"DOTA_StatTooltip_PrimaryAttrib"	" Atributo principal\n"

		"DOTA_StatTooltip_StrengthBonus"	"- Cada punto aumenta la vida en 20\n- Cada punto aumenta la regeneración de vida en 0,03\n\n"
		"DOTA_StatTooltip_AgilityBonus"		"- Cada 7 puntos aumenta la armadura en 1\n- Cada punto aumenta la velocidad de ataque en 1\n"
		"DOTA_StatTooltip_IntelligenceBonus"	"- Cada punto aumenta el maná en 12\n- Cada punto aumenta la regeneración de maná en 0,04\n- Cada 16 puntos aumenta el daño de tus hechizos un 1 %\n"
		"DOTA_StatTooltip_TotalAttributesSkilled"	"Nivel de atributos: "
		"DOTA_StatTooltip_GainPerLevel"		"- Puntos obtenidos por nivel del héroe: %s1\n"

		"DOTA_StatTooltip_PrimaryBonus"	"- Cada punto aumenta el daño en 1\n"

		"DOTA_StatTooltip_Buyback" "Coste de resurrección: %s1\n"
		"DOTA_StatTooltip_Buyback_Ready"		"Resurrección lista"
		"DOTA_StatTooltip_Buyback_Cooldown"		"Resurrección en %s1"
		"DOTA_StatTooltip_Buyback_GoldLimit"	"Sin oro no seguro durante %s1"
		"DOTA_Buyback"	"RESUCITAR"
		"DOTA_NoBuyback"	"Sin resurrección"
		"DOTA_LevelUp"	"NIVEL"
		"DOTA_Stash"	"RESERVA"
		"DOTA_Inventory_Grab_All"	"Coger todo"
		"DOTA_Stash_QueueForPickup"	"Cola para el mensajero"

		// Damage/Armor Tooltip
		"DOTA_DmgArmorTooltip_AttackSpeed"	"Velocidad de ataque: "
		"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"s por ataque"
		"DOTA_DmgArmorTooltip_MoveSpeed"	"Velocidad de movimiento: "

		"DOTA_DmgArmorTooltip_AttackDamage"	"Daño de ataque: "
		"DOTA_DmgArmorTooltip_AttackRange"	"Alcance de ataque: "

		"DOTA_DmgArmorTooltip_Armor"		"Armadura física: "
		"DOTA_DmgArmorTooltip_DmgResist"	"Resistencia al daño físico: "

		"DOTA_DmgArmorTooltip_MagicArmor"	"Armadura mágica: "
		"DOTA_DmgArmorTooltip_MagicDmgResist"	"Resistencia al daño mágico: "

		"DOTA_DmgArmorTooltip_SpellAmp"	"Amplificación del daño por hechizos:"

		//Ultimate Scepter Upgrade
		"DOTA_Tooltip_Ultimate_Upgrade"		"MEJORA: "
		"DOTA_Tooltip_Ultimate_Grant"		"OTORGA: "

		// Frostivus
		"DOTA_Vassals"			"Los Vasallos"
		
		// Nian
		"DOTA_Defenders"				"Los Defensores"
		"dota_watch_recentgame_status"	"HA LUCHADO CON LA BESTIA DEL AÑO"

		// Spectating/Replays
		"DOTA_GoodGuys"			"Los Radiant"
		"DOTA_BadGuys"			"Los Dire"
		"DOTA_GoodGuysCaps"			"LOS RADIANT"
		"DOTA_BadGuysCaps"			"LOS DIRE"
		"DOTA_GoodGuysShort"		"Radiant"
		"DOTA_BadGuysShort"			"Dire"
		"DOTA_Towers"			"Torres restantes: %s1"
		"DOTA_Barracks"			"Barracones: %s1"
		
		// Captains Mode
		"Captains Mode"			"MODO CAPITÁN"
		"timeline_ban"			"VETAR"
		"timeline_pick"			"ELEGIR"
		
		// Keybindings
		"DOTA_NotAvailable"		"No disponible"
		"DOTA_MoveForward"		"Cámara hacia adelante"
		"DOTA_MoveBack"			"Cámara hacia atrás"
		"DOTA_MoveLeft"			"Cámara hacia la izquierda"
		"DOTA_MoveRight"		"Cámara hacia la derecha"
		"DOTA_CameraGrip"		"Arrastrar cámara"
		"DOTA_HeroSelect"		"Seleccionar héroe"
		"DOTA_HeroCenter"		"Centrar en héroe"
		"DOTA_HeroMoveHome"		"Mover héroe a base"
		"DOTA_ControlGroupCycle"	"Siguiente unidad"
		"DOTA_ControlGroupCyclePrev"	"Unidad ant."
		"DOTA_ControlGroup1"		"Grupo 1"
		"DOTA_ControlGroup2"		"Grupo 2"
		"DOTA_ControlGroup3"		"Grupo 3"
		"DOTA_ControlGroup4"		"Grupo 4"
		"DOTA_ControlGroup5"		"Grupo 5"
		"DOTA_ControlGroup6"		"Grupo 6"
		"DOTA_ControlGroup7"		"Grupo 7"
		"DOTA_ControlGroup8"		"Grupo 8"
		"DOTA_ControlGroup9"		"Grupo 9"
		"DOTA_ControlGroup10"		"Grupo 10"
		"DOTA_Escape"			"Salir"
		"DOTA_Scoreboard"		"Puntuaciones"
		"DOTA_Screenshot"		"Capturar pantalla"
		"DOTA_Voice"			"Voz"
		"DOTA_VoiceLane"		"Canal de voz"
		"DOTA_ChatWheel"		"Rueda de chat"
		"DOTA_ChatGlobal"		"Chat global"
		"DOTA_ChatTeam"			"Chat de equipo"
		"DOTA_Learn_Abilities"	"Aprender habilidad"
		"DOTA_Learn_Stats"		"Mejorar atributos"
		"DOTA_UseActionItem_Key"	"Objeto de acción"
		"DOTA_HeroTaunt_Key"		"Objeto de burla"
		"DOTA_ChatPhraseSelect"		"Selecciona una frase"
		"UI_ChatSettings"			"TECLAS"
		"UI_ChatPhrases"			"FRASES"
		"Chat_Wheel_Customize"		"Personaliza qué frases aparecen en la rueda de chat"
		"DOTA_ChatWheel_AllMessage"	"(Todos) %s1"
		"DOTA_InspectHeroInWorld"	"Vista de exhibición"
		"DOTA_InspectHeroInWorld_Error_EnemySelected"	"Vista de exhibición solo disponible para las unidades aliadas"
		"DOTA_InspectHeroInWorld_Error_FreeCamOnly"		"Vista de exhibición solo disponible en cámara libre"
		"DOTA_InspectHeroInWorld_Error_Dead"			"Muerto"
		
		"dota_chatwheel_label_Ok"				"Vale"
		"dota_chatwheel_label_Care"				"Cuidado"
		"dota_chatwheel_label_GetBack"			"Retirada"
		"dota_chatwheel_label_NeedWards"		"Poned guardianes"
		"dota_chatwheel_label_Stun"				"Aturdid"
		"dota_chatwheel_label_Help"				"Ayuda"
		"dota_chatwheel_label_Push"				"Presionad"
		"dota_chatwheel_label_GoodJob"			"Buen trabajo"
		"dota_chatwheel_label_Missing"			"Faltan enemigos"
		"dota_chatwheel_label_Missing_Top"		"Faltan arriba"
		"dota_chatwheel_label_Missing_Mid"		"Faltan en medio"
		"dota_chatwheel_label_Missing_Bottom"	"Faltan abajo"
		"dota_chatwheel_label_Go"					"¡Vamos!"
		"dota_chatwheel_label_Initiate"				"¡Iniciad!"
		"dota_chatwheel_label_Follow"				"Seguidme"
		"dota_chatwheel_label_Group_Up"				"Agrupaos"
		"dota_chatwheel_label_Spread_Out"			"Separaos"
		"dota_chatwheel_label_Split_Farm"			"Farmead separados"
		"dota_chatwheel_label_Attack"				"¡Atacad ahora!"
		"dota_chatwheel_label_BRB"					"Ahora vuelvo"
		"dota_chatwheel_label_Dive"					"¡Entradles!"
		"dota_chatwheel_label_OMW"					"En camino"
		"dota_chatwheel_label_Get_Ready"			"Preparaos"
		"dota_chatwheel_label_Bait"					"Haced de cebo"
		"dota_chatwheel_label_Heal"					"Curación"
		"dota_chatwheel_label_Mana"					"Maná"
		"dota_chatwheel_label_OOM"					"Sin maná"
		"dota_chatwheel_label_Skill_Cooldown"		"Tiempo de recarga"
		"dota_chatwheel_label_Ulti_Ready"			"Definitiva lista"
		"dota_chatwheel_label_Enemy_Returned"		"Han regresado"
		"dota_chatwheel_label_All_Missing"			"Faltan todos"
		"dota_chatwheel_label_Enemy_Incoming"		"Se acercan"
		"dota_chatwheel_label_Invis_Enemy"			"Enemigo invisible"
		"dota_chatwheel_label_Enemy_Had_Rune"		"Enemigo tiene runa"
		"dota_chatwheel_label_Split_Push"			"Presionad por separado"
		"dota_chatwheel_label_Coming_To_Gank"		"Voy a emboscar"
		"dota_chatwheel_label_Request_Gank"			"Pedir emboscada"
		"dota_chatwheel_label_Fight_Under_Tower"	"Bajo torre"
		"dota_chatwheel_label_Deny_Tower"			"Denegad torre"
		"dota_chatwheel_label_Buy_Courier"			"Comprad mensajero"
		"dota_chatwheel_label_Upgrade_Courier"		"Mejorad el mensajero"
		"dota_chatwheel_label_Need_Detection"		"Necesitamos detección"
		"dota_chatwheel_label_They_Have_Detection"	"Tienen detección"
		"dota_chatwheel_label_Buy_TP" 				"Comprad un Pergamino de Teletransporte"
		"dota_chatwheel_label_Reuse_Courier"		"Volved a utilizar el mensajero"
		"dota_chatwheel_label_Deward"				"Destruid guardianes"
		"dota_chatwheel_label_Building_Mek"			"Comprando Mekansm"
		"dota_chatwheel_label_Building_Pipe"		"Comprando Pipa de la Perspicacia"
		"dota_chatwheel_label_Stack_And_Pull"		"Acumulad y atraed"
		"dota_chatwheel_label_Pull"					"Atraed creeps"
		"dota_chatwheel_label_Pulling"				"Atrayendo creeps"
		"dota_chatwheel_label_Stack"				"Acumulad neutrales"
		"dota_chatwheel_label_Jungling"				"Voy a jungla"
		"dota_chatwheel_label_Roshan"				"Roshan"
		"dota_chatwheel_label_Affirmative"			"Afirmativo"
		"dota_chatwheel_label_Wait"					"Esperad"
		"dota_chatwheel_label_Pause"				"Pausad"
		"dota_chatwheel_label_Current_Time"			"Tiempo actual"
		"dota_chatwheel_label_Check_Runes"			"Comprobad runas"
		"dota_chatwheel_label_Smoke_Gank"			"¡Emboscad con humo!"
		"dota_chatwheel_label_GLHF"					"Buena suerte"
		"dota_chatwheel_label_Nice"					"Bien"
		"dota_chatwheel_label_Thanks"				"Gracias"
		"dota_chatwheel_label_Sorry"				"Lo siento"
		"dota_chatwheel_label_No_Give_Up"			"No te rindas"
		"dota_chatwheel_label_Just_Happened"		"Estas cosas pasan"
		"dota_chatwheel_label_Game_Is_Hard"			"El juego es difícil"
		"dota_chatwheel_label_New_Meta"				"Nuevo meta"
		"dota_chatwheel_label_My_Bad"				"Culpa mía"
		"dota_chatwheel_label_Regret"				"Me arrepiento"
		"dota_chatwheel_label_Relax"				"Relájate"
		"dota_chatwheel_label_GG"					"GG"
		"dota_chatwheel_label_GGWP"					"GGWP"
		"dota_chatwheel_label_All_GG"				"GG"
		"dota_chatwheel_label_All_GGWP"				"GGWP"
		"dota_chatwheel_label_What_To_Buy"			"¿Qué debo comprar?"
		"dota_chatwheel_label_Im_Retreating"		"Me retiro"
		"dota_chatwheel_label_Space_Created"		"Espacio creado"
		"dota_chatwheel_label_Whoops"				"¡Uy!"
		"dota_chatwheel_label_Tower_then_Back"		"Torre y atrás"
		"dota_chatwheel_label_Barracks_then_Back"	"Barracones y atrás"
		"dota_chatwheel_label_Ward_Bottom_Rune"		"Guardián en runa inferior"
		"dota_chatwheel_label_Ward_Top_Rune"		"Guardián en runa superior"
		"dota_chatwheel_label_Zeus_Ult"				"Definitiva de Zeus"
		"dota_chatwheel_label_Rimshot"				"Ba dum tss"
		"dota_chatwheel_label_Charge"				"¡A la carga!"
		"dota_chatwheel_label_Frog"					"Rana"
		"dota_chatwheel_label_Crash_and_Burn"		"Choque"
		"dota_chatwheel_label_Applause"				"Aplauso"
		"dota_chatwheel_label_Sad_Trombone"			"Trombón triste"
		"dota_chatwheel_label_Crickets"				"Grillos"
		"dota_chatwheel_label_Drum_Roll"			"Redoble de tambor"
		"dota_chatwheel_label_Headshake"			"Sacudida de cabeza"
		"dota_chatwheel_label_Crybaby"				"Llorón"
		"dota_chatwheel_label_Day_Night_Cycle"		"Ciclo día/noche"
		"dota_chatwheel_label_Bockbock"				"Cacareo"
		"dota_chatwheel_label_Kiss"					"Beso"
		"dota_chatwheel_label_Ow"					"Aaau"
		"dota_chatwheel_label_Party_Horn"			"Matasuegras"
		"dota_chatwheel_label_Snore"				"Ronquido"
		"dota_chatwheel_label_Yahoo"				"Yuju"
		"dota_chatwheel_label_Greevil_Laughter"			"Carcajada de Greevil"
		"dota_chatwheel_label_Sparkling_Celebration"	"Celebración espumosa"
		"dota_chatwheel_label_Frostivus_Magic"			"Magia de la Escarcha"
		"dota_chatwheel_label_Sleighbells"				"Cascabeles"
		"dota_chatwheel_label_Oink_Oink"				"¡Oink, oink!"
		"dota_chatwheel_label_Ceremonial_Drums"			"Tambores ceremoniales"
		"dota_chatwheel_label_Kooka_Laugh"				"Risa de dacelo"
		"dota_chatwheel_label_Monkey_Business"			"Monkey Business"
		"dota_chatwheel_label_Orangutan_Kiss"			"Besazo de orangután"
		"dota_chatwheel_label_Mosquito_Buzz"			"Zumbido de mosquito"
		"dota_chatwheel_label_Crowd_Groan"				"Lamento de multitud"
		"dota_chatwheel_label_Head_Bonk"				"Cabezazo"
		"dota_chatwheel_label_Mic_Drop"					"Caída de micrófono"
		"dota_chatwheel_label_Record_Scratch"			"Disco rayado"
		"dota_chatwheel_label_Ta_Daaaaaa"				"¡Tachán!"
		"dota_chatwheel_label_Negative"					"Negativo"
		"dota_chatwheel_label_Not_Yet"					"Aún no"
		"dota_chatwheel_label_HappyPenguin"				"Pingüino feliz"
		"dota_chatwheel_label_AnnoyedPenguin"			"Pingüino enfadado"
		"dota_chatwheel_label_FastPenguin"				"Pingüino veloz"
		"dota_chatwheel_label_newbloom_firecrackers"	"¡Petardos!"
		"dota_chatwheel_label_Celebratory_Gong"			"Gong de celebración"
		"dota_chatwheel_label_Black_Cat"				"Gato negro"
		"dota_chatwheel_label_Ghost"					"Fantasma"
		"dota_chatwheel_label_Nightmare"				"Pesadilla"
		"dota_chatwheel_label_Scream"					"Grito"
		"dota_chatwheel_label_Stabby"					"Apuñalar"
		"dota_chatwheel_label_Laugh"					"Reír"

		"dota_chatwheel_label_Candy_From_A_Baby"	"Como robar un caramelo"
		"dota_chatwheel_message_Candy_From_A_Baby" "Como quitarle un caramelo a un niño. A un niño muerto."
		
		"dota_chatwheel_label_Moon_Drives_You"	"La luna te conduce"
		"dota_chatwheel_message_Moon_Drives_You"	"¡La luna te conduce al delirio!"
		
		"dota_chatwheel_label_One_by_One"	"Uno a uno"
		"dota_chatwheel_message_One_by_One"	"¡Uno a uno, van cayendo!"

		"dota_chatwheel_label_Celebrate"	"¡Fiesta!"
		"dota_chatwheel_message_Celebrate"	"¡Celebrémoslo a la luz de la Luna Loca!"

		"dota_chatwheel_label_Something_Dire"	"Se acerca algo..."
		"dota_chatwheel_message_Something_Dire"	"Se acerca algo terrible."

		"dota_chatwheel_label_Woods_Begin"	"El bosque comienza"
		"dota_chatwheel_message_Woods_Begin"	"¡El bosque comienza a moverse!"

		"dota_chatwheel_label_Reap_Your_Harvest"	"Recoge tu cosecha"
		"dota_chatwheel_message_Reap_Your_Harvest"	"¡Recoge tu cosecha y protege tu alma!"

		
		"dota_chatwheel_header_positioning"			"Posicionamiento"
		"dota_chatwheel_header_status"				"Estado"
		"dota_chatwheel_header_enemy"				"Enemigo"
		"dota_chatwheel_header_lane"				"Senda"
		"dota_chatwheel_header_items"				"Objetos"
		"dota_chatwheel_header_neutrals"			"Neutrales"
		"dota_chatwheel_header_misc"				"Misceláneo"
		"dota_chatwheel_header_flavor"				"Extra"
		"dota_chatwheel_header_international2017"		"The International 2017"
		"dota_chatwheel_header_international2017_desc"	"Estos mensajes están disponibles exclusivamente para los poseedores del pase de batalla de The International 2017."
		"dota_chatwheel_header_international2018_sounds"		"The International 2018 - Sonidos"
		"dota_chatwheel_header_international2018_sounds_desc"	"Estos mensajes están disponibles exclusivamente para los poseedores del pase de batalla de The International 2018."
		"dota_chatwheel_header_international2018_casters"		"The International 2018 - Comentaristas"
		"dota_chatwheel_header_international2018_casters_desc"	"Estos mensajes están disponibles exclusivamente para los poseedores del pase de batalla de The International 2018."
		"dota_chatwheel_header_international2018_sprays"		"The International 2018 - Espráis"
		"dota_chatwheel_header_international2018_sprays_desc"	"¡Deja tu marca en el terreno! Disponible exclusivamente para los poseedores del pase de batalla de The International 2018."
		"dota_chatwheel_header_international2018_legacy"		"The International 2018 - Repeticiones"
		"dota_chatwheel_header_international2018_legacy_desc"	"¡Disfruta de tus sonidos favoritos del pase de batalla de The International 2017! Disponibles exclusivamente para los poseedores del pase de batalla de The International 2018."
		"dota_chatwheel_header_plus_sounds"		"Dota Plus"
		"dota_chatwheel_header_plus_sounds_desc"	"Disponible para comprar con fragmentos para miembros de Dota Plus."
		"dota_chatwheel_header_plus_sounds_link"	"Ver recompensas Plus"
		"dota_chatwheel_header_frostivus_2018_sounds"		"Frosthaven"
		"dota_chatwheel_header_frostivus_2018_sounds_desc"	"Obtenidos por subir de nivel en el evento de Frosthaven.<br><br>Estos mensajes son estacionales y expirarán el 1 de febrero."
		"dota_chatwheel_header_frostivus_2018_sounds_link"	"Ver evento"
		"dota_chatwheel_header_newbloom_2019_sounds"		"Nuevo Florecer"
		"dota_chatwheel_header_newbloom_2019_sounds_desc"	"Obtenidos por subir de nivel en el evento del Nuevo Florecer.<br><br>Estos mensajes son estacionales y expirarán el 1 de marzo."
		"dota_chatwheel_header_newbloom_2019_sounds_link"	"Ver evento"
		"dota_chatwheel_header_international2019_sounds"		"The International 2019 - Sonidos"
		"dota_chatwheel_header_international2019_sounds_desc"	"Disponibles exclusivamente para los poseedores del pase de batalla de The International 2019."
		"dota_chatwheel_header_international2019_sprays"		"The International 2019 - Espráis"
		"dota_chatwheel_header_international2019_sprays_desc"	"¡Deja tu marca en el terreno! Disponible exclusivamente para los poseedores del pase de batalla de The International 2019."
		"dota_chatwheel_header_international2019_casters"		"The International 2019 - Comentaristas"
		"dota_chatwheel_header_international2019_casters_desc"	"Estos mensajes están disponibles exclusivamente para los poseedores del pase de batalla de The International 2019."
		"dota_chatwheel_header_international2019_legacy_2017"		"International 2019 - Repeticiones"
		"dota_chatwheel_header_international2019_legacy_2017_desc"	"¡Disfruta de tus sonidos favoritos del pase de batalla de The International 2017! Disponibles exclusivamente para los poseedores del pase de batalla de The International 2019."
		"dota_chatwheel_header_international2019_legacy_2018"		"International 2019 - Repeticiones"
		"dota_chatwheel_header_international2019_legacy_2018_desc"	"¡Disfruta de tus sonidos favoritos del pase de batalla de The International 2018! Disponibles exclusivamente para los poseedores del pase de batalla de The International 2019."


		"dota_chatwheel_header_guilds"				"Clanes"
		"dota_chatwheel_header_guilds_desc"			"Se desbloquea a través de las clasificaciones semanales del clan."
		"dota_chatwheel_header_guilds_link"			"Ver clan"


		"dota_chatwheel_header_international2019_casters_korean"	"International 2019 - Lote de comentaristas coreanos"
		"dota_chatwheel_header_international2019_casters_korean_desc" "Disponible exclusivamente para los poseedores del pase de batalla de The International 2019."
		"dota_chatwheel_header_international2019_casters_epic"	"International 2019 - Lote de comentaristas épicos"
		"dota_chatwheel_header_international2019_casters_epic_desc" "Disponible exclusivamente para los poseedores del pase de batalla de The International 2019."
		"dota_chatwheel_header_frostivus_2019_sounds"		"Fiesta de la Escarcha"
		"dota_chatwheel_header_frostivus_2019_sounds_desc"	"Obtenidos por subir de nivel en el evento de la Fiesta de la Escarcha.<br><br>Estos mensajes son estacionales y expirarán el 16 de enero."
		"dota_chatwheel_header_frostivus_2019_sounds_link"	"Ver evento"
		"dota_chatwheel_header_newbloom_2020_sounds"		"Nuevo Florecer"
		"dota_chatwheel_header_newbloom_2020_sounds_desc"	"Se obtiene al aumentar tu nivel en el evento del Nuevo Florecer.<br><br>Estos mensajes son estacionales y caducarán el 17 de febrero."
		"dota_chatwheel_header_newbloom_2020_sounds_link"	"Ver evento"
		
		"dota_chatwheel_header_international2020_sounds"		"The International 10 - Sonidos"
		"dota_chatwheel_header_international2020_sounds_desc"	"Disponibles exclusivamente para los poseedores del pase de batalla de The International 10."
		"dota_chatwheel_header_international2020_casters"		"The International 10 - Comentaristas"
		"dota_chatwheel_header_international2020_casters_desc"	"Disponibles exclusivamente para los poseedores del pase de batalla de The International 10."
		"dota_chatwheel_header_international2020_legacy_2019"		"The International 10 - Repeticiones"
