"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"helbred"					// $health
		"dota_ability_variable_mana"				"mana"						// $mana
		"dota_ability_variable_armor"				"rustning"						// $armor
		"dota_ability_variable_damage"				"skade"					// $damage
		"dota_ability_variable_str"					"styrke"					// $str
		"dota_ability_variable_int"					"intelligens"				// $int
		"dota_ability_variable_agi"					"agilitet"					// $agi
		"dota_ability_variable_all"					"alle attributter"			// $all
		"dota_ability_variable_primary_attribute"	"primær attribut"			// $primary_attribute
		"dota_ability_variable_attack"				"angrebshastighed"				// $attack
		"dota_ability_variable_hp_regen"			"HP-regenerering"		// $hp_regen
		"dota_ability_variable_lifesteal"			"livsstjæl"					// $lifesteal
		"dota_ability_variable_mana_regen"			"mana-regenerering"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"mana-regenerering som aura"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"evneskade"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"debuff-varighed"			// $debuff_amp
		"dota_ability_variable_move_speed"			"bevægelseshastighed"			// $move_speed
		"dota_ability_variable_evasion"				"undvigelse"					// $evasion
		"dota_ability_variable_spell_resist"		"magisk resistens"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"evnelivsstjæl"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"evnelivsstjæl (kryb)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"evnelivsstjæl (helte)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"valgt attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"angrebsrækkevidde <font color='#7d7d7d'>(kun afstandshelte)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"angrebsrækkevidde <font color='#7d7d7d'>(kun nærkamp)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"kasterækkevidde"				// $cast_range
		"dota_ability_variable_status_resist"		"statusresistens"			// $status_resist
		"dota_ability_variable_projectile_speed"	"projektilhastighed"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"reduceret mana-omkostning"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"nedkølingsreduktion"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"ekstra maks. mana"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"skade (intelligenshelte)"
		"DOTA_Tooltip_ability_courier_burst_movement_speed"				"%EKSTRA BEVÆGELSESHASTIGHED:"
		"DOTA_Tooltip_ability_courier_take_stash_items"									"Hent genstande"
		"DOTA_Tooltip_ability_courier_take_stash_items_Description"						"Hent genstande fra lager"
		"DOTA_Tooltip_ability_courier_autodeliver"									"Autolevér"
		"DOTA_Tooltip_ability_courier_autodeliver_Description"						"Slå autolevering af genstande til/fra."
		
		//NECRONOMICON
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"							"Mana Break"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"				"Mana afbrændt per slag; en portion af dette gøres som skade."
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"				"MANA AFBRÆNDT PER TRÆFFER:"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%KONVERTERET TIL SKADE:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"Last Will"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"Gør skade mod enheden, som dræber Necronomicon Warrior."
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"					"SKADE:"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight"								"True Sight"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"					"Afslører usynlige enheder."
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"						"RADIUS:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"							"Mana Burn"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"				"Affyrer en pil, der brænder den valgte enheds mana væk, hvilket gør skade lig den mængde mana, der brændes."
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"				"MANA AFBRÆNDT PER TRÆFFER:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_as_damage_tooltip"				"%KONVERTERET TIL SKADE:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_abilitycastrange"		"KASTERÆKKEVIDDE:"
		
		"DOTA_Tooltip_ability_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_duration"						"VARIGHED:"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_abilitycastrange"				"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge_Description"					"Bevægelseshastighed reduceret med %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_necronomicon_archer_aoe"									"Archer Aura"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"						"Øger bevægelseshastigheden for enheder i nærheden."
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_ms_bonus"						"%BONUS-BEVÆGELSESHASTIGHED:"

		//ANTIMAGE
		"DOTA_Tooltip_ability_antimage_mana_break"										"Mana Break"
		"DOTA_Tooltip_ability_antimage_mana_break_Description"							"Afbrænder en fjendes mana med hvert angreb og gør skade svarende til procentdel af den afbrændte mana. Fjender uden mana bliver midlertidigt hæmmet."
		"DOTA_Tooltip_ability_antimage_mana_break_Lore"									"En modificering af Turstarkuri-monkenes fredelige veje er, at vende magiske energier mod deres ejermand."
		"DOTA_Tooltip_ability_antimage_mana_break_Note0"								"Mana Break har %illusion_percentage%%% effekt, hvis illusioner påfører effekten."
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"							"MANA AFBRÆNDT PER TRÆFFER:"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit_pct"						"%MAKS. MANA AFBRÆNDT PER TRÆFFER:"
		"DOTA_Tooltip_ability_antimage_mana_break_move_slow"							"%HÆMNING, NÅR AL MANA ER DRÆNET:"
		"DOTA_Tooltip_ability_antimage_mana_break_slow_duration"						"HÆMNINGSVARIGHED:"

		"DOTA_Tooltip_modifier_antimage_mana_break_slow"								"Mana Break – Hæmning"
		"DOTA_Tooltip_modifier_antimage_mana_break_slow_Description"					"Hæmmet med %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_antimage_blink"											"Blink"
		"DOTA_Tooltip_ability_antimage_blink_Description"								"Kort afstands-teleportering, som gør Anti-Mage i stand til at rykke ind og ud af kamp." 
		"DOTA_Tooltip_ability_antimage_blink_Lore"										"Under sit møde med de Døde Guder, lærte Anti-Mage vigtigheden i at være flygtig."
		"DOTA_Tooltip_ability_antimage_blink_Note0"										"Du kan bruge Blink til at undvige indkommende projektiler."
		"DOTA_Tooltip_ability_antimage_blink_abilitycastrange"								"RÆKKEVIDDE:"
		"DOTA_Tooltip_ability_antimage_spell_shield"									"Spell Shield"
		"DOTA_Tooltip_ability_antimage_spell_shield_Description"						"Øger Anti-Mages resistens over for magisk skade."
		"DOTA_Tooltip_ability_antimage_spell_shield_Lore"								"Årevis af meditation og besættelse af hævn har hærdet Anti-Mages hud mod mystiske fjender."
		"DOTA_Tooltip_ability_antimage_spell_shield_Note0"								"Stabler multiplikativt med andre kilder af besværgelsesresistens."
		"DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"			"%RESISTENS:"
		"DOTA_Tooltip_ability_antimage_counterspell"									"Counterspell"
		"DOTA_Tooltip_ability_antimage_counterspell_Description"						"Giver passivt øget magisk resistens. Counterspell kan aktiveres for at skabe et magisk skjold omkring Anti-Mage, som blokerer og sender enhver målbaseret besværgelse tilbage mod fjenderne, der affyrede dem."
		"DOTA_Tooltip_ability_antimage_counterspell_shard_description"					"Counterspell giver passivt en aura, der reducerer fjenders besværgelsesskade. Reduktionen er stærkere hos fjender inden for tæt radius."
		"DOTA_Tooltip_ability_antimage_counterspell_shard_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_aura_range"					"TÆT RADIUS:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_spell_damage_reduction_pct"		"%REDUKTION AF BESVÆRGELSESSKADE:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_spell_damage_reduction_pct"	"%REDUKTION AF BESVÆRGELSESSKADE (TÆT RADIUS):"
		"DOTA_Tooltip_ability_antimage_counterspell_Lore"						"Med det rette fokus gør Anti-Mage sin naturlige resistens til en planlagt tilbagesendelse."
		"DOTA_Tooltip_ability_antimage_counterspell_magic_resistance"					"%MAGISK RESISTENS:"
		"DOTA_Tooltip_ability_antimage_counterspell_duration"							"VARIGHED:"
		"DOTA_Tooltip_ability_antimage_mana_void"										"Mana Void"
		"DOTA_Tooltip_ability_antimage_mana_void_Description"							"For hvert point mana, som målet mangler, gøres der skade på målet og omkringværende fjender. Hovedmålet mini-lammes også."
		"DOTA_Tooltip_ability_antimage_mana_void_Lore"									"Efter at have tvunget fjenderne i knæ, straffer Anti-Mage dem for deres brug af de hemmelige kunstarter."
		"DOTA_Tooltip_ability_antimage_mana_void_Note0"									"Skaden udregnes baseret på det primære måls mana, men skaden rammer alle fjender i området."
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana"				"SKADE:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_ministun"					"LAMMELSESVARIGHED:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_aoe_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_antimage_mana_overload"									"Blink Fragment"
		"DOTA_Tooltip_ability_antimage_mana_overload_duration"							"ILLUSIONSVARIGHED:"
		"DOTA_Tooltip_ability_antimage_mana_overload_outgoing_damage"					"%ILLUSIONSSKADE:"
		
		"DOTA_Tooltip_ability_antimage_mana_focus"										"Mana Focus"
		"DOTA_Tooltip_ability_antimage_mana_focus_Description"							"Anti-Mage skaber en antimagisk aura, som gør fjenders besværgelser dyrere at bruge, og som giver ham ladninger til Mana Break, hver gang en fjende anvender en besværgelse. Giver passivt angrebshastighed til Anti-Mage, jo flere ladninger af Mana Break han har."
		"DOTA_Tooltip_ability_antimage_mana_focus_Lore"									"Efter at have tvunget fjenderne i knæ straffer Anti-Mage dem for deres brug af mystiske kunster."
		"DOTA_Tooltip_ability_antimage_mana_focus_Note0"								"Mens evnen er aktiveret, kan Anti-Mage have dobbelt så mange ladninger af Mana Break"
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_aspd_per_stack"				"ANGREBSHASTIGHED PER STABLING:"
		"DOTA_Tooltip_ability_antimage_mana_focus_duration"							"VARIGHED:"
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_spell_cost"					"%ØGET MANA-OMKOSTNING:"
		

		"DOTA_Tooltip_modifier_antimage_counterspell"									"Counterspell-skjold"
		"DOTA_Tooltip_modifier_antimage_counterspell_Description"									"Ved aktivering blokeres og reflekteres alle målbaserede besværgelser tilbage mod fjenden."
		"DOTA_Tooltip_modifier_antimage_mana_void"										"Nedkøling forøget"
		"DOTA_Tooltip_modifier_antimage_mana_void_Description"							"Evnenedkøling øget på grund af Mana Void."
		"DOTA_Tooltip_modifier_antimage_dampen_magic"									"Besværgelsessvækning"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_Description"						"Besværgelsesskade reduceret med %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus"								"Besværgelsessvækning (kort afstand)"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus_Description"					"Kort afstand til Anti-Mage øger effekten af besværgelsessvækning."

		//QUEEN OF PAIN
		"DOTA_Tooltip_ability_queenofpain_shadow_strike"								"Shadow Strike"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Description"					"Slynger en forgiftet daggert af sted, som gør stor startskade og dernæst gør skade over tid. Den forgiftede enhed har hæmmet bevægelseshastighed i %duration% sekunder. Der gøres skade hvert %damage_interval%. sekund. Queen of Pain nyder den gjorte smerte og heler hver gang, den ramte fjende tager skade. Kryb heler kun for den halve skade."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_scepter_Description"			"Shadow Strike bliver til en områdeevne med %aoe_radius% størrelse og får øget startskade. Når Shadow Strike udløber på en fjendtlig helt eller påføres igen, sender målet en instans af Scream of Pain ud mod fjender i nærheden."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Lore"							"Akashas forgiftede daggert gør hende i stand til at nyde hendes ofres langtrukne lidelser."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note0"							"Den ramte enhed genopnår langsomt sin oprindelige bevægelseshastighed hvert sekund i løbet af varigheden."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note1"							"Enheder, påvirket af Shadow Strike, kan nægtes af deres allierede, når deres HP ryger under 25% af deres maksimale helbred."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_movement_slow"					"%BEVÆGELSESHÆMNING:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_strike_damage"					"INDLEDENDE SKADE:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_damage"				"SKADE PER INSTANS:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_heal"					"HELING PER INSTANS:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration"						"VARIGHED:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_abilitycastrange"				"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_ability_queenofpain_blink"										"Blink"
		"DOTA_Tooltip_ability_queenofpain_blink_Description"							"Teleportering med kort distance, som gør Queen of Pain i stand til at rykke ind i og ud af kampen."
		"DOTA_Tooltip_ability_queenofpain_blink_shard_description"						"Skaber et overlydsbrag, når Queen of Pain bruger Blink, både ved begyndelses- og slutstedet. Gør %shard_damage% skade på fjender i %shard_aoe% afstand og undertrykker dem i %shard_duration% sekunder."
		"DOTA_Tooltip_ability_queenofpain_blink_Lore"									"Den Hemmelige Dronning lever op til sin titel — hendes smerte er umulig at undslippe."
		"DOTA_Tooltip_ability_queenofpain_blink_Note0"									"Du kan bruge Blink til at undvige indkommende projektiler."
		"DOTA_Tooltip_ability_queenofpain_blink_abilitycastrange"						"RÆKKEVIDDE:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain"								"Scream of Pain"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Description"					"Queen of Pain slipper et gennemtrængende skrig løs omkring sig, hvilket skader fjender i nærheden."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Lore"							"Akashas sensuelle stemme virker dragende på hendes modstandere og stjæler samtidigt deres sjæle."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note0"							"Scream Of Pain kan ramme usynlige enheder."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note1"							"Scream Of Pain kan ikke undviges."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_area_of_effect"				"RADIUS:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_damage"						"SKADE:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave"									"Sonic Wave"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Description"						"Skaber en gigantisk lydbølge foran Queen of Pain, som gør stor skade på alle fjendtlige enheder i dens kølvand og skubber dem tilbage."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Lore"								"Den mest udsøgte af alle hendes smerter; Akashas soniske bølge gør en ende på hendes fjenders lidelser."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Note0"								"Sonic Wave kan ramme fjender op til 1150 enheder væk."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_final_aoe"							"MAKS. BØLGERADIUS:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage"							"SKADE:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_knockback_distance"				"TILBAGESKUBAFSTAND:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_cooldown_scepter"					"NEDKØLING:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage_scepter"					"SKADE:"

		"DOTA_Tooltip_modifier_queenofpain_shadow_strike"			"Shadow Strike"					
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike_Description"		"Tager periodisk skade og bevægelseshastighed er hæmmet med %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear"							"Skræk"
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear_description"							"Skrækslagen af Scream of Pain."

		//LINA
		"DOTA_Tooltip_ability_lina_dragon_slave"										"Dragon Slave"
		"DOTA_Tooltip_ability_lina_dragon_slave_Description"							"Lina kanaliserer dragens ånde og sender en bølge af ild af sted, som svider enhver fjende på sin vej."
		"DOTA_Tooltip_ability_lina_dragon_slave_Lore"									"I den svedne ufrugtbare strækning, Misrule, lærte Lina at manipulere med dem flammende ørken-wyrms ånde som en slags underholdning."
		"DOTA_Tooltip_ability_lina_dragon_slave_Note0"									"Dragon Slave kan ramme fjender op til 1225 enheder væk."
		"DOTA_Tooltip_ability_lina_dragon_slave_dragon_slave_damage"					"SKADE:"

		"DOTA_Tooltip_ability_lina_light_strike_array"									"Light Strike Array"
		"DOTA_Tooltip_ability_lina_light_strike_array_Description"						"Fremmaner en kolonne af flammer, som skader og lammer fjender."
		"DOTA_Tooltip_ability_lina_light_strike_array_Lore"								"Linas essens gør hende i stand til at fokusere solens energi, hvilket får luften til at bryde i flammer, som det passer hende."
		"DOTA_Tooltip_ability_lina_light_strike_array_Note0"							"Light Strike Array ødelægger træer i det ramte område."
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_aoe"			"RADIUS:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_stun_duration"	"LAMMELSESVARIGHED:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_delay_time"	"KASTEFORSINKELSE:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_damage"		"SKADE:"
		"DOTA_Tooltip_ability_lina_fiery_soul"											"Fiery Soul"
		"DOTA_Tooltip_ability_lina_fiery_soul_Description"								"Giver ekstra angrebs- og bevægelseshastighed, hver gang Lina rammer en fjende med en besværgelse. Stabler med sig selv. Varer %fiery_soul_stack_duration% sekunder."
		"DOTA_Tooltip_ability_lina_fiery_soul_shard_description"						"Linas evner gør %shard_bonus_spell_damage% mere skade for hver ladning af Fiery Soul."
		"DOTA_Tooltip_ability_lina_fiery_soul_Lore"										"Dansende flammer rummer Linas kåde natur, som fører hendes sande flammende jeg frem."
		"DOTA_Tooltip_ability_lina_fiery_soul_Note0"									"Varigheden fornys, hver gang en fjende rammes af en besværgelse."
		"DOTA_Tooltip_ability_lina_fiery_soul_Note1"									"Brug af genstande udløser ikke Fiery Soul."
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"			"ANGREBSHASTIGHEDSBONUS:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_move_speed_bonus"				"%BONUS-BEVÆGELSESHASTIGHED:"
