"lang"
{
"Language"	"czech"
"#npc_dota_hero_ember_spirit"	"Ember Spirit"
"#npc_dota_hero_earth_spirit"	"Earth Spirit"
"#npc_dota_hero_abyssal_underlord"	"Underlord"
"#npc_dota_hero_phoenix"	"Phoenix"
"#npc_dota_hero_terrorblade"	"Terrorblade"
"#npc_dota_hero_oracle"	"Oracle"
"#npc_dota_hero_techies"	"Techies"
"#npc_dota_hero_target_dummy"	"Cvičný terč"
"#npc_dota_hero_winter_wyvern"	"Winter Wyvern"
"#npc_dota_hero_arc_warden"	"Arc Warden"
"#npc_dota_hero_monkey_king"	"Monkey King"
"#npc_dota_hero_pangolier"	"Pangolier"
"#npc_dota_hero_dark_willow"	"Dark Willow"
"#DOTA_lobby_type_name_lobby"	"Lobby"
"#DOTA_lobby_type_name_unranked"	"Nehodnocený"
"#DOTA_lobby_type_name_ranked"	"Hodnocený"
"#DOTA_lobby_type_name_bot_match"	"Zápas s boty"
"#DOTA_lobby_type_name_spectator"	"Divák"
"#demo_hero_mode_name"	"Zkoušení hrdiny"
"#game_mode_lobby_name_0"	"–"
"#game_mode_lobby_name_1"	"Výběr ze všech"
"#game_mode_lobby_name_2"	"Kapitánský režim"
"#game_mode_lobby_name_3"	"Náhodný výběr"
"#game_mode_lobby_name_4"	"Výběr ze tří"
"#game_mode_lobby_name_5"	"Všichni náhodně"
"#game_mode_lobby_name_6"	"–"
"#game_mode_lobby_name_7"	"Diretide"
"#game_mode_lobby_name_8"	"Obrácený kapitánský režim"
"#game_mode_lobby_name_9"	"Greeviling"
"#game_mode_lobby_name_10"	"Tutoriál"
"#game_mode_lobby_name_11"	"Pouze střed"
"#game_mode_lobby_name_12"	"Nejméně hraní"
"#game_mode_lobby_name_13"	"Omezený výběr"
"#game_mode_lobby_name_14"	"Přehled"
"#game_mode_lobby_name_15"	"Uživatelský mód"
"#game_mode_lobby_name_16"	"Kapitánský výběr"
"#game_mode_lobby_name_17"	"Vybalancovaný výběr"
"#game_mode_lobby_name_18"	"Výběr schopností"
"#game_mode_lobby_name_20"	"Deathmatch – všichni náhodně"
"#game_mode_lobby_name_21"	"1 na 1 – prostřední linka"
"#game_mode_lobby_name_22"	"Hodnocený výběr ze všech"
"#game_mode_lobby_name_23"	"Turbo"
"#game_mode_lobby_name_24"	"Mutace"
"#game_mode_24"	"Mutace"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"Hraje {%param0%}"
"#DOTA_EventGameName_International2018"	"Underhollow"
"#npc_dota_hero_grimstroke"	"Grimstroke"
"#DOTA_RP_TOURNEY_REGISTERING"	"Registruje se na víkendový turnaj divize {%param0%}"
"#DOTA_RP_TOURNEY_FINDING_MATCH"	"Vyhledává oponenta pro {%param1%}"
"#DOTA_RP_TOURNEY_BETWEEN_GAMES"	"Hraje {%param1%} víkendového turnaje (přestávka)"
"#DOTA_RP_TOURNEY_GAME_IN_PROGRESS"	"Hraje {%param0%} víkendového turnaje"
"#DOTA_RP_TOURNEY_PLAYING_AS"	"Hraje {%param2%} víkendového turnaje jako {%param1%}"
"#weekendtourney_round_quarterfinals"	"čtvrtfinále"
"#weekendtourney_round_semifinals"	"semifinále"
"#weekendtourney_round_finals"	"velké finále"
"#DOTA_EventName_Frostivus2018"	"Frosthaven"
"#npc_dota_hero_snapfire"	"Snapfire"
"#npc_dota_hero_void_spirit"	"Void Spirit"
"#DOTA_Guilds_message_motd"	"Zpráva dne: %param0%"
"#DOTA_Guilds_message_level"	"Guilda dosáhla %param0%. úrovně"
"#DOTA_Guild_message_promoted"	"%target_persona% byl uživatelem %requester_persona% povýšen na „%guild_role%“"
"#DOTA_Guild_message_demoted"	"%target_persona% byl uživatelem %requester_persona% degradován na „%guild_role%“"
"#dota_rp_playing_event_match_2020"	"Labyrint: {%param0%} (hloubka: %param1%)"
"#DOTA_EventGameName_International2020"	"Aghanimův labyrint"
"#dota_eventgamedifficulty_international2020_0"	"Učedník"
"#dota_eventgamedifficulty_international2020_1"	"Praktikant"
"#dota_eventgamedifficulty_international2020_2"	"Čaroděj"
"#dota_eventgamedifficulty_international2020_3"	"Velký Magus"
"#dota_eventgamedifficulty_international2020_4"	"Vrcholný mág"
"#DOTA_EventGameName_Diretide2020"	"Diretide"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH"	"Diretide: %param0%. kolo jako {%param1%}"
"#npc_dota_hero_mars"	"Mars"
}
}
