"lang"
{ 
	"Language" "german" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"Lebenspunkte"					// $health
		"dota_ability_variable_mana"				"Mana"						// $mana
		"dota_ability_variable_armor"				"Rüstung"						// $armor
		"dota_ability_variable_damage"				"Schaden"					// $damage
		"dota_ability_variable_str"					"Stärke"					// $str
		"dota_ability_variable_int"					"Intelligenz"				// $int
		"dota_ability_variable_agi"					"Agilität"					// $agi
		"dota_ability_variable_all"					"Alle Attribute"			// $all
		"dota_ability_variable_primary_attribute"	"Primärattribut"			// $primary_attribute
		"dota_ability_variable_attack"				"Angriffstempo"				// $attack
		"dota_ability_variable_hp_regen"			"Lebensregeneration"		// $hp_regen
		"dota_ability_variable_lifesteal"			"Lebensraub"					// $lifesteal
		"dota_ability_variable_mana_regen"			"Manaregeneration"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"Manaregeneration (Aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"Zauberschaden"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"Schwächungsdauer"			// $debuff_amp
		"dota_ability_variable_move_speed"			"Bewegungstempo"			// $move_speed
		"dota_ability_variable_evasion"				"Ausweichen"					// $evasion
		"dota_ability_variable_spell_resist"		"Magieresistenz"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"Zauberlebensraub"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"Zauberlebensraub (Diener)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"Zauberlebensraub (Helden)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"Ausgewähltes Attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"Angriffsreichweite <font color='#7d7d7d'>(nur Fernkampf)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"Angriffsreichweite <font color='#7d7d7d'>(Nur Nahkampf)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"Zauberreichweite"				// $cast_range
		"dota_ability_variable_status_resist"		"Statusresistenz"			// $status_resist
		"dota_ability_variable_projectile_speed"	"Projektiltempo"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"Manakostenreduzierung"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Abklingzeitreduzierung"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"Max. Manabonus"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"Schaden (Intelligenzheld)"
		"DOTA_Tooltip_ability_ad_shard_grant"											"Splitter gewährt neue Fähigkeit: <font color=\"#ffffff\"><b>%s1</b></font>"

		// BUILDING
		"DOTA_Tooltip_ability_backdoor_protection"										"Backdoor-Schutz"
		"DOTA_Tooltip_ability_backdoor_protection_Description"										"Gebäude hat Schadensresistenz und regeneriert schnell jeden erlittenen Schaden, solange keine Diener des Gegners in der Nähe sind."
		"DOTA_Tooltip_ability_backdoor_protection_in_base"								"Backdoor-Schutz"
		"DOTA_Tooltip_ability_backdoor_protection_in_base_Description"			"Gebäude hat Schadensresistenz und regeneriert schnell jeden erlittenen Schaden, solange keine Diener des Gegners in der Nähe sind."
		"DOTA_Tooltip_ability_filler_ability"										"Schreinheilung"
		"DOTA_Tooltip_ability_filler_ability_Description"						"Erzeugt eine Aura, die nahen Verbündeten erhöhte Lebens- und Manaregeneration gibt."
		"DOTA_Tooltip_ability_filler_ability_Note0"								"Rechtsklick auf den Schrein zum Aktivieren."
		"DOTA_Tooltip_ability_filler_ability_Note1"								"Regenerationswerte erhöhen sich um +2/1 Leben/Mana pro Minute."
		"DOTA_Tooltip_ability_filler_ability_Note2"								"Stellt außerdem pro Sekunde 2 % der Lebenspunkte und des Manavorrats wieder her."
		"DOTA_Tooltip_ability_filler_ability_hp_heal"							"LEBENSREGENERATION:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal"							"MANAREGENERATION:"
		"DOTA_Tooltip_ability_filler_ability_duration"							"DAUER:"
		"DOTA_Tooltip_ability_filler_ability_radius"							"RADIUS:"

		//COURIER
		"DOTA_Tooltip_ability_courier_return_to_base"									"Zur Basis zurückkehren"
		"DOTA_Tooltip_ability_courier_return_to_base_Description"						"Schickt den Kurier zur Basis"
		"DOTA_Tooltip_ability_courier_transfer_items"									"Gegenstände liefern"
		"DOTA_Tooltip_ability_courier_transfer_items_Description"						"Gegenstände zum Helden liefern"
		"DOTA_Tooltip_ability_courier_go_to_secretshop"									"Zum Geheimladen bewegen"
		"DOTA_Tooltip_ability_courier_go_to_secretshop_Description"						"Sendet den Kurier zum Geheimladen Ihres Teams"
		"DOTA_Tooltip_ability_courier_return_stash_items"								"Gegenstände zurückbringen"
		"DOTA_Tooltip_ability_courier_return_stash_items_Description"					"Gegenstände ins Lager zurückbringen"
		"DOTA_Tooltip_ability_courier_shield"											"Schild"
		"DOTA_Tooltip_ability_courier_shield_Description"								"Erzeugt einen schützenden Schild um den Kurier herum."
		"DOTA_Tooltip_ability_courier_shield_duration"									"DAUER:"
		"DOTA_Tooltip_ability_courier_burst"											"Geschwindigkeitsschub"
		"DOTA_Tooltip_ability_courier_burst_Description"								"Der Kurier erhält für %duration% Sekunden einen Geschwindigkeitsschub"
		"DOTA_Tooltip_ability_courier_burst_movement_speed"				"%BURST-BEWEGUNGSTEMPO:"
		"DOTA_Tooltip_ability_courier_take_stash_items"									"Gegenstände holen"
		"DOTA_Tooltip_ability_courier_take_stash_items_Description"						"Gegenstände aus dem Lager holen"
		"DOTA_Tooltip_ability_courier_autodeliver"									"Autom. Liefern"
		"DOTA_Tooltip_ability_courier_autodeliver_Description"						"Automatische Lieferung von Gegenständen ein-/ausschalten."
		
		//NECRONOMICON
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"							"Manabrand"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"				"Mana wird bei jedem Treffer verbrannt, ein Teil wird als Schaden zugefügt."
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"				"MANABRAND PRO TREFFER:"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%IN SCHADEN UMGEWANDELT:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"Last Will"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"Fügt der Einheit, die den Necronomicon-Krieger tötet, Schaden zu."
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"					"SCHADEN:"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight"								"Klarsicht"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"					"Enthüllt unsichtbare Einheiten."
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"						"RADIUS:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"							"Manabrand"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"				"Verschießt Pfeile, die das Mana der Zieleinheit verbrennen und in gleicher Höhe zusätzlichen Schaden verursachen."
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"				"MANABRAND PRO TREFFER:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_as_damage_tooltip"				"%ALS SCHADEN ZUGEFÜGT:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_abilitycastrange"		"ZAUBERREICHWEITE:"
		
		"DOTA_Tooltip_ability_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Description"					"Entfernt Stärkungseffekte von Gegnern und verlangsamt ihr Bewegungstempo.\n\nENTZAUBERUNG: Standard"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_duration"						"DAUER:"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_abilitycastrange"				"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge_Description"					"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% reduziert."

		"DOTA_Tooltip_ability_necronomicon_archer_aoe"									"Archer Aura"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"						"Erhöht Bewegungstempo in der Nähe befindlicher Einheiten."
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_ms_bonus"						"%BEWEGUNGSTEMPOBONUS:"

		//ANTIMAGE
		"DOTA_Tooltip_ability_antimage_mana_break"										"Mana Break"
		"DOTA_Tooltip_ability_antimage_mana_break_Description"							"Bei jedem Angriff wird gegnerisches Mana verbrannt und ein Prozentwert dessen als Schaden zugefügt. Gegner, die kein Mana mehr übrig haben, werden kurzzeitig verlangsamt."
		"DOTA_Tooltip_ability_antimage_mana_break_Lore"									"Eine abgewandelte Technik der friedlichen Lehren der Turstarkuri-Mönche ist das Auflehnen magischer Energien gegen ihren Inhaber."
		"DOTA_Tooltip_ability_antimage_mana_break_Note0"								"Illusionen verursachen %illusion_percentage% %% des Mana-Break-Effekts."
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"							"MANABRAND PRO TREFFER:"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit_pct"						"%MANABRAND PRO TREFFER (MAX. MANA):"
		"DOTA_Tooltip_ability_antimage_mana_break_move_slow"							"%BEWEGUNGSVERLANGSAMUNG OHNE MANA:"
		"DOTA_Tooltip_ability_antimage_mana_break_slow_duration"						"VERLANGSAMUNGSDAUER:"

		"DOTA_Tooltip_modifier_antimage_mana_break_slow"								"Verlangsamung durch Manabrand"
		"DOTA_Tooltip_modifier_antimage_mana_break_slow_Description"					"Um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verlangsamt."

		"DOTA_Tooltip_ability_antimage_blink"											"Blink"
		"DOTA_Tooltip_ability_antimage_blink_Description"								"Der Anti-Mage teleportiert sich über kurze Distanzen in den Kampf und wieder heraus." 
		"DOTA_Tooltip_ability_antimage_blink_Lore"										"Bei seiner Begegnung mit den Toten Göttern hat Anti-Mage den Wert einer schnellen Flucht erfahren."
		"DOTA_Tooltip_ability_antimage_blink_Note0"										"Sie können Blink benutzen, um Projektilen auszuweichen."
		"DOTA_Tooltip_ability_antimage_blink_abilitycastrange"								"REICHWEITE:"
		"DOTA_Tooltip_ability_antimage_spell_shield"									"Spell Shield"
		"DOTA_Tooltip_ability_antimage_spell_shield_Description"						"Erhöht Anti-Mages Widerstand gegen magischen Schaden."
		"DOTA_Tooltip_ability_antimage_spell_shield_Lore"								"Jahrelange Meditation und Besessenheit von Rache haben Anti-Mages Haut gegen mystische Gegner gehärtet."
		"DOTA_Tooltip_ability_antimage_spell_shield_Note0"								"Wirkt multiplikativ mit anderen Quellen von Magieresistenz."
		"DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"			"%RESISTENZ:"
		"DOTA_Tooltip_ability_antimage_counterspell"									"Counterspell"
		"DOTA_Tooltip_ability_antimage_counterspell_Description"						"Gewährt passiv Magieresistenz. Kann aktiviert werden, um einen antimagischen Schild aufzubauen, der zielgerichtete Zauber blockiert und auf Gegner zurückwirft."
		"DOTA_Tooltip_ability_antimage_counterspell_shard_description"					"Reduziert gegnerischen Zauberschaden im Umkreis. Effekt ist in unmittelbarer Nähe stärker."
		"DOTA_Tooltip_ability_antimage_counterspell_shard_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_aura_range"					"RADIUS (STARKER EFFEKT):"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_spell_damage_reduction_pct"		"%MAGIESCHADENMALUS:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_spell_damage_reduction_pct"	"%ZAUBERSCHADENMALUS (STARKER EFFEKT):"
		"DOTA_Tooltip_ability_antimage_counterspell_Lore"						"Mit der nötigen Konzentration wandelt Anti-Mage die ihm eigene Widerstandskraft in gezielte Vergeltung."
		"DOTA_Tooltip_ability_antimage_counterspell_magic_resistance"					"%MAGIERESISTENZ:"
		"DOTA_Tooltip_ability_antimage_counterspell_duration"							"DAUER:"
		"DOTA_Tooltip_ability_antimage_mana_void"										"Mana Void"
		"DOTA_Tooltip_ability_antimage_mana_void_Description"							"Pro fehlendem Manapunkt bei der Zieleinheit wird dieser und Gegnern in der Nähe Schaden zugefügt. Das Hauptziel wird außerdem kurz betäubt."
		"DOTA_Tooltip_ability_antimage_mana_void_Lore"									"Nachdem Anti-Mage seine Gegner in die Knie gezwungen hat, straft er sie für ihre Verwendung der arkanen Künste."
		"DOTA_Tooltip_ability_antimage_mana_void_Note0"									"Schaden wird anhand des Manas des Primärziels berechnet, aber allen Gegnern im Wirkungsbereich zugefügt."
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana"				"SCHADEN:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_ministun"					"BETÄUBUNGSDAUER:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_aoe_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_antimage_mana_overload"									"Blink Fragment"
		"DOTA_Tooltip_ability_antimage_mana_overload_duration"							"ILLUSIONSDAUER:"
		"DOTA_Tooltip_ability_antimage_mana_overload_outgoing_damage"					"%ANGRIFFSSCHADEN (ILLUSION):"
		
		"DOTA_Tooltip_ability_antimage_mana_focus"										"Mana Focus"
		"DOTA_Tooltip_ability_antimage_mana_focus_Description"							"Anti-Mage erschafft eine Aura der Antimagie. Gegnerische Zauber benötigen mehr Mana und gewähren Anti-Mage jeweils eine Aufladung Mana Break. Anti-Mage erhält einen passiven Angriffstempobonus basierend auf der Anzahl der Aufladungen."
		"DOTA_Tooltip_ability_antimage_mana_focus_Lore"									"Nachdem Anti-Mage seine Gegner in die Knie gezwungen hat, straft er sie für ihre Verwendung der arkanen Künste."
		"DOTA_Tooltip_ability_antimage_mana_focus_Note0"								"Während er fokussiert ist, kann Anti-Mage doppelt so viele Aufladungen von Mana Break sammeln."
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_aspd_per_stack"				"ANGRIFFSTEMPO PRO MANA BREAK:"
		"DOTA_Tooltip_ability_antimage_mana_focus_duration"							"DAUER:"
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_spell_cost"					"%MANAKOSTENERHÖHUNG:"
		

		"DOTA_Tooltip_modifier_antimage_counterspell"									"Counterspell-Schild"
		"DOTA_Tooltip_modifier_antimage_counterspell_Description"									"Blockt alle gegen Sie gerichteten Zauber und reflektiert diese auf den Gegner."
		"DOTA_Tooltip_modifier_antimage_mana_void"										"Abklingzeit erhöht"
		"DOTA_Tooltip_modifier_antimage_mana_void_Description"							"Abklingzeit einer Fähigkeit wegen Mana Void erhöht."
		"DOTA_Tooltip_modifier_antimage_dampen_magic"									"Zauberschwäche"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_Description"						"Verursachter Zauberschaden um %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE% %% reduziert."
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus"								"Zauberschwäche (Nahbereich)"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus_Description"					"Die Nähe zu Anti-Mage verstärkt den Effekt der Zauberschwäche."

		//QUEEN OF PAIN
		"DOTA_Tooltip_ability_queenofpain_shadow_strike"								"Shadow Strike"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Description"					"Wirft einen vergifteten Dolch, der großen anfänglichen Schaden und danach Schaden über Zeit zufügt. Das Bewegungstempo der vergifteten Einheit wird für %duration% Sekunden verringert. Schaden wird jeweils alle %damage_interval% Sekunden zugefügt. Queen of Pain genießt die zugefügten Schmerzen und heilt sich immer dann, wenn ein Gegner Schaden erleidet. Schaden an niederen Einheiten verursacht nur die halbe Heilung."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_scepter_Description"			"Shadow Strike hat erhöhten Grundschaden und trifft auch alle Gegner im Umkreis von %aoe_radius% Einheiten um das Ziel. Wenn Shadow Strike endet oder erneut auf einen gegnerischen Helden gewirkt wird, stößt das Ziel einen Scream of Pain aus, welcher alle in der Nähe befindlichen Gegner trifft."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Lore"							"Akashas vergifteter Dolch ermöglicht es ihr, sich an den langwierigen Qualen ihrer Opfer zu erfreuen."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note0"							"Die betroffene Einheit erhält jede Sekunde einen Teil ihres Bewegungstempos zurück."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note1"							"Von Shadow Strike betroffene Einheiten können denied werden, wenn sie weniger als 25 % ihrer maximalen Lebenspunkte besitzen."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_movement_slow"					"%BEWEGUNGSVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_strike_damage"					"GRUNDSCHADEN:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_damage"				"SCHADEN PRO INSTANZ:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_heal"					"HEILUNG PRO INTERVALL:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration"						"DAUER:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_abilitycastrange"				"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_queenofpain_blink"										"Blink"
		"DOTA_Tooltip_ability_queenofpain_blink_Description"							"Teleportation über kurze Distanz, die Queen of Pain erlaubt, sich in und aus einen Kampf zu bewegen."
		"DOTA_Tooltip_ability_queenofpain_blink_shard_description"						"Beim Blinzeln werden am Ausgangs- und am Endpunkt Überschallknalle erzeugt. Verursacht %shard_damage% Schaden im Umkreis von %shard_aoe% Einheiten und lässt Gegner für %shard_duration% Sekunden verstummen."
		"DOTA_Tooltip_ability_queenofpain_blink_Lore"									"Die Geheime Königin wird ihrem Titel gerecht und macht es unmöglich, ihrem Schmerz zu entkommen."
		"DOTA_Tooltip_ability_queenofpain_blink_Note0"									"Sie können Blink benutzen, um Projektilen auszuweichen."
		"DOTA_Tooltip_ability_queenofpain_blink_abilitycastrange"						"REICHWEITE:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain"								"Scream Of Pain"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Description"					"Die Queen of Pain stößt einen markerschütternden Schrei aus, der Gegnern in der Nähe Schaden zufügt."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Lore"							"Die temperamentvolle Stimme von Akasha lockt ihre Gegner an, während sie ihre Seelen stiehlt."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note0"							"Scream of Pain trifft unsichtbare Einheiten."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note1"							"Scream Of Pain kann nicht ausgewichen werden."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_area_of_effect"				"RADIUS:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_damage"						"SCHADEN:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave"									"Sonic Wave"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Description"						"Erzeugt eine gigantische Schallwelle vor Queen of Pain, die allen Gegnern in ihrem Weg schweren Schaden zufügt und sie zurückstößt."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Lore"								"Akashas vorzüglichste Bestrafung, ihre Sonic Wave, erlöst ihre armen Feinde von ihrem Leid."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Note0"								"Sonic Wave trifft Gegner in einer Entfernung von bis zu 1150 Einheiten."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_final_aoe"							"MAX. REICHWEITE:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage"							"SCHADEN:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_knockback_distance"				"RÜCKSTOSSDISTANZ:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_cooldown_scepter"					"ABKLINGZEIT:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage_scepter"					"SCHADEN:"

		"DOTA_Tooltip_modifier_queenofpain_shadow_strike"			"Shadow Strike"					
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike_Description"		"Erleidet regelmäßig Schaden und bewegt sich um %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% langsamer."
		
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear"							"Furcht"
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear_description"							"Durch Scream of Pain eingeschüchtert."

		//LINA
		"DOTA_Tooltip_ability_lina_dragon_slave"										"Dragon Slave"
		"DOTA_Tooltip_ability_lina_dragon_slave_Description"							"Lina kanalisiert den Atem eines Drachen und sendet eine feurige Welle aus, die jeden Gegner in ihrem Weg verbrennt."
		"DOTA_Tooltip_ability_lina_dragon_slave_Lore"									"In der verbrannten Öde von Misrule lernte Lina zur Belustigung, den feurigen Atem des Wüstenwurms zu manipulieren."
		"DOTA_Tooltip_ability_lina_dragon_slave_Note0"									"Dragon Slave trifft Einheiten in einer Entfernung von bis zu 1225."
		"DOTA_Tooltip_ability_lina_dragon_slave_dragon_slave_damage"					"SCHADEN:"

		"DOTA_Tooltip_ability_lina_light_strike_array"									"Light Strike Array"
		"DOTA_Tooltip_ability_lina_light_strike_array_Description"						"Beschwört eine Säule aus Flammen, die Gegnern Schaden zufügt und sie betäubt."
		"DOTA_Tooltip_ability_lina_light_strike_array_Lore"								"Linas Wesen erlaubt es ihr, die Energien der Sonne zu bündeln und Luft nach ihrem Belieben zu entzünden."
