"lang"
{
"Language"	"danish"
"#npc_dota_hero_earth_spirit"	"Earth Spirit"
"#npc_dota_hero_abyssal_underlord"	"Underlord"
"#npc_dota_hero_phoenix"	"Phoenix"
"#npc_dota_hero_terrorblade"	"Terrorblade"
"#npc_dota_hero_oracle"	"Oracle"
"#npc_dota_hero_techies"	"Techies"
"#npc_dota_hero_target_dummy"	"Træningsmål"
"#npc_dota_hero_winter_wyvern"	"Winter Wyvern"
"#npc_dota_hero_arc_warden"	"Arc Warden"
"#npc_dota_hero_monkey_king"	"Monkey King"
"#npc_dota_hero_pangolier"	"Pangolier"
"#npc_dota_hero_dark_willow"	"Dark Willow"
"#DOTA_lobby_type_name_lobby"	"Lobby"
"#DOTA_lobby_type_name_unranked"	"Ikke-rangeret"
"#DOTA_lobby_type_name_ranked"	"Rangeret"
"#DOTA_lobby_type_name_bot_match"	"Bots"
"#DOTA_lobby_type_name_spectator"	"Tilskuer"
"#demo_hero_mode_name"	"Afprøver helt"
"#game_mode_lobby_name_0"	"-"
"#game_mode_lobby_name_1"	"All Pick"
"#game_mode_lobby_name_2"	"Captains Mode"
"#game_mode_lobby_name_3"	"Random Draft"
"#game_mode_lobby_name_4"	"Single Draft"
"#game_mode_lobby_name_5"	"All Random"
"#game_mode_lobby_name_6"	"-"
"#game_mode_lobby_name_7"	"Diretide"
"#game_mode_lobby_name_8"	"Reverse Captains Mode"
"#game_mode_lobby_name_9"	"The Greeviling"
"#game_mode_lobby_name_10"	"Introduktion"
"#game_mode_lobby_name_11"	"Mid Only"
"#game_mode_lobby_name_12"	"Least Played"
"#game_mode_lobby_name_14"	"Kompendium"
"#game_mode_lobby_name_15"	"Tilpasset"
"#game_mode_lobby_name_16"	"Captains Draft"
"#game_mode_lobby_name_17"	"Balanced Draft"
"#game_mode_lobby_name_18"	"Ability Draft"
"#game_mode_lobby_name_20"	"All Random Deathmatch"
"#game_mode_lobby_name_21"	"1v1 Solo Mid"
"#game_mode_lobby_name_22"	"Rangeret All Pick"
"#game_mode_lobby_name_23"	"Turbo"
"#game_mode_lobby_name_24"	"Mutation"
"#game_mode_24"	"Mutation"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"Spiller {%param0%}"
"#DOTA_EventGameName_International2018"	"The Underhollow"
"#npc_dota_hero_grimstroke"	"Grimstroke"
"#DOTA_RP_TOURNEY_REGISTERING"	"Registrering til {%param0%} Battle Cup"
"#DOTA_RP_TOURNEY_FINDING_MATCH"	"Finder {%param1%}-modstander"
"#DOTA_RP_TOURNEY_BETWEEN_GAMES"	"Battle Cup {%param1%} (Pause)"
"#DOTA_RP_TOURNEY_GAME_IN_PROGRESS"	"Battle Cup {%param0%}"
"#DOTA_RP_TOURNEY_PLAYING_AS"	"Battle Cup {%param2%} som {%param1%}"
"#weekendtourney_round_quarterfinals"	"kvartfinaler"
"#weekendtourney_round_semifinals"	"Semifinaler"
"#weekendtourney_round_finals"	"Storfinale"
"#DOTA_EventName_Frostivus2018"	"Frosthaven"
"#npc_dota_hero_snapfire"	"Snapfire"
"#npc_dota_hero_void_spirit"	"Void Spirit"
"#DOTA_Guilds_message_motd"	"Dagens meddelelse: %param0%"
"#DOTA_Guilds_message_level"	"Guilden har nået level %param0%"
"#DOTA_Guild_message_promoted"	"%target_persona% blev forfremmet til %guild_role% af %requester_persona%"
"#DOTA_Guild_message_demoted"	"%target_persona% blev degraderet til %guild_role% af %requester_persona%"
"#dota_rp_playing_event_match_2020"	"Labyrint: {%param0%} (dybde %param1%)"
"#DOTA_EventGameName_International2020"	"Aghanims labyrint"
"#dota_eventgamedifficulty_international2020_0"	"Lærling"
"#dota_eventgamedifficulty_international2020_1"	"Magiker"
"#dota_eventgamedifficulty_international2020_2"	"Troldmand"
"#dota_eventgamedifficulty_international2020_3"	"Stormagiker"
"#dota_eventgamedifficulty_international2020_4"	"Mægtigste magiker"
"#DOTA_EventGameName_Diretide2020"	"Diretide"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH"	"Diretide: Runde %param0% som {%param1%}"
"#npc_dota_hero_mars"	"Mars"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH_PREGAME"	"Diretide: Heltevalg"
"#npc_dota_hero_hoodwink"	"Hoodwink"
"#npc_dota_hero_dawnbreaker"	"Dawnbreaker"
"#game_mode_0"	"-"
"#game_mode_1"	"All Pick"
"#game_mode_2"	"Captains Mode"
"#game_mode_3"	"Random Draft"
"#game_mode_4"	"Single Draft"
"#game_mode_5"	"All Random"
"#game_mode_6"	"-"
"#game_mode_7"	"Diretide"
"#game_mode_8"	"Reverse Captains Mode"
"#game_mode_9"	"The Greeviling"
"#game_mode_10"	"Introduktion"
"#game_mode_11"	"Mid Only"
"#game_mode_12"	"Least Played"
"#game_mode_13"	"Nybegyndertilstand"
"#game_mode_14"	"Kompendium"
"#game_mode_15"	"Tilpasset"
"#game_mode_16"	"Captains Draft"
"#game_mode_17"	"Balanced Draft"
"#game_mode_18"	"Ability Draft"
"#game_mode_19"	"Tilpasset spil"
"#game_mode_20"	"All Random Deathmatch"
"#game_mode_21"	"1v1 Solo Mid"
"#game_mode_22"	"All Pick"
"#game_mode_23"	"Turbo"
}
}
