"lang"
{
"Language"	"portuguese"
"#npc_dota_hero_earth_spirit"	"Earth Spirit"
"#npc_dota_hero_abyssal_underlord"	"Underlord"
"#npc_dota_hero_phoenix"	"Phoenix"
"#npc_dota_hero_terrorblade"	"Terrorblade"
"#npc_dota_hero_oracle"	"Oracle"
"#npc_dota_hero_techies"	"Techies"
"#npc_dota_hero_target_dummy"	"Boneco"
"#npc_dota_hero_winter_wyvern"	"Winter Wyvern"
"#npc_dota_hero_arc_warden"	"Arc Warden"
"#npc_dota_hero_monkey_king"	"Monkey King"
"#npc_dota_hero_pangolier"	"Pangolier"
"#npc_dota_hero_dark_willow"	"Dark Willow"
"#DOTA_lobby_type_name_lobby"	"Lobby"
"#DOTA_lobby_type_name_unranked"	"Casual"
"#DOTA_lobby_type_name_ranked"	"Competitivo"
"#DOTA_lobby_type_name_bot_match"	"Bots"
"#DOTA_lobby_type_name_spectator"	"Espectador"
"#demo_hero_mode_name"	"Testar herói"
"#game_mode_lobby_name_0"	"-"
"#game_mode_lobby_name_1"	"Escolha Livre"
"#game_mode_lobby_name_2"	"Modo de Capitães"
"#game_mode_lobby_name_3"	"Seleção Aleatória"
"#game_mode_lobby_name_4"	"Seleção Única"
"#game_mode_lobby_name_5"	"Todos Aleatórios"
"#game_mode_lobby_name_6"	"-"
"#game_mode_lobby_name_7"	"Diretide"
"#game_mode_lobby_name_8"	"Modo de Capitães Inverso"
"#game_mode_lobby_name_9"	"The Greeviling"
"#game_mode_lobby_name_10"	"Tutorial"
"#game_mode_lobby_name_11"	"Apenas Meio"
"#game_mode_lobby_name_12"	"Menos Jogados"
"#game_mode_lobby_name_13"	"Principiantes"
"#game_mode_lobby_name_14"	"Compêndio"
"#game_mode_lobby_name_15"	"Modo Customizado"
"#game_mode_lobby_name_16"	"Seleção dos Capitães"
"#game_mode_lobby_name_17"	"Seleção Equilibrada"
"#game_mode_lobby_name_18"	"Seleção de Habilidades"
"#game_mode_lobby_name_20"	"Deathmatch Aleatório"
"#game_mode_lobby_name_21"	"1v1 Solo Mid"
"#game_mode_lobby_name_22"	"Escolha Livre Competitivo"
"#game_mode_lobby_name_23"	"Turbo"
"#game_mode_lobby_name_24"	"Mutação"
"#game_mode_24"	"Mutação"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"A jogar {%param0%}"
"#DOTA_EventGameName_International2018"	"Underhollow"
"#npc_dota_hero_grimstroke"	"Grimstroke"
"#DOTA_RP_TOURNEY_REGISTERING"	"A inscrever-se em Battle Cup ({%param0%})"
"#DOTA_RP_TOURNEY_FINDING_MATCH"	"À procura de oponente ({%param1%})"
"#DOTA_RP_TOURNEY_BETWEEN_GAMES"	"Battle Cup ({%param1%}) - Intervalo"
"#DOTA_RP_TOURNEY_GAME_IN_PROGRESS"	"Battle Cup ({%param0%})"
"#DOTA_RP_TOURNEY_PLAYING_AS"	"Battle Cup ({%param2%}) - {%param1%}"
"#weekendtourney_round_quarterfinals"	"Quartos de final"
"#weekendtourney_round_semifinals"	"Semifinais"
"#weekendtourney_round_finals"	"Final"
"#DOTA_EventName_Frostivus2018"	"Frosthaven"
"#npc_dota_hero_snapfire"	"Snapfire"
"#npc_dota_hero_void_spirit"	"Void Spirit"
}
}
