"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"พลังชีวิต"					// $health
		"dota_ability_variable_mana"				"มานา"						// $mana
		"dota_ability_variable_armor"				"เกราะป้องกัน"						// $armor
		"dota_ability_variable_damage"				"พลังโจมตี"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"ค่าคุณสมบัติทั้งหมด"			// $all
		"dota_ability_variable_primary_attribute"	"ค่าสถานะหลัก"			// $primary_attribute
		"dota_ability_variable_attack"				"ความเร็วในการโจมตี"				// $attack
		"dota_ability_variable_hp_regen"			"อัตราการฟื้นฟูพลังชีวิต"		// $hp_regen
		"dota_ability_variable_lifesteal"			"ดูดพลังชีวิต"					// $lifesteal
		"dota_ability_variable_mana_regen"			"อัตราฟื้นฟูมานา"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"ออราอัตราฟื้นฟูมานา"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"ความเสียหายสกิล"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"ระยะเวลาดีบัฟ"			// $debuff_amp
		"dota_ability_variable_move_speed"			"ความเร็วในการเคลื่อนที่"			// $move_speed
		"dota_ability_variable_evasion"				"อัตราหลบหลีก"					// $evasion
		"dota_ability_variable_spell_resist"		"ความต้านทานเวทมนตร์"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"สกิลดูดพลังชีวิต"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"สกิลดูดพลังชีวิต (ครีป)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"สกิลดูดพลังชีวิต (ฮีโร่)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ค่าคุณสมบัติที่เลือก"		// $selected_attribute
		"dota_ability_variable_attack_range"		"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะไกล)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะประชิด)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"ระยะร่าย"				// $cast_range
		"dota_ability_variable_status_resist"		"ความต้านทานสถานะ"			// $status_resist
		"dota_ability_variable_projectile_speed"	"ความเร็วกระสุน"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"ลดมานาที่ใช้"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"ลดคูลดาวน์"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"เพิ่มมานาสูงสุด"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"พลังโจมตี (ฮีโร่ Intelligence)"
		"DOTA_Tooltip_courier_status_idle_in_world"										"ยืนนิ่งอยู่ในสนาม"			// idle somewhere out in the world
		"DOTA_Tooltip_courier_status_moving"											"กำลังเคลื่อนที่"				// moving somewhere
		"DOTA_Tooltip_courier_status_returning"											"กำลังกลับฐาน"			// move dest is the fountain
		"DOTA_Tooltip_courier_status_delivering"										"กำลังส่งไอเท็มให้แก่ %s1"	// moving to a hero

		"DOTA_Tooltip_courier_respawn"													"ตาย\nเกิดใหม่ในอีก %s1"
		
        // Game mode modifiers
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable"								"อมตะ"
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable_Description"					"Courier ไม่ได้มีความเกรงกลัวต่อสกิลของคุณ"
		"DOTA_Tooltip_modifier_turbo_courier_haste"										"Speedy Flyer"
		"DOTA_Tooltip_modifier_turbo_courier_haste_Description"							"ความเร็วในการเคลื่อนที่เพิ่มขึ้น"

		"DOTA_Tooltip_ability_ad_scepter_grant"											"Scepter มอบสกิลใหม่: <font color=\"#ffffff\"><b>%s1</b></font>"
		"DOTA_Tooltip_ability_ad_shard_grant"											"Shard มอบสกิลใหม่: <font color=\"#ffffff\"><b>%s1</b></font>"

		// BUILDING
		"DOTA_Tooltip_ability_backdoor_protection"										"ป้องกันการลอบทำลาย"
		"DOTA_Tooltip_ability_backdoor_protection_Description"										"สิ่งก่อสร้างได้รับความเสียหายลดลง และฟื้นฟูความเสียหายที่ได้รับอย่างรวดเร็ว หากไม่มีครีปฝ่ายศัตรูอยู่ในระยะใกล้"
		"DOTA_Tooltip_ability_backdoor_protection_in_base"								"ป้องกันการลอบทำลาย"
		"DOTA_Tooltip_ability_backdoor_protection_in_base_Description"			"สิ่งก่อสร้างได้รับความเสียหายลดลง และฟื้นฟูความเสียหายที่ได้รับอย่างรวดเร็ว หากไม่มีครีปฝ่ายศัตรูอยู่ในระยะใกล้"
		"DOTA_Tooltip_ability_filler_ability"										"Sanctuary"
		"DOTA_Tooltip_ability_filler_ability_Description"						"สร้างออราที่ให้พลังชีวิตที่เพิ่มอัตราฟื้นฟูพลังชีวิตและมานา แก่เพื่อนร่วมทีมที่อยู่ใกล้เคียงเมื่อเปิดใช้งาน"
		"DOTA_Tooltip_ability_filler_ability_Note0"								"คลิกขวาที่ Shrine เพื่อเปิดใช้งาน"
		"DOTA_Tooltip_ability_filler_ability_Note1"								"ค่าอัตราฟื้นฟูเพิ่มขึ้น +2/1 พลังชีวิต/มานาต่อนาที"
		"DOTA_Tooltip_ability_filler_ability_Note2"								"นอกจากนี้จะฟื้นฟู 2% ของแหล่งพลังชีวิต/มานาต่อวินาที"
		"DOTA_Tooltip_ability_filler_ability_hp_heal"							"อัตราฟื้นฟูพลังชีวิต:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal"							"อัตราฟื้นฟูมานา:"
		"DOTA_Tooltip_ability_filler_ability_duration"							"ระยะเวลา:"
		"DOTA_Tooltip_ability_filler_ability_radius"							"รัศมี:"

		//COURIER
		"DOTA_Tooltip_ability_courier_return_to_base"									"กลับฐาน"
		"DOTA_Tooltip_ability_courier_return_to_base_Description"						"นำ Courier กลับฐาน"
		"DOTA_Tooltip_ability_courier_transfer_items"									"ส่งไอเท็ม"
		"DOTA_Tooltip_ability_courier_transfer_items_Description"						"ส่งไอเท็มให้แก่ฮีโร่"
		"DOTA_Tooltip_ability_courier_go_to_secretshop"									"ไปที่ร้านค้าลับ"
		"DOTA_Tooltip_ability_courier_go_to_secretshop_Description"						"ส่ง Courier ไปยังร้านค้าลับของทีมคุณ"
		"DOTA_Tooltip_ability_courier_return_stash_items"								"คืนไอเท็ม"
		"DOTA_Tooltip_ability_courier_return_stash_items_Description"					"คืนไอเท็มสู่คลังเก็บของ"
		"DOTA_Tooltip_ability_courier_shield"											"โล่ป้องกัน"
		"DOTA_Tooltip_ability_courier_shield_Description"								"สร้างเกราะป้องกันรอบตัว Courier"
		"DOTA_Tooltip_ability_courier_shield_duration"									"ระยะเวลา:"
		"DOTA_Tooltip_ability_courier_burst"											"เร่งความเร็ว"
		"DOTA_Tooltip_ability_courier_burst_Description"								"Courier จะเพิ่มความเร็วสูงสุดเป็นระยะเวลา %duration% วินาที"
		"DOTA_Tooltip_ability_courier_burst_movement_speed"				"%ความเร็วเมื่อเร่ง:"
		"DOTA_Tooltip_ability_courier_take_stash_items"									"รับไอเท็ม"
		"DOTA_Tooltip_ability_courier_take_stash_items_Description"						"เก็บไอเท็มจากคลังเก็บของ"
		"DOTA_Tooltip_ability_courier_autodeliver"									"ส่งไอเท็มอัตโนมัติ"
		"DOTA_Tooltip_ability_courier_autodeliver_Description"						"เปิด/ปิดการส่งไอเท็มอัตโนมัติ"
		
		//NECRONOMICON
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"							"Mana Break"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"				"เผาผลาญมานาในแต่ละครั้งที่โจมตี ซึ่งส่วนหนึ่งจะนำมาคิดเป็นความเสียหาย"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"				"เผาผลาญมานาต่อครั้ง:"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%สร้างความเสียหายจากมานาที่หายไป:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"Last Will"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"ความเสียหายจะส่งผลต่อยูนิตที่สังหาร Necronomicon Warrior"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"					"ความเสียหาย:"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight"								"True Sight"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"					"แสดงยูนิตที่มองไม่เห็น"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"						"รัศมี:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"							"Mana Burn"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"				"ยิงธนูที่สามารถเผาผลาญมานาของยูนิตเป้าหมาย สร้างความเสียหายเท่ากับจำนวนมานาที่ถูกเผาผลาญ"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"				"เผาผลาญมานาต่อครั้ง:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_as_damage_tooltip"				"%สร้างความเสียหายจากมานาที่หายไป:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_abilitycastrange"		"ระยะร่าย:"
		
		"DOTA_Tooltip_ability_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Description"					"ลบบัฟด้านดีออกจากฝ่ายศัตรู และลดความเร็วในการเคลื่อนที่\n\nชนิดการลบล้าง: การลบล้างพื้นฐาน"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_abilitycastrange"				"ระยะร่าย:"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge_Description"					"ความเร็วในการเคลื่อนที่ลดลง %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

		"DOTA_Tooltip_ability_necronomicon_archer_aoe"									"Archer Aura"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"						"เพิ่มความเร็วในการเคลื่อนที่ของยูนิตที่อยู่ใกล้เคียง"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"							"รัศมี:"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_ms_bonus"						"%เพิ่มความเร็วในการเคลื่อนที่:"

		//ANTIMAGE
		"DOTA_Tooltip_ability_antimage_mana_break"										"Mana Break"
		"DOTA_Tooltip_ability_antimage_mana_break_Description"							"เผาผลาญมานาของศัตรูในการโจมตีแต่ละครั้ง และสร้างความเสียหายแก่เป้าหมายโดยคิดจากเปอร์เซ็นต์มานาที่เผาผลาญ ศัตรูที่โดนเผามานาจนหมดจะเคลื่อนที่ช้าลงชั่วคราว"
		"DOTA_Tooltip_ability_antimage_mana_break_Lore"									"เทคนิคพลิกแพลงตามวิถีแห่งสันติของพระแห่งเตอร์สตาร์กุรีคือย้อนพลังเวทมนตร์กลับไปหาเจ้าของ"
		"DOTA_Tooltip_ability_antimage_mana_break_Note0"								"Mana Break มีผล %illusion_percentage%%% จากร่างเงา"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"							"มานาที่ถูกเผาผลาญต่อครั้ง:"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit_pct"						"%มานาที่ถูกเผาผลาญต่อครั้งจากมานาสูงสุด:"
		"DOTA_Tooltip_ability_antimage_mana_break_move_slow"							"%เคลื่อนที่ช้าลงเมื่อเผามานาหมด:"
		"DOTA_Tooltip_ability_antimage_mana_break_percent_damage_per_burn"				"%ความเสียหายจากมานาที่เผาผลาญ:"
		"DOTA_Tooltip_ability_antimage_mana_break_slow_duration"						"ระยะเวลาช้าลง:"

		"DOTA_Tooltip_modifier_antimage_mana_break_slow"								"Mana Break ทำให้ช้าลง"
		"DOTA_Tooltip_modifier_antimage_mana_break_slow_Description"					"เคลื่อนที่ช้าลง %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

		"DOTA_Tooltip_ability_antimage_blink"											"Blink"
		"DOTA_Tooltip_ability_antimage_blink_Description"								"การเคลื่อนย้ายในระยะสั้น ๆ ซึ่งทำให้ Anti-Mage สามารถ เข้าและออกจากการต่อสู้ได้อย่างอิสระ" 
		"DOTA_Tooltip_ability_antimage_blink_Lore"										"ในการเผชิญหน้าระหว่างเขาและเทพแห่งความตาย Anti-Mage ได้รู้ซึ้งถึงคุณค่าของการหลบหลีกที่ว่องไว"
		"DOTA_Tooltip_ability_antimage_blink_Note0"										"คุณสามารถใช้ Blink เพื่อหลบกระสุนที่พุ่งเข้ามาได้"
		"DOTA_Tooltip_ability_antimage_blink_abilitycastrange"								"ระยะ:"
		"DOTA_Tooltip_ability_antimage_spell_shield"									"Spell Shield"
		"DOTA_Tooltip_ability_antimage_spell_shield_Description"						"เพิ่มความต้านทานความเสียหายเวทมนตร์ให้แก่ Anti-Mage"
		"DOTA_Tooltip_ability_antimage_spell_shield_Lore"								"หลายปีแห่งการเข้าฌาณและสั่งสมความแค้นได้ทำให้ผิวกายของ Anti-Mage ทนทานต่อพลังเวทของศัตรู"
		"DOTA_Tooltip_ability_antimage_spell_shield_Note0"								"ป้องกันเวทแบบซ้อนทับอย่างทวีคูณด้วยความสามารถที่ช่วยกันเวทอื่น ๆ ทั้งปวง"
		"DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"			"%ความต้านทาน:"
		"DOTA_Tooltip_ability_antimage_counterspell"									"Counterspell"
		"DOTA_Tooltip_ability_antimage_counterspell_Description"						"ได้รับความต้านทานเวทมนตร์ติดตัว และสามารถกดใช้ Counterspell เพื่อสร้างเกราะป้องกันเวทมนตร์รอบ ๆ ตัว Anti-Mage ซึ่งจะบล็อกและสะท้อนสกิลที่เล็งเป้าหมายกลับไปหาศัตรูแทน"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_description"					"Counterspell มอบออราติดตัวซึ่งลดความเสียหายสกิลของศัตรู โดยจะลดมากขึ้นหากศัตรูอยู่ในระยะใกล้"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_radius"							"รัศมี:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_aura_range"					"รัศมีอยู่ใกล้:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_spell_damage_reduction_pct"		"%ลดความเสียหายสกิล:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_spell_damage_reduction_pct"	"%ลดความเสียหายสกิลเมื่ออยู่ใกล้:"
		"DOTA_Tooltip_ability_antimage_counterspell_Lore"						"ด้วยจิตตั้งมั่นอันแน่วแน่ Anti-Mage แปรเปลี่ยนความต้านทานภายในตนเป็นการโต้กลับตามที่คาดคะเน"
		"DOTA_Tooltip_ability_antimage_counterspell_magic_resistance"					"%ความต้านทานเวทมนตร์:"
		"DOTA_Tooltip_ability_antimage_counterspell_duration"							"ระยะเวลา:"
		"DOTA_Tooltip_ability_antimage_mana_void"										"Mana Void"
		"DOTA_Tooltip_ability_antimage_mana_void_Description"							"สำหรับทุกหน่วยของมานาที่หายไปจากยูนิตเป้าหมายจะสร้าง ความเสียหายแก่ยูนิตนั้นและศัตรูรอบข้าง เป้าหมายหลักจะ ถูกมินิสตันด้วย"
		"DOTA_Tooltip_ability_antimage_mana_void_Lore"									"หลังจากทำให้ศัตรูลงมากองต่อหน้า Anti-Mage จะสำเร็จโทษพวกมันโทษฐานที่ใช้ศาสตร์ลี้ลับ"
		"DOTA_Tooltip_ability_antimage_mana_void_Note0"									"ความเสียหายจะคำนวณจากค่ามานาของเป้าหมายหลัก แต่ส่งผลแก่ศัตรูทุกตัวที่อยู่ในพื้นที่ของสกิล"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana"				"ความเสียหาย:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_ministun"					"ระยะเวลาสตัน:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_aoe_radius"					"รัศมี:"
		"DOTA_Tooltip_ability_antimage_mana_overload"									"Blink Fragment"
		"DOTA_Tooltip_ability_antimage_mana_overload_Description"						"Blink ร่างเงาไปยังศัตรูหรือตำแหน่งเป้าหมาย ร่างเงาจะโจมตีเป็นเวลาชั่วครู่ Counterspell จะส่งผลต่อร่างเงาของ Blink Fragment ด้วยเช่นกัน มี 3 ชาร์จ"
		"DOTA_Tooltip_ability_antimage_mana_overload_duration"							"ระยะเวลาร่างเงา:"
		"DOTA_Tooltip_ability_antimage_mana_overload_outgoing_damage"					"%ร่างเงาสร้างความเสียหาย:"
		
		"DOTA_Tooltip_ability_antimage_mana_focus"										"Mana Focus"
		"DOTA_Tooltip_ability_antimage_mana_focus_Description"							"Anti-Mage สร้างออราหยุดยั้งพลังเวท ทำให้สกิลของศัตรูใช้มานามากขึ้น และได้รับชาร์จ Mana Break ทุกครั้งที่ศัตรูร่ายสกิล มอบความเร็วในการโจมตีติดตัวให้แก่ Anti-Mage ตามจำนวนชาร์จ Mana Break ที่มี"
		"DOTA_Tooltip_ability_antimage_mana_focus_Lore"									"หลังจากทำให้ศัตรูลงมากองต่อหน้า Anti-Mage จะสำเร็จโทษพวกมันโทษฐานที่ใช้ศาสตร์ลี้ลับ"
		"DOTA_Tooltip_ability_antimage_mana_focus_Note0"								"ขณะกำลังโฟกัส Anti-Mage สามารถสะสมชาร์จ Mana Break ได้มากถึง 2 เท่า"
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_aspd_per_stack"				"ความเร็วในการโจมตีต่อการซ้อนทับ MANA BREAK:"
		"DOTA_Tooltip_ability_antimage_mana_focus_duration"							"ระยะเวลา:"
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_spell_cost"					"%มานาที่ใช้เพิ่มขึ้น:"
		

		"DOTA_Tooltip_modifier_antimage_counterspell"									"Counterspell Shield"
		"DOTA_Tooltip_modifier_antimage_counterspell_Description"									"ทำให้สกิลทั้งหมดที่เล็งเป้าหมายมาที่คุณถูกบล็อกและสะท้อนไปยังศัตรู"
		"DOTA_Tooltip_modifier_antimage_mana_void"										"คูลดาวน์เพิ่มขึ้น"
		"DOTA_Tooltip_modifier_antimage_mana_void_Description"							"คูลดาวน์สกิลเพิ่มขึ้นจาก Mana Void"
		"DOTA_Tooltip_modifier_antimage_dampen_magic"									"Spell Weakness"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_Description"						"ลดความเสียหายสกิลที่สร้าง %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus"								"Spell Weakness (ระยะประชิด)"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus_Description"					"การอยู่ใกล้กับ Anti-Mage ช่วยเสริมผลของ Spell Weakness"

		//QUEEN OF PAIN
		"DOTA_Tooltip_ability_queenofpain_shadow_strike"								"Shadow Strike"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Description"					"ปามีดอาบพิษที่จะสร้างความเสียหายอย่างรุนแรงในตอนแรก และยังคงสร้างความเสียหายต่อไประยะเวลาหนึ่ง ผู้ที่ถูกพิษเข้าไปจะเคลื่อนที่ได้ช้าลงเป็นระยะเวลา %duration% วินาที และได้รับความเสียหายทุก ๆ %damage_interval% วินาที นอกจากนี้ Queen of Pain ยังเพลิดเพลินไปกับความเจ็บปวดที่กระทำต่อศัตรู ทำให้รักษาพลังชีวิตเธอทุกครั้งที่ศัตรูได้รับความเสียหาย เมื่อใช้กับครีปจะรักษาพลังชีวิตจากความเสียหายเพียงครึ่งเดียว"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_scepter_Description"			"ทำให้ Shadow Strike กลายเป็นสกิลส่งผลเป็นพื้นที่ %aoe_radius% หน่วย และสร้างความเสียหายเริ่มต้นเพิ่มขึ้น เมื่อ Shadow Strike สิ้นสุดลงหรือฮีโร่ศัตรูติดพิษซ้ำจะปล่อย Scream of Pain ออกมาใส่ศัตรูใกล้เคียงทั้งหมด"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Lore"							"มีดอาบพิษของ Akasha นั้นทำให้เธอมีความสุขที่สุดจากการที่เธอได้เห็นเหยื่อของเธอต้องทุกข์ทรมานจากพิษของมัน"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note0"							"ยูนิตที่ได้รับผลจะค่อย ๆ ฟื้นความเร็วในการเคลื่อนที่ทุกวินาทีในระหว่างช่วงเวลาของสกิล"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note1"							"ยูนิตที่ได้รับผลของ Shadow Strike สามารถถูก Deny ได้โดยฝ่ายเดียวกันเมื่อ HP ลดลงเหลือต่ำกว่า 25% ของค่าพลังชีวิตสูงสุด"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_movement_slow"					"%เคลื่อนที่ช้าลง:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_strike_damage"					"ความเสียหายเริ่มต้น:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_damage"				"ความเสียหายต่อช่วง:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_heal"					"การรักษาต่อช่วง:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_abilitycastrange"				"ระยะร่าย:"
		"DOTA_Tooltip_ability_queenofpain_blink"										"Blink"
		"DOTA_Tooltip_ability_queenofpain_blink_Description"							"การเคลื่อนย้ายในระยะสั้น ๆ ซึ่งทำให้ Queen of Pain สามารถเข้าและออกจากการต่อสู้ได้อย่างอิสระ"
