"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_label_venomancer_laugh"	"Laugh"
"dota_chatwheel_label_faceless_void_laugh"	"[大笑]"
"[english]dota_chatwheel_label_faceless_void_laugh"	"Laugh"
"dota_chatwheel_label_death_prophet_laugh"	"[大笑]"
"[english]dota_chatwheel_label_death_prophet_laugh"	"Laugh"
"dota_chatwheel_label_phantom_assassin_laugh"	"[大笑]"
"[english]dota_chatwheel_label_phantom_assassin_laugh"	"Laugh"
"dota_chatwheel_label_pugna_laugh"	"[大笑]"
"[english]dota_chatwheel_label_pugna_laugh"	"Laugh"
"dota_chatwheel_label_templar_assassin_laugh"	"[大笑]"
"[english]dota_chatwheel_label_templar_assassin_laugh"	"Laugh"
"dota_chatwheel_label_viper_laugh"	"[大笑]"
"[english]dota_chatwheel_label_viper_laugh"	"Laugh"
"dota_chatwheel_label_luna_laugh"	"[大笑]"
"[english]dota_chatwheel_label_luna_laugh"	"Laugh"
"dota_chatwheel_label_dragon_knight_laugh"	"[大笑]"
"[english]dota_chatwheel_label_dragon_knight_laugh"	"Laugh"
"dota_chatwheel_label_dazzle_laugh"	"[大笑]"
"[english]dota_chatwheel_label_dazzle_laugh"	"Laugh"
"dota_chatwheel_label_rattletrap_laugh"	"[大笑]"
"[english]dota_chatwheel_label_rattletrap_laugh"	"Laugh"
"dota_chatwheel_label_leshrac_laugh"	"[大笑]"
"[english]dota_chatwheel_label_leshrac_laugh"	"Laugh"
"dota_chatwheel_label_furion_laugh"	"[大笑]"
"[english]dota_chatwheel_label_furion_laugh"	"Laugh"
"dota_chatwheel_label_life_stealer_laugh"	"[大笑]"
"[english]dota_chatwheel_label_life_stealer_laugh"	"Laugh"
"dota_chatwheel_label_dark_seer_laugh"	"[大笑]"
"[english]dota_chatwheel_label_dark_seer_laugh"	"Laugh"
"dota_chatwheel_label_clinkz_laugh"	"[大笑]"
"[english]dota_chatwheel_label_clinkz_laugh"	"Laugh"
"dota_chatwheel_label_omniknight_laugh"	"[大笑]"
"[english]dota_chatwheel_label_omniknight_laugh"	"Laugh"
"dota_chatwheel_label_enchantress_laugh"	"[大笑]"
"[english]dota_chatwheel_label_enchantress_laugh"	"Laugh"
"dota_chatwheel_label_huskar_laugh"	"[大笑]"
"[english]dota_chatwheel_label_huskar_laugh"	"Laugh"
"dota_chatwheel_label_spectre_laugh"	"[大笑]"
"[english]dota_chatwheel_label_spectre_laugh"	"[Laugh]"
"dota_chatwheel_message_grimstroke_laugh"	"Huh huh ha ha ha ha ha ha ha haaa!"
"[english]dota_chatwheel_message_grimstroke_laugh"	"Huh huh ha ha ha ha ha ha ha haaa!"
"dota_chatwheel_label_grimstroke_laugh"	"[大笑]"
"[english]dota_chatwheel_label_grimstroke_laugh"	"Laugh"
"dota_chatwheel_message_grimstroke_thank"	"Oh, that is too good!"
"[english]dota_chatwheel_message_grimstroke_thank"	"Oh, that is too good!"
"dota_chatwheel_label_grimstroke_thank"	"Oh, that is too good!"
"[english]dota_chatwheel_label_grimstroke_thank"	"Oh, that is too good!"
"dota_chatwheel_message_grimstroke_deny"	"You die, yet your failure lives on..."
"[english]dota_chatwheel_message_grimstroke_deny"	"You die, yet your failure lives on..."
"dota_chatwheel_label_grimstroke_deny"	"You die, yet your failure..."
"[english]dota_chatwheel_label_grimstroke_deny"	"You die, yet your failure..."
"dota_chatwheel_message_grimstroke_1"	"You should have known better..."
"[english]dota_chatwheel_message_grimstroke_1"	"You should have known better..."
"dota_chatwheel_label_grimstroke_1"	"You should have known better..."
"[english]dota_chatwheel_label_grimstroke_1"	"You should have known better..."
"dota_chatwheel_message_grimstroke_2"	"These wretched fools have no idea..."
"[english]dota_chatwheel_message_grimstroke_2"	"These wretched fools have no idea..."
"dota_chatwheel_label_grimstroke_2"	"These wretched fools..."
"[english]dota_chatwheel_label_grimstroke_2"	"These wretched fools..."
"dota_chatwheel_message_grimstroke_3"	"Know your place."
"[english]dota_chatwheel_message_grimstroke_3"	"Know your place."
"dota_chatwheel_label_grimstroke_3"	"Know your place."
"[english]dota_chatwheel_label_grimstroke_3"	"Know your place."
"dota_chatwheel_message_grimstroke_4"	"You've a mind like a child!"
"[english]dota_chatwheel_message_grimstroke_4"	"You've a mind like a child!"
"dota_chatwheel_label_grimstroke_4"	"You've a mind like a child!"
"[english]dota_chatwheel_label_grimstroke_4"	"You've a mind like a child!"
"dota_chatwheel_message_grimstroke_5"	"Watch the master at work."
"[english]dota_chatwheel_message_grimstroke_5"	"Watch the master at work."
"dota_chatwheel_label_grimstroke_5"	"Watch the master at work."
"[english]dota_chatwheel_label_grimstroke_5"	"Watch the master at work."
}
