"lang"
{ 
	"Language" "polish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"pkt. zdrowia"					// $health
		"dota_ability_variable_mana"				"pkt. many"						// $mana
		"dota_ability_variable_armor"				"pkt. pancerza"						// $armor
		"dota_ability_variable_damage"				"pkt. obrażeń"					// $damage
		"dota_ability_variable_str"					"pkt. Siły"					// $str
		"dota_ability_variable_int"					"pkt. Inteligencji"				// $int
		"dota_ability_variable_agi"					"pkt. Zręczności"					// $agi
		"dota_ability_variable_all"					"pkt. wszystkich atrybutów"			// $all
		"dota_ability_variable_primary_attribute"	"pkt. głównego atrybutu"			// $primary_attribute
		"dota_ability_variable_attack"				"jedn. szybkości ataku"				// $attack
		"dota_ability_variable_hp_regen"			"pkt. regeneracji zdrowia"			// $hp_regen
"dota_ability_variable_mana_regen"			"pkt. regeneracji many"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"jedn. aury regeneracji many"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"obrażeń od czarów"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"czasu trwanie negatywnych efektów"			// $debuff_amp
		"dota_ability_variable_move_speed"			"szybkości ruchu"			// $move_speed
		"dota_ability_variable_evasion"				"szansy na unik"					// $evasion
		"dota_ability_variable_spell_resist"		"odporności na magię"			// $spell_resist
"dota_ability_variable_spell_lifesteal_creep"	"kradzieży zdrowia z czarów (creepy)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"kradzieży zdrowia z czarów (bohaterowie)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"pkt. wybranego atrybutu"		// $selected_attribute
		"dota_ability_variable_attack_range"		"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko dla dystansowych)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko walczący wręcz)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"zasięgu rzutu"				// $cast_range
		"dota_ability_variable_status_resist"		"odporności na statusy"			// $status_resist
		"dota_ability_variable_projectile_speed"	"jedn. szybkości pocisku"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"redukcji kosztów many"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Skrócenie czasów oczekiwania"		// $cooldown_reduction 

		//ATTRIBUTES
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Description"					"Usuwa z wrogów pozytywne efekty i spowalnia ich szybkość ruchu.\n\nTYP ROZPROSZENIA: zwykłe"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_duration"						"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_abilitycastrange"				"ZASIĘG RZUTU:"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge_Description"					"Zmniejszenie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_necronomicon_archer_aoe"									"Archer Aura"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"						"Zwiększa szybkość ruchu pobliskich jednostek."
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"							"PROMIEŃ:"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_ms_bonus"						"%PREMIA DO SZYBKOŚCI RUCHU:"

		//ANTIMAGE
		"DOTA_Tooltip_ability_antimage_mana_break"										"Mana Break"
		"DOTA_Tooltip_ability_antimage_mana_break_Lore"									"Zmodyfikowana technika pokojowego rozwiązywania konfliktów mnichów z Turstarkuri pozwala na zwrócenie energii magicznej przeciwko jej właścicielowi."
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"							"SPALONA MANA PRZY TRAFIENIU:"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit_pct"						"%MAKS. MANY SPALONEJ NA TRAFIENIE:"
		"DOTA_Tooltip_ability_antimage_blink"											"Blink"
		"DOTA_Tooltip_ability_antimage_blink_Description"								"Krótkodystansowa teleportacja, która umożliwia Anti-Mage'owi wkraczanie do walki i opuszczanie jej." 
		"DOTA_Tooltip_ability_antimage_blink_Lore"										"Podczas potyczki z Martwymi Bogami Anti-Mage nauczył się, jak ważne jest bycie nieuchwytnym."
		"DOTA_Tooltip_ability_antimage_blink_Note0"										"Możesz użyć Blink, by uniknąć nadchodzących pocisków."
		"DOTA_Tooltip_ability_antimage_blink_blink_range"								"ZASIĘG:"
		"DOTA_Tooltip_ability_antimage_spell_shield"									"Spell Shield"
		"DOTA_Tooltip_ability_antimage_spell_shield_Description"						"Zwiększa odporność Anti-Mage'a na obrażenia magiczne."
		"DOTA_Tooltip_ability_antimage_spell_shield_Lore"								"Lata medytacji i obsesja na punkcie zemsty uodporniły skórę Antymaga na moce mistycznych przeciwników."
		"DOTA_Tooltip_ability_antimage_spell_shield_Note0"								"Mnoży się z innymi źródłami odporności na czary."
		"DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"			"%ODPORNOŚĆ:"
		"DOTA_Tooltip_ability_antimage_counterspell"									"Counterspell"
		"DOTA_Tooltip_ability_antimage_counterspell_Lore"						"Dzięki odpowiedniemu skupieniu Anti-Mage zamienia wrodzoną odporność w przemyślany odwet."
		"DOTA_Tooltip_ability_antimage_counterspell_magic_resistance"					"%ODPORNOŚĆ NA MAGIĘ:"
		"DOTA_Tooltip_ability_antimage_counterspell_duration"							"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_antimage_mana_void"										"Mana Void"
		"DOTA_Tooltip_ability_antimage_mana_void_Description"							"Każdy brakujący punkt many wybranej jednostki powoduje obrażenia, które są zadawane jej oraz pobliskim wrogom. Na główny cel zostanie także nałożone miniogłuszenie."
		"DOTA_Tooltip_ability_antimage_mana_void_Lore"									"Po powaleniu wrogów na kolana Anti-Mage karze ich za użycie sztuki magicznej."
		"DOTA_Tooltip_ability_antimage_mana_void_Note0"									"Wszyscy wrogowie w zasięgu działania otrzymają te same obrażenia zależne od many wybranego celu."
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana"				"OBRAŻENIA:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_ministun"					"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_aoe_radius"					"PROMIEŃ:"
		"DOTA_Tooltip_ability_antimage_mana_overload"									"Blink Fragment"
		"DOTA_Tooltip_modifier_antimage_counterspell"									"Counterspell Shield"
		"DOTA_Tooltip_modifier_antimage_counterspell_Description"									"Sprawia, że wszystkie zaklęcia celowane w ciebie będą blokowane i odbijanie w kierunku wroga."
		"DOTA_Tooltip_modifier_antimage_mana_void"										"Wydłużono czas oczekiwania"
		"DOTA_Tooltip_modifier_antimage_mana_void_Description"							"Czas oczekiwania na umiejętność został wydłużony z powodu Mana Void."
		"DOTA_Tooltip_modifier_antimage_dampen_magic"									"Spell Weakness"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_Description"						"Redukowanie obrażeń zadawanych przez czary o %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus"								"Spell Weakness (bliski zasięg)"
		//QUEEN OF PAIN
		"DOTA_Tooltip_ability_queenofpain_shadow_strike"								"Shadow Strike"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Description"					"Ciska zatrutym sztyletem, który zadaje duże obrażenia początkowe, a następnie zadaje obrażenia okresowe. Szybkość ruchu zatrutej jednostki zostaje spowolniona na %duration% s. Instancja obrażeń jest zadawana co %damage_interval% s. Queen of Pain rozkoszuje się zadawanym bólem, lecząc się za każdym razem, gdy wróg otrzyma obrażenia. Creepy leczą równowartością połowy obrażeń."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Lore"							"Zatruty sztylet Akashy pozwala jej się rozkoszować wydłużonym cierpieniem jej ofiar."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note0"							"Jednostka pod wpływem powoli odzyskuje pierwotną szybkość ruchu z każdą sekundą podczas czasu trwania tej umiejętności."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note1"							"Jednostki pod wpływem Shadow Strike mogą zostać dobite przez swoich sojuszników, jeśli ich zdrowie spadnie poniżej 25% ich maksymalnego zdrowia."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_movement_slow"					"%SPOWOLNIENIE RUCHU:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_strike_damage"					"OBRAŻENIA POCZĄTKOWE:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_damage"				"OBRAŻENIA NA INSTANCJĘ:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_heal"					"LECZENIE NA INSTANCJĘ:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration"						"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_abilitycastrange"				"ZASIĘG RZUTU:"
		"DOTA_Tooltip_ability_queenofpain_blink"										"Blink"
		"DOTA_Tooltip_ability_queenofpain_blink_Description"							"Teleportacja krótkodystansowa, która umożliwia Queen of Pain wkroczenie do walki i opuszczenie jej."
		"DOTA_Tooltip_ability_queenofpain_blink_Lore"									"Zgodnie ze swym tytułem Sekretna Królowa uniemożliwia ucieczkę od bólu."
		"DOTA_Tooltip_ability_queenofpain_blink_Note0"									"Możesz użyć Blink, by uniknąć nadchodzących pocisków."
		"DOTA_Tooltip_ability_queenofpain_blink_blink_range"							"ZASIĘG:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain"								"Scream Of Pain"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Description"					"Queen of Pain wydaje z siebie przerażający krzyk, który zadaje obrażenia pobliskim wrogom."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Lore"							"Zmysłowy głos Akashy wabi jej przeciwników, podczas gdy ona kradnie ich dusze."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note0"							"Scream Of Pain trafi w niewidzialne jednostki."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note1"							"Scream Of Pain nie może zostać rozłączone."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_area_of_effect"				"PROMIEŃ:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_damage"						"OBRAŻENIA:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave"									"Sonic Wave"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Description"						"Tworzy przed Queen of Pain gigantyczną falę dźwięku, która zadaje poważne obrażenia wszystkim wrogim jednostkom na swojej drodze i odpycha ich."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_scepter_description"				"Zwiększa obrażenia i skraca czas oczekiwania."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Lore"								"Najwyśmienitsza ze wszystkich jej udręk. Fala dźwiękowa Akashy uwalnia jej biednych wrogów od okrutnych męczarni."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Note0"								"Sonic Wave może trafić w jednostki odległe o aż do 1150 jednostek."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_final_aoe"							"MAKS. PROMIEŃ FALI:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage"							"OBRAŻENIA:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_knockback_distance"				"DYSTANS ODRZUCENIA:"
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike"			"Shadow Strike"					
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike_Description"		"Otrzymywanie obrażeń okresowych, spowolnienie szybkości ruchu o %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear"							"Przerażenie"
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear_description"							"Przerażono przez Scream of Pain."

		//LINA
		"DOTA_Tooltip_ability_lina_dragon_slave"										"Dragon Slave"
		"DOTA_Tooltip_ability_lina_dragon_slave_Description"							"Lina przywołuje moc smoczego oddechu, uwalniając falę ognia, która spopiela wszystkich wrogów na swojej drodze."
		"DOTA_Tooltip_ability_lina_dragon_slave_Lore"									"Na spieczonych pustkowiach Pustyni Bezładu, w ramach zabawy, Lina nauczyła się kontrolować ognisty oddech pustynnego wyrma."
		"DOTA_Tooltip_ability_lina_dragon_slave_Note0"									"Umiejętność ma zasięg 1225 jednostek."
		"DOTA_Tooltip_ability_lina_light_strike_array"									"Light Strike Array"
		"DOTA_Tooltip_ability_lina_light_strike_array_Description"						"Przyzywa kolumnę płomieni, która zadaje obrażenia i ogłusza wrogów."
		"DOTA_Tooltip_ability_lina_light_strike_array_Lore"								"Natura Liny pozwala jej skupiać energię słońca i sprawiać, by samo powietrze stanęło w płomieniach."
		"DOTA_Tooltip_ability_lina_light_strike_array_Note0"							"Light Strike Array niszczy drzewa na obszarze działania."
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_aoe"			"PROMIEŃ:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_stun_duration"	"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_delay_time"	"OPÓŹNIENIE RZUCANIA CZARU:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_damage"		"OBRAŻENIA:"
		"DOTA_Tooltip_ability_lina_fiery_soul"											"Fiery Soul"
		"DOTA_Tooltip_ability_lina_fiery_soul_Lore"										"Tańczące płomienie ucieleśniają figlarny charakter Liny, ukazując jej prawdziwe, ogniste oblicze."
		"DOTA_Tooltip_ability_lina_fiery_soul_Note1"									"Używanie przedmiotów nie ma wpływu na Fiery Soul."
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"			"PREMIA DO SZYBKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_move_speed_bonus"				"%PREMIA DO SZYBKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_max_stacks"					"MAKS. INSTANCJI:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_stack_duration"				"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_lina_laguna_blade"										"Laguna Blade"
		"DOTA_Tooltip_ability_lina_laguna_blade_Description"							"Odpala błyskawicę w pojedynczą wrogą jednostkę, powodując poważne obrażenia."
		"DOTA_Tooltip_ability_lina_laguna_blade_Lore"									"Powietrze otaczające Linę rozgrzewa się do takiego stopnia, że przeciwnik, który zbytnio się do niej zbliżył, zostaje przypieczony rozżarzoną do białości błyskawicą."
		"DOTA_Tooltip_ability_lina_laguna_blade_Note0"									"Laguna Blade posiada %damage_delay% s opóźnienia między użyciem umiejętności a zadaniem obrażeń, co pozwala na ich uniknięcie dzięki niektórym umiejętnościom."
		"DOTA_Tooltip_ability_lina_laguna_blade_damage"									"OBRAŻENIA:"
		"DOTA_Tooltip_ability_lina_laguna_blade_shard_description"					    "Zwiększa zasięg rzutu Laguna Blade o 250 jednostek i powoduje, że rzut będzie miał pełną długość i trafi we wszystkie jednostki po drodze. Można wycelować w ziemię. Dodatkowo redukuje koszt many Laguna Blade o 100 pkt."
		"DOTA_Tooltip_ability_lina_laguna_blade_scepter_description"					"Zmienia typ obrażeń Laguna Blade na pełne, a także pozwala umiejętności ignorować niewrażliwość na czary."

		"DOTA_Tooltip_modifier_lina_fiery_soul"						"Fiery Soul"
		"DOTA_Tooltip_modifier_lina_fiery_soul_Description"			"Zwiększenie szybkości ataku o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek, zwiększenie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		//MIRANA
		"DOTA_Tooltip_ability_mirana_arrow"												"Sacred Arrow"
		"DOTA_Tooltip_ability_mirana_arrow_Description"									"Wystrzeliwuje z zabójczą precyzją dalekosiężną strzałę, która zada obrażenia i ogłuszy pierwszego napotkanego wroga. Czas ogłuszenia (od %arrow_min_stun% do %arrow_max_stun% s) oraz dodatkowe obrażenia (maks. %arrow_bonus_damage% pkt.) obliczane są na podstawie odległości, jaką przebyła strzała. Natychmiast zabija pierwszego creepa niebędącego starożytnym creepem, którego trafi."
		"DOTA_Tooltip_ability_mirana_arrow_Lore"										"Księżycowa energia czyni strzały Księżycowej Księżniczki niezwykle zabójczymi."
		"DOTA_Tooltip_ability_mirana_arrow_Note0"										"Każde 150 jednostek odległości pokonanych przez strzałę wydłuża czas trwania ogłuszenia o pół sekundy oraz zwiększa obrażenia o 14 pkt."
		"DOTA_Tooltip_ability_mirana_arrow_Note1"										"Sacred Arrow może trafić niewidzialne jednostki."
		"DOTA_Tooltip_ability_mirana_arrow_arrow_range"									"ZASIĘG:"
