"lang"
{ 
	"Language" "japanese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"HP"					// $health
		"dota_ability_variable_mana"				"マナ"						// $mana
		"dota_ability_variable_armor"				"アーマー"						// $armor
		"dota_ability_variable_damage"				"ダメージ"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"すべての属性"			// $all
		"dota_ability_variable_attack"				"攻撃速度"				// $attack
		"dota_ability_variable_mana_regen"			"マナ自然回復"			// $mana_regen
		"dota_ability_variable_spell_amp"			"スペルダメージ"				// $spell_amp
		"dota_ability_variable_move_speed"			"移動速度"			// $move_speed
		"dota_ability_variable_evasion"				"回避"					// $evasion
		"dota_ability_variable_selected_attrib"		"選択中の属性"		// $selected_attribute
		"dota_ability_variable_attack_range"		"攻撃範囲 <font color='#7d7d7d'>(Ranged のみ)</font>"	// $attack_range
		"dota_ability_variable_cast_range"			"キャスト範囲"				// $cast_range
//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"属性値ボーナス"
		"DOTA_Tooltip_courier_status_returning"											"ベースに帰還中"			// move dest is the fountain
		"DOTA_Tooltip_courier_status_delivering"										"%s1 にアイテムを配達中"	// moving to a hero

		"DOTA_Tooltip_courier_respawn"													"死亡\n%s1 で復活"
// BUILDING
		"DOTA_Tooltip_ability_backdoor_protection"										"Backdoor Protection"
		"DOTA_Tooltip_ability_backdoor_protection_in_base"								"Backdoor Protection"
		"DOTA_Tooltip_ability_filler_ability_hp_heal"							"HP 自然回復:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal"							"マナ 自然回復:"
		"DOTA_Tooltip_ability_filler_ability_duration"							"持続時間:"
		"DOTA_Tooltip_ability_filler_ability_radius"							"範囲:"

		//COURIER
		"DOTA_Tooltip_ability_courier_return_to_base"									"ベースに戻る"
		"DOTA_Tooltip_ability_courier_return_to_base_Description"						"クーリエをベースに帰す"
		"DOTA_Tooltip_ability_courier_transfer_items"									"アイテムを届ける"
		"DOTA_Tooltip_ability_courier_transfer_items_Description"						"アイテムをヒーローに届ける"
		"DOTA_Tooltip_ability_courier_go_to_secretshop"									"シークレットショップに行く"
		"DOTA_Tooltip_ability_courier_go_to_secretshop_Description"						"クーリエをあなたのチームのシークレットショップへ向かわせる"
		"DOTA_Tooltip_ability_courier_return_stash_items"								"アイテムを戻す"
		"DOTA_Tooltip_ability_courier_return_stash_items_Description"					"アイテムをスタッシュに戻す"
		"DOTA_Tooltip_ability_courier_shield"											"シールド"
		"DOTA_Tooltip_ability_courier_shield_Description"								"クーリエを守る防御シールドを召喚"
		"DOTA_Tooltip_ability_courier_burst"											"Speed Burst"
		"DOTA_Tooltip_ability_courier_burst_Description"								"クーリエの移動速度が%duration$ 秒間上昇する"
		"DOTA_Tooltip_ability_courier_take_stash_items"									"アイテムを取り出す"
		"DOTA_Tooltip_ability_courier_take_stash_items_Description"						"スタッシュからアイテムを取り戻す"
		//NECRONOMICON
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"							"Mana Break"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"				"攻撃するごとにマナを燃焼させ、その一部をダメージとして与える。"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"				"攻撃ごとの燃焼量:"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%ダメージへの変換率:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"Last Will"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"Necronomicon Warriorを倒したユニットにダメージを与える。"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"					"ダメージ:"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight"								"True Sight"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"					"透明のユニットを看破する。"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"						"範囲:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"							"Mana Burn"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"				"対象のマナを燃焼させる矢を発射し、燃焼した値に等しいダメージを与える"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"				"攻撃ごとのマナ燃焼量："
		"DOTA_Tooltip_ability_necronomicon_archer_aoe"									"Archer Aura"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"							"範囲:"
		//ANTIMAGE
		"DOTA_Tooltip_ability_antimage_mana_break"										"Mana Break"
		"DOTA_Tooltip_ability_antimage_mana_break_Lore"									"Turstarkuri 僧の平和的な方法による変換術によって、魔法の対象を詠唱者に変換する。"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"							"攻撃ごとのマナ燃焼量："
		"DOTA_Tooltip_ability_antimage_blink"											"Blink"
		"DOTA_Tooltip_ability_antimage_blink_Description"								"戦闘への出入りを可能にする短距離テレポーテーション。" 
		"DOTA_Tooltip_ability_antimage_blink_Lore"										"死の神との邂逅により、Anti-Mageは回避の真髄を会得した。"
		"DOTA_Tooltip_ability_antimage_spell_shield"									"Spell Shield"
		"DOTA_Tooltip_ability_antimage_spell_shield_Lore"								"長年の瞑想と復讐への執着により、超自然的な敵に対してその皮膚が硬化した。"
		"DOTA_Tooltip_ability_antimage_spell_shield_Note0"								"他の魔法耐性スペルと重なる。"
		"DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"			"%耐性："
		"DOTA_Tooltip_ability_antimage_mana_void"										"Mana Void"
		"DOTA_Tooltip_ability_antimage_mana_void_Lore"									"敵をひざまずかせた後、秘儀を使用した罰を与える。"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana"				"ダメージ:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_ministun"					"スタン持続時間："
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_aoe_radius"					"範囲:"
		//QUEEN OF PAIN
		"DOTA_Tooltip_ability_queenofpain_shadow_strike"								"Shadow Strike"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Lore"							"Akashaの毒にまみれたダガーで、犠牲者の苦しみを長引かせる喜びを得る。"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_movement_slow"					"%移動減速："
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_strike_damage"					"初期ダメージ:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_damage"				"1回ごとのダメージ："
		"DOTA_Tooltip_ability_queenofpain_blink"										"Blink"
		"DOTA_Tooltip_ability_queenofpain_blink_Description"							"戦闘への出入りを可能にする短距離テレポーテーション。"
		"DOTA_Tooltip_ability_queenofpain_blink_Lore"									"Secret Queen の肩書き通り、彼女の与える苦痛から回避不能にする。"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain"								"Scream Of Pain"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Description"					"甲高い叫び声を上げて、周囲の敵にダメージを与える。"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Lore"							"情熱的なAkashaの叫びは彼女の敵を照らし、その魂を奪う."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note0"							"Scream Of Pain は、姿が見えないユニットにも影響する。"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note1"							"Scream Of Pain を避けることはできない。"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_area_of_effect"				"範囲:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave"									"Sonic Wave"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Lore"								"彼女の責め苦の中でも最も強烈なアカシャの音波は哀れな敵を苦痛で飲み込む。"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage"							"ダメージ："
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike"			"Shadow Strike"					
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike_Description"		"断絶的なダメージを受け、移動速度が%fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下する。"
		
		//LINA
		"DOTA_Tooltip_ability_lina_dragon_slave"										"Dragon Slave"
		"DOTA_Tooltip_ability_lina_dragon_slave_Description"							"ドラゴンブレスの呪文を詠唱し、進路上のすべての敵を焼き焦がす炎の波を放つ。"
		"DOTA_Tooltip_ability_lina_dragon_slave_Lore"									"Misrule の焼き焦げた不毛の地で、Lina は砂漠の竜が放つ炎の息を操る術を、遊びで覚えた。"
		"DOTA_Tooltip_ability_lina_dragon_slave_Note0"									"Dragon Slave は最大で 1225 離れたユニットを攻撃できる。"
		"DOTA_Tooltip_ability_lina_light_strike_array"									"Light Strike Array"
		"DOTA_Tooltip_ability_lina_light_strike_array_Description"						"炎の柱を召喚し、敵にダメージとスタンを与える。"
		"DOTA_Tooltip_ability_lina_light_strike_array_Lore"								"Linaの特質は太陽のエネルギーを集中させることを可能にし、意のままに空気を燃やすことができる。"
		"DOTA_Tooltip_ability_lina_light_strike_array_Note0"							"Light Strike Array は範囲内の木々を破壊する。"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_aoe"			"範囲:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_stun_duration"	"スタン持続時間："
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_delay_time"	"詠唱遅延："
		"DOTA_Tooltip_ability_lina_fiery_soul"											"Fiery Soul"
		"DOTA_Tooltip_ability_lina_fiery_soul_Lore"										"踊る炎がLinaの遊び心を具現化し、彼女の赤々と燃え上がる真の姿を引き出す。"
		"DOTA_Tooltip_ability_lina_fiery_soul_Note1"									"アイテムの使用は Fiery Soul を発動しない。"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"			"攻撃速度ボーナス:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_move_speed_bonus"				"%移動速度ボーナス："
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_max_stacks"					"最大スタック数:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_stack_duration"				"持続時間:"
		"DOTA_Tooltip_ability_lina_laguna_blade"										"Laguna Blade"
		"DOTA_Tooltip_ability_lina_laguna_blade_Lore"									"Linaの周りの空気はあまりに強烈に熱くなるので、近づきすぎた敵は白熱する稲妻で焼け焦がされる。"
		"DOTA_Tooltip_ability_lina_laguna_blade_damage"									"ダメージ："
		
		"DOTA_Tooltip_modifier_lina_fiery_soul"						"Fiery Soul"
		"DOTA_Tooltip_modifier_lina_fiery_soul_Description"			"攻撃速度が%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%上昇し、移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%上昇する。"
		//MIRANA
		"DOTA_Tooltip_ability_mirana_arrow"												"Sacred Arrow"
		"DOTA_Tooltip_ability_mirana_arrow_Lore"										"月のエネルギーで高められた月の王女の矢は何よりも強烈だ。"
		"DOTA_Tooltip_ability_mirana_arrow_Note1"										"Sacred Arrow は姿が見えないユニットも攻撃できる。"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_range"									"射程:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_min_stun"								"最短スタン持続時間："
		"DOTA_Tooltip_ability_mirana_arrow_arrow_max_stun"								"最長スタン持続時間："
		"DOTA_Tooltip_ability_mirana_arrow_arrow_bonus_damage"							"最大ボーナスダメージ："
		"DOTA_Tooltip_ability_mirana_invis"												"Moonlight Shadow"
		"DOTA_Tooltip_ability_mirana_invis_Lore"										"Selemeneに仕えるMiranaは地面に影を投げかけ、味方を影の衣で覆い隠すことができる。"
		"DOTA_Tooltip_ability_mirana_invis_Note0"										"影響されたユニットは敵を自動攻撃しない。"
		"DOTA_Tooltip_ability_mirana_invis_fade_delay"									"透明になるまでの時間:"
		"DOTA_Tooltip_ability_mirana_invis_duration"									"持続時間："
		"DOTA_Tooltip_ability_mirana_invis_bonus_movement_speed"						"%移動速度:"
		"DOTA_Tooltip_ability_mirana_leap"												"Leap"
		"DOTA_Tooltip_ability_mirana_leap_Description"									"前方に跳躍し、着地時に激しい咆哮で自身に力を与え、攻撃と移動速度ボーナスを与える。速度ボーナスは%leap_bonus_duration%秒間続く。"
		"DOTA_Tooltip_ability_mirana_leap_Lore"											"戦いのさなか、Miranaを象徴するその白い獣は、存在感を放つ。"
		"DOTA_Tooltip_ability_mirana_leap_leap_distance"								"距離:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus"								"%移動速度ボーナス:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus_as"							"攻撃速度ボーナス："
		"DOTA_Tooltip_ability_mirana_starfall"											"Starstorm"
		"DOTA_Tooltip_ability_mirana_starfall_Lore"										"女神は地層を砕き、王女の必要に応えて力を与える。"
		"DOTA_Tooltip_ability_mirana_starfall_Note0"									"Starstorm は Linken's Sphere でブロックされない。"
		"DOTA_Tooltip_ability_mirana_starfall_Note1"									"Starstorm は姿の見えないユニットを攻撃できない。"
		"DOTA_Tooltip_ability_mirana_starfall_starfall_radius"							"範囲:"
		"DOTA_Tooltip_modifier_mirana_leap_buff"					"Leap"
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow"				"Moonlight Shadow"
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow_Description"	"透明になる。攻撃を行うと一時的に透明が解除される。"
		//LIFESTEALER
		"DOTA_Tooltip_ability_life_stealer_rage"										"Rage"
		"DOTA_Tooltip_ability_life_stealer_rage_Note0"										"キャスト時に、大抵のバフとデバフが取り除かれる。"
		"DOTA_Tooltip_ability_life_stealer_rage_duration"								"持続時間："
		"DOTA_Tooltip_ability_life_stealer_feast"										"Feast"
		"DOTA_Tooltip_ability_life_stealer_feast_Note0"									"Roshan に影響しない。"
		"DOTA_Tooltip_ability_life_stealer_open_wounds"									"Open Wounds"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Note1"							"他の Lifesteal と重なる。"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_heal_percent"					"%ライフ吸収:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_slow_tooltip"					"%最大減速："
		"DOTA_Tooltip_ability_life_stealer_open_wounds_duration"						"持続時間："
		"DOTA_Tooltip_ability_life_stealer_infest"										"Infest"
		"DOTA_Tooltip_ability_life_stealer_infest_damage"								"ダメージ:"
		"DOTA_Tooltip_ability_life_stealer_infest_radius"								"ダメージ範囲:"
		"DOTA_Tooltip_ability_life_stealer_control"										"Control"
		"DOTA_Tooltip_ability_life_stealer_control_Description"							"寄生主の神経系を支配して、内側から移動と攻撃命令ができるようになる。支配されたユニットは Lifestealer の移動速度を共有数。ヒーローには使えない。"
		"DOTA_Tooltip_ability_life_stealer_consume"										"Consume"
		"DOTA_Tooltip_ability_life_stealer_consume_Description"							"宿主の体を内側から喰い破り、破裂させる。"
		"DOTA_Tooltip_ability_life_stealer_assimilate_damage"		"ERUPT ダメージ:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_radius"		"ERUPT 範囲:"		
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject"							"Eject"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_damage_tooltip"		"ERUPT ダメージ:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_radius_tooltip"			"ERUPT 範囲:"		

		"DOTA_Tooltip_modifier_life_stealer_infest"										"宿主に寄生している"

		"DOTA_Tooltip_modifier_life_stealer_rage" "Rage"
		"DOTA_Tooltip_modifier_life_stealer_open_wounds" "Open Wounds"
		"DOTA_Tooltip_modifier_life_stealer_open_wounds_Description"	"移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下する"
		"DOTA_Tooltip_modifier_life_stealer_assimilate" "Assimilated"
		//FURION
		"DOTA_Tooltip_ability_furion_sprout"											"Sprout"
		"DOTA_Tooltip_ability_furion_sprout_Lore"										"木々の異常繁殖は、Nature's Prophetを襲撃した者たちがよく口にする出来事の一つだ。"
		"DOTA_Tooltip_ability_furion_sprout_Note0"										"Sprout は任意のユニットあるいは地点にキャスト可能。"
		"DOTA_Tooltip_ability_furion_sprout_Note1"										"Sprout で作り出された木とヒーローのアビリティの相互作用は通常の木々と同じである。"
		"DOTA_Tooltip_ability_furion_sprout_duration"									"持続時間："
		"DOTA_Tooltip_ability_furion_teleportation"										"Teleportation"
		"DOTA_Tooltip_ability_furion_teleportation_Description"							"マップ上の場所へテレポートする。"
		"DOTA_Tooltip_ability_furion_teleportation_Lore"								"森の中を常に監視し、必要とあらばそれを守る。"
		"DOTA_Tooltip_ability_furion_force_of_nature"									"Nature's Call"
		"DOTA_Tooltip_ability_furion_force_of_nature_Lore"								"VerodiciaはProphetに、神話上の生ける自然の軍隊、Treant Guardを召喚する能力を授けた。"
		"DOTA_Tooltip_ability_furion_force_of_nature_duration"							"TREANTの持続時間:"
		"DOTA_Tooltip_ability_furion_force_of_nature_max_treants"						"TREANTの数:"
		"DOTA_Tooltip_ability_furion_wrath_of_nature"									"Wrath of Nature"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_Lore"								"Verodiciaの憤激を呼び起こし、自然を破壊する者たちを打ち倒す。"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_Note0"								"視界の外のユニットにはダメージを与えない。"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_Note1"								"ミニマップを通してキャスト可能。最も近い標的が選択される。"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_max_targets"						"最大ターゲット数:"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_damage"							"ダメージ："
		"DOTA_Tooltip_modifier_furion_wrathofnature_spawn" "Wrath of Nature"
		//WINDRUNNER
		"DOTA_Tooltip_ability_windrunner_focusfire"										"Focus Fire"
		"DOTA_Tooltip_ability_windrunner_focusfire_Lore"								"通り雨のような連続的な矢による猛攻は、たとえ正確性を犠牲にしていても、他に並ぶものがない程強烈である。"
		"DOTA_Tooltip_ability_windrunner_focusfire_bonus_attack_speed" 					"ボーナス攻撃速度："
		"DOTA_Tooltip_ability_windrunner_focusfire_focusfire_damage_reduction" 			"%攻撃力低下:"
		"DOTA_Tooltip_ability_windrunner_powershot"										"Powershot"
		"DOTA_Tooltip_ability_windrunner_powershot_Lore"								"幼少期の訓練で、標的に到達するまでの軌道にある木をも切り裂くほど強力な矢の放ち方を学んだ。"
		"DOTA_Tooltip_ability_windrunner_powershot_Note0"								"Powershot は範囲内の木々を破壊する。"
		"DOTA_Tooltip_ability_windrunner_powershot_arrow_range"							"射程:"
		"DOTA_Tooltip_ability_windrunner_shackleshot"									"Shackleshot"
		"DOTA_Tooltip_ability_windrunner_shackleshot_Lore"								"Windranger の多彩な弓スキルの中には、太いロープを繋いだ矢で、対象が逃げ出すのを妨害するというものがある。"
		"DOTA_Tooltip_ability_windrunner_shackleshot_Note0"								"敵を２体をくくりつけ、両方にスタンを与える。"
		"DOTA_Tooltip_ability_windrunner_shackleshot_stun_duration"						"SHACKLE 持続時間："
		"DOTA_Tooltip_ability_windrunner_windrun"										"Windrun"
		"DOTA_Tooltip_ability_windrunner_windrun_Lore"									"突風の魔法をかけ、迫り来る攻撃に突撃する。"
		"DOTA_Tooltip_ability_windrunner_windrun_evasion_pct_tooltip"					"%回避:"
		"DOTA_Tooltip_ability_windrunner_windrun_enemy_movespeed_bonus_pct"				"%敵の減速："
		"DOTA_Tooltip_ability_windrunner_windrun_duration"								"持続時間："
		"DOTA_Tooltip_ability_windrunner_windrun_movespeed_bonus_pct"					"%移動速度ボーナス："

		"DOTA_Tooltip_modifier_windrunner_windrun"					"Windrun"
		"DOTA_Tooltip_modifier_windrunner_windrun_Description"		"移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%上昇し、すべての物理攻撃を回避する"
		"DOTA_Tooltip_modifier_windrunner_windrun_slow"				"Windrun Slow"
		"DOTA_Tooltip_modifier_windrunner_windrun_slow_Description"	"Windranger を包む突風により移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下する"
		"DOTA_Tooltip_modifier_windrunner_focusfire"				"Focus Fire"
		//LION
		"DOTA_Tooltip_ability_lion_impale"												"Earth Spike"
		"DOTA_Tooltip_ability_lion_impale_Description"									"直線路に沿って石のスパイクが地面から噴出する。敵ユニットは空中に飛ばされて、落ちた時にスタンとダメージを受ける。"
		"DOTA_Tooltip_ability_lion_impale_Lore"											"悪魔の契約を行使し、地獄の裂け目を開く。"
		"DOTA_Tooltip_ability_lion_impale_duration"										"スタン持続時間："
		"DOTA_Tooltip_ability_lion_voodoo"												"Hex"
		"DOTA_Tooltip_ability_lion_voodoo_Description"									"敵ユニットを無害な動物に変え、すべてのアビリティを無効化する。"
		"DOTA_Tooltip_ability_lion_voodoo_Lore"											"敵対する者の本質をねじ曲げ、強制的に変貌させる。"
		"DOTA_Tooltip_ability_lion_voodoo_Note0"										"分身をすぐさま破壊する。"
		"DOTA_Tooltip_ability_lion_voodoo_duration"										"持続時間："
		"DOTA_Tooltip_ability_lion_mana_drain"											"Mana Drain"
		"DOTA_Tooltip_ability_lion_mana_drain_Description"								"詠唱時 - 対象の敵ユニットのマナを1秒ごとに奪い取り、魔法エネルギーを吸収する。"
		"DOTA_Tooltip_ability_lion_mana_drain_Lore"										"劣った魔術師はDemon Witchの魔力回復の源に過ぎない。"
		"DOTA_Tooltip_ability_lion_mana_drain_duration"									"詠唱時間:"
		"DOTA_Tooltip_ability_lion_mana_drain_mana_per_second"							"秒間マナ:"
		"DOTA_Tooltip_ability_lion_mana_drain_break_distance"							"BREAK 距離:"
		"DOTA_Tooltip_ability_lion_finger_of_death"										"Finger of Death"
		"DOTA_Tooltip_ability_lion_finger_of_death_Lore"								"Lionの醜悪な手は強大な力の源であり、その悪の力によって被害者であふれさせる。"
		"DOTA_Tooltip_ability_lion_finger_of_death_damage"								"ダメージ："
		"DOTA_Tooltip_modifier_lion_impale"						"Spike"
		"DOTA_Tooltip_modifier_lion_impale_Description"			"スタンを受けた。"
		"DOTA_Tooltip_modifier_lion_voodoo_Description"			"あなたはカエルだ。攻撃もスペルの発動もできない。"
		"DOTA_Tooltip_modifier_lion_mana_drain"					"Drain"
		//VENGEFUL
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile"								"Magic Missile"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_Description"					"魔法弾を敵ユニットに放ち、スタンとダメージを与える。"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_Lore"						"簡単な Skywrath の技術である魔法弾は Shendel の第一の報復手段である。"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_magic_missile_stun"			"スタン持続時間："
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_magic_missile_damage"		"ダメージ:"
		"DOTA_Tooltip_ability_vengefulspirit_wave_of_terror"							"Wave of Terror"
		"DOTA_Tooltip_ability_vengefulspirit_wave_of_terror_Lore"						"Shendelの不気味な叫びは彼女が接近していることを示す。"
		"DOTA_Tooltip_ability_vengefulspirit_wave_of_terror_armor_reduction"			"アーマー低下:"
		"DOTA_Tooltip_ability_vengefulspirit_wave_of_terror_vision_duration"			"視界の持続時間:"
		"DOTA_Tooltip_ability_vengefulspirit_command_aura"								"Vengeance Aura"
		"DOTA_Tooltip_ability_vengefulspirit_command_aura_Lore"							"復讐へと燃える不滅の心を彼女と共有していなくとも、 味方は戦闘への熱狂に導かれる。"
		"DOTA_Tooltip_ability_vengefulspirit_command_aura_aura_radius"					"範囲:"
		"DOTA_Tooltip_ability_vengefulspirit_nether_swap"								"Nether Swap"
		"DOTA_Tooltip_ability_vengefulspirit_nether_swap_Lore"							"殉死は復讐の対価としては安いものだ。"
		"DOTA_Tooltip_ability_vengefulspirit_nether_swap_Note1"							"Vengeful Spirit の周囲の木々と対象はスペルがキャストされると破壊される。"
		//"DOTA_Tooltip_ability_vengefulspirit_nether_swap_scepter_radius"		"SCEPTER FEAR RADIUS:"
		//"DOTA_Tooltip_ability_vengefulspirit_nether_swap_scepter_duration"		"SCEPTER FEAR DURATION:"
		
		
		"DOTA_Tooltip_modifier_vengefulspirit_wave_of_terror"					"Wave of Terror"
		"DOTA_Tooltip_modifier_vengefulspirit_wave_of_terror_Description"		"ベースアーマーが%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%低下する。"
		"DOTA_Tooltip_modifier_vengefulspirit_command_aura_effect"				"Vengeance Aura"
		"DOTA_Tooltip_modifier_vengefulspirit_command_negative_aura_effect"		"Vengeance オーラ"
		//WITCHDOCTOR
		"DOTA_Tooltip_ability_witch_doctor_paralyzing_cask"								"Paralyzing Cask"
