"lang"
{
"Language"	"korean"
"#npc_dota_hero_obsidian_destroyer"	"외계 침략자"
"#npc_dota_hero_lycan"	"늑대인간"
"#npc_dota_hero_brewmaster"	"취권도사"
"#npc_dota_hero_shadow_demon"	"그림자 악마"
"#npc_dota_hero_lone_druid"	"고독한 드루이드"
"#npc_dota_hero_chaos_knight"	"혼돈 기사"
"#npc_dota_hero_treant"	"나무정령 수호자"
"#npc_dota_hero_meepo"	"미포"
"#npc_dota_hero_ogre_magi"	"오거 마법사"
"#npc_dota_hero_undying"	"언다잉"
"#npc_dota_hero_rubick"	"루빅"
"#npc_dota_hero_disruptor"	"디스럽터"
"#npc_dota_hero_nyx_assassin"	"닉스 암살자"
"#npc_dota_hero_naga_siren"	"나가 세이렌"
"#npc_dota_hero_keeper_of_the_light"	"빛의 수호자"
"#npc_dota_hero_visage"	"비사지"
"#npc_dota_hero_wisp"	"이오"
"#npc_dota_hero_slark"	"슬라크"
"#npc_dota_hero_medusa"	"메두사"
"#npc_dota_hero_troll_warlord"	"트롤 전쟁군주"
"#npc_dota_hero_centaur"	"켄타우로스 전쟁용사"
"#npc_dota_hero_magnataur"	"마그누스"
"#npc_dota_hero_shredder"	"벌목꾼"
"#npc_dota_hero_bristleback"	"가시멧돼지"
"#npc_dota_hero_tusk"	"얼음폭군"
"#npc_dota_hero_skywrath_mage"	"하늘분노 마법사"
"#npc_dota_hero_abaddon"	"아바돈"
"#npc_dota_hero_elder_titan"	"고대 티탄"
"#npc_dota_hero_legion_commander"	"군단 사령관"
"#npc_dota_hero_ember_spirit"	"불꽃령"
"#npc_dota_hero_earth_spirit"	"대지령"
"#npc_dota_hero_abyssal_underlord"	"지하군주"
"#npc_dota_hero_phoenix"	"불사조"
"#npc_dota_hero_terrorblade"	"테러블레이드"
"#npc_dota_hero_oracle"	"예지자"
"#npc_dota_hero_techies"	"기술단"
"#npc_dota_hero_target_dummy"	"표적 모형"
"#npc_dota_hero_winter_wyvern"	"겨울 비룡"
"#npc_dota_hero_arc_warden"	"번개 감시자"
"#npc_dota_hero_monkey_king"	"원숭이 왕"
"#npc_dota_hero_pangolier"	"천갑검사"
"#npc_dota_hero_dark_willow"	"흑버들"
"#npc_dota_hero_grimstroke"	"그림스트로크"
"#npc_dota_hero_snapfire"	"스냅파이어"
"#npc_dota_hero_void_spirit"	"공허령"
"#npc_dota_hero_mars"	"마르스"
"#npc_dota_hero_hoodwink"	"후드윙크"
"#npc_dota_hero_dawnbreaker"	"여명의 파괴자"
"#DOTA_lobby_type_name_lobby"	"로비"
"#DOTA_lobby_type_name_unranked"	"일반"
"#DOTA_lobby_type_name_ranked"	"랭크"
"#DOTA_lobby_type_name_bot_match"	"봇"
"#DOTA_lobby_type_name_spectator"	"관전자"
"#demo_hero_mode_name"	"체험 영웅"
"#game_mode_lobby_name_0"	"-"
"#game_mode_lobby_name_1"	"자유 선택"
"#game_mode_lobby_name_2"	"캡틴 모드"
"#game_mode_lobby_name_3"	"무작위 선발"
"#game_mode_lobby_name_4"	"개별 선발"
"#game_mode_lobby_name_5"	"전체 무작위"
"#game_mode_lobby_name_6"	"-"
"#game_mode_lobby_name_7"	"다이어타이드"
"#game_mode_lobby_name_8"	"역선택 캡틴 모드"
"#game_mode_lobby_name_9"	"그리빌링"
"#game_mode_lobby_name_10"	"튜토리얼"
"#game_mode_lobby_name_11"	"중부 전투"
"#game_mode_lobby_name_12"	"최소 플레이 영웅"
"#game_mode_lobby_name_13"	"영웅 제한"
"#game_mode_lobby_name_14"	"기록서"
"#game_mode_lobby_name_15"	"맞춤"
"#game_mode_lobby_name_16"	"캡틴 선발"
"#game_mode_lobby_name_17"	"자동 역할 선발"
"#game_mode_lobby_name_18"	"능력 조합"
"#game_mode_lobby_name_20"	"전체 무작위 섬별전"
"#game_mode_lobby_name_21"	"1대1 중부 전담"
"#game_mode_lobby_name_22"	"랭크 자유 선택"
"#game_mode_lobby_name_23"	"쾌속"
"#game_mode_lobby_name_24"	"변형"
"#game_mode_0"	"-"
"#game_mode_1"	"자유 선택"
"#game_mode_2"	"캡틴 모드"
"#game_mode_3"	"무작위 선발"
"#game_mode_4"	"개별 선발"
"#game_mode_5"	"전체 무작위"
"#game_mode_6"	"-"
"#game_mode_7"	"다이어타이드"
"#game_mode_8"	"역선택 캡틴 모드"
"#game_mode_9"	"그리빌링"
"#game_mode_10"	"튜토리얼"
"#game_mode_11"	"중부 전투"
"#game_mode_12"	"최소 플레이 영웅"
"#game_mode_13"	"영웅 제한"
"#game_mode_14"	"기록서"  //aka forced hero
"#game_mode_15"	"맞춤"
"#game_mode_16"	"캡틴 선발"
"#game_mode_17"	"자동 역할 선발"
"#game_mode_18"	"능력 조합"
"#game_mode_19"	"맞춤 게임"
"#game_mode_20"	"전체 무작위 섬멸전"
"#game_mode_21"	"1대1 중부 전담"
"#game_mode_22"	"자유 선택"
"#game_mode_23"	"쾌속"
"#game_mode_24"	"변형"
"#DOTA_Guilds_message_motd"		"오늘의 알림: %param0%"
"#DOTA_Guilds_message_level"	"길드가 %param0%레벨이 되었습니다"
"#DOTA_Guild_message_promoted"	"%requester_persona% 님이 %target_persona% 님을 %guild_role%|으로|로| 승격했습니다"
"#DOTA_Guild_message_demoted"	"%requester_persona% 님이 %target_persona% 님을 %guild_role%|으로|로| 강등했습니다."

}
}
