"lang"
{ 
	"Language" "schinese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"特价！"
		"DOTA_AttribDamage"		"攻击"
		"DOTA_More"			"更多"
		"DOTA_More_ellipses"			"更多……"
		"DOTA_Developer"		"开发者"
		"DOTA_NeedMana"			"%s1秒"
		"DOTA_ManaCost"			"魔法消耗：%s1"
		"DOTA_Basics"			"基础分类"
		"DOTA_Upgrades"			"合成分类"
		"DOTA_Attributes"		"属性"
		"DOTA_LevelLabel"		"等级：%s1"
		"DOTA_StackCount"		"叠加数：%s1"
		"DOTA_Charges"			"能量点数：%s1"
		"DOTA_Aura_Active"		"光环：开启"
		"DOTA_Aura_Inactive"	"光环：关闭"
		"DOTA_Aura_Allied"		"光环：友军"
		"DOTA_Aura_Enemy"	"光环：敌军"
		"DOTA_Health"			"生命值"
		"DOTA_Mana"			"魔法值"
		"DOTA_Skills"			"技能"
		"DOTA_AttributeFooter"		"攻击力：%s1 护甲：%s2"
		"DOTA_UnitSelection_Title"	"单位选择"
		"DOTA_SelectHeroAndCenter"		"选择英雄并使其居中"
		"DOTA_TabUnit"			"在已选择单位中切换"
		"DOTA_ActivateGlyph"	"激活符文"	
		"DOTA_ActivateRadar"	"使用扫描"
		"DOTA_RecentEvent"		"显示最近活动"
		"DOTA_SelectAllOthers"	"全选其他单位"
		"DOTA_SelectAll"	"选择所有单位"
		"DOTA_PurchaseQuickbuy"	"一键快速购买"
		"DOTA_PurchaseSticky"	"一键购买部件"
		"DOTA_GrabStashItems"	"取出储藏处物品"
		"DOTA_Pause"			"暂停"
		"DOTA_Summary"			"概要"
		"DOTA_Lore"				"传说"
		"DOTA_View_Lore"		"查看英雄传说"
		"DOTA_SkillsLabel"		"技能："
		"DOTA_RoleLabel"		"角色："
		"DOTA_Legacy"			"DotA键位"
		"DOTA_CopyHeroBindsForCourier"	"复制英雄页面的键位设置"
		"DOTA_CopyHeroBindsForNeutrals"	"复制英雄页面的键位设置"
		"DOTA_CopyPlayerBinds"			"复制游戏页面的键位设置"
		"DOTA_No_Courier"		"没有信使"	// A courier does not exist
		"DOTA_LocalPlayer"		"本地玩家"
		"DOTA_ViewAll"			"查看全部"
		"DOTA_LearnMore"		"了解更多"
		"DOTA_PointsAvailable"				"可获得积分"
		"DOTA_Hud_Shop_Toggle"		"在网格和竖式商店布局之间切换。"
		"DOTA_DPC"				"DPC"
		"DOTA_ProCircuit"		"职业巡回赛"
		"DOTA_LevelUpAttributes"	"+2 全属性"

		"DOTA_Keybind_ALT"		"ALT键"
		"DOTA_Keybind_SHIFT"	"SHIFT键"
		"DOTA_Keybind_WINDOWS"	"WINDOWS"
		"DOTA_Keybind_COMMAND"	"COMMAND"
		"DOTA_Keybind_GUI"		"GUI"
		"DOTA_Keybind_CTRL"		"CTRL"

		"CopyToClipboard"			"复制到剪贴板"

		//top bar
		"TimeOfDay_Day"			"白天"
		"TimeOfDay_Night"		"夜间"
		"TimeOfDay_am"			"点（上午）"
		"TimeOfDay_pm"			"点（下午）"
		"DOTA_Tooltip_topbar_dashboard"		"记分板"
		"DOTA_Tooltip_topbar_chat"		"聊天"
		"DOTA_Tooltip_topbar_score"		"计分板"
		"DOTA_Tooltip_topbar_guide"		"向导"
		"DOTA_Tooltip_topbar_log"		"日志"
		"DOTA_Tooltip_topbar_stats"		"状态"
		"DOTA_Tooltip_topbar_spectate"		"观战"
		"DOTA_Tooltip_topbar_disconnect"	"断开连接"
		"spectate_autospeed_label"		"自动调速"
		"spectate_chatenabled_label"	"观众聊天"
		"new_store_items"		"最新商店物品"

		//Connection
		"Dota2LauncherOutOfDate"			"DOTA2启动器版本过低"
		"SteamClientOutOfDate"				"Steam客户端无法找到或版本过低"
		"DOTA_CustomGame_LaunchError"		"启动自定义地图失败"

		// Stat Tooltip - these are for scaleform - new ones lives in panorama dota_english - leaving these here for now in case of legacy uses
		"DOTA_StatTooltip_Header"	"英雄属性：\n\n"
		"DOTA_StatTooltip_Strength"		"力量："
		"DOTA_StatTooltip_Agility"		"敏捷："
		"DOTA_StatTooltip_Intelligence"	"智力："
		"DOTA_StatTooltip_PrimaryAttrib"	"主要属性\n"

		"DOTA_StatTooltip_StrengthBonus"	"- 每点增加20点生命值\n- 每点提升0.03点/秒生命恢复\n"
		"DOTA_StatTooltip_AgilityBonus"		"- 每7点增加1点护甲\n- 每点提升1攻击速度\n"
		"DOTA_StatTooltip_IntelligenceBonus"	"- 每点增加12点魔法值上限\n- 每点提升0.04点/秒魔法恢复\n- 每16点增加1%技能伤害\n"
		"DOTA_StatTooltip_TotalAttributesSkilled"	"属性附加等级："
		"DOTA_StatTooltip_GainPerLevel"		"- 英雄每升一级获得点数：%s1\n"

		"DOTA_StatTooltip_PrimaryBonus"	"- 每点属性增加1点攻击力\n"

		"DOTA_StatTooltip_Buyback" "当前买活花费：%s1\n"
		"DOTA_StatTooltip_Buyback_Ready"		"买活就绪"
		"DOTA_StatTooltip_Buyback_Cooldown"		"%s1后买活就绪"
		"DOTA_StatTooltip_Buyback_GoldLimit"	"%s1内无法获得不可靠金钱"
		"DOTA_Buyback"	"买活"
		"DOTA_NoBuyback"	"没有买活"
		"DOTA_LevelUp"	"升级"
		"DOTA_Stash"	"储藏处"
		"DOTA_Inventory_Grab_All"	"全部拿走"
		"DOTA_Stash_QueueForPickup"	"排队进入信使运送"

		// Damage/Armor Tooltip
		"DOTA_DmgArmorTooltip_AttackSpeed"	"攻击速度： "
		"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"秒攻击一次"
		"DOTA_DmgArmorTooltip_MoveSpeed"	"移动速度： "

		"DOTA_DmgArmorTooltip_AttackDamage"	"攻击伤害："
		"DOTA_DmgArmorTooltip_AttackRange"	"攻击距离："

		"DOTA_DmgArmorTooltip_Armor"		"物理护甲："
		"DOTA_DmgArmorTooltip_DmgResist"	"物理伤害抗性："

		"DOTA_DmgArmorTooltip_MagicArmor"	"魔法护甲："
		"DOTA_DmgArmorTooltip_MagicDmgResist"	"魔法伤害抗性："

		"DOTA_DmgArmorTooltip_SpellAmp"	"技能伤害增强："

		//Ultimate Scepter Upgrade
		"DOTA_Tooltip_Ultimate_Upgrade"		"升级："
		"DOTA_Tooltip_Ultimate_Grant"		"加成效果："

		// Frostivus
		"DOTA_Vassals"			"诸侯"
		
		// Nian
		"DOTA_Defenders"				"防御方"
		"dota_watch_recentgame_status"	"大战年兽"

		// Spectating/Replays
		"DOTA_GoodGuys"			"天辉"
		"DOTA_BadGuys"			"夜魇"
		"DOTA_GoodGuysCaps"			"天辉"
		"DOTA_BadGuysCaps"			"夜魇"
		"DOTA_GoodGuysShort"		"天辉"
		"DOTA_BadGuysShort"			"夜魇"
		"DOTA_Towers"			"剩余防御塔数：%s1"
		"DOTA_Barracks"			"兵营数：%s1"
		
		// Captains Mode
		"Captains Mode"			"队长模式"
		"timeline_ban"			"禁用"
		"timeline_pick"			"挑选"
		
		// Keybindings
		"DOTA_NotAvailable"		"不可用"
		"DOTA_MoveForward"		"视角前移"
		"DOTA_MoveBack"			"视角后移"
		"DOTA_MoveLeft"			"视角左移"
		"DOTA_MoveRight"		"视角右移"
		"DOTA_CameraGrip"		"防止视角切换"
		"DOTA_HeroSelect"		"选择英雄"
		"DOTA_HeroCenter"		"英雄置中"
		"DOTA_HeroMoveHome"		"英雄返回基地"
		"DOTA_ControlGroupCycle"	"下个单位"
		"DOTA_ControlGroupCyclePrev"	"上个单位"
		"DOTA_ControlGroup1"		"第1组"
		"DOTA_ControlGroup2"		"第2组"
		"DOTA_ControlGroup3"		"第3组"
		"DOTA_ControlGroup4"		"第4组"
		"DOTA_ControlGroup5"		"第5组"
		"DOTA_ControlGroup6"		"第6组"
		"DOTA_ControlGroup7"		"第7组"
		"DOTA_ControlGroup8"		"第8组"
		"DOTA_ControlGroup9"		"第9组"
		"DOTA_ControlGroup10"		"第10组"
		"DOTA_Escape"			"取消键"
		"DOTA_Scoreboard"		"计分板"
		"DOTA_Screenshot"		"截图"
		"DOTA_Voice"			"语音"
		"DOTA_VoiceLane"		"语音线路"
		"DOTA_ChatWheel"		"聊天轮盘"
		"DOTA_ChatGlobal"		"聊天（所有人）"
		"DOTA_ChatTeam"			"聊天（队友）"
		"DOTA_Learn_Abilities"	"学习技能"
		"DOTA_Learn_Stats"		"提升属性"
		"DOTA_UseActionItem_Key"	"主动物品"
		"DOTA_HeroTaunt_Key"		"嘲讽物品"
		"DOTA_ChatPhraseSelect"		"请选择词组"
		"UI_ChatSettings"			"键位"
		"UI_ChatPhrases"			"词组"
		"Chat_Wheel_Customize"		"对聊天轮盘上出现的词组进行自定义"
		"DOTA_ChatWheel_AllMessage"	"（所有人）%s1"
		"DOTA_InspectHeroInWorld"	"查看英雄"
		"DOTA_InspectHeroInWorld_Error_EnemySelected"	"只能对友方单位使用展示视角"
		"DOTA_InspectHeroInWorld_Error_FreeCamOnly"		"展示视角只能在自由视角下使用"
		"DOTA_InspectHeroInWorld_Error_Dead"			"死亡"
		
		"dota_chatwheel_label_Ok"				"好的"
		"dota_chatwheel_label_Care"				"小心"
		"dota_chatwheel_label_GetBack"			"撤退"
		"dota_chatwheel_label_NeedWards"		"需要眼"
		"dota_chatwheel_label_Stun"				"上去控"
		"dota_chatwheel_label_Help"				"来帮我"
		"dota_chatwheel_label_Push"				"推进"
		"dota_chatwheel_label_GoodJob"			"漂亮"
		"dota_chatwheel_label_Missing"			"人不见了"
		"dota_chatwheel_label_Missing_Top"		"上路不见了"
		"dota_chatwheel_label_Missing_Mid"		"中路不见了"
		"dota_chatwheel_label_Missing_Bottom"	"下路不见了"
		"dota_chatwheel_label_Go"					"上！"
		"dota_chatwheel_label_Initiate"				"快先手！"
		"dota_chatwheel_label_Follow"				"跟着我"
		"dota_chatwheel_label_Group_Up"				"别走散"
		"dota_chatwheel_label_Spread_Out"			"站位要分散"
		"dota_chatwheel_label_Split_Farm"			"分头打钱去"
		"dota_chatwheel_label_Attack"				"现在攻击！"
		"dota_chatwheel_label_BRB"					"马上回来"
		"dota_chatwheel_label_Dive"					"快冲！"
		"dota_chatwheel_label_OMW"					"我马上到"
		"dota_chatwheel_label_Get_Ready"			"快准备好"
		"dota_chatwheel_label_Bait"					"上去卖"
		"dota_chatwheel_label_Heal"					"快加血"
		"dota_chatwheel_label_Mana"					"快加魔"
		"dota_chatwheel_label_OOM"					"没魔了"
		"dota_chatwheel_label_Skill_Cooldown"		"冷却中"
		"dota_chatwheel_label_Ulti_Ready"			"大招好了"
		"dota_chatwheel_label_Enemy_Returned"		"敌人回来了"
		"dota_chatwheel_label_All_Missing"			"全体失踪"
		"dota_chatwheel_label_Enemy_Incoming"		"敌人要来了"
		"dota_chatwheel_label_Invis_Enemy"			"附近有隐身敌人"
		"dota_chatwheel_label_Enemy_Had_Rune"		"敌人拿到符了"
		"dota_chatwheel_label_Split_Push"			"分开推进"
		"dota_chatwheel_label_Coming_To_Gank"		"我来抓人了"
		"dota_chatwheel_label_Request_Gank"			"需要gank"
		"dota_chatwheel_label_Fight_Under_Tower"	"塔下强杀"
		"dota_chatwheel_label_Deny_Tower"			"快反补塔"
		"dota_chatwheel_label_Buy_Courier"			"快买信使"
		"dota_chatwheel_label_Upgrade_Courier"		"快升级信使"
		"dota_chatwheel_label_Need_Detection"		"需要反隐物品"
		"dota_chatwheel_label_They_Have_Detection"	"他们有反隐物品"
		"dota_chatwheel_label_Buy_TP" 				"快买回城"
		"dota_chatwheel_label_Reuse_Courier"		"再用下信使"
		"dota_chatwheel_label_Deward"				"反眼"
		"dota_chatwheel_label_Building_Mek"			"我在做梅肯"
		"dota_chatwheel_label_Building_Pipe"		"我在做笛子"
		"dota_chatwheel_label_Stack_And_Pull"		"先堆野再拉"
		"dota_chatwheel_label_Pull"					"请拉野"
		"dota_chatwheel_label_Pulling"				"我去拉野"
		"dota_chatwheel_label_Stack"				"我要堆野"
		"dota_chatwheel_label_Jungling"				"我在打野"
		"dota_chatwheel_label_Roshan"				"肉山"
		"dota_chatwheel_label_Affirmative"			"没问题"
		"dota_chatwheel_label_Wait"					"等等"
		"dota_chatwheel_label_Pause"				"暂停"
		"dota_chatwheel_label_Current_Time"			"现在时间"
		"dota_chatwheel_label_Check_Runes"			"去看符"
		"dota_chatwheel_label_Smoke_Gank"			"来开雾抓人！"
		"dota_chatwheel_label_GLHF"					"祝你好运"
		"dota_chatwheel_label_Nice"					"很好"
		"dota_chatwheel_label_Thanks"				"谢谢"
		"dota_chatwheel_label_Sorry"				"对不起"
		"dota_chatwheel_label_No_Give_Up"			"别放弃"
		"dota_chatwheel_label_Just_Happened"		"是不是亮瞎了"
		"dota_chatwheel_label_Game_Is_Hard"			"这游戏太难玩"
		"dota_chatwheel_label_New_Meta"				"野路子"
		"dota_chatwheel_label_My_Bad"				"我的错"
		"dota_chatwheel_label_Regret"				"我后悔了"
		"dota_chatwheel_label_Relax"				"别激动"
		"dota_chatwheel_label_GG"					"GG"
		"dota_chatwheel_label_GGWP"					"GGWP"
		"dota_chatwheel_label_All_GG"				"（所有人）GG"
		"dota_chatwheel_label_All_GGWP"				"（所有人）GGWP"
		"dota_chatwheel_label_What_To_Buy"			"我该出什么装备？"
		"dota_chatwheel_label_Im_Retreating"		"我要撤了"
		"dota_chatwheel_label_Space_Created"		"能缓一缓了"
		"dota_chatwheel_label_Whoops"				"我的锅"
		"dota_chatwheel_label_Tower_then_Back"		"推完塔就撤"
		"dota_chatwheel_label_Barracks_then_Back"	"推掉兵营就撤"
		"dota_chatwheel_label_Ward_Bottom_Rune"		"给下路符点插眼"
		"dota_chatwheel_label_Ward_Top_Rune"		"给上路符点插眼"
		"dota_chatwheel_label_Zeus_Ult"				"宙斯快放大"
		"dota_chatwheel_label_Rimshot"				"Ba-dum tishh"
		"dota_chatwheel_label_Charge"				"冲锋"
		"dota_chatwheel_label_Frog"					"青蛙"
		"dota_chatwheel_label_Crash_and_Burn"		"坠毁"
		"dota_chatwheel_label_Applause"				"鼓掌"
		"dota_chatwheel_label_Sad_Trombone"			"悲伤长号"
		"dota_chatwheel_label_Crickets"				"蟋蟀"
		"dota_chatwheel_label_Drum_Roll"			"击鼓"
		"dota_chatwheel_label_Headshake"			"摇头"
		"dota_chatwheel_label_Crybaby"				"爱哭鬼"
		"dota_chatwheel_label_Day_Night_Cycle"		"白昼/夜晚循环"
		"dota_chatwheel_label_Bockbock"				"咯咯"
		"dota_chatwheel_label_Kiss"					"亲亲"
		"dota_chatwheel_label_Ow"					"嗷嗷"
		"dota_chatwheel_label_Party_Horn"			"喇叭"
		"dota_chatwheel_label_Snore"				"打呼"
		"dota_chatwheel_label_Yahoo"				"野人"
		"dota_chatwheel_label_Greevil_Laughter"			"贪魔笑声"
		"dota_chatwheel_label_Sparkling_Celebration"	"闪耀之庆"
		"dota_chatwheel_label_Frostivus_Magic"			"迎霜节魔法"
		"dota_chatwheel_label_Sleighbells"				"雪橇铃铛"
		"dota_chatwheel_label_Oink_Oink"				"哼哼"
		"dota_chatwheel_label_Ceremonial_Drums"			"敲鼓"
		"dota_chatwheel_label_Kooka_Laugh"				"笑翠鸟笑声"
		"dota_chatwheel_label_Monkey_Business"			"猢狲把戏"
		"dota_chatwheel_label_Orangutan_Kiss"			"肥猩猩飞吻"
		"dota_chatwheel_label_Mosquito_Buzz"			"蚊子嗡嗡声"
		"dota_chatwheel_label_Crowd_Groan"				"人群叹息"
		"dota_chatwheel_label_Head_Bonk"				"头部撞击"
		"dota_chatwheel_label_Mic_Drop"					"丢下话筒"
		"dota_chatwheel_label_Record_Scratch"			"唱片刮擦"
		"dota_chatwheel_label_Ta_Daaaaaa"				"嗒哒～"
		"dota_chatwheel_label_Negative"					"不行"
		"dota_chatwheel_label_Not_Yet"					"尚未就绪"
		"dota_chatwheel_label_HappyPenguin"				"快乐的企鹅"
		"dota_chatwheel_label_AnnoyedPenguin"			"愤怒的企鹅"
		"dota_chatwheel_label_FastPenguin"				"迅猛的企鹅"
		"dota_chatwheel_label_newbloom_firecrackers"	"鞭炮！"
		"dota_chatwheel_label_Celebratory_Gong"			"鸣锣"
		"dota_chatwheel_label_Black_Cat"				"黑猫"
		"dota_chatwheel_label_Ghost"					"鬼魂"
		"dota_chatwheel_label_Nightmare"				"噩梦"
		"dota_chatwheel_label_Scream"					"尖叫"
		"dota_chatwheel_label_Stabby"					"突如其来"
		"dota_chatwheel_label_Laugh"					"大笑"

		"dota_chatwheel_label_Candy_From_A_Baby"	"就像拿走婴孩的糖果"
		"dota_chatwheel_message_Candy_From_A_Baby" "就像拿走婴孩的糖果。没命的婴孩。"
		
		"dota_chatwheel_label_Moon_Drives_You"	"狂月让你"
		"dota_chatwheel_message_Moon_Drives_You"	"狂月让你头脑发热！"
		
		"dota_chatwheel_label_One_by_One"	"一个接一个"
		"dota_chatwheel_message_One_by_One"	"他们一个接一个倒下！"

		"dota_chatwheel_label_Celebrate"	"庆祝！"
		"dota_chatwheel_message_Celebrate"	"在癫狂之月的光芒下庆祝！"

		"dota_chatwheel_label_Something_Dire"	"可怕的东西……"
		"dota_chatwheel_message_Something_Dire"	"可怕的东西朝这边来了。"

		"dota_chatwheel_label_Woods_Begin"	"幽林开始"
		"dota_chatwheel_message_Woods_Begin"	"幽林开始动荡！"

		"dota_chatwheel_label_Reap_Your_Harvest"	"收获你的成果"
		"dota_chatwheel_message_Reap_Your_Harvest"	"收获你的成果，保护你的灵魂！"

		
		"dota_chatwheel_header_positioning"			"走位"
		"dota_chatwheel_header_status"				"状态"
		"dota_chatwheel_header_enemy"				"敌人"
		"dota_chatwheel_header_lane"				"分路"
		"dota_chatwheel_header_items"				"装备"
		"dota_chatwheel_header_neutrals"			"野怪"
		"dota_chatwheel_header_misc"				"其他"
		"dota_chatwheel_header_flavor"				"情感"
		"dota_chatwheel_header_international2017"		"2017年国际邀请赛"
		"dota_chatwheel_header_international2017_desc"	"这些信息为2017年国际邀请赛勇士令状玩家专属限定。"
		"dota_chatwheel_header_international2018_sounds"		"2018年国际邀请赛 - 音效"
		"dota_chatwheel_header_international2018_sounds_desc"	"这些消息为2018年国际邀请赛勇士令状玩家专属限定。"
		"dota_chatwheel_header_international2018_casters"		"2018年国际邀请赛 - 解说"
		"dota_chatwheel_header_international2018_casters_desc"	"这些消息为2018年国际邀请赛勇士令状玩家专属限定。"
		"dota_chatwheel_header_international2018_sprays"		"2018年国际邀请赛 - 喷绘"
		"dota_chatwheel_header_international2018_sprays_desc"	"在地图上留下个人印记！2018年国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_international2018_legacy"		"2018年国际邀请赛 - 重演"
		"dota_chatwheel_header_international2018_legacy_desc"	"享受2017年国际邀请赛勇士令状的最爱之声！2018年国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_plus_sounds"		"刀塔Plus"
		"dota_chatwheel_header_plus_sounds_desc"	"刀塔Plus会员可用碎片购买。"
		"dota_chatwheel_header_plus_sounds_link"	"查看Plus奖励"
		"dota_chatwheel_header_frostivus_2018_sounds"		"凌霜圣地"
		"dota_chatwheel_header_frostivus_2018_sounds_desc"	"在凌霜圣地活动中升级即可赢取。<br><br>这些信息为活动限定，将在2月1日过期消失。"
		"dota_chatwheel_header_frostivus_2018_sounds_link"	"查看活动"
		"dota_chatwheel_header_newbloom_2019_sounds"		"芳晓佳节"
		"dota_chatwheel_header_newbloom_2019_sounds_desc"	"在芳晓佳节活动中升级即可赢取。<br><br>这些消息为活动限定，将在3月1日过期消失。"
		"dota_chatwheel_header_newbloom_2019_sounds_link"	"查看活动"
		"dota_chatwheel_header_international2019_sounds"		"2019年国际邀请赛 - 音效"
		"dota_chatwheel_header_international2019_sounds_desc"	"仅对2019年国际邀请赛勇士令状玩家开放。"
		"dota_chatwheel_header_international2019_sprays"		"2019年国际邀请赛 - 喷绘"
		"dota_chatwheel_header_international2019_sprays_desc"	"在地图上留下个人印记！2019年国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_international2019_casters"		"2019年国际邀请赛 - 解说"
		"dota_chatwheel_header_international2019_casters_desc"	"这些消息为2019年国际邀请赛勇士令状玩家专属限定。"
		"dota_chatwheel_header_international2019_legacy_2017"		"2019年国际邀请赛 - 重演"
		"dota_chatwheel_header_international2019_legacy_2017_desc"	"享受2017年国际邀请赛勇士令状的最爱之声！2019年国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_international2019_legacy_2018"		"2019年国际邀请赛 - 重演"
		"dota_chatwheel_header_international2019_legacy_2018_desc"	"享受2018年国际邀请赛勇士令状的最爱之声！2019年国际邀请赛勇士令状玩家独家专属。"


		"dota_chatwheel_header_guilds"				"公会"
		"dota_chatwheel_header_guilds_desc"			"通过每周公会排行榜解锁。"
		"dota_chatwheel_header_guilds_link"			"查看公会"


		"dota_chatwheel_header_international2019_casters_korean"	"2019年国际邀请赛 - 韩语解说包"
		"dota_chatwheel_header_international2019_casters_korean_desc" "2019年国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_international2019_casters_epic"	"2019年国际邀请赛 - 史诗解说语音包"
		"dota_chatwheel_header_international2019_casters_epic_desc" "2019年国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_frostivus_2019_sounds"		"迎霜节"
		"dota_chatwheel_header_frostivus_2019_sounds_desc"	"在迎霜节活动中升级即可赢取。<br><br>这些信息为活动限定，将在1月16日过期消失。"
		"dota_chatwheel_header_frostivus_2019_sounds_link"	"查看活动"
		"dota_chatwheel_header_newbloom_2020_sounds"		"芳晓佳节"
		"dota_chatwheel_header_newbloom_2020_sounds_desc"	"在芳晓佳节活动中升级即可赢取。<br><br>这些消息为活动限定，将在2月17日过期消失。"
		"dota_chatwheel_header_newbloom_2020_sounds_link"	"查看活动"
		
		"dota_chatwheel_header_international2020_sounds"		"第10届国际邀请赛 - 音效"
		"dota_chatwheel_header_international2020_sounds_desc"	"仅对第10届国际邀请赛勇士令状玩家开放。"
		"dota_chatwheel_header_international2020_casters"		"第10届国际邀请赛 - 解说"
		"dota_chatwheel_header_international2020_casters_desc"	"仅对第10届国际邀请赛勇士令状玩家开放。"
		"dota_chatwheel_header_international2020_legacy_2019"		"第10届国际邀请赛 - 重演"
		"dota_chatwheel_header_international2020_legacy_2019_desc"	"享受2019年国际邀请赛勇士令状的最爱之声！第10届国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_international2020_legacy_epic_2019"		"第10届国际邀请赛 - 史诗重演"
		"dota_chatwheel_header_international2020_legacy_epic_2019_desc"	"享受2019年国际邀请赛的史诗级解说语音包！第10届国际邀请赛勇士令状玩家独家专属。"
		"dota_chatwheel_header_international2020_sprays"		"第10届国际邀请赛 - 喷绘"
		"dota_chatwheel_header_international2020_sprays_desc"	"在地图上留下个人印记！第10届国际邀请赛勇士令状玩家独家专属。"


		"dota_chatwheel_message_Ok"					"好的。"
		"dota_chatwheel_message_Care"				"小心！"
		"dota_chatwheel_message_GetBack"			"撤退！"
		"dota_chatwheel_message_NeedWards"			"我们需要眼。"
		"dota_chatwheel_message_Stun"				"上去控他！"
		"dota_chatwheel_message_Help"				"帮帮我！"
		"dota_chatwheel_message_Push"				"赶快推"
		"dota_chatwheel_message_GoodJob"			"漂亮！"
		"dota_chatwheel_message_Missing"			"人不见了！"
		"dota_chatwheel_message_Missing_Top"		"上路不见了！"
		"dota_chatwheel_message_Missing_Mid"		"中路不见了！"
		"dota_chatwheel_message_Missing_Bottom"		"下路不见了！"
		"dota_chatwheel_message_Go"					"上啊！"
		"dota_chatwheel_message_Initiate"			"快先手！"
		"dota_chatwheel_message_Follow"				"跟着我"
		"dota_chatwheel_message_Group_Up"			"别走散了"
		"dota_chatwheel_message_Spread_Out"			"站位要分散"
		"dota_chatwheel_message_Split_Farm"			"我们分头打钱"
		"dota_chatwheel_message_Attack"				"现在上啊！"
		"dota_chatwheel_message_BRB"				"我马上回来"
		"dota_chatwheel_message_Dive"				"快冲进去！"
		"dota_chatwheel_message_OMW"				"我马上就到"
		"dota_chatwheel_message_Get_Ready"			"快准备好"
		"dota_chatwheel_message_Bait"				"上去卖"
		"dota_chatwheel_message_Heal"				"快加血"
		"dota_chatwheel_message_Mana"				"快加魔"
		"dota_chatwheel_message_OOM"				"我没魔了"
		"dota_chatwheel_message_Skill_Cooldown"		"技能还在冷却"
		"dota_chatwheel_message_Ulti_Ready"			"大招已经好了"
		"dota_chatwheel_message_Enemy_Returned"		"敌人回来了"
		"dota_chatwheel_message_All_Missing"		"敌方英雄全都不见了！"
		"dota_chatwheel_message_Enemy_Incoming"		"敌人快来了！"
		"dota_chatwheel_message_Invis_Enemy"		"附近有隐身敌人！"
		"dota_chatwheel_message_Enemy_Had_Rune"		"敌人拿到符了"
