"lang"
{ 
	"Language" "italian" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"di salute"					// $health
		"dota_ability_variable_mana"				"di mana"						// $mana
		"dota_ability_variable_armor"				"di armatura"						// $armor
		"dota_ability_variable_damage"				"di danno"					// $damage
		"dota_ability_variable_str"					"di Forza"					// $str
		"dota_ability_variable_int"					"di Intelligenza"				// $int
		"dota_ability_variable_agi"					"di Agilità"					// $agi
		"dota_ability_variable_all"					"a tutti gli attributi"			// $all
		"dota_ability_variable_primary_attribute"	"all'attributo primario"			// $primary_attribute
		"dota_ability_variable_attack"				"di velocità di attacco"				// $attack
		"dota_ability_variable_hp_regen"			"di rigenerazione della salute"		// $hp_regen
		"dota_ability_variable_lifesteal"			"di prosciugamento della salute"					// $lifesteal
		"dota_ability_variable_mana_regen"			"di rigen. del mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"di rigen. del mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"di danno degli incantesimi"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"alla durata degli effetti negativi"			// $debuff_amp
		"dota_ability_variable_move_speed"			"di velocità di movimento"			// $move_speed
		"dota_ability_variable_evasion"				"di elusività"					// $evasion
		"dota_ability_variable_spell_resist"		"di resistenza alla magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"di prosciugamento dagli incantesimi"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"di prosciugamento dagli incantesimi (creep)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"di prosciugamento dagli incantesimi (Eroi)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"all'attributo selezionato"		// $selected_attribute
		"dota_ability_variable_attack_range"		"di gittata d'attacco <font color='#7d7d7d'>(solo a distanza)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"di gittata d'attacco <font color='#7d7d7d'>(solo da mischia)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"di gittata di lancio"				// $cast_range
		"dota_ability_variable_status_resist"		"di resistenza agli stati"			// $status_resist
		"dota_ability_variable_projectile_speed"	"di velocità dei proiettili"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"di riduzione dei costi in mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"di riduzione dei tempi di ricarica"		// $cooldown_reduction 

		"dota_ability_variable_damage_int_hero"	"di danno (Eroi Intelligenza)"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_description"					"Controincantesimo crea un'aura passiva che riduce il danno degli incantesimi nemici. La riduzione è maggiore per i nemici a distanza ravvicinata."
		"DOTA_Tooltip_ability_antimage_counterspell_shard_radius"							"RAGGIO:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_aura_range"					"RAGGIO DELLA RIDUZIONE MAGGIORE:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_spell_damage_reduction_pct"		"%RIDUZIONE DEL DANNO DEGLI INCANTESIMI:"
		"DOTA_Tooltip_ability_antimage_counterspell_shard_bonus_spell_damage_reduction_pct"	"%RIDUZIONE DEL DANNO DEGLI INCANTESIMI (NEMICI VICINI):"
		"DOTA_Tooltip_ability_antimage_counterspell_Lore"						"Con la giusta concentrazione, l'Anti-Mago trasforma la sua resistenza innata in una vendetta ben calcolata."
		"DOTA_Tooltip_ability_antimage_counterspell_magic_resistance"					"%RESISTENZA ALLA MAGIA:"
		"DOTA_Tooltip_ability_antimage_counterspell_duration"							"DURATA:"
		"DOTA_Tooltip_ability_antimage_mana_void"										"Implosione del mana"
		"DOTA_Tooltip_ability_antimage_mana_void_Description"							"Nome in inglese: <b><font color='#F2A93E'>Mana Void</font></b>\n\nDanneggia l'Unità nemica bersagliata e quelle che le si trovano intorno in base ad ogni punto di mana mancante dal bersaglio originale. L'Unità bersagliata viene anche stordita brevemente."
		"DOTA_Tooltip_ability_antimage_mana_void_Lore"									"Dopo aver messo in ginocchio i propri nemici, l'Anti-Mago li punisce per il loro uso delle arti arcane."
		"DOTA_Tooltip_ability_antimage_mana_void_Note0"									"Il danno è calcolato in base al mana dell'obiettivo primario, ma viene applicato a tutti i nemici nella sua area di effetto."
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana"				"DANNO:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_ministun"					"DURATA DELLO STORDIMENTO:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_aoe_radius"					"RAGGIO:"
		"DOTA_Tooltip_ability_antimage_mana_overload"									"Baleno illusorio"
		"DOTA_Tooltip_ability_antimage_mana_overload_Description"						"Nome in inglese: <b><font color='#F2A93E'>Blink Fragment</font></b>\n\nTeletrasporta un'illusione verso il nemico o il punto bersagliato. L'illusione attaccherà il bersaglio per un breve periodo. L'effetto di Controincantesimo viene replicato anche su questa illusione. L'abilità ha 3 cariche."
		"DOTA_Tooltip_ability_antimage_mana_overload_duration"							"DURATA DELL'ILLUSIONE:"
		"DOTA_Tooltip_ability_antimage_mana_overload_outgoing_damage"					"%DANNO INFLITTO DALL'ILLUSIONE:"
		
		"DOTA_Tooltip_ability_antimage_mana_focus"										"Focus di mana"
		"DOTA_Tooltip_ability_antimage_mana_focus_Description"							"Nome in inglese: <b><font color='#F2A93E'>Mana Focus</font></b>\n \nAnti-Mage crea un'aura di antimagia, aumentando il costo degli incantesimi nemici e ottenendo una carica di Infrangi-mana per ogni incantesimo lanciato dai nemici. La velocità d'attacco di Anti-Mage viene aumentata passivamente per ogni carica di Infrangi-mana."
		"DOTA_Tooltip_ability_antimage_mana_focus_Lore"									"Dopo aver messo in ginocchio i propri nemici, l'Anti-Mago li punisce per il loro uso delle arti arcane."
		"DOTA_Tooltip_ability_antimage_mana_focus_Note0"								"Durante l'utilizzo di Focus di mana, Anti-Mage può accumulare fino al doppio delle cariche di Infrangi-mana."
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_aspd_per_stack"				"VELOCITÀ D'ATTACCO PER CARICA DI INFRANGI-MANA:"
		"DOTA_Tooltip_ability_antimage_mana_focus_duration"							"DURATA:"
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_spell_cost"					"%AUMENTO DEL COSTO IN MANA:"
		

		"DOTA_Tooltip_modifier_antimage_counterspell"									"Scudo di Controincantesimo"
		"DOTA_Tooltip_modifier_antimage_counterspell_Description"									"Tutti gli incantesimi che ti hanno bersagliato vengono bloccati e rispediti al nemico."
		"DOTA_Tooltip_modifier_antimage_mana_void"										"Tempo di ricarica aumentato"
		"DOTA_Tooltip_modifier_antimage_mana_void_Description"							"I tempi di ricarica delle abilità sono stati aumentati a causa di Implosione del mana."
		"DOTA_Tooltip_modifier_antimage_dampen_magic"									"Debolezza magica"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_Description"						"Riduce del %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% il danno inflitto dagli incantesimi lanciati"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus"								"Debolezza magica (prossimità)"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus_Description"					"La vicinanza di Anti-Mage amplifica l'effetto di Debolezza magica."

		//QUEEN OF PAIN
		"DOTA_Tooltip_ability_queenofpain_shadow_strike"								"Attacco d'ombra"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Description"					"Nome in inglese: <b><font color='#F2A93E'>Shadow Strike</font></b>\n \nScaglia un pugnale avvelenato che infligge ingenti danni iniziali e che continua a danneggiare nel tempo. L'Unità avvelenata si muoverà più lentamente per %duration% secondi. Il danno viene inflitto ogni %damage_interval% secondi. Queen of Pain trae giovamento dal dolore che infligge, recuperando salute ogni volta che il nemico subisce danno. La salute recuperata viene dimezzata se il bersaglio è un creep."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Lore"							"Il pugnale avvelenato di Akasha le consente di deliziarsi delle sofferenze patite dalle sue vittime."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note0"							"L'Unità colpita riacquista lentamente la sua velocità di movimento originaria ogni secondo durante l'effetto."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note1"							"Le Unità affette da Attacco d'ombra possono essere negate dai propri alleati quando la loro salute scende al di sotto del 25% della salute massima."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_movement_slow"					"%RIDUZIONE DELLA VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_strike_damage"					"DANNO INIZIALE:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_damage"				"DANNO PER ISTANZA:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration_heal"					"GUARIGIONE PERIODICA:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_duration"						"DURATA:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_abilitycastrange"				"GITTATA DI LANCIO:"
		"DOTA_Tooltip_ability_queenofpain_blink"										"Baleno"
		"DOTA_Tooltip_ability_queenofpain_blink_Description"							"Nome in inglese: <b><font color='#F2A93E'>Blink</font></b>\n \nTeletrasporto a breve distanza che fornisce a Queen of Pain la mobilità necessaria per entrare e uscire dai combattimenti."
		"DOTA_Tooltip_ability_queenofpain_blink_shard_description"						"L'utilizzo di Baleno da parte di Queen of Pain rilascia un'onda sonica sia nel punto di partenza che nel punto di arrivo. L'onda infligge %shard_damage% di danno in un'area di %shard_aoe% e silenzia il bersaglio per %shard_duration% secondi."
		"DOTA_Tooltip_ability_queenofpain_blink_Lore"									"La Regina Segreta è degna del suo titolo, essendo impossibile sfuggire al suo dolore."
		"DOTA_Tooltip_ability_queenofpain_blink_Note0"									"Puoi usare Baleno per schivare gli attacchi in arrivo."
		"DOTA_Tooltip_ability_queenofpain_blink_blink_range"							"GITTATA:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain"								"Urlo del dolore"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Description"					"Nome in inglese: <b><font color='#F2A93E'>Scream of Pain</font></b>\n \nQueen of Pain lancia un urlo travolgente intorno a sé, danneggiando tutti i nemici vicini."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Lore"							"L'invitante voce di Akasha chiama i suoi avversari mentre ruba loro l'anima."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note0"							"Urlo del dolore può colpire le Unità invisibili."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note1"							"Urlo del dolore non può essere evitato."
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_area_of_effect"				"RAGGIO:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_damage"						"DANNO:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave"									"Onda sonica"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Description"						"Nome in inglese: <font color='#F2A93E'><b>Sonic Wave</b></font>\n \nCrea una gigantesca onda sonora davanti a Queen of Pain che infligge gravi danni e respinge tutte le Unità nemiche sul suo cammino."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_scepter_description"				"Aumenta il danno e riduce il tempo di ricarica."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Lore"								"Il più squisito di tutti i tormenti, l'Onda sonica di Akasha toglie dalle miserie del mondo i suoi poveri avversari."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Note0"								"Onda sonica può colpire i nemici fino a 1150 unità di distanza."
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_final_aoe"							"RAGGIO MASSIMO DELL'ONDA:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage"							"DANNO:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_knockback_distance"				"DISTANZA DELLA RESPINTA:"
