"lang"
{
"Language"	"schinese"
"#npc_dota_hero_shadow_demon"	"暗影恶魔"
"#npc_dota_hero_lone_druid"	"德鲁伊"
"#npc_dota_hero_chaos_knight"	"混沌骑士"
"#npc_dota_hero_treant"	"树精卫士"
"#npc_dota_hero_meepo"	"米波"
"#npc_dota_hero_ogre_magi"	"食人魔魔法师"
"#npc_dota_hero_undying"	"不朽尸王"
"#npc_dota_hero_rubick"	"拉比克"
"#npc_dota_hero_disruptor"	"干扰者"
"#npc_dota_hero_nyx_assassin"	"司夜刺客"
"#npc_dota_hero_naga_siren"	"娜迦海妖"
"#npc_dota_hero_keeper_of_the_light"	"光之守卫"
"#npc_dota_hero_visage"	"维萨吉"
"#npc_dota_hero_wisp"	"艾欧"
"#npc_dota_hero_slark"	"斯拉克"
"#npc_dota_hero_medusa"	"美杜莎"
"#npc_dota_hero_troll_warlord"	"巨魔战将"
"#npc_dota_hero_centaur"	"半人马战行者"
"#npc_dota_hero_magnataur"	"马格纳斯"
"#npc_dota_hero_shredder"	"伐木机"
"#npc_dota_hero_bristleback"	"钢背兽"
"#npc_dota_hero_tusk"	"巨牙海民"
"#npc_dota_hero_skywrath_mage"	"天怒法师"
"#npc_dota_hero_abaddon"	"亚巴顿"
"#npc_dota_hero_elder_titan"	"上古巨神"
"#npc_dota_hero_legion_commander"	"军团指挥官"
"#npc_dota_hero_ember_spirit"	"灰烬之灵"
"#npc_dota_hero_earth_spirit"	"大地之灵"
"#npc_dota_hero_abyssal_underlord"	"孽主"
"#npc_dota_hero_phoenix"	"凤凰"
"#npc_dota_hero_terrorblade"	"恐怖利刃"
"#npc_dota_hero_oracle"	"神谕者"
"#npc_dota_hero_techies"	"工程师"
"#npc_dota_hero_target_dummy"	"傀儡目标"
"#npc_dota_hero_winter_wyvern"	"寒冬飞龙"
"#npc_dota_hero_arc_warden"	"天穹守望者"
"#npc_dota_hero_monkey_king"	"齐天大圣"
"#npc_dota_hero_pangolier"	"石鳞剑士"
"#npc_dota_hero_dark_willow"	"邪影芳灵"
"#npc_dota_hero_grimstroke"	"天涯墨客"
"#npc_dota_hero_snapfire"	"电炎绝手"
"#npc_dota_hero_void_spirit"	"虚无之灵"
"#npc_dota_hero_mars"	"玛尔斯"
"#npc_dota_hero_hoodwink"	"森海飞霞"
"#npc_dota_hero_dawnbreaker"	"破晓辰星"
"#DOTA_lobby_type_name_lobby"	"房间"
"#DOTA_lobby_type_name_unranked"	"普通比赛"
"#DOTA_lobby_type_name_ranked"	"天梯比赛"
"#DOTA_lobby_type_name_bot_match"	"机器人"
"#DOTA_lobby_type_name_spectator"	"观众"
"#demo_hero_mode_name"	"试玩英雄"
"#game_mode_lobby_name_0"	"-"
"#game_mode_lobby_name_1"	"全英雄选择"
"#game_mode_lobby_name_2"	"队长模式"
"#game_mode_lobby_name_3"	"随机征召"
"#game_mode_lobby_name_4"	"单一征召"
"#game_mode_lobby_name_5"	"全英雄随机"
"#game_mode_lobby_name_6"	"-"
"#game_mode_lobby_name_7"	"夜魇暗潮"
"#game_mode_lobby_name_8"	"反队长模式"
"#game_mode_lobby_name_9"	"小贪魔节"
"#game_mode_lobby_name_10"	"新手教程"
"#game_mode_lobby_name_11"	"单中模式"
"#game_mode_lobby_name_12"	"生疏模式"
"#game_mode_lobby_name_13"	"新手模式"
"#game_mode_lobby_name_14"	"互动指南"
"#game_mode_lobby_name_15"	"自定义"
"#game_mode_lobby_name_16"	"队长征召"
"#game_mode_lobby_name_17"	"均衡征召"
"#game_mode_lobby_name_18"	"技能征召"
"#game_mode_lobby_name_20"	"全英雄随机死亡竞赛"
"#game_mode_lobby_name_21"	"中路单挑"
"#game_mode_lobby_name_22"	"全英雄选择"
"#game_mode_lobby_name_23"	"加速模式"
"#game_mode_lobby_name_24"	"突变"
"#game_mode_0"	"-"
"#game_mode_1"	"全英雄选择"
"#game_mode_2"	"队长模式"
"#game_mode_3"	"随机征召"
"#game_mode_4"	"单一征召"
"#game_mode_5"	"全英雄随机"
"#game_mode_6"	"-"
"#game_mode_7"	"夜魇暗潮"
"#game_mode_8"	"反队长模式"
"#game_mode_9"	"小贪魔节"
"#game_mode_10"	"新手教学"
"#game_mode_11"	"单中模式"
"#game_mode_12"	"生疏模式"
"#game_mode_13"	"新手模式"
"#game_mode_14"	"互动指南"  //aka forced hero
"#game_mode_15"	"自定义"
"#game_mode_16"	"队长征召"
"#game_mode_17"	"均衡征召"
"#game_mode_18"	"技能征召"
"#game_mode_19"	"自定义游戏"
"#game_mode_20"	"全英雄随机死亡竞赛"
"#game_mode_21"	"中路对单"
"#game_mode_22"	"全英雄选择"
"#game_mode_23"	"加速模式"
"#game_mode_24"	"突变"
"#DOTA_Guilds_message_motd"		"今日消息：%param0%"
"#DOTA_Guilds_message_level"	"公会已达到%param0%级"
"#DOTA_Guild_message_promoted"	"%target_persona%已被%requester_persona%提拔至%guild_role%。"
"#DOTA_Guild_message_demoted"	"%target_persona%已被%requester_persona%降级至%guild_role%。"

}
}
