"lang"
{
"Language"	"bulgarian"
"#npc_dota_hero_phoenix"	"Phoenix"
"#npc_dota_hero_terrorblade"	"Terrorblade"
"#npc_dota_hero_oracle"	"Oracle"
"#npc_dota_hero_techies"	"Techies"
"#npc_dota_hero_target_dummy"	"Бутафорна цел"
"#npc_dota_hero_winter_wyvern"	"Winter Wyvern"
"#npc_dota_hero_arc_warden"	"Arc Warden"
"#npc_dota_hero_monkey_king"	"Monkey King"
"#npc_dota_hero_pangolier"	"Pangolier"
"#npc_dota_hero_dark_willow"	"Dark Willow"
"#DOTA_lobby_type_name_lobby"	"Лоби"
"#DOTA_lobby_type_name_unranked"	"Без класиране"
"#DOTA_lobby_type_name_ranked"	"С класиране"
"#DOTA_lobby_type_name_bot_match"	"Ботове"
"#DOTA_lobby_type_name_spectator"	"Наблюдател"
"#demo_hero_mode_name"	"Пробване на герой"
"#game_mode_lobby_name_0"	"—"
"#game_mode_lobby_name_1"	"All Pick"
"#game_mode_lobby_name_2"	"Captains Mode"
"#game_mode_lobby_name_3"	"Random Draft"
"#game_mode_lobby_name_4"	"Single Draft"
"#game_mode_lobby_name_5"	"All Random"
"#game_mode_lobby_name_6"	"—"
"#game_mode_lobby_name_7"	"Diretide"
"#game_mode_lobby_name_8"	"Reverse Captains Mode"
"#game_mode_lobby_name_9"	"The Greeviling"
"#game_mode_lobby_name_10"	"Обучение"
"#game_mode_lobby_name_11"	"Mid Only"
"#game_mode_lobby_name_12"	"Least Played"
"#game_mode_lobby_name_13"	"Режим за нови играчи"
"#game_mode_lobby_name_14"	"Compendium"
"#game_mode_lobby_name_15"	"Персонализирано"
"#game_mode_lobby_name_16"	"Captains Draft"
"#game_mode_lobby_name_17"	"Balanced Draft"
"#game_mode_lobby_name_18"	"Ability Draft"
"#game_mode_lobby_name_20"	"All Random Deathmatch"
"#game_mode_lobby_name_21"	"1v1 Solo Mid"
"#game_mode_lobby_name_22"	"Ranked All Pick"
"#game_mode_lobby_name_23"	"Turbo"
"#game_mode_lobby_name_24"	"Mutation"
"#game_mode_24"	"Mutation"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"Играе {%param0%}"
"#DOTA_EventGameName_International2018"	"Underhollow"
"#npc_dota_hero_grimstroke"	"Grimstroke"
"#DOTA_RP_TOURNEY_REGISTERING"	"регистриращ се за {%param0%} бойна купа"
"#DOTA_RP_TOURNEY_FINDING_MATCH"	"намиращ опонент за {%param1%}"
"#DOTA_RP_TOURNEY_BETWEEN_GAMES"	"бойна купа {%param1%} (почивка)"
"#DOTA_RP_TOURNEY_GAME_IN_PROGRESS"	"бойна купа {%param0%}"
"#DOTA_RP_TOURNEY_PLAYING_AS"	"бойна купа {%param2%} като {%param1%}"
"#weekendtourney_round_quarterfinals"	"Четвъртфинали"
"#weekendtourney_round_semifinals"	"Полуфинали"
"#weekendtourney_round_finals"	"Гранд финал"
"#DOTA_EventName_Frostivus2018"	"Frosthaven"
"#npc_dota_hero_snapfire"	"Snapfire"
"#npc_dota_hero_void_spirit"	"Void Spirit"
"#DOTA_Guilds_message_motd"	"Съобщение за деня: %param0%"
"#DOTA_Guilds_message_level"	"Гилдията достигна ниво %param0%"
"#DOTA_Guild_message_promoted"	"%target_persona% беше повишен(a) до %guild_role% от %requester_persona%"
"#DOTA_Guild_message_demoted"	"%target_persona% беше понижен(а) до %guild_role% от %requester_persona%."
"#dota_rp_playing_event_match_2020"	"Лабиринт: {%param0%} | Дълбочина %param1%"
"#DOTA_EventGameName_International2020"	"Aghanim's Labyrinth"
"#dota_eventgamedifficulty_international2020_0"	"Чирак"
"#dota_eventgamedifficulty_international2020_1"	"Магьосник"
"#dota_eventgamedifficulty_international2020_2"	"Вълшебник"
"#dota_eventgamedifficulty_international2020_3"	"Величав маг"
"#dota_eventgamedifficulty_international2020_4"	"Върховен влъхва"
"#DOTA_EventGameName_Diretide2020"	"Diretide"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH"	"Diretide — Рунд %param0% като {%param1%}"
"#npc_dota_hero_mars"	"Mars"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH_PREGAME"	"Diretide — избор на герой"
"#npc_dota_hero_hoodwink"	"Hoodwink"
"#npc_dota_hero_dawnbreaker"	"Dawnbreaker"
"#game_mode_0"	"—"
"#game_mode_1"	"All Pick"
"#game_mode_2"	"Captains Mode"
"#game_mode_3"	"Random Draft"
"#game_mode_4"	"Single Draft"
"#game_mode_5"	"All Random"
"#game_mode_6"	"—"
"#game_mode_7"	"Diretide"
"#game_mode_8"	"Reverse Captains Mode"
"#game_mode_9"	"The Greeviling"
"#game_mode_10"	"Обучение"
"#game_mode_11"	"Mid Only"
"#game_mode_12"	"Least Played"
"#game_mode_13"	"Режим за нови играчи"
"#game_mode_14"	"Compendium"
"#game_mode_15"	"Персонализиран"
"#game_mode_16"	"Captains Draft"
"#game_mode_17"	"Balanced Draft"
"#game_mode_18"	"Ability Draft"
"#game_mode_19"	"Персонализирана игра"
"#game_mode_20"	"All Random Deathmatch"
"#game_mode_21"	"1v1 Solo Mid"
"#game_mode_22"	"All Pick"
"#game_mode_23"	"Turbo"
"#npc_dota_hero_marci"	"Marci"
"#DOTA_RP_PLAYING_AGHANIMS_MATCH"	"Aghanim's Labyrinth — Акт %param0% като {%param1%}"
"#DOTA_RP_PLAYING_AGHANIMS_MATCH_PREGAME"	"Aghanim's Labyrinth — избор на герой"
"#DOTA_RP_EVENT_GAME"	"Aghanim's Labyrinth"
}
}
