"dota"
{
"DOTA_Accept"	"接受"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"單人配對積分"
"DOTA_ProfileCard_StatTitle_PartyRank"	"團隊配對積分"
"DOTA_ProfileCard_StatTitle_Wins"	"勝場"
"DOTA_ProfileCard_StatTitle_Commends"	"受讚揚次數"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"對戰次數"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"第一場對戰"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"獎盃"
"DOTA_ProfileCard_SlotTab_Items"	"軍械庫"
"DOTA_ProfileCard_SlotTab_Heroes"	"英雄"
"DOTA_ProfileCard_SlotTab_Emoticons"	"表情符號"
"DOTA_ProfileCard_NoTrophies"	"尚無可用獎盃。"
"DOTA_ProfileCard_NoItems"	"尚無可用物品。"
"DOTA_ProfileCard_HeroOnly"	"僅列出英雄"
"DOTA_ProfileCard_HeroShowWins"	"顯示勝場"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"顯示勝敗"
"DOTA_ProfileCard_ItemSearchPrefix"	"搜尋："
"DOTA_ProfileCard_ItemSearchPlaceholder"	"物品（依名稱排列）"
"DOTA_ProfileCard_ItemArmoryLink"	"檢視完整軍械庫"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"依照名稱搜尋英雄"
"DOTA_Wins_Singular"	"1 勝"
"DOTA_Wins_Plural"	"{d:hero_wins} 勝"
"DOTA_Losses_Singular"	"1 負"
"DOTA_Losses_Plural"	"{d:hero_losses} 負"
"DOTA_Profile_TotalGames"	"總場數"
"DOTA_Profile_Solo_MMR"	"單排積分"
"DOTA_Profile_Team_MMR"	"隊伍積分"
"DOTA_Profile_Party_MMR"	"團隊積分"
"DOTA_Profile_VictoryCount"	"獲勝次數"
"DOTA_Profile_ProfilePage"	"個人檔案"
"DOTA_Profile_TrophyPage"	"獎盃"
"DOTA_Profile_RecentGamesPage"	"最近遊戲"
"DOTA_Profile_HeroPage"	"英雄"
"DOTA_Profile_PlayStyle"	"遊戲風格分析圖"
"DOTA_Profile_MostRecent"	"（近 {s:num_style_games} 場遊戲）"
"DOTA_Profile_RecentActivity"	"最近動態"
"DOTA_Profile_Fighting"	"戰鬥"
"DOTA_Profile_Fighting_TooltipTitle"	"戰鬥能力"
"DOTA_Profile_Fighting_Tooltip"	"玩家與敵方英雄頻繁交手累積的作戰能力指數。"
"DOTA_Profile_Farming"	"賺錢"
"DOTA_Profile_Farming_TooltipTitle"	"賺錢能力"
"DOTA_Profile_Farming_Tooltip"	"玩家擊殺非英雄單位來累積金錢的能力指數。"
"DOTA_Profile_Supporting"	"輔助"
"DOTA_Profile_Supporting_TooltipTitle"	"輔助能力"
"DOTA_Profile_Supporting_Tooltip"	"玩家透過治療、鞏固視野和道具的運用來輔佐隊伍的能力指數。"
"DOTA_Profile_Pushing"	"推進"
"DOTA_Profile_Pushing_TooltipTitle"	"推進能力"
"DOTA_Profile_Pushing_Tooltip"	"玩家對於攻下防禦塔和替隊伍製造空檔的能力指數。"
"DOTA_Profile_Versatility"	"選角"
"DOTA_Profile_Versatility_TooltipTitle"	"選角多樣"
"DOTA_Profile_Versatility_Tooltip"	"玩家英雄池裡的選角多樣性指數。"
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"與我的數據比較"
"DOTA_Profile_Self"	"我"
"DOTA_Profile_GPM"	"平均 GPM"
"DOTA_Profile_XPM"	"平均 XPM"
"DOTA_Profile_LH"	"平均正補"
"DOTA_Profile_Rampages"	"暴走次數"
"DOTA_Profile_TripleKills"	"三連殺次數"
"DOTA_Profile_FirstBlood"	"首殺次數"
"DOTA_Profile_FirstBled"	"首送次數"
"DOTA_Profile_CourierKills"	"信使擊殺次數"
"DOTA_Profile_Aegises"	"不朽守護竊取數"
"DOTA_Profile_CheeseEaten"	"乳酪食用次數"
"DOTA_Profile_CreepStack"	"野怪堆疊次數"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"最近遊戲"
"DOTA_RecentGames_TimeStamp"	"日期 / 時間"
"DOTA_RecentGames_HeroSelection"	"使用英雄"
"DOTA_RecentGames_GameResult"	"戰果"
"DOTA_RecentGames_GameLength"	"持續時間"
"DOTA_RecentGames_Team"	"陣營"
"DOTA_RecentGames_GameType"	"遊戲模式"
"DOTA_RecentGames_Items"	"身上物品"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} Downloading"
"DOTA_RecentGame_Watch"	"觀賞重播"
"DOTA_RecentGame_NoReplay"	"無重播可用"
"DOTA_RecentGame_Expired"	"重播逾期"
"DOTA_RecentGame_Finding"	"尋找中…"
"DOTA_RecentGame_Download"	"下載重播"
"DOTA_RecentGame_Pending"	"重播尚在處理中"
"DOTA_RecentGame_Unavailable"	"重播不可用"
"DOTA_RecentGame_MatchID"	"場次編號：#{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} 座獎盃"
"DOTA_TrophiesCount"	"{d:trophy_count} 座獎盃"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"獎盃"
"DOTA_TrophiesCount_NoNum"	"獎盃"
"DOTA_Trophies_ViewAll"	"全部"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp}<span class=\"TrophyPointTextSmall\">TP</span>"
"DOTA_NextTrophy"	"後續獎盃"
"DOTA_NewPlayerQuestion_Title"	"歡迎來到《Dota 2》"
"DOTA_PlayerOriginQuestion_Question"	"為改善您的遊戲體驗，請分享您對 Dota 2 的熟悉度和其它類似遊戲的經驗："
"DOTA_PlayerOriginQuestion_BeginnerButton"	"我是新手。"
"DOTA_PlayerOriginQuestion_RTSButton"	"我玩過即時戰略遊戲。"
"DOTA_PlayerOriginQuestion_MOBAButton"	"我玩過類似 Dota 2 的遊戲。"
"DOTA_PlayerOriginQuestion_Dota2Button"	"我玩過 Dota 2。"
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"請選擇您最常玩的遊戲："
"DOTA_OtherGames_LOL"	"英雄聯盟（League of Legends）"
"DOTA_OtherGames_DOTA"	"初代 DotA"
"DOTA_OtherGames_HON"	"紐爾斯群英傳（Heroes of Newerth）"
"DOTA_OtherGames_Smite"	"諸神爭霸（Smite）"
"DOTA_OtherGames_Other"	"其它遊戲"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"開始吧！"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"身為新來乍到的 Dota 玩家，您或許對「進行遊戲」分頁中「訓練」區塊底下的各種教學關卡感興趣。那可是能幫助您開始打垮全球各地其他玩家的偉大第一步。"
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"現在您的按鍵配置與選項已設置成與您具有相同經驗的玩家最常用的設置。您隨時可以藉由點擊設置圖示來自訂設置。"
"DOTA_Tutorial_SkipButton"	"略過新手教學"
"DOTA_ConfirmSkip"	"略過 Dota 2 介紹？"
"DOTA_ConfirmSkipDesc"	"您真的確定要略過 Dota 2 的新手教學嗎？"
"DOTA_Tutorial_Start_Quest"	"開始任務"
"DOTA_Tutorial_Quest0_Title"	"任務 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"遠程英雄"
"DOTA_Tutorial_Quest0DetailsDesc"	"此任務約可在\n\n十分鐘之內完成。"
"DOTA_Tutorial_QuestDetailsLearn"	"您將在此學到："
"DOTA_Tutorial_Quest0DetailsLesson"	"角色移動\n角色升級\n使用技能\n物品\n基礎戰鬥操作\n取得正補"
"DOTA_Tutorial_Quest1_Title"	"任務 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"對線"
"DOTA_Tutorial_Quest1DetailsDesc"	"此任務約可在\n\n十分鐘之內完成。"
"DOTA_Tutorial_Quest1DetailsLesson"	"遠程戰鬥 \n 範圍技能 \n 小地圖 \n 防禦塔 \n 信使以及貯藏庫 \n  傳送"
"DOTA_Tutorial_Quest2_Title"	"任務 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"對線"
"DOTA_Tutorial_Quest2DetailsDesc"	"此任務約可在\n\n10 到 15 分鐘之內完成。"
"DOTA_Tutorial_Quest2DetailsLesson"	"進行對線 \n 防禦塔攻防 \n 開局物品"
"DOTA_Challenges_Title"	"學習"
"DOTA_ChallengeGroup_0_Title"	"遊戲介紹"
"DOTA_ChallengeGroup_1_Title"	"引導式實戰入門"
"DOTA_ChallengeGroup_1_Desc"	"從這開始！"
"DOTA_ChallengeGroup_2_Title"	"對抗電腦遊戲"
"DOTA_ChallengeGroup_More"	"未來還有更多"
"DOTA_ChallengeGroup_Locked"	"鎖定"
"DOTA_LearnMechanics_Title"	"遊戲介紹"
"DOTA_LearnMechanics_SubTitle"	"學習 Dota 的基礎：從基本的操縱英雄，到物品的購買流程，到之後的遊戲步驟。如果您之前都沒玩過 Dota 這種遊戲的話，那麼這部教學將會是個好的開始。"
"DOTA_Mechanics_0_Title"	"遊戲機制 1"
"DOTA_Mechanics_0_Desc"	"角色移動\n角色升級\n使用技能\n物品\n基礎戰鬥操作\n正補"
"DOTA_Mechanics_1_Title"	"遊戲機制 2"
"DOTA_Mechanics_1_Desc"	"遠程戰鬥\n範圍技能\n小地圖\n防禦塔\n信使以及貯藏庫\n傳送卷軸"
"DOTA_LearnGuidedBotMatches_Title"	"引導式實戰入門"
"DOTA_LearnGuidedBotMatches_SubTitle"	"引導式實戰入門有著由電腦操控的隊友和敵手，以及可即時暫停遊戲的說明功能。您可安心的讓遊戲系統帶您逐步走過一場 Dota 遊戲的每個環節，助您扮演的英雄成長茁壯，過關斬將，贏得勝利。"
"DOTA_GuidedBotMatches_0_Title"	"露娜"
"DOTA_GuidedBotMatches_0_Desc"	"│短距遠攻\n│普攻傷害先天較高\n│移動速度較快\n│較不耐打\n│敏捷英雄"
"DOTA_GuidedBotMatches_1_Title"	"斯溫"
"DOTA_GuidedBotMatches_1_Desc"	"│近戰肉搏\n│爆發性普攻傷害\n│耐打不易死\n│易受移動速度減緩效果牽制\n│力量英雄"
"DOTA_GuidedBotMatches_2_Title"	"莉娜"
"DOTA_GuidedBotMatches_2_Desc"	"│攻擊距離遠\n│爆發性技能傷害\n│技能冷卻時間短\n│體質非常脆弱\n│智力英雄"
"DOTA_LearnBotMatches_Title"	"實戰練習系統"
"DOTA_LearnBotMatches_SubTitle"	"無壓力地與電腦控制的英雄並肩作戰或對抗來練習"
"DOTA_BotMatches_0_Title"	"簡單難度"
"DOTA_BotMatches_0_Desc"	"我只是想玩玩看新英雄。"
"DOTA_BotMatches_1_Title"	"一般難度"
"DOTA_BotMatches_1_Desc"	"讓我練個角色。"
"DOTA_BotMatches_2_Title"	"困難難度"
"DOTA_BotMatches_2_Desc"	"自我挑戰。"
"DOTA_BotMatches_3_Title"	"變態難度"
"DOTA_BotMatches_3_Desc"	"折磨自己。"
"FileOpenDialog_Open"	"開啟"
"FileOpenDialog_Save"	"儲存"
"FileOpenDialog_Select"	"選擇"
"FileOpenDialog_FileType_Folder"	"檔案資料夾"
"DOTA_FindMatch"	"尋找比賽"
"DOTA_FindingMatch"	"尋找比賽中 ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"搜場中"
"DOTA_StartSoloBotMatch"	"開始對抗電腦遊戲"
"DOTA_Create_Lobby"	"建立大廳"
"DOTA_Join_Lobby"	"加入大廳"
"DOTA_LobbyStartGame"	"開始遊戲"
"DOTA_ReturnToLobby"	"返回大廳"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"遊戲模式："
"DOTA_FindRegionsMany"	"地區："
"DOTA_GameMode_AllPick"	"自由選取"
"DOTA_GameMode_SingleDraft"	"徵召模式"
"DOTA_GameMode_CaptainsMode"	"隊長模式"
"DOTA_GameMode_RandomDraft"	"隨機徵召"
"DOTA_GameMode_AbilityDraft"	"技能徵召"
"DOTA_GameMode_LeastPlayed"	"生疏模式"
"DOTA_GameMode_AllRandom"	"隨機模式"
"DOTA_GameMode_LimitedHeroes"	"限定英雄"
"DOTA_GameMode_CaptainsDraft"	"隊長徵召"
"DOTA_GameMode_AllRandomDeathMatch"	"全隨機死鬥模式"
"DOTA_ImmediatePurchase_SendFailed"	"購買要求傳送失敗。可能是因為 Dota 伺服器目前離線所導致。請待之後再試。"
"DOTA_ImmediatePurchase_Timeout"	"等待購買要求回應逾時。請稍後再試。"
"DOTA_ImmediatePurchase_InitFailed"	"目前無法向完美世界伺服器傳送購買要求。請稍後再試。"
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"您的完美世界帳戶沒有足夠餘額以完成購買。請儲值後再試。"
"DOTA_ImmediatePurchase_Success_Title"	"成功"
"DOTA_ImmediatePurchase_Success_Text"	"購買作業成功完成！請至軍械庫查收您購買的物品。"
"DOTA_ImmediatePurchase_Cancelled_Title"	"已取消"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"打開要求回應逾時。請稍後再試。"
"DOTA_ImmediatePurchase_UnbundleFailure"	"無法打開您的組合包。請稍後再試。"
"DOTA_ImmediatePurchase_LateCancel"	"交易取消。您並沒有被收取費用。"
"DOTA_ConfirmPurchaseTitle"	"確認購買"
"DOTA_ConfirmPurchaseText"	"您確定要購買此物品嗎？"
"DOTA_PurchaseInProgress_Title"	"購買作業處理中"
"DOTA_PurchaseInProgress_Text"	"系統正在處理您的購買要求。"
"DOTA_UnbundleInProgress_Title"	"正在打開"
"DOTA_UnbundleInProgress_Text"	"正在打開您的組合包。"
"DOTA_ConfirmUnbundleTitle"	"確認打開"
"DOTA_ConfirmUnbundleText"	"您必須打開此組合包才能裝備其內容物。確定繼續？"
"DOTA_RequestingBalance_Title"	"查詢餘額中"
"DOTA_RequestingBalance_Text"	"正在查您的完美世界帳戶餘額..."
"DOTA_PartnerPurchaseRecharge_Title"	"儲值額度"
"DOTA_PartnerPurchaseRecharge_Text"	"正在切換帳戶以為您儲值..."
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"儲值帳戶"
"DOTA_PartnerPurchase_Balance"	"剩餘額度：{m:balance}"
"DOTA_PartnerRecharge_Close"	"繼續購買"
"RequestBalanceBadAccount"	"餘額查詢失敗：找不到帳戶。"
"RequestBalanceAccountNotLinked"	"餘額查詢失敗：您的帳戶尚未與完美世界連結。"
"RequestBalanceUnsupportedPartner"	"餘額查詢失敗：您的帳戶尚未與受官方認可的合作夥伴連結。"
"StoreCheckout_Error_Title"	"錯誤"
"StoreCheckout_NoItems"	"您的購物車是空的！"
"StoreCheckout_TooManyItems"	"您的購物車物品太多了！"
"StoreCheckout_Loading"	"結帳中..."
"StoreCheckout_Unavailable"	"目前無法進行結帳。"
"StoreCheckout_Cancelling"	"取消中..."
"StoreCheckout_Fail"	"遊戲商店目前關閉中。"
"StoreCheckout_InvalidParam"	"有個程式設計師搞砸啦！一個無效的參數被傳送至遊戲協調器。請嘗試重新購買。"
"StoreCheckout_InternalError"	"您的交易在初始化或更新時發生錯誤。請稍後幾分鐘後再試一次，或是聯絡客服中心尋求協助。"
"StoreCheckout_ContactSupport"	"在處理您的交易時發生錯誤，請聯絡客服中心以取得相關協助。"
"StoreCheckout_NotApproved"	"遊戲協調器無法透過 Steam 核准您的交易。請稍後嘗試重新購買。"
"StoreCheckout_NotLoggedin"	"您必須登入 Steam 以完成購買。"
"StoreCheckout_WrongCurrency"	"此交易的貨幣和您的錢包貨幣並不相符。"
"StoreCheckout_NoAccount"	"您的 Steam 帳戶目前無法使用。請稍後再次進行購買。"
"StoreCheckout_InsufficientFunds"	"您的資金不足以完成購買。"
"StoreCheckout_TimedOut"	"交易逾時。請再嘗試一次。"
"StoreCheckout_SteamAccountDisabled"	"您的 Steam 帳戶已停用，無法進行購買。"
"StoreCheckout_SteamAccountNoPurchase"	"此帳戶的 Steam 錢包交易已遭停用。"
"StoreCheckout_OldPriceSheet"	"您的本機產品清單過期。正在要求新的產品清單。"
"StoreCheckout_TransactionNotFound"	"遊戲協調器無法找到這筆交易的 ID。請重新嘗試購買。"
"StoreCheckout_TransactionCancelled"	"交易取消。您並沒有被收取費用。"
"StoreCheckout_TransactionCompleted"	"交易完成！\\\n享受你的戰利品吧！"
"StoreCheckout_CompleteButUnfinalized"	"目前無法確認交易狀況。如果成功的話，您的物品將於幾天後送達。"
"StoreCheckout_NotEnoughRoom"	"您的軍械庫空間不足以購買那麼多的項目。"
"StoreCheckout_ContactSupport_Dialog_Title"	"警告"
"StoreCheckout_ContactSupport_Dialog_Btn"	"聯絡"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"一項您嘗試購買的物品已賣完或無法取得。"
"StoreCheckout_Nexon_InsufficientFunds"	"資金不足無法完成購買。"
"StoreCheckout_Nexon_FundsLocked"	"Nexon 現金鎖定已開啟。"
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"等級 {s:level}"
"DOTA_AbilityTooltip_TargetType"	"影響對象：{s:targettype}"
"DOTA_AbilityTooltip_CastType"	"使用方式：{s:casttype}"
"DOTA_AbilityTooltip_DamageType"	"傷害類型：{s:damagetype}"
"DOTA_AbilityTooltip_Description"	"{s:description}"
"DOTA_AbilityTooltip_ScepterDescription"	"{s:scepterdescription}"
"DOTA_AbilityTooltip_ExtraDescription"	"{s:extradescription}"
"DOTA_AbilityTooltip_Attributes"	"{s:attributes}"
"DOTA_AbilityTooltip_Cooldown"	"{s:cooldown}"
"DOTA_AbilityTooltip_ManaCost"	"{s:manacost}"
"DOTA_AbilityTooltip_Lore"	"{s:lore}"
"DOTA_AbilityTooltip_UpgradeLevel"	"英雄等級 {d:upgradelevel} 時可再次升級"
"DOTA_AbilityTooltip_BuildHeader"	"配點攻略"
"DOTA_AbilityTooltip_BuildComment"	"{s:buildcomment}"
"DOTA_PersonaTooltip_Title"	"{g:dota_persona:account_id}"
"DOTA_PersonaTooltip_TitlePro"	"{g:dota_persona_pro:account_id}"
"DOTA_PendingInvites"	"團隊邀請"
"DOTA_PendingInvitesTooltip_None"	"沒有待處理的邀請"
"DOTA_PendingInvitesTooltip_1"	"尚有 1 個邀請待處理"
"DOTA_PendingInvitesTooltip_N"	"尚有 {d:pending_invite_count} 個邀請待處理"
"DOTA_PendingInvitesTooltip_Leader"	"點此管理邀請"
"DOTA_PendingInvitesTooltip_NonLeader"	"點此檢視邀請狀態。"
"DOTA_PendingInvitesCancelAll"	"取消所有的邀請"
"DOTA_PendingInvitesNotPartyLeader"	"僅有團長能管裡邀請"
"DOTA_ChatTab_NotInChannelMessage"	"沒人聽的見您說話。"
"DOTA_ChatTab_ToggleGlobal"	"令此頻道的訊息顯示在所有分頁中。"
"DOTA_ChatTab_Close"	"關閉此分頁。"
"DOTA_ChatTab_Leave"	"離開此頻道。"
"DOTA_JoinChatChannel_Title"	"加入頻道"
"DOTA_JoinChatChannel_Description"	"建立或加入一個聊天頻道。"
"DOTA_JoinChatChannel_AddToCurrentTab"	"添加至目前的分頁 '{s:current_tab_name}'"
"DOTA_JoinChatChannel_CreateNewTab"	"新增一個分頁："
"DOTA_Chat_ChannelName"	"{s:channel_name}"
"DOTA_Chat_ChannelMemberCount_Singular"	"1 位成員"
"DOTA_Chat_ChannelMemberCount_Plural"	"{d:channel_member_count} 位成員"
"DOTA_EditChatTab_Title"	"修改聊天分頁"
"DOTA_EditChatTab_Description"	"選擇要在此分頁顯示哪些訊息。"
"DOTA_EditChatTab_AddNewChannel"	"加入新的頻道..."
"DOTA_EditChatTab_TabName"	"分頁名稱："
"DOTA_EditChatTab_ChannelToggleDisabled"	"{s:target} 須至少存在於一個分頁中。"
"DOTA_EditChatTab_Target"	"{s:target}"
"DOTA_Chat_TimestampFormat"	"{t:t:timestamp}"
"DOTA_Chat_Autocomplete_Title"	"{s:autocomplete_title}"
"DOTA_Chat_Autocomplete_NoMatches"	"無符合結果"
"DOTA_Chat_Autocomplete_WhisperFriends"	"對好友發送悄悄話"
"DOTA_Chat_Autocomplete_InviteFriends"	"邀請好友"
"DOTA_Chat_Autocomplete_Channels"	"頻道"
"DOTA_Chat_Autocomplete_Commands"	"指令"
"DOTA_Chat_Autocomplete_CommandName"	"/{s:command_name}"
"DOTA_Chat_Autocomplete_CommandDescription"	"{s:command_description}"
"dota_suggest_invite_format"	"請邀請 {s:invite_persona} 至團隊。"
"dota_suggest_invite_format_leader"	"請邀請 {s:invite_persona} 至團隊。( <a href=\"event:DOTAInviteToParty({s:invite_persona_steamid})\" class=\"InviteButton\">送出邀請</a> )"
"dota_suggest_invite_format_lobby"	"請邀請 {s:invite_persona} 至大廳。"
"dota_suggest_invite_format_lobby_leader"	"請邀請 {s:invite_persona} 至大廳。( <a href=\"event:DOTAInviteToLobby({s:invite_persona_steamid})\" class=\"InviteButton\">送出邀請</a> )"
"DOTA_ChatMessage_Default"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatTarget\">[{s:target}]</span> <span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_WhisperTo"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\">至 <span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_WhisperFrom"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\">來自 <span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_System"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatTarget\">({s:target})</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatTarget_Format_Default"	"{s:target}"
"DOTA_ChatTarget_Prompt_Default"	"給({s:target})："
"DOTA_ChatTarget_Format_Whisper"	"{s:persona}"
"DOTA_ChatTarget_Prompt_Whisper"	"給[{s:persona}]："
"DOTA_ChatTarget_Party"	"團隊"
"DOTA_ChatTarget_Lobby"	"大廳"
"DOTA_ChatTarget_Team"	"隊伍"
"DOTA_ChatTarget_Guild"	"公會"
"DOTA_ChatTarget_Fantasy"	"夢幻"
"DOTA_ChatTarget_Console"	"控制台"
"DOTA_ChatTarget_Whisper"	"悄悄話"
"DOTA_ChatTarget_Invalid"	"沒有頻道"
"DOTA_ChatTarget_GameAll"	"所有"
"DOTA_ChatTarget_GameAllies"	"友方"
"DOTA_ChatTarget_GameCoaching"	"教練"
"DOTA_ChatTarget_GameSpectator"	"觀眾"
"DOTA_ChatTargetMenu_Title"	"{s:target}"
"DOTA_ChatTargetMenu_ToggleEnabled"	"{s:toggle_enabled}"
"DOTA_ChatTargetMenu_NotActive"	"（未啟用）"
"DOTA_Chat_Placeholder"	"在此輸入文字來進行交談。以 / 起首來使用斜線命令。"
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
