"dota"
{
"DOTA_Accept"	"Godta"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_Wins_Singular"	"1 seier"
"DOTA_Wins_Plural"	"{d:hero_wins} seire"
"DOTA_Losses_Singular"	"1 tap"
"DOTA_Losses_Plural"	"{d:hero_losses} tap"
"DOTA_Profile_TotalGames"	"Spill totalt"
"DOTA_Profile_VictoryCount"	"Seire"
"DOTA_Profile_ProfilePage"	"Profil"
"DOTA_Profile_TrophyPage"	"Trofeer"
"DOTA_Profile_RecentGamesPage"	"Nylige kamper"
"DOTA_Profile_HeroPage"	"Helter"
"DOTA_Profile_PlayStyle"	"Spillestil"
"DOTA_Profile_RecentActivity"	"Nylig aktivitet"
"DOTA_Profile_Fighting"	"Slåssing"
"DOTA_Profile_Fighting_TooltipTitle"	"Slåssing"
"DOTA_Profile_Fighting_Tooltip"	"Spillere som slåss i mange kamper mot fiendtlige helter."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Sammenlign"
"DOTA_Profile_Self"	"Meg"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_TimeStamp"	"Dato/tid"
"DOTA_RecentGames_HeroSelection"	"Helt spilt"
"DOTA_RecentGames_GameResult"	"Resultat"
"DOTA_RecentGames_GameLength"	"Varighet"
"DOTA_RecentGames_Team"	"Lag"
"DOTA_RecentGames_GameType"	"Type"
"DOTA_RecentGames_Items"	"Gjenstander"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} laster ned"
"DOTA_RecentGame_Watch"	"Se reprise"
"DOTA_RecentGame_NoReplay"	"Ingen reprise"
"DOTA_RecentGame_Expired"	"Reprise utløpt"
"DOTA_RecentGame_Finding"	"Finner..."
"DOTA_RecentGame_Download"	"Last ned kamp"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} trofé"
"DOTA_TrophiesCount"	"{d:trophy_count} trofeer"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Trofé"
"DOTA_TrophiesCount_NoNum"	"Trofeer"
"DOTA_Trophies_ViewAll"	"Alle"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp}<span class=\"TrophyPointTextSmall\">TP</span>"
"DOTA_NextTrophy"	"Neste belønning"
"DOTA_NewPlayerQuestion_Title"	"VELKOMMEN TIL DOTA 2"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Jeg er nybegynner."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Jeg har spilt Dota 2."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Velg det spillet du er mest komfortabel med:"
"DOTA_OtherGames_Other"	"Et annet spill"
"DOTA_Tutorial_QuestDetailsLearn"	"Du vil lære:"
"DOTA_ChallengeGroup_0_Title"	"Mekanikk"
"DOTA_ChallengeGroup_1_Desc"	"Start Her!"
"DOTA_LearnMechanics_Title"	"Mekanikk"
"DOTA_BotMatches_1_Desc"	"Bli komfortabel."
"DOTA_BotMatches_3_Desc"	"Skad deg selv."
"FileOpenDialog_Open"	"Åpne"
"FileOpenDialog_Save"	"Lagre"
"FileOpenDialog_Select"	"Velg"
"FileOpenDialog_FileType_Folder"	"Mappe"
"DOTA_FindMatch"	"Finn kamp"
"DOTA_FindingMatch"	"Finner kamp ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Søker"
"DOTA_Create_Lobby"	"OPPRETT LOBBY"
"DOTA_Join_Lobby"	"Bli med i lobby"
"DOTA_LobbyStartGame"	"Start spill"
"DOTA_ReturnToLobby"	"Tilbake til lobby"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindRegionsMany"	"Regioner: "
"DOTA_GameMode_LeastPlayed"	"Minst spilt"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_ImmediatePurchase_Success_Title"	"Suksess"
"DOTA_ImmediatePurchase_Cancelled_Title"	"Avbrutt"
"DOTA_ConfirmPurchaseTitle"	"Bekreft kjøp"
"DOTA_ConfirmPurchaseText"	"Vil du kjøpe denne gjenstanden?"
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"StoreCheckout_Error_Title"	"Feil"
"StoreCheckout_NoItems"	"Handlevognen din er tom!"
"StoreCheckout_TooManyItems"	"Du har for mange gjenstander i handlevognen!"
"StoreCheckout_Loading"	"Går til kassen..."
"StoreCheckout_Unavailable"	"Kassen er for øyeblikket ikke tilgjengelig."
"StoreCheckout_Cancelling"	"Avbryter..."
"StoreCheckout_Fail"	"Butikken i spillet er for øyeblikket stengt."
"StoreCheckout_InvalidParam"	"En programmerer har rotet det til! En ugyldig parameter ble sendt til spillkoordinatoren. Prøv å gjennomføre kjøpet på nytt."
"StoreCheckout_InternalError"	"Det ser ut til å ha oppstått en feil under forberedelsen eller oppdateringen av transaksjonen din. Vennligst vent et minutt og prøv igjen, eller kontakt kundestøtte for å få hjelp."
"StoreCheckout_ContactSupport"	"Det oppsto en feil med transaksjonen din. Vennligst kontakt kundestøtte for hjelp."
"StoreCheckout_NotApproved"	"Spillkoordinatoren kunne ikke godkjenne transaksjonen med Steam. Prøv å gjennomføre kjøpet på nytt senere."
"StoreCheckout_NotLoggedin"	"Du må være logget på Steam for å gjennomføre et kjøp."
"StoreCheckout_WrongCurrency"	"Valutaen i denne transaksjonen samsvarer ikke med valutaen i lommeboken din."
"StoreCheckout_NoAccount"	"Steam-kontoen din er for øyeblikket ikke tilgjengelig. Prøv å gjennomføre kjøpet på nytt senere."
"StoreCheckout_InsufficientFunds"	"Du har ikke nok midler til å gjennomføre dette kjøpet."
"StoreCheckout_TimedOut"	"Transaksjonen ble tidsavbrutt. Prøv å gjennomføre kjøpet på nytt."
"StoreCheckout_SteamAccountDisabled"	"Steam-kontoen din er deaktivert og kan ikke gjennomføre kjøp."
"StoreCheckout_SteamAccountNoPurchase"	"Lommeboktransaksjoner er deaktivert på denne Steam-kontoen."
"StoreCheckout_OldPriceSheet"	"Din lokale produktliste er utdatert. Ber om en ny."
"StoreCheckout_TransactionNotFound"	"Spillkoordinatoren fant ikke transaksjons-IDen. Prøv å gjennomføre kjøpet på nytt."
"StoreCheckout_TransactionCompleted"	"Transaksjonen er fullført!\\\nKos deg med byttet!"
"StoreCheckout_CompleteButUnfinalized"	"Kan ikke bekrefte resultatet. Hvis transaksjonen var vellykket, blir gjenstandene levert senere."
"StoreCheckout_NotEnoughRoom"	"Du har ikke nok plass i rygsekken til å kjøpe så mange gjenstander."
"StoreCheckout_ContactSupport_Dialog_Title"	"Advarsel"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Kontakt"
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"Nivå {s:level}"
"DOTA_AbilityTooltip_TargetType"	"PÅVIRKER: {s:targettype}"
"DOTA_AbilityTooltip_CastType"	"EVNE: {s:casttype}"
"DOTA_AbilityTooltip_DamageType"	"SKADETYPE: {s:damagetype}"
"DOTA_AbilityTooltip_SpellImmunityType"	"GÅR GJENNOM FORMELIMMUNITET: {s:spellimmunity}"
"DOTA_AbilityTooltip_Description"	"{s:description}"
"DOTA_AbilityTooltip_ScepterDescription"	"{s:scepterdescription}"
"DOTA_AbilityTooltip_ExtraDescription"	"{s:extradescription}"
"DOTA_AbilityTooltip_Attributes"	"{s:attributes}"
"DOTA_AbilityTooltip_Cooldown"	"{s:cooldown}"
"DOTA_AbilityTooltip_ManaCost"	"{s:manacost}"
"DOTA_AbilityTooltip_Lore"	"{s:lore}"
"DOTA_AbilityTooltip_UpgradeLevel"	"Neste oppgradering på heltenivå {d:upgradelevel}"
"DOTA_AbilityTooltip_BuildComment"	"{g:dota_filtered_string:buildcomment}"
"DOTA_PersonaTooltip_Title"	"{g:dota_persona:account_id}"
"DOTA_PersonaTooltip_TitlePro"	"{g:dota_persona_pro:account_id}"
"DOTA_PendingInvites"	"Gruppeinvitasjoner"
"DOTA_PendingInvitesTooltip_None"	"Ingen ventende invitasjoner."
"DOTA_PendingInvitesTooltip_1"	"1 ventende invitasjon"
"DOTA_PendingInvitesTooltip_N"	"{d:pending_invite_count} ventende invitasjoner"
"DOTA_PendingInvitesTooltip_Leader"	"Trykk for å behandle invitasjoner."
"DOTA_PendingInvitesTooltip_NonLeader"	"Trykk for å se invitasjoner."
"DOTA_PendingInvitesCancelAll"	"Avbryt alle invitasjoner"
"DOTA_PendingInvitesNotPartyLeader"	"Kun gruppelederen kan behandle invitasjoner"
"DOTA_ChatTab_NotInChannelMessage"	"Ingen hører deg."
"DOTA_ChatTab_Leave"	"Forlat denne kanalen."
"DOTA_Chat_ChannelName"	"{g:dota_filtered_string:channel_name}"
"DOTA_Chat_ChannelMemberCount_Singular"	"1 medlem"
"DOTA_Chat_ChannelMemberCount_Plural"	"{d:channel_member_count} medlemmer"
"DOTA_EditChatTab_AddNewChannel"	"Legg til en ny kanal..."
"DOTA_EditChatTab_ChannelToggleDisabled"	"{s:target} må alltid være i minst én fane."
"DOTA_EditChatTab_Target"	"{s:target}"
"DOTA_Chat_TimestampFormat"	"{t:t:timestamp}"
"DOTA_Chat_Autocomplete_Title"	"{s:autocomplete_title}"
"DOTA_Chat_Autocomplete_NoMatches"	"Ingen kamper"
"DOTA_Chat_Autocomplete_InviteFriends"	"Inviter en venn"
"DOTA_Chat_Autocomplete_Channels"	"Kanaler"
"DOTA_Chat_Autocomplete_Commands"	"Kommandoer"
"DOTA_Chat_Autocomplete_CommandName"	"/{s:command_name}"
"DOTA_Chat_Autocomplete_CommandDescription"	"{s:command_description}"
"dota_suggest_invite_format"	"Vennligst inviter {s:invite_persona} til gruppen."
"DOTA_ChatTarget_Format_Default"	"{g:dota_filtered_string:target}"
"DOTA_ChatTarget_Prompt_Default"	"Til ({g:dota_filtered_string:target}):"
"DOTA_ChatTarget_Format_Whisper"	"{s:persona}"
"DOTA_ChatTarget_Prompt_Whisper"	"Til [{s:persona}]:"
"DOTA_ChatTarget_Team"	"Lag"
"DOTA_ChatTarget_Fantasy"	"Fantasi"
"DOTA_ChatTarget_Console"	"Konsoll"
"DOTA_ChatTarget_Invalid"	"Ingen kanal"
"DOTA_ChatTarget_GameAll"	"Alle"
"DOTA_ChatTarget_GameAllies"	"Allierte"
"DOTA_ChatTarget_GameCoaching"	"Veiledning"
"DOTA_ChatTarget_GameSpectator"	"Tilskuer"
"DOTA_ChatTargetMenu_Title"	"{s:target}"
"DOTA_ChatTargetMenu_ToggleEnabled"	"{s:toggle_enabled}"
"DOTA_ChatTargetMenu_NotActive"	"(Ikke aktiv)"
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Lobby_Name"	"Lobby"
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Channel_Name"	"Kanal"
"DOTA_ChatCommand_Whisper"	"w"
"DOTA_ChatCommand_Reply"	"r"
"DOTA_ChatCommand_Reply_Name"	"Svar"
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"Hjelp"
"DOTA_ChatCommand_InviteToParty_Name"	"Inviter til gruppe"
"DOTA_ChatCommand_LeaveParty"	"leaveparty"
"DOTA_ChatCommand_LeaveParty_Name"	"Forlat gruppe"
"DOTA_ChatCommand_LeaveChannel"	"leavechannel"
"DOTA_ChatCommand_LeaveChannel_Name"	"Forlat kanal"
"DOTA_ChatCommand_GameAll"	"alle"
"DOTA_ChatCommand_GameAll_Name"	"Alle"
"DOTA_ChatCommand_GameAllies"	"allierte"
"DOTA_ChatCommand_GameAllies_Name"	"Allierte"
"DOTA_ChatCommand_GameAllies_Description"	"Snakk med dine allierte."
"DOTA_ChatCommand_GameCoaching"	"coach"
"DOTA_ChatCommand_GameCoaching_Name"	"Veiledning"
"DOTA_ChatCommand_GameSpectator"	"tilskuer"
"DOTA_ChatCommand_GameSpectator_Name"	"Tilskuer"
"DOTA_ChatCommand_GameSpectator_Description"	"Snakk med andre tilskuere."
"DOTA_ChatCommand_Clear"	"clear"
"DOTA_ChatCommand_Clear_Name"	"Fjern"
"DOTA_ChatHelp_Targets"	"Mål"
"DOTA_ChatHelp_NameFormat"	"{s:command_name}:"
"DOTA_ChatHelp_CommandFormat"	"/{s:command}"
"DOTA_Chat_LeftParty"	"Gruppe oppløst."
"DOTA_Chat_MemberLeftParty"	"Spiller forlot gruppen: {s:party_members}"
"DOTA_Chat_InvitedToJoinParty"	"Invitert: {s:party_members}"
"DOTA_Chat_PartyMemberSeparator"	", "
"DOTA_Feature_Under_Construction_Title"	"Under konstruksjon"
"DOTA_PartyJoinRequest_Description"	"{g:dota_persona:b:inviter} ønsker å bli med i gruppen din."
"DOTA_PartyMergeRequest_Description"	"{g:dota_persona:b:inviter} ønsker at deres gruppe skal bli med i gruppen din."
"DOTA_Invite_IOfN"	"{d:received_invite_index} av {d:received_invite_count}"
"DOTA_PartyInvite_Description"	"{g:dota_persona:b:inviter} har invitert deg til en gruppe."
"DOTA_PartyInvite_LowPriority_Description"	"{g:dota_persona:b:inviter} har invitert deg til en lavprioritetsgruppe."
"DOTA_PartyVisTooltip_TitleOpen"	"Ser etter gruppemedlemmer"
"DOTA_PartyVisTooltip_TitleNotOpen"	"Ser ikke etter gruppemedlemmer"
"DOTA_PartySettings"	"Gruppeinnstillinger"
"DOTA_LobbyInvite_Title"	"Lobby-invitasjon"
"DOTA_LobbyInvite_Description"	"{g:dota_persona:inviter} har invitert deg til en lobby."
"DOTA_PartyJoinedLobby_Title"	"Ble med i lobby"
"DOTA_PartyJoinedLobby_Generic"	"{g:dota_filtered_string:party_leader} har flyttet deg til en lobby."
"DOTA_PartyJoinedLobby_Custom"	"{g:dota_filtered_string:party_leader} har flyttet deg til en {s:custom_game}-lobby."
"DOTA_PartyLeader"	"Gruppeleder"
"DOTA_LobbyKicked_Header"	"Kastet ut fra lobby"
"DOTA_LobbyKicked_Message"	"Du ble kastet ut fra spill-lobbyen av lobbylederen."
"DOTA_PlayerContextMenu_ViewProfile"	"Vis profil"
"DOTA_PlayerContextMenu_ChatWithPlayer"	"Send melding"
"DOTA_PlayerContextMenu_InviteToParty"	"Inviter til gruppe"
"DOTA_PlayerContextMenu_LeaveParty"	"Forlat gruppe"
"DOTA_PlayerContextMenu_AddFriend"	"Legg til venn"
"DOTA_PlayerContextMenu_AcceptFriendRequest"	"Godta venneforespørsel"
"DOTA_PlayerContextMenu_IgnoreFriendRequest"	"Ignorer venneforespørsel"
"DOTA_FeaturedHero_ViewGrid"	"Vis rutenett"
"DOTA_FeaturedHero_HeroName"	"{s:hero_name}"
"DOTA_FeaturedHero_ItemName"	"{g:dota_item_name:item_def}"
"DOTA_FeaturedHeroReason_NewItem"	"Ny {s:item_rarity}"
"DOTA_FeaturedHeroReason_FrequentlyPlayedHero"	"Fordi du spilte"
"DOTA_FeaturedHeroReason_FeaturedItem"	"Fremhevet gjenstand"
"DOTA_FeaturedHeroReason_PopularItem"	"Bestselger"
"DOTA_FeaturedHeroReason_SaleItem"	"Nå på tilbud"
"DOTA_HeroSelectorCategory_Default"	"Alle helter"
"DOTA_HeroSelectorCategory_NewItems"	"Nye gjenstander"
"DOTA_HeroSelectorCategory_Favorites"	"Favoritter"
"DOTA_HeroSelectorCategory_MostPlayed"	"Min mest spilte"
"DOTA_HeroSelectorCategory_LeastPlayed"	"Min minst spilte"
"DOTA_HeroSelectorCategory_HaveItems"	"Jeg har gjenstander for"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Strength"	"Styrke"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Agility"	"Smidighet"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Intelligence"	"Intelligens"
"DOTA_HeroSelectorCategory_AttackRange_Melee"	"Nærkamp"
"DOTA_HeroSelectorCategory_AttackRange_Ranged"	"Avstandskamp"
"DOTA_HeroSelector_SelectHero_Label"	"Velg"
"DOTA_HeroSelector_ClearFilters"	"Fjern filtre"
"DOTA_OwnedItemSet_Selector_Title"	"Eid"
"DOTA_EquippedItemSet_Selector_Title"	"Utstyrt"
"DOTA_OwnedItemSet_Available_Title"	"Tilgjengelig"
"DOTA_FeaturedItemSet_Selector_Title"	"Utvalgt"
"DOTA_AllItemSet_Selector_Title"	"Alle"
"DOTA_ConfirmLANLobby_title"	"LOKAL LOBBY"
"DOTA_ConfirmLANLobbyDisconnect_ok"	"Ja, koble fra"
"DOTA_Lobby_Settings_Required"	"PÅKREVD"
"DOTA_Lobby_Settings_Confirm"	"{s:lobby_confirm_label}"
"DOTA_Lobby_Settings_Password"	"LOBBY-PASSORD"
"DOTA_Lobby_Settings_Starting_Team"	"STARTENDE LAG"
"DOTA_Lobby_Settings_Starting_Team_Random"	"TILFELDIG"
"DOTA_Lobby_Settings_Penalty_Level_0"	"Ingen straff"
"DOTA_Lobby_Settings_Series_Best_of_3"	"BEST AV 3"
"DOTA_Lobby_Settings_Series_Best_of_5"	"BEST AV 5"
"DOTA_Lobby_Settings_Bot_Difficulty_Passive"	"PASSIV"
"DOTA_Lobby_Settings_Bot_Difficulty_Easy"	"LETT"
"DOTA_Lobby_Settings_Bot_Difficulty_Medium"	"MIDDELS"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"VANSKELIG"
"DOTA_Lobby_Settings_Version"	"VERSJON"
"DOTA_Lobby_Settings_Version_Latest"	"SISTE"
"DOTA_Lobby_Settings_Version_Tournament"	"TURNERING"
"DOTA_Lobby_Settings_Spectator_Section"	"TILSKUER"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2 minutter"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5 minutter"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10 sekunder"
"DOTA_Lobby_Settings_Spectators"	"TILSKUERE"
"DOTA_Lobby_Settings_Spectators_Enabled"	"AKTIVERT"
"DOTA_Lobby_Settings_Spectators_Disabled"	"DEAKTIVERT"
"dota_lobby_settings_hide_password"	"Skjul passord"
"DOTA_Lobby_Settings_Visibility"	"Lobbysynlighet"
"DOTA_Lobby_Settings_Visibility_Public"	"Offentlig"
"DOTA_Lobby_Settings_Visibility_Friends"	"Venner"
"DOTA_TeamUnsetHeader"	"LAG IKKE ANGITT"
"DOTA_TeamUnsetMessage"	"Minst ett lag har ikke angitt navn eller logo. Er du sikker på at du vil starte spillet?"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_broadcast_default_channel_name"	"Kanalnavn"
"dota_lobby_broadcast_join"	"Bli med"
"dota_lobby_broadcast_leave"	"Forlat"
"dota_lobby_broadcast_create"	"Opprett ny kanal"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_country"	"Land"
"dota_popup_broadcast_channel_edit_language"	"Språk"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Annet språk"
"lobby_slot_error_header"	"Kan ikke bytte plass"
"generic_gc_timeout"	"Melding ble tidsavbrutt."
"lobby_slot_success_header"	"Suksess"
"lobby_slot_denied"	"Du mangler adgang til å bli med i denne plassen."
"lobby_slot_cameramanoff"	"Du er ikke lenger kameramann"
"LobbySetting_GameMode"	"Spillmodus"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots_radiant} / {s:lobbysetting_bots_dire}"
"LobbySetting_Password"	"Passord"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Tjener"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Juks"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"Tilskuere"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Synlighet"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"Lokal tjener"
"DOTA_Custom_Game_Info"	"Info"
"DOTA_Custom_Game_View_Details"	"Se spilldetaljer"
"DOTA_Custom_Game_Author"	"av {g:dota_persona:author}"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} lobby"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} lobbyer"
"DOTA_Custom_Game_Friend_Lobbies_Alert"	"Du har {d:friend_count} venner med en åpen spill-lobby."
"DOTA_Custom_Game_Find_Lobby"	"Finn lobby"
"DOTA_Custom_Game_Create_Lobby"	"Opprett lobby"
"DOTA_Custom_Game_Game_Page"	"Spillside"
"DOTA_Custom_Game_Downloading"	"Laster ned..."
"DOTA_Custom_Game_Play"	"Spill {g:dota_filtered_string:game_mode_name}"
"DOTA_Custom_Game_Uninstall"	"Avinstaller"
"DOTA_Custom_Game_Install"	"Installer"
"DOTA_Custom_Game_Installed"	"Innstallert"
"DOTA_Custom_Game_Not_Installed"	"Ikke installert"
"DOTA_Custom_Game_Connect"	"Bli med i lobby"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{g:dota_filtered_string:game_mode_name}"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} abonnement"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} abonnementer"
"DOTA_Custom_Game_Rating"	"Rangering"
"DOTA_Custom_Game_Release_Date"	"Utgitt"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} spiller nå"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{g:dota_filtered_string:game_description}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Skjermbilder"
"DOTA_Custom_Game_Map_Label"	"Kart"
"DOTA_Custom_Game_Map_Any"	"Alle"
"DOTA_Custom_Game_Update"	"Oppdater"
