"dota"
{
"DOTA_Accept"	"Αποδοχή"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Αναζήτηση ανά όνομα ήρωα"
"DOTA_Wins_Singular"	"1 νίκη"
"DOTA_Wins_Plural"	"{d:hero_wins} νίκες"
"DOTA_Losses_Singular"	"1 ήττα"
"DOTA_Losses_Plural"	"{d:hero_losses} ήττες"
"DOTA_Profile_TotalGames"	"Συνολικοί αγώνες"
"DOTA_Profile_Solo_MMR"	"Solo MMR"
"DOTA_Profile_Team_MMR"	"MMR ομάδας"
"DOTA_Profile_Party_MMR"	"MMR παρέας"
"DOTA_Profile_VictoryCount"	"Νίκες"
"DOTA_Profile_ProfilePage"	"ΠΡΟΦΙΛ"
"DOTA_Profile_TrophyPage"	"ΤΡΟΠΑΙΑ"
"DOTA_Profile_RecentGamesPage"	"ΠΡΟΣΦΑΤΑ ΠΑΙΧΝΙΔΙΑ"
"DOTA_Profile_HeroPage"	"ΗΡΩΕΣ"
"DOTA_Profile_PlayStyle"	"ΣΤΥΛ ΠΑΙΧΝΙΔΙΟΥ"
"DOTA_Profile_MostRecent"	"ΠΙΟ ΠΡΟΣΦΑΤΑ {s:num_style_games} ΠΑΙΧΝΙΔΙΑ"
"DOTA_Profile_RecentActivity"	"Πρόσφατη δραστηριότητα"
"DOTA_Profile_Fighting"	"ΜΑΧΗ"
"DOTA_Profile_Fighting_TooltipTitle"	"Μάχη"
"DOTA_Profile_Fighting_Tooltip"	"Παίκτες που πολεμάνε σε πολλές μάχες με αντίπαλους ήρωες."
"DOTA_Profile_Farming"	"ΣΥΓΚΟΜΙΔΗ ΧΡΥΣΟΥ"
"DOTA_Profile_Farming_TooltipTitle"	"Συγκομιδή χρυσού"
"DOTA_Profile_Farming_Tooltip"	"Παίκτες που μαζεύουν χρυσό σκοτώνοντας πλάσματα."
"DOTA_Profile_Supporting"	"ΥΠΟΣΤΗΡΙΞΗ"
"DOTA_Profile_Supporting_TooltipTitle"	"Υποστήριξη"
"DOTA_Profile_Supporting_Tooltip"	"Παίκτες που υποστηρίζουν την ομάδα τους με θεραπεία, ward και αντικείμενα."
"DOTA_Profile_Pushing"	"ΠΙΕΣΗ"
"DOTA_Profile_Pushing_TooltipTitle"	"Πίεση"
"DOTA_Profile_Pushing_Tooltip"	"Παίκτες που ασκούν πίεση στους πύργους, βοηθώντας στην εξασφάλιση χώρου."
"DOTA_Profile_Versatility"	"ΕΥΕΛΙΞΙΑ"
"DOTA_Profile_Versatility_TooltipTitle"	"Ευελιξία"
"DOTA_Profile_Versatility_Tooltip"	"Παίκτες που είναι ευέλικτοι και παίζουν διαφορετικούς ήρωες."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Σύγκριση με τα στατιστικά μου"
"DOTA_Profile_Self"	"Εγώ"
"DOTA_Profile_GPM"	"Μ/ο Χρυσός/Λεπτό"
"DOTA_Profile_XPM"	"Μ/ο Εμπειρία/Λεπτό"
"DOTA_Profile_LH"	"Μ/ο τελ. επιθέσεων"
"DOTA_Profile_Rampages"	"Αριθμός Rampage"
"DOTA_Profile_TripleKills"	"Τριπλοί σκοτωμοί"
"DOTA_Profile_FirstBlood"	"First Blood"
"DOTA_Profile_FirstBled"	"Θάνατοι First Blood"
"DOTA_Profile_CourierKills"	"Νεκροί μεταφορείς"
"DOTA_Profile_Aegises"	"Κλεψίματα Aegis"
"DOTA_Profile_CheeseEaten"	"Φαγωμένα τυριά"
"DOTA_Profile_CreepStack"	"Στοιβ. μονάδες"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Πρόσφατα παιχνίδια"
"DOTA_RecentGames_TimeStamp"	"ΗΜΕΡΟΜΗΝΙΑ/ΩΡΑ"
"DOTA_RecentGames_HeroSelection"	"Επιλεγμένος ήρωας"
"DOTA_RecentGames_GameResult"	"ΑΠΟΤΕΛΕΣΜΑ"
"DOTA_RecentGames_GameLength"	"ΔΙΑΡΚΕΙΑ"
"DOTA_RecentGames_Team"	"Ομάδα"
"DOTA_RecentGames_GameType"	"ΤΥΠΟΣ"
"DOTA_RecentGames_Items"	"Αντικείμενα"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} σε λήψη"
"DOTA_RecentGame_Watch"	"Παρακολούθηση επανάληψης"
"DOTA_RecentGame_NoReplay"	"Καμία επανάληψη"
"DOTA_RecentGame_Expired"	"Η επανάληψη έληξε"
"DOTA_RecentGame_Finding"	"Εύρεση..."
"DOTA_RecentGame_Download"	"Λήψη αγώνα"
"DOTA_RecentGame_Pending"	"Εκκρεμής επανάληψη"
"DOTA_RecentGame_Unavailable"	"Μη διαθέσιμη επανάληψη"
"DOTA_RecentGame_MatchID"	"ID αγώνα: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} τρόπαιο"
"DOTA_TrophiesCount"	"{d:trophy_count} τρόπαια"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Τρόπαιο"
"DOTA_TrophiesCount_NoNum"	"Τρόπαια"
"DOTA_Trophies_ViewAll"	"ΟΛΑ"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp} <span class=\"TrophyPointTextSmall\">πόντοι τροπαίου</span>"
"DOTA_NextTrophy"	"Επόμενο βραβείο"
"DOTA_NewPlayerQuestion_Title"	"ΚΑΛΩΣ ΟΡΙΣΑΤΕ ΣΤΟ DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"Για τη βελτίωση της εμπειρίας παιχνιδιού σας, κοινοποιήστε την εξοικείωση σας με το Dota 2 και παρόμοια παιχνίδια:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Είμαι αρχάριος."
"DOTA_PlayerOriginQuestion_RTSButton"	"Έχω παίξει παιχνίδια στρατηγικής (RTS)."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Έχω παίξει παιχνίδι παρόμοιο με το Dota 2."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Έχω παίξει Dota 2."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Επιλέξτε το παιχνίδι με το οποίο είστε πιο άνετος:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"Dota 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Άλλο παιχνίδι"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"ΑΣ ΠΑΙΞΟΥΜΕ"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Ως νέος παίκτης στο Dota 2, μπορεί να σας ενδιαφέρει η εκμάθηση στο τμήμα Εκμάθηση της καρτέλας Παιχνίδι."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Τα πλήκτρα και οι επιλογές σας έχουν οριστεί με τις πιο συχνά χρησιμοποιούμενες ρυθμίσεις για παίκτες με τη δική σας εμπειρία. Μπορείτε να τις προσαρμόσετε ανά πάσα στιγμή πατώντας στο εικονίδιο ρυθμίσεων."
"DOTA_Tutorial_SkipButton"	"Παράλειψη εκμάθησης"
"DOTA_ConfirmSkip"	"Παράλειψη εισαγωγής Dota 2;"
"DOTA_ConfirmSkipDesc"	"Σίγουρα θέλετε να παραλείψετε την εκμάθηση του Dota 2?"
"DOTA_Tutorial_Start_Quest"	"ΕΚΚΙΝΗΣΗ ΑΠΟΣΤΟΛΗΣ"
"DOTA_Tutorial_Quest0_Title"	"ΑΠΟΣΤΟΛΗ 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"ΕΚΗΒΟΛΟΣ ΗΡΩΑΣ"
"DOTA_Tutorial_Quest0DetailsDesc"	"Αυτή η αποστολή θα πάρει περίπου\n10 λεπτά για να ολοκληρωθεί."
"DOTA_Tutorial_QuestDetailsLearn"	"Θα μάθετε:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Κίνηση ήρωα\nΑύξηση επιπέδου ήρωα\nΧρήση ικανοτήτων\nΑντικείμενα\nΒασική μάχη\nΤελικές επιθέσεις"
"DOTA_Tutorial_Quest1_Title"	"ΑΠΟΣΤΟΛΗ 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"ΜΑΧΗ ΜΕΤΩΠΟΥ"
"DOTA_Tutorial_Quest1DetailsDesc"	"Αυτή η αποστολή θα πάρει περίπου\n10 λεπτά για να ολοκληρωθεί."
"DOTA_Tutorial_Quest1DetailsLesson"	"Μάχη από μακριά \n Ικανότητες για περιοχή \n Ο μικρός χάρτης \n Πύργοι \n Μεταφορείς και φύλαξη \n Τηλεμεταφορά"
"DOTA_Tutorial_Quest2_Title"	"ΑΠΟΣΤΟΛΗ 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"ΜΑΧΗ ΜΕΤΩΠΟΥ"
"DOTA_Tutorial_Quest2DetailsDesc"	"Αυτή η αποστολή θα πάρει περίπου\n10 - 15 λεπτά για να ολοκληρωθεί."
"DOTA_Tutorial_Quest2DetailsLesson"	"Μάχη στο μέτωπο \n Άμυνα και επίθεση πύργων \n Αρχικά αντικείμενα"
"DOTA_Challenges_Title"	"ΕΚΜΑΘΗΣΗ"
"DOTA_ChallengeGroup_0_Title"	"ΜΗΧΑΝΙΣΜΟΙ"
"DOTA_ChallengeGroup_1_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT ΜΕ ΚΑΘΟΔΗΓΗΣΗ"
"DOTA_ChallengeGroup_1_Desc"	"Εκκίνηση εδώ!"
"DOTA_ChallengeGroup_2_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT"
"DOTA_ChallengeGroup_More"	"ΕΡΧΟΝΤΑΙ ΠΕΡΙΣΣΟΤΕΡΑ"
"DOTA_ChallengeGroup_Locked"	"Κλειδωμένο"
"DOTA_LearnMechanics_Title"	"ΜΗΧΑΝΙΣΜΟΙ"
"DOTA_LearnMechanics_SubTitle"	"Μάθετε τα βασικά του Dota, όπως τον χειρισμό του ήρωά σας, τη χρήση του καταστήματος και περισσότερα. Αν δεν έχετε ξαναπαίξει ένα παιχνίδι όπως το Dota, ξεκινήστε εδώ."
"DOTA_Mechanics_0_Title"	"Μηχανισμοί 1"
"DOTA_Mechanics_0_Desc"	"Κίνηση ήρωα\nΑύξηση επιπέδου ήρωα\nΧρήση ικανοτήτων\nΑντικείμενα\nΒασική μάχη\nΤελικές επιθέσεις"
"DOTA_Mechanics_1_Title"	"Μηχανισμοί 2"
"DOTA_Mechanics_1_Desc"	"Μάχη από μακριά \n Ικανότητες για περιοχή \n Ο μικρός χάρτης \n Πύργοι \n Μεταφορείς και φύλαξη \n Τηλεμεταφορά"
"DOTA_LearnGuidedBotMatches_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT ΜΕ ΚΑΘΟΔΗΓΗΣΗ"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Συνδεθείτε και πολεμήστε εναντίον Bot καθώς μαθαίνετε να παίζετε Dota. Θα σας καθοδηγούμε βήμα προς βήμα σε κάθε στάδιο ενός πλήρους αγώνα καθώς κάνετε τον ήρωά σας μια ασταμάτητη δύναμη."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Επίθεση μικρής απόστασης\nΥψηλή ζημιά επίθεση\nΓρήγορη κίνηση\nΣχετική ευπρoσβλητότητα\nΧρησιμοποιεί σβελτάδα"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Κοντινή επίθεση\nΕκρηκτική ζημιά επίθεσης\nΥψηλή αντοχή\nΕυπάθεια σε επιβράδυνση\nΧρησιμοποιεί δύναμη"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Επίθεση μεγάλης απόστασης\nΕκρηκτική ζημιά ικανότητας\nΣύντομες επαναφορτίσεις\nΜεγάλη ευπροσβλητότητα\nΧρησιμοποιεί ευφυΐα"
"DOTA_LearnBotMatches_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT"
"DOTA_LearnBotMatches_SubTitle"	"Εξάσκηση με και εναντίον ηρώων ελεγχόμενων από τεχνητή νοημοσύνη σε έναν ελεύθερο χώρο εξάσκησης."
"DOTA_BotMatches_0_Title"	"Εύκολα bot"
"DOTA_BotMatches_0_Desc"	"Εκμάθηση νέου ήρωα."
"DOTA_BotMatches_1_Title"	"Κανονικά bot"
"DOTA_BotMatches_1_Desc"	"Νιώστε άνετα."
"DOTA_BotMatches_2_Title"	"Δύσκολα bot"
"DOTA_BotMatches_2_Desc"	"Προκαλέστε τον εαυτό σας."
"DOTA_BotMatches_3_Title"	"bot μέγιστης δυσκολίας"
"DOTA_BotMatches_3_Desc"	"Βλάψτε τον εαυτό σας."
"FileOpenDialog_Open"	"Άνοιγμα"
"FileOpenDialog_Save"	"Αποθήκευση"
"FileOpenDialog_Select"	"Επιλογή"
"FileOpenDialog_FileType_Folder"	"Φάκελος"
"DOTA_FindMatch"	"ΕΥΡΕΣΗ ΑΓΩΝΑ"
"DOTA_FindingMatch"	"Εύρεση αγώνα ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Αναζήτηση"
"DOTA_StartSoloBotMatch"	"ΕΚΚΙΝΗΣΗ ΑΓΩΝΑ"
"DOTA_Create_Lobby"	"ΔΗΜΙΟΥΡΓΙΑ"
"DOTA_Join_Lobby"	"Σύνδεση στο λόμπι"
"DOTA_LobbyStartGame"	"ΕΚΚΙΝΗΣΗ ΠΑΙΧΝΙΔΙΟΥ"
"DOTA_ReturnToLobby"	"ΠΙΣΩ ΣΤΟ ΛΟΜΠΙ"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Είδη παιχνιδιού: "
"DOTA_FindRegionsMany"	"Περιοχές: "
"DOTA_GameMode_AllPick"	"All Pick"
"DOTA_GameMode_SingleDraft"	"Single Draft"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Random Draft"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Least Played"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_GameMode_LimitedHeroes"	"Limited Heroes"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"All Random Death Match"
"DOTA_ImmediatePurchase_SendFailed"	"Αποτυχία αποστολής αιτήματος αγοράς. Οι διακομιστές του Dota μπορεί να βρίσκονται εκτός σύνδεσης. Προσπαθήστε ξανά αργότερα."
"DOTA_ImmediatePurchase_Timeout"	"Δεν υπήρξε απάντηση για το αίτημα αγοράς. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"DOTA_ImmediatePurchase_InitFailed"	"Αδυναμία αγοράς από το Perfect World αυτή τη στιγμή. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"Δεν έχετε αρκετά χρήματα στο λογαριασμό Perfect World σας για να ολοκληρώσετε την αγορά. Προσθέστε χρήματα και δοκιμάστε ξανά."
"DOTA_ImmediatePurchase_Success_Title"	"Επιτυχία"
"DOTA_ImmediatePurchase_Success_Text"	"Η αγορά ολοκληρώθηκε επιτυχώς! Τα αντικείμενά σας θα εμφανιστούν στο Οπλοστάσιο σύντομα."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Ακυρώθηκε"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"Δεν υπήρξε απάντηση για το αίτημα ξεπακεταρίσματος. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"DOTA_ImmediatePurchase_UnbundleFailure"	"Αδυναμία ξεπακεταρίσματος πακέτου. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"DOTA_ImmediatePurchase_LateCancel"	"Η αγορά προηγουμένως ακυρώθηκε. Δεν έχετε χρεωθεί."
"DOTA_ConfirmPurchaseTitle"	"Επιβεβαίωση αγοράς"
"DOTA_ConfirmPurchaseText"	"Θέλετε να αγοράσετε αυτό το αντικείμενο;"
"DOTA_PurchaseInProgress_Title"	"Αγορά σε εξέλιξη"
"DOTA_PurchaseInProgress_Text"	"Το αίτημα αγοράς σας επεξεργάζεται."
"DOTA_UnbundleInProgress_Title"	"Ξεπακετάρισμα σε εξέλιξη"
"DOTA_UnbundleInProgress_Text"	"Το πακέτο σας ξεπακετάρεται."
"DOTA_ConfirmUnbundleTitle"	"Επιβεβαίωση ξεπακεταρίσματος"
"DOTA_ConfirmUnbundleText"	"Πρέπει να ξεπακετάρετε αυτό το πακέτο για να εξοπλίσετε τα αντικείμενα μέσα σε αυτό. Συνέχεια;"
"DOTA_RequestingBalance_Title"	"Αίτημα υπολοίπου"
"DOTA_RequestingBalance_Text"	"Αίτημα υπολοίπου λογαριασμού Perfect World..."
"DOTA_PartnerPurchaseRecharge_Title"	"Επαναχρέωση υπολοίπου"
"DOTA_PartnerPurchaseRecharge_Text"	"Αλλαγή σε επαναχρέωση υπολοίπου λογαριασμού..."
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"Επαναχρέωση λογαριασμού"
"DOTA_PartnerPurchase_Balance"	"Υπόλοιπο: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Επιστροφή στην αγορά"
"RequestBalanceBadAccount"	"Αποτυχία αιτήματος υπολοίπου λογαριασμού: ο λογαριασμός δεν βρέθηκε."
"RequestBalanceAccountNotLinked"	"Αποτυχία αιτήματος υπολοίπου λογαριασμού: ο λογαριασμός σας δεν είναι συνδεδεμένος με το Perfect World."
"RequestBalanceUnsupportedPartner"	"Αποτυχία αιτήματος υπολοίπου λογαριασμού: ο λογαριασμός σας δεν είναι συνδεδεμένος με έναν αναγνωρισμένο συνεργάτη."
"StoreCheckout_Error_Title"	"Σφάλμα"
"StoreCheckout_NoItems"	"Το καλάθι αγορών σας είναι άδειο!"
"StoreCheckout_TooManyItems"	"Έχετε πάρα πολλά αντικείμενα στο καλάθι αγορών σας!"
"StoreCheckout_Loading"	"Ολοκλήρωση αγοράς..."
"StoreCheckout_Unavailable"	"Δεν είναι δυνατή η ολοκλήρωση της αγοράς σας αυτή τη στιγμή."
"StoreCheckout_Cancelling"	"Γίνεται ακύρωση..."
"StoreCheckout_Fail"	"Το Κατάστημα εντός παιχνιδιού είναι προσωρινά κλειστό."
"StoreCheckout_InvalidParam"	"Ένας προγραμματιστής τα έκανε θάλασσα! Μια μη έγκυρη παράμετρος πέρασε στον συντονιστή παιχνιδιού. Επιχειρήστε ξανά την αγορά."
"StoreCheckout_InternalError"	"Παρουσιάστηκε ένα σφάλμα κατά την αρχικοποίηση ή ενημέρωση της συναλλαγής σας. Περιμένετε λιγάκι και προσπαθήστε ξανά ή επικοινωνήστε με την υποστήριξη για βοήθεια."
"StoreCheckout_ContactSupport"	"Υπήρξε ένα σφάλμα με τη συναλλαγή σας. Παρακαλούμε επικοινωνήστε με την υποστήριξη για βοήθεια."
"StoreCheckout_NotApproved"	"Ο συντονιστής παιχνιδιού δεν μπόρεσε να εγκρίνει τη συναλλαγή σας με το Steam. Προσπαθήστε ξανά την αγορά αργότερα."
"StoreCheckout_NotLoggedin"	"Πρέπει να είστε συνδεδεμένος στο Steam για να ολοκληρώσετε μια αγορά."
"StoreCheckout_WrongCurrency"	"Το νόμισμα της συναλλαγής δεν ταιριάζει με το νόμισμα του πορτοφολιού σας."
"StoreCheckout_NoAccount"	"Ο λογαριασμός σας στο Steam είναι προσωρινά μη διαθέσιμος. Προσπαθήστε ξανά την αγορά αργότερα."
"StoreCheckout_InsufficientFunds"	"Δεν έχετε αρκετά χρήματα για να ολοκληρώσετε την αγορά."
"StoreCheckout_TimedOut"	"Η συναλλαγή σας έληξε. Προσπαθήστε την αγορά ξανά."
"StoreCheckout_SteamAccountDisabled"	"Ο λογαριασμός σας στο Steam είναι απενεργοποιημένος και δεν μπορεί να πραγματοποιήσει αγορές."
"StoreCheckout_SteamAccountNoPurchase"	"Οι συναλλαγές με το πορτοφόλι Steam έχουν απενεργοποιηθεί σε αυτόν το λογαριασμό."
"StoreCheckout_OldPriceSheet"	"Η τοπική λίστα προϊόντων σας δεν είναι ενημερωμένη. Γίνεται λήψη νέας."
"StoreCheckout_TransactionNotFound"	"Η ταυτότητα αυτής της συναλλαγής δε βρέθηκε από το συντονιστή παιχνιδιού. Προσπαθήστε την αγορά σας ξανά."
"StoreCheckout_TransactionCancelled"	"Η συναλλαγή ακυρώθηκε. Δεν έχετε χρεωθεί."
