"dota"
{
"DOTA_Accept"	"Приемане"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Емотикони"
"DOTA_ProfileCard_NoTrophies"	"Няма достъпни трофеи."
"DOTA_ProfileCard_NoItems"	"Няма достъпни предмети."
"DOTA_ProfileCard_HeroOnly"	"Само герой"
"DOTA_ProfileCard_HeroShowWins"	"Показване на победи"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Показване на победи и загуби"
"DOTA_ProfileCard_ItemSearchPrefix"	"Търсене за:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Предмети по име"
"DOTA_ProfileCard_ItemArmoryLink"	"Преглед на цялата оръжейна"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Търсене по име на герой"
"DOTA_Wins_Singular"	"1 победа"
"DOTA_Wins_Plural"	"{d:hero_wins} победи"
"DOTA_Losses_Singular"	"1 загуба"
"DOTA_Losses_Plural"	"{d:hero_losses} загуби"
"DOTA_Profile_TotalGames"	"Общо игри"
"DOTA_Profile_Solo_MMR"	"Личен рейтинг"
"DOTA_Profile_Team_MMR"	"Отборен рейтинг"
"DOTA_Profile_Party_MMR"	"Екипен рейтинг"
"DOTA_Profile_VictoryCount"	"Победи"
"DOTA_Profile_ProfilePage"	"Профил"
"DOTA_Profile_TrophyPage"	"Трофеи"
"DOTA_Profile_RecentGamesPage"	"Скорошни игри"
"DOTA_Profile_HeroPage"	"Герои"
"DOTA_Profile_PlayStyle"	"Стил на игра"
"DOTA_Profile_MostRecent"	"Последна(и) {s:num_style_games} игра(и)"
"DOTA_Profile_RecentActivity"	"Скорошна дейност"
"DOTA_Profile_Fighting"	"Сражаване"
"DOTA_Profile_Fighting_TooltipTitle"	"Сражаване"
"DOTA_Profile_Fighting_Tooltip"	"Играчи, които се сражават в много битки с вражеските герои."
"DOTA_Profile_Farming"	"Фермене"
"DOTA_Profile_Farming_TooltipTitle"	"Фермене"
"DOTA_Profile_Farming_Tooltip"	"Играчи, които събират злато от убиването на крийпове."
"DOTA_Profile_Supporting"	"Поддържане"
"DOTA_Profile_Supporting_TooltipTitle"	"Поддържане"
"DOTA_Profile_Supporting_Tooltip"	"Играчи, които поддържат своя отбор с лечение, пазители и предмети."
"DOTA_Profile_Pushing"	"Бутане"
"DOTA_Profile_Pushing_TooltipTitle"	"Бутане"
"DOTA_Profile_Pushing_Tooltip"	"Играчи, които бутат до кули и помагат за осигуряване на пространство."
"DOTA_Profile_Versatility"	"Гъвкав"
"DOTA_Profile_Versatility_TooltipTitle"	"Гъвкав"
"DOTA_Profile_Versatility_Tooltip"	"Играчи, които са гъвкави и могат да играят много различни герои."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Сравнение с моите статистики"
"DOTA_Profile_Self"	"За мен"
"DOTA_Profile_GPM"	"Средно ЗВМ"
"DOTA_Profile_XPM"	"Средно ОВМ"
"DOTA_Profile_LH"	"Средно последни удари"
"DOTA_Profile_Rampages"	"Вилнеения"
"DOTA_Profile_TripleKills"	"Тройни убийства"
"DOTA_Profile_FirstBlood"	"Убийства за първа кръв"
"DOTA_Profile_FirstBled"	"Първи убит"
"DOTA_Profile_CourierKills"	"Убити куриери"
"DOTA_Profile_Aegises"	"Кражби на Aegises"
"DOTA_Profile_CheeseEaten"	"Изядено сирене"
"DOTA_Profile_CreepStack"	"Натрупани лагери"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Скорошни игри"
"DOTA_RecentGames_TimeStamp"	"Дата/час"
"DOTA_RecentGames_HeroSelection"	"Игран герой"
"DOTA_RecentGames_GameResult"	"Резултат"
"DOTA_RecentGames_GameLength"	"Времетраене"
"DOTA_RecentGames_Team"	"Отбор"
"DOTA_RecentGames_GameType"	"Тип"
"DOTA_RecentGames_Items"	"Предмети"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} сваляне"
"DOTA_RecentGame_Watch"	"Гледане на повторението"
"DOTA_RecentGame_NoReplay"	"Няма повторение"
"DOTA_RecentGame_Expired"	"Повторението е изтекло"
"DOTA_RecentGame_Finding"	"Намиране…"
"DOTA_RecentGame_Download"	"Сваляне на мача"
"DOTA_RecentGame_Pending"	"Повторението е висящо"
"DOTA_RecentGame_Unavailable"	"Повторението е недостъпно"
"DOTA_RecentGame_MatchID"	"Мач №: {s:match_id}"
"DOTA_No_Team_Name"	"—"
"DOTA_TrophyCount"	"{d:trophy_count} трофей"
"DOTA_TrophiesCount"	"{d:trophy_count} трофея"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Трофей"
"DOTA_TrophiesCount_NoNum"	"Трофеи"
"DOTA_Trophies_ViewAll"	"Всички"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp}<span class=\"TrophyPointTextSmall\">ТТ</span>"
"DOTA_NextTrophy"	"Следваща награда"
"DOTA_NewPlayerQuestion_Title"	"ДОБРЕ ДОШЛИ В DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"За да подобрите игралното си преживяване, моля, споделете колко сте запознати с Dota 2 и сходни игри:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Аз съм начинаещ."
"DOTA_PlayerOriginQuestion_RTSButton"	"Играл съм стратегии в реално време."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Играл съм сходни на Dota 2 игри."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Играл съм Dota 2."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Изберете играта, с която сте запознати най-добре:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Друга игра"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"НЕКА ДА ИГРАЕМ"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Като нов играч в Dota, може би ще се заинтересувате от упътванията в секцията „Трениране“ на игралния раздел. Те са страхотни като за първи стъпки към доминацията на други играчи от целият свят."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Клавишните Ви комбинации и опции вече са зададени към най-често използваните настройки за хора с Вашия опит. Може да ги персонализирате по всяко време, като кликнете на иконата за настройки."
"DOTA_Tutorial_SkipButton"	"Пропускане на упътването"
"DOTA_ConfirmSkip"	"Пропускане на Dota 2 представянето?"
"DOTA_ConfirmSkipDesc"	"Сигурни ли сте, че искате да пропуснете упътванията за Dota 2?"
"DOTA_Tutorial_Start_Quest"	"ЗАПОЧВАНЕ НА ПРИКЛЮЧЕНИЕТО"
"DOTA_Tutorial_Quest0_Title"	"ПРИКЛЮЧЕНИЕ 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"ДАЛЕКОБОЕН ГЕРОЙ"
"DOTA_Tutorial_Quest0DetailsDesc"	"Това приключение ще отнете около\n 10 минути, за да го завършите."
"DOTA_Tutorial_QuestDetailsLearn"	"Ще научите:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Движението на герой\nНивата на герой\nИзползването на умения\nПредмети\nОснова на битката\nПоследни удари"
"DOTA_Tutorial_Quest1_Title"	"ПРИКЛЮЧЕНИЕ 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"БИТКИ НА АЛЕЯТА"
"DOTA_Tutorial_Quest1DetailsDesc"	"Това приключение ще отнете около\n 10 минути, за да го завършите."
"DOTA_Tutorial_Quest1DetailsLesson"	"Далекобойни битки \n Площ на ефект за уменията \n Миникартата \n Кулите \n Куриери и тайника \n Телепортация"
"DOTA_Tutorial_Quest2_Title"	"ПРИКЛЮЧЕНИЕ 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"БИТКИ НА АЛЕЯТА"
"DOTA_Tutorial_Quest2DetailsDesc"	"Това приключение ще отнете около\n 10-15 минути, за да го завършите."
"DOTA_Tutorial_Quest2DetailsLesson"	"Битки в алеите \n Защитаване и атакуване на кули \n Начални предмети"
"DOTA_Challenges_Title"	"Обучение"
"DOTA_ChallengeGroup_0_Title"	"Механики"
"DOTA_ChallengeGroup_1_Title"	"Обучителни мачове с ботове"
"DOTA_ChallengeGroup_1_Desc"	"Започнете тук!"
"DOTA_ChallengeGroup_2_Title"	"Мачове с ботове"
"DOTA_ChallengeGroup_More"	"И още много"
"DOTA_ChallengeGroup_Locked"	"Заключено"
"DOTA_LearnMechanics_Title"	"Механики"
"DOTA_LearnMechanics_SubTitle"	"Научете основите на Dota, от това как да контролирате героя си до използването на магазина за предмети и още други. Ако никога не сте играли нещо подобно на Dota, започнете оттук."
"DOTA_Mechanics_0_Title"	"Механики 1"
"DOTA_Mechanics_0_Desc"	"Движението на герой\nНивата на герой\nИзползването на умения\nПредмети\nОснова на битката\nПоследни удари"
"DOTA_Mechanics_1_Title"	"Механики 2"
"DOTA_Mechanics_1_Desc"	"Далекобойни битки\nПлощ на ефект за уменията\nМиникартата \nКулите\nКуриери и тайникът\nСкроловете за телепортация"
"DOTA_LearnGuidedBotMatches_Title"	"Обучителни мачове с ботове"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Присъединете се към сражението с герои контролирани от изкуствения интелект, докато се учите да играете Dota. Ще Ви напътстваме стъпка по стъпка през всеки етап от цял мач, докато постепенно развивате Вашия герой в една неудържима сила."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Атака на късо разстояние\nВисоки щети от атака\nБързо движение\nУмерено уязвим\nИзползва статистиката за ловкост"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Ръкопашна атака\nВнезапни щети на атака\nВисока устойчивост\nУязвимост към забавяне\nИзползва статистиката за сила"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Далекобойна атака\nВнезапни щети на атака\nКратки изчаквания\nЗначително уязвим\nИзползва статистиката за интелект"
"DOTA_LearnBotMatches_Title"	"Мачове с ботове"
"DOTA_LearnBotMatches_SubTitle"	"Упражнявайте се срещу герои контролирани от изкуствения интелект в непринудена тренировъчна обстановка."
"DOTA_BotMatches_0_Title"	"Лесни ботове"
"DOTA_BotMatches_0_Desc"	"Разучете нов герой."
"DOTA_BotMatches_1_Title"	"Средни ботове"
"DOTA_BotMatches_1_Desc"	"Усвоете основите."
"DOTA_BotMatches_2_Title"	"Трудни ботове"
"DOTA_BotMatches_2_Desc"	"Предизвикайте се."
"DOTA_BotMatches_3_Title"	"Ненормални ботове"
"DOTA_BotMatches_3_Desc"	"Наранете се."
"FileOpenDialog_Open"	"Отваряне"
"FileOpenDialog_Save"	"Запазване"
"FileOpenDialog_Select"	"Избиране"
"FileOpenDialog_FileType_Folder"	"Папка"
"DOTA_FindMatch"	"Намиране на мач"
"DOTA_FindingMatch"	"Намиране на мач ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Търсене"
"DOTA_StartSoloBotMatch"	"Пускане на мач с ботове"
"DOTA_Create_Lobby"	"Създаване на лоби"
"DOTA_Join_Lobby"	"Присъединяване към лоби"
"DOTA_LobbyStartGame"	"Стартиране на играта"
"DOTA_ReturnToLobby"	"Назад към лобито"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Игрални режими:"
"DOTA_FindRegionsMany"	"Региони: "
"DOTA_GameMode_AllPick"	"All Pick"
"DOTA_GameMode_SingleDraft"	"Single Draft"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Random Draft"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Least Played"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_GameMode_LimitedHeroes"	"Limited Heroes"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"All Random Death Match"
"DOTA_ImmediatePurchase_SendFailed"	"Неуспешно изпращане на заявка за покупка. Dota сървърите може да са извън линия. Трябва да се опитате покупката си отново по-късно."
"DOTA_ImmediatePurchase_Timeout"	"Времето за връзка изтече, докато се изчакваше заявката за покупка. Моля, опитайте отново по-късно."
"DOTA_ImmediatePurchase_InitFailed"	"Не успяхме да инициираме покупка чрез Perfect World в момента. Моля опитайте отново по-късно."
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"Има недостиг на средства в Perfect World акаунта Ви за завършване на покупката. Моля, презаредете акаунта си и опитайте отново."
"DOTA_ImmediatePurchase_Success_Title"	"Успешно"
"DOTA_ImmediatePurchase_Success_Text"	"Покупката е завършена успешно! Предметите Ви скоро ще се появят в „Оръжейната“ Ви."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Отказана"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"Времето за връзка изтече, докато се изчакваше заявката за разопаковане на пакет. Моля, опитайте отново по-късно."
"DOTA_ImmediatePurchase_UnbundleFailure"	"Неуспешно разопаковане на пакета Ви. Моля, опитайте по-късно."
"DOTA_ImmediatePurchase_LateCancel"	"Покупката е била отказана по-рано. Не бяхте таксувани."
"DOTA_ConfirmPurchaseTitle"	"Потвърждаване на покупката"
"DOTA_ConfirmPurchaseText"	"Искате ли да закупите този предмет?"
"DOTA_PurchaseInProgress_Title"	"Започната покупка"
"DOTA_PurchaseInProgress_Text"	"Заявката Ви за покупка се обработва."
"DOTA_UnbundleInProgress_Title"	"Извършва се разопаковане"
"DOTA_UnbundleInProgress_Text"	"Пакетът Ви се разопакова."
"DOTA_ConfirmUnbundleTitle"	"Потвърждение за разопаковане"
"DOTA_ConfirmUnbundleText"	"Трябва да разопаковате този пакет, с цел да екипирате предметите в него. Продължаване?"
"DOTA_RequestingBalance_Title"	"Проверка на баланса"
"DOTA_RequestingBalance_Text"	"Заявка за баланса на акаунта Ви в Perfect World…"
"DOTA_PartnerPurchaseRecharge_Title"	"Презареждане на баланса"
"DOTA_PartnerPurchaseRecharge_Text"	"Превключване към презареждане на баланса за акаунта Ви…"
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"Презареждане на акаунта"
"DOTA_PartnerPurchase_Balance"	"Баланс: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Връщане към покупката"
"RequestBalanceBadAccount"	"Неуспешна заявка за баланса: акаунтът не е намерен."
"RequestBalanceAccountNotLinked"	"Неуспешна заявка за баланса: акаунтът Ви не е свързан с Perfect World."
"RequestBalanceUnsupportedPartner"	"Неуспешна заявка за баланса на акаунта: акаунта Ви не е свързан с известен ни партньор."
"StoreCheckout_Error_Title"	"Грешка"
"StoreCheckout_NoItems"	"Кошницата Ви е празна!"
"StoreCheckout_TooManyItems"	"Имате прекалено много предмети в кошницата!"
"StoreCheckout_Loading"	"Проверяване…"
"StoreCheckout_Unavailable"	"Касата е недостъпна в този момент."
"StoreCheckout_Cancelling"	"Отказване…"
"StoreCheckout_Fail"	"Понастоящем магазинът в играта е затворен."
"StoreCheckout_InvalidParam"	"Някой програмист е оплескал работата! Беше предаден невалиден параметър към координатора в играта. Моля, опитайте покупката отново."
"StoreCheckout_InternalError"	"Изглежда има грешка при инициализирането или актуализирането на транзакцията Ви. Моля, изчакайте една минута и опитайте отново или се свържете с поддръжката за помощ."
"StoreCheckout_ContactSupport"	"Имаше грешка с транзакцията Ви. Моля, свържете се с поддръжката за помощ."
"StoreCheckout_NotApproved"	"Координаторът на играта не одобри транзакцията Ви със Steam. Моля, опитайте покупката отново по-късно."
"StoreCheckout_NotLoggedin"	"Трябва да сте влезли в Steam, за да може да завършите покупката."
"StoreCheckout_WrongCurrency"	"Валутата за транзакция не съвпада с тази в портфейла Ви."
"StoreCheckout_NoAccount"	"Понастоящем Steam акаунтът Ви е недостъпен. Моля, опитайте тази покупка отново по-късно."
"StoreCheckout_InsufficientFunds"	"Нямате достатъчно средства, за да завършите покупката."
"StoreCheckout_TimedOut"	"Времето за тази транзакция изтече. Моля, опитайте да закупите отново."
"StoreCheckout_SteamAccountDisabled"	"Steam акаунтът Ви е изключен и не може да направи покупката."
"StoreCheckout_SteamAccountNoPurchase"	"Транзакции чрез Steam портфейл бяха изключени на този акаунт."
"StoreCheckout_OldPriceSheet"	"Локалният продуктов списък не е актуален. Заявка за подновяване."
"StoreCheckout_TransactionNotFound"	"Номерът на тази транзакция не беше намерен от координатора на играта. Моля, опитайте покупката отново."
"StoreCheckout_TransactionCancelled"	"Транзакцията е отказана. Не бяхте таксувани."
"StoreCheckout_TransactionCompleted"	"Транзакцията завършена!\\\nНаслаждавайте се на плячката!"
"StoreCheckout_CompleteButUnfinalized"	"Не можахме да потвърдим успех. Ако е била успешна, Вашите предмети ще бъдат доставени по-късно."
"StoreCheckout_NotEnoughRoom"	"Нямате достатъчно място в оръжейната, за да купите толкова много предмети."
"StoreCheckout_ContactSupport_Dialog_Title"	"Предупреждение"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Свържете се"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Предмет, който се опитвате да купите, е разпродаден или недостъпен в момента."
"StoreCheckout_Nexon_InsufficientFunds"	"Нямате достатъчно средства, за да завършите покупката."
"StoreCheckout_Nexon_FundsLocked"	"Включено е заключване на Nexon средствата."
"npc_dota_hero_abaddon_hype"	"Способен е да преобразува вражеските атаки в самолечение, Abaddon може да оцелее почти всяко нападение. Защитавайки съюзниците и отприщвайки своята двуостра спирала към приятели или врагове. Той винаги е готов да препусне към разгара на битката."
"npc_dota_hero_alchemist_hype"	"Синтезирайки допълнителни ресурси от всяко убийство, Alchemist не среща затруднения набирайки си необходимите инструменти, за да унищожи своите неприятели. Атакувайки враговете от засада с разяждаща киселина и купища нестабилни химични вещества. Той се сражава, с цел да подсигури, че алчните му лудории ще си останат непрекъснати."
"npc_dota_hero_ancient_apparition_hype"	"Способен е да отприщва мощен взрив от нанасящ щети лед по протежението на бойното поле. Ancient Apparition заплашва да опропасти сломените врагове, където и да са те. Забавя враговете, докато подобрява ефикасността на своите съюзници в битката, той е постоянна заплаха за неприятелите си."
"npc_dota_hero_antimage_hype"	"Ако Anti-Mage получи възможността да натрупа пълната сила малцина могат да спрат неговите нападения. Източвайки мана от враговете с всеки удар или телепортирайки се на къси разстояния, за да избегне засада. Той е предизвикателство за всеки неприятел дръзнал да го притисне."
"npc_dota_hero_axe_hype"	"Един подир друг, Axe покосява своите неприятели. Той настъпва напред, предвождайки своя отбор и притиска враговете в схватка, а след това парира техните удари със смъртоносно завъртане на оръжието си. Затръшвайки своето непрощаващо острие през някой омаломощен враг, неговият щурм е винаги устремен напред."
"npc_dota_hero_bane_hype"	"Bane всява ужас у враговете си със своя арсенал от деактивиращи умения. Независимо дали улавя някой враг в примката на зловреден кошмар или сковава друг на място. Той дава на своите съюзници всичкото време, от което се нуждаят, за да покосят врага си."
"npc_dota_hero_batrider_hype"	"След като поеме към небесата, Batrider може да нанесе удар отвсякъде. Сграбчвайки противник със своето ласо, той се извисява над върховете на дърветата. И издърпва плячката си през огнена диря, докато я провлече до своите безмилостни съюзници."
"npc_dota_hero_beastmaster_hype"	"Призовавайки плюещ отрова глиган и зорък ястреб разузнавач да спомагат лова му, Beastmaster никога не броди неподготвен по бойното поле. Посичайки през гората със секирите си, зашеметяващият му рев проправя пътя за неговите съюзници, които да опустошават своите врагове."
"npc_dota_hero_bloodseeker_hype"	"Bloodseeker принуждава своите врагове да прибягват към трудни решения. Способен е да подплаши неприятелите си към принудително отстъпление, като облее голяма площ с нанасящ щети ритуал. Страховитият му ултимат изисква опонентите му да стоят мирно или умрат."
"npc_dota_hero_bounty_hunter_hype"	"Промъквайки се невидим по петите на враговете си, Bounty Hunter винаги преследва своите неприятели. Когато някоя от целите му погине в битка, той и неговите съюзници получават значителна печалба."
"npc_dota_hero_brewmaster_hype"	"Страховит боец във всяка ситуация, Brewmaster може да обърне везните на сражението, като се разцепи на три стихийни духа. Всеки от тях със своите уникални умения. Когато не е разединен, той въвлича неприятелите си в пиянския хаос със забавящи плесници и мощни замахвания на своя жезъл."
"npc_dota_hero_bristleback_hype"	"Когато се стигне до битка, Bristleback действително ще Ви удари гръб. Намалявайки всички щети идващи отзад или отстрани. Той безгрижно се хвърля в битка, разпръсквайки болезнени игли и забавящи сополи по враговете си."
"npc_dota_hero_broodmother_hype"	"Спотайвайки се невидима в нейните паяжини, Broodmother изражда армия от паячета, които да поведат въоръжените сили от нейния отбор към вражеската база. Когато плячката наближи, тя се присъединява към своите отрочета и напада. Забавяйки неприятелите си с омаломощаващи захапки, докато се отдава на своя неутолим глад."
"npc_dota_hero_centaur_hype"	"Centaur Warrunner е същински майстор както при нанасянето, така и при абсорбирането на щети. Предвождащ бойния щурм със своя тропот той зашеметява враговете си и незабавно парира всичките им атаки. Неговото безрасъдно препускане ускорява съюзниците му както в сражение, така и при отстъпление, което повишава темпото на касапницата."
"npc_dota_hero_chaos_knight_hype"	"Chaos Knight е цяла армия сам по себе си. Способен е да призовава кавалерия от клонинги, които да разпердушинят вражеските защити. В случай, че се появи враг, Chaos Knight създава разрив в реалността, за да придърпа него и привидения си достатъчно близо, така че да обсипе главите им с безмилостен побой."
"npc_dota_hero_chen_hype"	"Присвоявайки горските твари към каузата си, Chen повежда своите импровизирани армии, за да подкрепи отбора си в битка. Той напада враговете със зверове, докато отпраща приятелите си в безопасност. А когато изглежда сякаш са надвиснали най-мрачните времена, той лекува съюзниците си, където и да са те."
"npc_dota_hero_clinkz_hype"	"Когато невидимият Clinkz дебне из бойното поле никой не е в безопасност от засада. Бързоног и скорострелен, той обсипва своите неприятели с дъжд от огън и жупел, а след това се оттегля, за да абсорбира живота от горските твари, докато подготвя следващото си нападение."
"npc_dota_hero_rattletrap_hype"	"Впускайки се към враговете със своята захващата кука, Clockwerk изолира целите си и ги взривява на парчета с дезориентиращи шрапнели. Докато претърсва бойното поле с ловките си сигнални ракети, той никога не среща проблеми при издирването на цели, към които да се запрати."
