"dota"
{
"InfoScreenClose"	"Pokračovat"
"basics_BuyFromShopTitle"	"Obchod s vybavením pro každého hrdinu"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"Předměty ve hře Dota jsou různé. Některé dokáží léčit hrdiny, jiné vylepšují schopnosti hrdinů a některé dokonce samy disponují speciálními schopnostmi.\n\nPovšimni si, že v obchodě se nachází také seznam předmětů doporučených pro tvého hrdinu. Než si hru osvojíš a zjistíš, co všechny předměty dělají a jaké jsou jejich možné kombinace, drž se tohoto seznamu."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Zakup si předmět Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Klikni v obchodě pravým tlačítkem myši na předmět Tango."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Zakup si předmět Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Klikni v obchodě pravým tlačítkem myši na předmět Healing Salve."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Zakup si předmět Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Klikni v obchodě pravým tlačítkem myši na předmět Clarity."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Zakup si předmět Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Klikni v obchodě pravým tlačítkem myši na předmět Circlet."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Zakup si předmět Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Klikni v obchodě pravým tlačítkem myši na předmět Slippers of Agility."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"Předměty do začátku, nezbytné pro přežití"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_BoughtStartingBody"	"Některé z předmětů, které sis právě zakoupil, lze spotřebovat pro vyléčení nebo doplnění many:\n\n– Tango: Použij pro spořádání stromu a pomalé vyléčení.\n– Healing Salve: Pomalu obnoví velké množství zdraví.\n– Clarity: Postupně doplní značné množství many.\n\nPOZNÁMKA: Pokud při používání předmětů Healing Salve a Clarity utržíš poškození od nepřátelského hrdiny, je jejich efekt přerušen."
"[english]basics_BoughtStartingBody"	"Some of your Starting Items can be consumed to heal or restore mana:\n\n- Tango: Use this to swallow a tree to slowly heal\n- Healing Salve: Gradually heals a large amount of health\n- Clarity: Slowly restores a large amount of mana\n\nNOTE: Healing Salve and Clarity's effects are cancelled if you take damage from an enemy hero."
"basics_LaneIntroTitle"	"Tři linky pro cestu dobyvatele"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"Přes bojiště vedou do nepřátelské základny tři linky. Říká se jim vrchní, prostřední a spodní."
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"Přesuň se na prostřední linku"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Přesuň se pomocí pravého tlačítka myši na prostřední linku."
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"Neúnavní vojáci alias creepové"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_CreepsIntroBody"	"Vojáci tvého týmu se nazývají creepové a každých 30 sekund jich pár vyběhne ze tvé základny.\n\nCreepové automaticky pochodují směrem k nepřátelské základně a útočí na všechny jednotky či budovy, které se jim postaví do cesty."
"[english]basics_CreepsIntroBody"	"Your team's foot soldiers, called creeps, will spawn in each lane near the edge of your base every 30 seconds.\n\nCreeps automatically march toward the enemy base, attacking any enemy units or buildings they encounter."
"basics_LaningIntroTitle"	"Bitva začíná, seznam se se svými vojáky"
"[english]basics_LaningIntroTitle"	"The Battle Begins: Follow Your Creeps"
"basics_LaningIntroBody"	"Za moment oživne v kasárnách vlna creepů, následuj je do bitvy.\n\nAč se to nemusí zdát moc hezké, je lepší nechat nepřátele útočit na creepy než na tvého hrdinu. Když jedna vlna creepů zemře, stáhni se a počkej s útokem na další."
"[english]basics_LaningIntroBody"	"A wave of creeps is about to spawn. Follow them into combat.\n\nTry to position yourself so that the creeps receive any enemy attacks. When a wave of creeps dies, back up and regroup with the next creep wave."
"basics_objective_FollowCreepsTitle"	"Následuj svoje creepy do bitvy"
"[english]basics_objective_FollowCreepsTitle"	"Follow your Creeps into battle"
"basics_objective_FollowCreepsBody"	"Přesuň se pomocí pravého tlačítka myši na prostřední linku."
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_AttackingIntroTitle"	"Útočení je hračka a zvládne to každý s pravým tlačítkem myši"
"[english]basics_AttackingIntroTitle"	"Attacking: Simply Right-Click an Enemy"
"basics_AttackingIntroBody"	"Zaútoč na nepřátelskou jednotku tím, že na ni klikneš pravým tlačítkem myši.\n\nJakmile jednou začneš útočit, tvůj hrdina nepřestane, dokud jednotka nezemře nebo mu nepřikážeš jinou akci."
"[english]basics_AttackingIntroBody"	"Attack enemy units by right-clicking on them.\n\nOnce you begin attacking an enemy, your hero will continue attacking until the enemy dies, or until you perform another action."
"basics_BountiesIntroTitle"	"Jak rychleji získávat zlaťáky"
"[english]basics_BountiesIntroTitle"	"Last Hits: Earn Gold Quickly"
"basics_BountiesIntroBody"	"Pokud nepříteli udělíš poslední zásah (tedy pokud jej tvůj zásah zabije), získáš bonusové zlaťáky. Těmto útokům se říká „Last Hity“.\n\nNyní si to vyzkoušej a uděl Last Hit jednotce, která má málo zdraví."
"[english]basics_BountiesIntroBody"	"Whenever you strike the killing blow on an enemy, you will earn an additional bounty of gold. This is called a Last Hit.\n\nAttack enemy units whose health is low to earn a Last Hit now."
"basics_objective_LastHitCreepsTitle"	"Získej zlaťáky"
"[english]basics_objective_LastHitCreepsTitle"	"Earn a Bounty"
"basics_objective_LastHitCreepsBody"	"Pravým tlačítkem myši uděl nepříteli smrtící zásah."
"[english]basics_objective_LastHitCreepsBody"	"Strike the Last Hit on an enemy (right-click)."
"basics_ExpIntroTitle"	"Jak získat zkušenosti z bitev"
"[english]basics_ExpIntroTitle"	"Earning Experience from Nearby Battles"
"basics_ExpIntroBody"	"Zkušenosti jsou udělovány všem spojeneckým hrdinům, kteří jsou poblíž, když je zabit nepřítel.\n\nDíky zkušenostem získává tvůj hrdina další úrovně a s nimi spojené nové schopnosti nebo vylepšení schopností stávajících."
"[english]basics_ExpIntroBody"	"Experience points are shared between all nearby allied heroes whenever an enemy is slain.\n\nEarning experience points and gaining levels allows you to augment your hero's abilities."
"basics_objective_GetALevelTitle"	"Dosáhni další úrovně"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_GetALevelBody"	"Pomoz zabíjet nepřátelské jednotky a dosáhni tak další úrovně."
"[english]basics_objective_GetALevelBody"	"Level up your hero by helping kill enemy units."
"basics_AbilityIntroTitle"	"Schopnosti, to, co odlišuje tvého hrdinu od ostatních"
"[english]basics_AbilityIntroTitle"	"Abilities: Your Hero's Special Powers"
"basics_AbilityIntroBody"	"Kdykoli hrdina dosáhne další úrovně, získá bod, který lze utratit za naučení nebo vylepšení jedné z jeho schopností.\n\nAvšak pozor, hrdinovu ultimátní, tedy jeho charakteristickou schopnost, se můžeš naučit až na 6. úrovni.\n\nNyní klikni na zlaté tlačítko „+“ nad schopností Lucent Beam a nauč se ji."
"[english]basics_AbilityIntroBody"	"Whenever a hero gains a level, they earn a point to spend toward learning, or strengthening, one of their abilities.\n\nNote that the Ultimate ability, which is a hero's signature power, cannot be learned until level 6.\n\nClick on the gold \"+\" button above Lucent Beam to learn that ability."
"basics_objective_LevelUpTitle"	"Zvyš svou úroveň"
"[english]basics_objective_LevelUpTitle"	"Level Up"
"basics_objective_LevelUpBody"	"Klikni levým tlačítkem myši na tlačítko „+“ nad schopností Lucent Beam."
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityTitle"	"Nauč se schopnost"
"[english]basics_objective_BuyAbilityTitle"	"Learn an Ability"
"basics_objective_BuyAbilityBody"	"Klikni levým tlačítkem myši na tlačítko „+“ nad schopností Lucent Beam, aby ses ji naučil."
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_HealYourselfTitle"	"Používání předmětů, aneb nejprve předmět, poté jeho cíl"
"[english]basics_HealYourselfTitle"	"Using Items: Select the Item, then its Target"
"basics_HealYourselfBody"	"Zkus se vyléčit pomocí předmětu Healing Salve. Nejprve jej aktivuj tím, že v inventáři klikneš na jeho ikonu levým tlačítkem myši nebo stiskneš klávesu vyobrazenou nad jeho ikonou. Následně klikni levým tlačítkem na svého hrdinu. Předmět Healing Salve můžeš také přímo použít na sebe tím, že na něj klikneš dvakrát.\n\nPOZNÁMKA: Pokud při používání předmětu Healing Salve utržíš poškození od nepřátelského hrdiny, jeho efekt je přerušen!"
"[english]basics_HealYourselfBody"	"Try using a Healing Salve to heal yourself. First, activate the item by pressing the key above its icon. Then, left-click on your hero. You can also double-click the Healing Salve to immediately use it on yourself.\n\nNOTE: Healing Salve's effects will be cancelled if you are damaged!"
"basics_CastIntroTitle"	"Schopnosti aktivovatelné a schopnosti pasivní"
"[english]basics_CastIntroTitle"	"Using Abilities: Activation and Passive Abilities"
"basics_CastIntroBody"	"Pro použití schopnosti, kterou ses právě naučil, stiskni klávesu vyobrazenou nad její ikonou a následně klikni levým tlačítkem myši na svůj cíl. Schopnosti, které je třeba aktivovat, většinou stojí manu.\n\nPasivní schopnosti, jako například Lunina schopnost Lunar Blessing, jsou po naučení spuštěné neustále a nevyžadují manu."
"[english]basics_CastIntroBody"	"To use an ability, first activate it by pressing the key shown above the ability's icon, then left-click on a target. Abilities which require activation cost mana to use.\n\nPassive abilities, such as Luna's Lunar Blessing, are automatic, always active, and do not require mana to function."
"basics_objective_CastSpellTitle"	"Použij schopnost Lucent Beam"
"[english]basics_objective_CastSpellTitle"	"Use Lucent Beam"
"basics_objective_CastSpellBody"	"Stiskni klávesu „{g:dota_key:keyname}“ pro aktivování schopnosti a následně klikni levým tlačítkem myši na nepřítele."
"[english]basics_objective_CastSpellBody"	"Press {g:dota_key:keyname} to activate Lucent Beam, then left-click on an enemy to cast."
"basics_AttackTowerTitle"	"Dávej si pozor na věže"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_AttackTowerBody"	"Věže mají hodně bodů zdraví a na nepřátele vystřelují silné útoky. Obecně platí, že věž zaútočí na nejblíže se nacházející nepřátelskou jednotku a v útoku pokračuje, dokud tato jednotka nezemře nebo se nevzdálí z dosahu věže.\n\nPokud věž začne útočit na tvého hrdinu, měl by ses stáhnout.\n\nPro dokončení tohoto tutoriálu znič nepřátelskou věž."
"[english]basics_AttackTowerBody"	"Towers have a lot of health and launch powerful blasts at enemies. Generally, they target the closest opposing unit, then continue attacking until that unit dies or leaves its range.\n\nIf a Tower begins attacking your hero, you should retreat before you take too much damage.\n\nDestroy the tower to complete the tutorial."
"basics_objective_KillTowerTitle"	"Znič nepřátelskou věž"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"Znič nepřátelskou věž pro dokončení tohoto tutoriálu."
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_RazorIntroTitle"	"Jak na nepřátelské hrdiny"
"[english]basics_RazorIntroTitle"	"Battling Enemy Heroes"
"basics_RazorIntroBody"	"Do bitvy vstoupil nový hrdina!\n\nK nepřátelskému týmu Dire se přidal Razor. Nyní se pokusí ubránit věž svého týmu používáním svých elektrických schopností.\n\nKdyž nepřátelský hrdina utrží poškození, někdy se stáhne."
"[english]basics_RazorIntroBody"	"A new hero has entered the battle!\n\nRazor has joined the enemy Dire team, and will try to defend his team's tower with his lightning abilities.\n\nDamaging Razor can force him to retreat."
"basics_WinningIntroTitle"	"Vítězství!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"Dobrá práce! Zničil jsi nepřátelskou věž a dokončil tak tento tutoriál.\n\nNyní můžeš pokračovat v plnění dalších úkolů pro nové hráče. Hodně štěstí a bav se!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Basic Mechanics tutorial.\n\nYou are now ready to continue on to the other New Player Objectives. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"Zvítězil jsi!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"Úspěšně se ti podařilo dokončit úkol."
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"Prohrál jsi!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"Nepodařilo se ti splnit úkol."
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
