"dota"
{
"InfoScreenClose"	"Продължаване"
"basics_alert_RespawnBody"	"Героят Ви скоро ще се прероди до фонтана на отбора Ви.\n\nОпитайте бързо да се върнете към битката!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"Използване на Tango"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
"basics_alert_TangoUsageBody"	"Tango Ви позволява да консумирате дърво, това ще възстанови малко количество здраве за период от време.\n\nВече сте активирали Tango чрез кликване на иконата или клавиша му. Сега, кликнете с левия бутон на дърво, за да използвате Tango."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"Използване на Healing Salve"
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Healing Salves бързо могат да излекуват целевия герой (с ляв клик).\n\nПоемането на щети ще отмени лечителния ефект."
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"Използване на Clarity"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"Clarity Potion бавно регенерират маната на целевия герой.\n\nПоемането на щети ще отмени регенериращия ефект."
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"Кулите са опасни. Отстъпете!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"Ох! Поемате много щети от кулата!\n\nВърнете се назад, докато кулата не започне да атакува нещо друго."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Затворете магазина (с ляв клик)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Кликнете отново на бутона за магазина, така ще го затворите."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Върнете се към средната алея"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_objective_BackToCombatBody"	"Обучението е там!"
"[english]basics_objective_BackToCombatBody"	"That's where the tutorial is!"
"basics_HeroIntroTitle"	"Героят и отборът Ви"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"Добре дошли в Dota! В това упътване, ще Ви научим на основите.\n\nЩе контролиране Luna. Тя е бърз герой, който хвърля ножове по враговете си от късо разстояние и призовава увреждащи небесни лъчи. Ще играете за отбора на Radiant, срещу вражеския Dire такъв."
"[english]basics_HeroIntroBody"	"Welcome to Dota! In this tutorial, we will teach you the basics.\n\nYou will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky. You will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"Фонтанът: Лечебен източник"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"Героят Ви започва всеки мач до фонтана на Вашия отбор. Също така ако Ви покосят в битка, ще се преродите тук.\n\nКогато сте близо до фонтана на отбора Ви, ще възстановявате бързо здравето и маната си."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"Основен контрол на героя и камерата"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"Командите за движение и атака се издават чрез десен клик там, където искате героя да отиде или нападне.\n\nИзгледът на камерата може да се мети, като допирате курсора на мишката до ръба на екрана. По всяко време можете да центрирате изгледа върху своя герои, като натиснете {g:dota_key:keyname}."
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"Придвижете се към Вашия Ancient"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"Десен клик, за да движите героя си."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Вашият Ancient: Защитавайте го на всяка цена"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"Това е Ancient на Radiant отбора, Вашия Ancient.\n\nВ Dota, за да спечелите мача, отборът Ви трябва да унищожи вражеския Ancient, преди противникът да направи това с Вашия."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Винаги изразходвайте началното си злато"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"При започването на всеки мач, играчите получават малко количество начално злато. Никога не забравяйте да го изразходвате за предмети от магазина, преди да се упътите към бойното поле.\n\nМагазинът е достъпен до фонтана на отбора Ви. Упътете се натам сега."
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"Върнете се към фонтана"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Придвижете се (с десен клик) обрано към магазина близо до фонтана."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Отворете магазина"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Левият клик върху бутона „Магазин“, в близост до долния ъгъл на екрана, ще го отвори."
"[english]basics_objective_OpenShopBody"	"Left-click the Shop button near the lower corner of your screen to open the shop."
"basics_BuyFromShopTitle"	"Магазинът: Екипирайте героя си за победа"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"Предметите имат няколко приложения в Dota. Някои лекуват, други пасивно увеличават мощта на героя Ви или дори предоставят уникални умения.\n\n\nЗабележете, че в магазина се показва списък с предложени предмети за героя Ви. Препоръчваме да ги закупувате, докато изучавате Dota."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Закупуване на Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Използвайте десен клик върху Tango предмета в магазина, за да го купите."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Закупуване на Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Използвайте десен клик върху Healing Salve в магазина, за да го купите."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Закупуване на Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Използвайте десен клик върху Clarity в магазина, за да го купите."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Закупуване на Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Използвайте десен клик върху Circlet в магазина, за да го купите."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Закупуване на Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Използвайте десен клик върху Slippers of Agility в магазина, за да ги купите."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"Начални предмети: Оцеляване на бойното поле"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_BoughtStartingBody"	"Някои от началните Ви предмети могат да бъдат консумирани за лечение или възстановяване на мана:\n— Tango: Използвайте това, за да погълнете дърво, което бавно ще Ви лекува;\n— Healing Salve: Постепенно лекува голямо количество здраве;\n— Clarity: Бавно възстановява голямо количество мана.\n\nЗАБЕЛЕЖКА: Ефектите на Healing Salve и Clarity се отменят, ако бъдете наранени."
"[english]basics_BoughtStartingBody"	"Some of your Starting Items can be consumed to heal or restore mana:\n- Tango: Use this to swallow a tree and slowly heal\n- Healing Salve: Gradually heals a large amount of health\n- Clarity: Slowly restores a large amount of mana\n\nNOTE: Healing Salve and Clarity's effects are cancelled if you are damaged."
"basics_LaneIntroTitle"	"Алеи: Три курса за атака"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"Има три алеи, които пресичат бойното поле, свързвайки базите на двата отбора. Те се наричат горна, средна и долна."
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"Придвижете се към средната алея"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Придвижете се (с десен клик) към средната алея"
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"Крийпове: Пехотинците на сражението"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_CreepsIntroBody"	"Пехотинците на отбора Ви, наречени крийпове, се появяват през 30 секунди във всяка алея близо до края на Вашата база.\n\nКрийповете автоматично напредват към вражеската база, атакувайки всички противникови единици или сгради, на които се натъкнат."
"[english]basics_CreepsIntroBody"	"Your team's foot soldiers, called creeps, will spawn in each lane near the edge of your base every 30 seconds.\n\nCreeps automatically march toward the enemy base, attacking any enemy units or buildings they encounter."
"basics_LaningIntroTitle"	"Битката започва: Следвайте крийповете си"
"[english]basics_LaningIntroTitle"	"The Battle Begins: Follow Your Creeps"
"basics_LaningIntroBody"	"Предстои да се появи вълна от крийпове. Последвайте ги в сражението.\n\nОпитайте се да се позиционира така, че крийповете да поемат всякакви вражески атаки. Когато дадена вълна от крийпове умре, отстъпете и се прегрупирайте със следващата."
"[english]basics_LaningIntroBody"	"A wave of creeps is about to spawn. Follow them into combat.\n\nTry to position yourself so that the creeps receive any enemy attacks. When a wave of creeps dies, back up and regroup with the next creep wave."
"basics_objective_FollowCreepsTitle"	"Следвайте крийповете си в битката"
"[english]basics_objective_FollowCreepsTitle"	"Follow your Creeps into battle"
"basics_objective_FollowCreepsBody"	"Придвижете се (с десен клик) в средната алея."
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_AttackingIntroTitle"	"Атакуване: Просто използвайте десен клик върху враг"
"[english]basics_AttackingIntroTitle"	"Attacking: Simply Right-Click an Enemy"
"basics_AttackingIntroBody"	"Атакувайте вражеските единици чрез десен клик върху тях.\n\nСлед като започнете да атакувате враг, героят Ви автоматично ще продължи това, докато противника умре или Вие изпълните друго действие."
"[english]basics_AttackingIntroBody"	"Attack enemy units by right-clicking on them.\n\nOnce you begin attacking an enemy, your hero will continue attacking until the enemy dies, or until you perform another action."
"basics_BountiesIntroTitle"	"Последни удари: Бързо печелете злато"
"[english]basics_BountiesIntroTitle"	"Last Hits: Earn Gold Quickly"
"basics_BountiesIntroBody"	"Винаги, когато нанесете смъртоносния удар върху враг, ще печелите допълнително изобилие от злато. Това се нарича „последен удар“.\n\nСега атакувайте вражеските единици, чието здраве е ниско, за да нанесете последен удар."
"[english]basics_BountiesIntroBody"	"Whenever you strike the killing blow on an enemy, you will earn an additional bounty of gold. This is called a Last Hit.\n\nAttack enemy units whose health is low to earn a Last Hit now."
"basics_objective_LastHitCreepsTitle"	"Спечелете плячка"
"[english]basics_objective_LastHitCreepsTitle"	"Earn a Bounty"
"basics_objective_LastHitCreepsBody"	"Нанесете последния удар на враг (с десен клик)."
"[english]basics_objective_LastHitCreepsBody"	"Strike the Last Hit on an enemy (right-click)."
"basics_ExpIntroTitle"	"Печелене на опит от близките битки"
"[english]basics_ExpIntroTitle"	"Earning Experience from Nearby Battles"
"basics_ExpIntroBody"	"За разлика от плячката предоставяна чрез последните удари, точките за опит се споделят между всички съюзнически герои наблизо, когато бъде убит враг.\n\nПечелите точки опит и придобивате нива. Това Ви позволява да подсилите уменията на героя си."
"[english]basics_ExpIntroBody"	"Unlike Last Hit bounties, experience points are shared between all nearby allied heroes whenever an enemy is slain.\n\nEarning experience points and gaining levels allows you to augment your hero's abilities."
"basics_objective_GetALevelTitle"	"Придобиване на ниво"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_GetALevelBody"	"Повишете нивото на героя си като помагате при убиването на вражески единици."
"[english]basics_objective_GetALevelBody"	"Level up your hero by helping kill enemy units."
"basics_AbilityIntroTitle"	"Умения: Специалните способности на героя Ви"
"[english]basics_AbilityIntroTitle"	"Abilities: Your Hero's Special Powers"
"basics_AbilityIntroBody"	"Винаги, когато героят Ви придобива ниво, той печели точка, която да изразходва за научаване или подсилване на някое от своите умения.\n\nИмайте предвид, че ултимативното умение, което е емблематичната му способност, не може да бъде научено преди ниво 6.\n\nКликнете на златния бутон „+“ над Lucent Beam, за да научите това умение."
"[english]basics_AbilityIntroBody"	"Whenever a hero gains a level, they earn a point to spend toward learning, or strengthening, one of their abilities.\n\nNote that the Ultimate ability, which is a hero's signature power, cannot be learned until level 6.\n\nClick on the gold \"+\" button above Lucent Beam to learn that ability."
"basics_objective_LevelUpTitle"	"Повишаване на нивото"
"[english]basics_objective_LevelUpTitle"	"Level Up"
"basics_objective_LevelUpBody"	"Използвайте ляв клик върху бутона „+“ над Lucent Beam."
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityTitle"	"Научаване на умение"
"[english]basics_objective_BuyAbilityTitle"	"Learn an Ability"
"basics_objective_BuyAbilityBody"	"Използвайте ляв клик върху бутона „+“ над Lucent Beam, за да научите умението."
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_HealYourselfTitle"	"Използване на предмети: Изберете предмет, а след това целта му"
"[english]basics_HealYourselfTitle"	"Using Items: Select the Item, then its Target"
"basics_HealYourselfBody"	"Опитайте да използвате Healing Salve, за да се излекувате. Първо, активирайте предмета като натиснете клавиша над иконата му. След което използвайте ляв клик върху своя герой. Също така можете да кликнете два пъти на Healing Salve за незабавна употреба върху Вас.\n\nЗАБЕЛЕЖКА: Ефектът от Healing Salve ще бъде отменен, ако поемете щети!"
"[english]basics_HealYourselfBody"	"Try using a Healing Salve to heal yourself. First, activate the item by pressing the key above its icon. Then, left-click on your hero. You can also double-click the Healing Salve to immediately use it on yourself.\n\nNOTE: Healing Salve's effects will be cancelled if you are damaged!"
"basics_CastIntroTitle"	"Използване на умения: Активиране и пасивни умения"
"[english]basics_CastIntroTitle"	"Using Abilities: Activation and Passive Abilities"
"basics_CastIntroBody"	"За да използвате умение, първо го активирайте. Това става като натиснете клавиша над иконата за умението, а след това използвайте ляв клик върху целта. Уменията, които изискват активиране се нуждаят от мана за използване.\n\nПасивните умения, като например Lunar Blessing на Luna, са автоматични, винаги активни и не изискват мана, за да действат."
"[english]basics_CastIntroBody"	"To use an ability, first activate it by pressing the key shown above the ability's icon, then left-click on a target. Abilities which require activation cost mana to use.\n\nPassive abilities, such as Luna's Lunar Blessing, are automatic, always active, and do not require mana to function."
"basics_objective_CastSpellTitle"	"Използване на Lucent Beam"
"[english]basics_objective_CastSpellTitle"	"Use Lucent Beam"
"basics_objective_CastSpellBody"	"Натиснете {g:dota_key:keyname}, за да активирате Lucent Beam. След това използвайте ляв клик върху враг, за да го изпълните."
"[english]basics_objective_CastSpellBody"	"Press {g:dota_key:keyname} to activate Lucent Beam, then left-click on an enemy to cast."
"basics_AttackTowerTitle"	"Кули: Отстъпете, ако сте атакувани"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_AttackTowerBody"	"Кулите имат много здраве и запращат мощни заряди към враговете. Като цяло, те се прицелват към най-близката противникова единица, след което продължават да я атакуват, докато умре или напусне обсега на кулата.\n\nАко кулата започне атака над героя Ви, отстъпете, преди да поемете прекалено много щети.\n\nУнищожете кулите, за да завършите обучението."
"[english]basics_AttackTowerBody"	"Towers have a lot of health and launch powerful blasts at enemies. Generally, they target the closest opposing unit, then continue attacking until that unit dies or leaves its range.\n\nIf a Tower begins attacking your hero, you should retreat before you take too much damage.\n\nDestroy the tower to complete the tutorial."
"basics_objective_KillTowerTitle"	"Унищожете вражеската кула"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"Унищожете кулата, за да завършите обучението."
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_RazorIntroTitle"	"Сражаване с вражески герои"
"[english]basics_RazorIntroTitle"	"Battling Enemy Heroes"
"basics_RazorIntroBody"	"Нов герой се включи в битката!\n\nRazor се присъедини към вражеския Dire отбор. Той ще опита да защити кулата на своя отбор със своите мълниеносни умения.\n\nНанасяйки щети на Razor, ще го принудите да отстъпи."
"[english]basics_RazorIntroBody"	"A new hero has entered the battle!\n\nRazor has joined the enemy Dire team, and will try to defend his team's tower with his lightning abilities.\n\nDamaging Razor can force him to retreat."
"basics_WinningIntroTitle"	"Победа!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"Добра работа! Унищожихте кулата и завършихте обучението за основни механики.\n\nВече сте готови за обучителни мачове с ботове. Те ще Ви поведат стъпка по стъпка през цял Dota мач. С помощта на компютърно контролирани съюзници и врагове. Успех и приятна игра!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Mechanics tutorial.\n\nYou are now ready for the Guided Bot Matches. Guided Bot Matches take you through a full match of Dota, step by step, with the help of computer-controlled allies and enemies. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"Победихте!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"Успешно завършихте приключението."
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"Загубихте!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"Не успяхте да завършихте заданието."
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
