"dota"
{
"InfoScreenClose"	"ดำเนินการต่อ"
"basics_alert_RespawnTitle"	"กำลังจะเกิดใหม่"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"ฮีโร่ของคุณจะเกิดที่บ่อน้ำพุของทีมของคุณในอีกชั่วครู่\nพยายามกลับไปยังสนามรบอย่างรวดเร็ว!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"การใช้ Tango"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
"basics_alert_TangoUsageBody"	"Tango จะช่วยให้คุณสามารถกินต้นไม้เพื่อฟื้นฟูพลังชีวิตจำนวนเล็กน้อยอย่างต่อเนื่อง \n\nคุณได้กดใช้ Tango ไปแล้ว โดยการคลิกที่ไอคอน หรือกดปุ่มลัด ตอนนี้ คลิกซ้ายบนต้นไม้เพื่อใช้ Tango"
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"การใช้ Healing Salve"
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Healing Salve สามารถรักษาฮีโร่ที่คุณเลือกเป็นเป้าหมาย (คลิกซ้าย) ได้อย่างรวดเร็ว\n\nหากถูกโจมตีผลฟื้นฟูรักษาจะถูกยกเลิก"
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"การใช้ Clarity"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"ขวดยา Clarity สามารถฟื้นฟูมานาฮีโร่ที่คุณเลือกเป็นเป้าหมาย (คลิกซ้าย) ได้อย่างช้า ๆ\n\nหากถูกโจมตีผลฟื้นฟูจะถูกยกเลิก"
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"ป้อมปราการอันตรายมาก ถอยกลับ!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"โอ๊ย! คุณกำลังได้รับความเสียหายจำนวนมากจากป้อมปราการ!\n\nถอยกลับจนกว่าป้อมปราการจะเริ่มโจมตีเป้าหมายอื่น"
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"ปิดร้านค้า (คลิกซ้าย)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"คลิกที่ปุ่มร้านค้าอีกครั้งเพื่อปิดหน้าร้านค้า"
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"กลับไปยังเลนกลาง"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_objective_BackToCombatBody"	"นั่นแหละจุดที่เราจะฝึกสอน!"
"[english]basics_objective_BackToCombatBody"	"That's where the tutorial is!"
"basics_HeroIntroTitle"	"ฮีโร่ของคุณและทีมของคุณ"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"ยินดีต้อนรับสู่ Dota! ในบทฝึกสอนนี้ เราจะสอนคุณเกี่ยวกับพื้นฐาน\n\nคุณจะได้ควบคุม Luna ฮีโร่ว่องไวที่ใช้ใบมีดเป็นอาวุธปาใส่ศัตรูของเธอในระยะสั้น และสามารถสร้างความเสียหายโดยเรียกลำแสงจากท้องฟ้า คุณจะได้เล่นอยู่ทีม Radiant และต่อสู้กับทีม Dire"
"[english]basics_HeroIntroBody"	"Welcome to Dota! In this tutorial, we will teach you the basics.\n\nYou will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky. You will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"บ่อน้ำพุ: แหล่งแห่งการฟื้นฟูรักษา"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"ฮีโร่ของคุณจะมีจุดเริ่มต้นแต่ละแมตช์ที่น้ำพุของทีมของคุณ หากคุณตายในการต่อสู้ คุณก็จะเกิดใหม่ที่นี่เช่นกัน\n\nการอยู่บริเวณใกล้กับบ่อน้ำพุของทีมของคุณจะช่วยฟื้นฟูพลังชีวิต\nและมานาของคุณอย่างรวดเร็ว"
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"การควบคุมฮีโร่และกล้องพื้นฐาน"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"การเคลื่อนที่และโจมตีสามารถสั่งการได้ด้วยการกดคลิกขวาบนจุดที่คุณต้องการให้เคลื่อนที่ไป หรือต้องการให้เขาโจมตี\n\nมุมมองกล้องสามารถย้ายได้ด้วยการลากเคอร์เซอร์เมาส์ของคุณไปยังขอบของหน้าจอ และคุณก็ยังสามารถดูฮีโร่ของคุณในจุดศูนย์กลางได้ด้วยการกด {g:dota_key:keyname}"
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"เดินไปยัง Ancient ฝั่งคุณ"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"คลิกขวาเพื่อสั่งให้ฮีโร่ของคุณเดิน"
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Ancient ของคุณ: ไม่ว่าอย่างไรก็ต้องป้องกันให้ได้"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"นี่คือ Ancient ของทีม Radiant ซึ่งเป็น Ancient ของคุณ\n\nใน Dota เพื่อที่จะชนะแมตช์ ทีมของคุณจะต้องทำลาย Ancient ของฝั่งศัตรู ก่อนที่ศัตรูจะทำลายของฝั่งคุณได้"
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"ใช้โกลด์เริ่มต้นของคุณเสมอ"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"ในช่วงเริ่มต้นของทุก ๆ แมตช์ ผู้เล่นจะได้รับโกลด์เริ่มต้นจำนวนเล็กน้อย จดจำที่จะใช้โกลด์นี้ซื้อไอเท็มจากร้านค้าก่อนที่จะเดินทางไปยังสนามรบเสมอ\n\nร้านค้าจะตั้งอยู่ที่ด้านหลังบ่อน้ำพุของทีมของคุณ เดินทางไปที่นั้นเดี๋ยวนี้"
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"กลับไปยังบ่อน้ำพุ"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"เดิน (คลิกขวา) กลับไปยังร้านค้าข้างบ่อน้ำพุ"
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"เปิดร้านค้า"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"คลิกซ้ายที่ปุ่มร้านค้าสีทองที่อยู่บริเวณมุมล่างของหน้าจอเพื่อเปิดร้านค้า"
"[english]basics_objective_OpenShopBody"	"Left-click the Shop button near the lower corner of your screen to open the shop."
"basics_BuyFromShopTitle"	"ร้านค้า: การจัดไอเท็มฮีโร่ของคุณสู่ชัยชนะ"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"ไอเท็มใน Dota สามารถใช้งานได้หลายแบบ บางชิ้นใช้รักษา บางชิ้นก็ใช้เพื่อเพิ่มความแกร่งของฮีโร่ และบางชิ้นก็ช่วยเพิ่มความสามารถต่าง ๆ\n\nสังเกตได้ว่าร้านค้าจะแสดงไอเท็มที่แนะนำสำหรับฮีโร่ของคุณ เราขอแนะนำให้คุณซื้อไอเท็มจากรายการนี้เพื่อเรียนรู้ Dota"
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"ซื้อ Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"คลิกขวาที่ไอเท็ม Tango ในร้านค้าเพื่อซื้อ"
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"ซื้อ Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"คลิกขวาที่ไอเท็ม Healing Salve ในร้านค้าเพื่อซื้อ"
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"ซื้อ Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"คลิกขวาที่ไอเท็ม Clarity ในร้านค้าเพื่อซื้อ"
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"ซื้อ Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"คลิกขวาที่ไอเท็ม Circlet ในร้านค้าเพื่อซื้อ"
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"ซื้อ Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"คลิกขวาที่ไอเท็ม Slippers of Agility ในร้านค้าเพื่อซื้อ"
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"ไอเท็มเริ่มต้น: การเอาตัวรอดในสนามรบ"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_BoughtStartingBody"	"ไอเท็มเริ่มต้นบางชิ้นของคุณสามารถกดใช้เพื่อฟื้นฟูพลังชีวิตหรือมานาได้:\n- Tango: ใช้สิ่งนี้เพื่อกินต้นไม้และรักษาอย่างช้า ๆ\n- Healing Salve: ค่อย ๆ รักษาพลังชีวิตจำนวนมาก\n- Clarity: ฟื้นฟูมานาจำนวนมากอย่างช้า ๆ\n\nหมายเหตุ: หากคุณถูกโจมตี ผลของ Healing Salve และ Clarity จะหายไป"
"[english]basics_BoughtStartingBody"	"Some of your Starting Items can be consumed to heal or restore mana:\n- Tango: Use this to swallow a tree and slowly heal\n- Healing Salve: Gradually heals a large amount of health\n- Clarity: Slowly restores a large amount of mana\n\nNOTE: Healing Salve and Clarity's effects are cancelled if you are damaged."
"basics_LaneIntroTitle"	"เลน: สามเส้นทางของการโจมตี"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"ในสนามรบจะมีสามเลนที่เชื่อมระหว่างฐานของทั้งสองทีม เลนเหล่านี้ถูกเรียกว่า บน กลาง และล่าง"
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"เดินไปยังเลนกลาง"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"เดิน (คลิกขวา) ไปยังเลนกลาง"
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"ครีป: ทหารราบในสนามรบ"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_CreepsIntroBody"	"ทหารราบของทีมของคุณ หรือที่เรียกกันว่าครีป จะเกิดในแต่ละเลนที่ขอบฐานของของคุณทุก ๆ 30 วินาที \n\nครีปจะเดินขบวนไปยังฐานของศัตรูโดยอัตโนมัติ และโจมตียูนิตหรือสิ่งก่อสร้างฝั่งศัตรูที่พวกมันเผชิญหน้า"
"[english]basics_CreepsIntroBody"	"Your team's foot soldiers, called creeps, will spawn in each lane near the edge of your base every 30 seconds.\n\nCreeps automatically march toward the enemy base, attacking any enemy units or buildings they encounter."
"basics_LaningIntroTitle"	"เริ่มต้นการต่อสู้: เดินตามครีปฝั่งคุณ"
"[english]basics_LaningIntroTitle"	"The Battle Begins: Follow Your Creeps"
"basics_LaningIntroBody"	"ครีปชุดแรกใกล้จะเกิดแล้ว ตามพวกมันไปยังสนามรบ\n\nลองหาตำแหน่งของคุณเองเพื่อให้พวกครีปรับความเสียแทน เมื่อครีปทั้งฝูงตาย ถอยกลับแล้วค่อยรวมกลุ่มกับครีปชุดถัดไป"
"[english]basics_LaningIntroBody"	"A wave of creeps is about to spawn. Follow them into combat.\n\nTry to position yourself so that the creeps receive any enemy attacks. When a wave of creeps dies, back up and regroup with the next creep wave."
"basics_objective_FollowCreepsTitle"	"เดินตามครีปฝั่งคุณไปยังสนามรบ"
"[english]basics_objective_FollowCreepsTitle"	"Follow your Creeps into battle"
"basics_objective_FollowCreepsBody"	"เดิน (คลิกขวา) ไปยังเลนกลาง"
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_AttackingIntroTitle"	"การโจมตี: เพียงคลิกขวาที่ศัตรู"
"[english]basics_AttackingIntroTitle"	"Attacking: Simply Right-Click an Enemy"
"basics_AttackingIntroBody"	"โจมตียูนิตศัตรูด้วยการกดคลิกขวาบนตัวพวกเขา\n\nเมื่อคุณเริ่มโจมตีศัตรู ฮีโร่ของคุณจะเริ่มโจมตีต่อไปจนกว่าศัตรูจะตาย หรือคุณเปลี่ยนคำสั่ง"
"[english]basics_AttackingIntroBody"	"Attack enemy units by right-clicking on them.\n\nOnce you begin attacking an enemy, your hero will continue attacking until the enemy dies, or until you perform another action."
"basics_BountiesIntroTitle"	"Last Hit: เก็บโกลด์ได้อย่างรวดเร็ว"
"[english]basics_BountiesIntroTitle"	"Last Hits: Earn Gold Quickly"
"basics_BountiesIntroBody"	"เมื่อใดก็ตามที่คุณโจมตีศัตรูได้เป็นคนสุดท้าย คุณจะได้รับโกลด์ค่าหัวเพิ่มเติม หรือที่เรียกกันว่า Last Hit\n\nโจมตียูนิตฝั่งศัตรูที่มีพลังชีวิตต่ำเพื่อเก็บ Last Hit เลย"
"[english]basics_BountiesIntroBody"	"Whenever you strike the killing blow on an enemy, you will earn an additional bounty of gold. This is called a Last Hit.\n\nAttack enemy units whose health is low to earn a Last Hit now."
"basics_objective_LastHitCreepsTitle"	"เก็บค่าหัว"
"[english]basics_objective_LastHitCreepsTitle"	"Earn a Bounty"
"basics_objective_LastHitCreepsBody"	"โจมตีศัตรูเป็นคนสุดท้าย (Last Hit) (คลิกขวา)"
"[english]basics_objective_LastHitCreepsBody"	"Strike the Last Hit on an enemy (right-click)."
"basics_ExpIntroTitle"	"การเก็บค่าประสบการณ์จากพื้นที่การต่อสู้"
"[english]basics_ExpIntroTitle"	"Earning Experience from Nearby Battles"
"basics_ExpIntroBody"	"ต่างกับค่าหัว Last Hit แต้มประสบการณ์จะถูกแบ่งปันกับฮีโร่เพื่อนร่วมทีมทุกคนที่อยู่ใกล้เคียง เมื่อใดก็ตามที่ศัตรูถูกสังหาร\n\nการได้รับแต้มค่าประสบการณ์และการได้รับเลเวลจะช่วยเพิ่มความสามารถของฮีโร่ของคุณได้"
"[english]basics_ExpIntroBody"	"Unlike Last Hit bounties, experience points are shared between all nearby allied heroes whenever an enemy is slain.\n\nEarning experience points and gaining levels allows you to augment your hero's abilities."
"basics_objective_GetALevelTitle"	"เก็บเลเวล"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_GetALevelBody"	"เพิ่มเลเวลฮีโร่ของคุณโดยการช่วยสังหารยูนิตฝั่งศัตรู"
"[english]basics_objective_GetALevelBody"	"Level up your hero by helping kill enemy units."
"basics_AbilityIntroTitle"	"สกิล: พลังพิเศษของฮีโร่ของคุณ"
"[english]basics_AbilityIntroTitle"	"Abilities: Your Hero's Special Powers"
"basics_AbilityIntroBody"	"เมื่อใดก็ตามที่ฮีโร่ได้รับเลเวล พวกเขาจะได้รับแต้มสำหรับเรียนรู้หรือเพิ่มความสามารถสกิลของพวกเขา\n\nและควรทราบไว้ว่าสกิลอัลติเมท ซึ่งเป็นสกิลประจำตัวของฮีโร่นั้น ไม่สามารถเรียนรู้ได้จนกว่าจะเลเวล 6\n\nคลิกบนปุ่ม \"เลเวลอัพ +1\" สีทอง แล้วคลิกบน Lucent Beam เพื่อเรียนรู้สกิลนั้น"
"[english]basics_AbilityIntroBody"	"Whenever a hero gains a level, they earn a point to spend toward learning, or strengthening, one of their abilities.\n\nNote that the Ultimate ability, which is a hero's signature power, cannot be learned until level 6.\n\nClick on the gold \"+\" button above Lucent Beam to learn that ability."
"basics_objective_LevelUpTitle"	"เพิ่มเลเวล"
"[english]basics_objective_LevelUpTitle"	"Level Up"
"basics_objective_LevelUpBody"	"คลิกซ้ายปุ่ม \"เลเวลอัพ +1\" ด้านบนภาพฮีโร่ของคุณ"
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityTitle"	"เรียนรู้สกิล"
"[english]basics_objective_BuyAbilityTitle"	"Learn an Ability"
"basics_objective_BuyAbilityBody"	"คราวนี้ คลิกซ้ายที่ไอคอนที่มีไฮไลต์เพื่อเรียนรู้ Lucent Beam"
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_HealYourselfTitle"	"การใช้ไอเท็ม: เลือกไอเท็ม แล้วเลือกเป้าหมาย"
"[english]basics_HealYourselfTitle"	"Using Items: Select the Item, then its Target"
"basics_HealYourselfBody"	"ลองใช้ Healing Salve เพื่อรักษาตัวคุณเอง ขั้นแรก เรียกใช้ไอเท็มด้วยการกดปุ่มลัดที่แสดงบนไอคอน จากนั้นคลิกซ้ายบนตัวฮีโร่ของคุณ และนอกจากนี้คุณยังสามารถกดดับเบิลคลิกที่ Healing Salve เพื่อใช้กับตัวคุณเองได้ในทันที \n\nหมายเหตุ: หากคุณถูกโจมตี ผลของ Healing Salve จะหายไป!"
"[english]basics_HealYourselfBody"	"Try using a Healing Salve to heal yourself. First, activate the item by pressing the key above its icon. Then, left-click on your hero. You can also double-click the Healing Salve to immediately use it on yourself.\n\nNOTE: Healing Salve's effects will be cancelled if you are damaged!"
"basics_CastIntroTitle"	"การใช้สกิล: การเรียกใช้สกิลและสกิลติดตัว"
"[english]basics_CastIntroTitle"	"Using Abilities: Activation and Passive Abilities"
"basics_CastIntroBody"	"เพื่อใช้สกิล ขั้นแรก เรียกใช้ด้วยการกดปุ่มลัดที่แสดงด้านบนไอคอนของสกิล จากนั้นคลิกซ้ายบนเป้าหมาย ซึ่งเป็นสกิลที่ต้องใช้มานาในการเรียกใช้\n\nสกิลติดตัว เช่น Lunar Blessing ของ Luna เป็นสกิลอัตโนมัติที่เปิดใช้อยู่เสมอ ซึ่งไม่จำเป็นต้องใช้มานาในการเรียกใช้"
"[english]basics_CastIntroBody"	"To use an ability, first activate it by pressing the key shown above the ability's icon, then left-click on a target. Abilities which require activation cost mana to use.\n\nPassive abilities, such as Luna's Lunar Blessing, are automatic, always active, and do not require mana to function."
"basics_objective_CastSpellTitle"	"ใช้ Lucent Beam"
"[english]basics_objective_CastSpellTitle"	"Use Lucent Beam"
"basics_objective_CastSpellBody"	"กด {g:dota_key:keyname} เพื่อเรียกใช้ Lucent Beam แล้วคลิกซ้ายบนศัตรูเพื่อร่าย"
"[english]basics_objective_CastSpellBody"	"Press {g:dota_key:keyname} to activate Lucent Beam, then left-click on an enemy to cast."
"basics_AttackTowerTitle"	"ป้อมปราการ: ถอยกลับหากถูกโจมตี"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_AttackTowerBody"	"ป้อมปราการมีพลังชีวิตจำนวนมากและจะยิงพลังทำลายล้างสูงใส่ศัตรู โดยทั่วไป ป้อมจะกำหนดเป้าหมายเป็นยูนิตฝ่ายตรงข้ามที่อยู่ใกล้ที่สุด และก็จะโจมตีต่อจนกว่ายูนิตทุกตัวที่อยู่ในระยะตายหรือเดินออกไป\n\nหากป้อมปราการเริ่มโจมตีฮีโร่ของคุณ คุณควรถอยกลับก่อนที่คุณจะได้รับความเสียหายมากเกินไป\n\nทำลายป้อมปราการเพื่อผ่านบทฝึกสอน"
"[english]basics_AttackTowerBody"	"Towers have a lot of health and launch powerful blasts at enemies. Generally, they target the closest opposing unit, then continue attacking until that unit dies or leaves its range.\n\nIf a Tower begins attacking your hero, you should retreat before you take too much damage.\n\nDestroy the tower to complete the tutorial."
"basics_objective_KillTowerTitle"	"ทำลายป้อมปราการฝั่งศัตรู"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"ทำลายป้อมปราการเพื่อผ่านบทฝึกสอน"
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_RazorIntroTitle"	"การต่อสู้กับฮีโร่ฝั่งศัตรู"
"[english]basics_RazorIntroTitle"	"Battling Enemy Heroes"
"basics_RazorIntroBody"	"ฮีโร่ตัวใหม่ได้เข้าสู่สนามรบแล้ว!\n\nRazor ได้เข้าร่วมทีม Dire ฝั่งศัตรู และเขาจะพยายามป้องกันป้อมปราการทีมของเขาด้วยสกิลสายฟ้าของเขา\n\nการโจมตี Razor สามารถบังคับให้เขาถอยกลับได้"
"[english]basics_RazorIntroBody"	"A new hero has entered the battle!\n\nRazor has joined the enemy Dire team, and will try to defend his team's tower with his lightning abilities.\n\nDamaging Razor can force him to retreat."
"basics_WinningIntroTitle"	"ได้รับชัยชนะ!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"ทำได้ดีมาก! คุณได้ทำลายป้อมปราการและผ่านบทฝึกสอนกลศาสตร์แล้ว\n\nตอนนี้คุณพร้อมสำหรับแมตช์ฝึกสอนโดยบอทแล้ว แมตช์ฝึกสอนโดยบอทจะพาคุณเข้าสู่การเล่นแมตช์ Dota อย่างเต็มรูปแบบ ตามทีละขั้นตอน ด้วยการช่วยเหลือจากเพื่อนร่วมทีมและศัตรูที่ถูกควบคุมโดยคอมพิวเตอร์ โชคดีและขอให้สนุก!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Mechanics tutorial.\n\nYou are now ready for the Guided Bot Matches. Guided Bot Matches take you through a full match of Dota, step by step, with the help of computer-controlled allies and enemies. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"คุณชนะ!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"คุณทำภารกิจเสร็จสมบูรณ์"
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"คุณแพ้!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"คุณล้มเหลวในการทำภารกิจ"
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
