"dota"
{
"InfoScreenClose"	"Continuă"
"basics_alert_TangoUsageBody"	"Un Tango îți permite să consumi un copac pentru a reface o parte mică din viață în timp.\n\nAi activat deja Tango, fie prin clic dreapta pe iconița acestuia, fie prin apăsarea tastei corespondente acestuia. Acum fă clic stânga pe un copac pentru a folosi un Tango."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_ExcessiveTowerDamageTitle"	"Turnurile sunt periculoase. Retrage-te!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"Au! Iei damage mare de la turn!\n\nRetrage-te până când turnul începe să atace altceva."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Închide Bazarul (clic stânga)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Apasă butonul \"Bazar\", din nou, pentru a închide bazarul."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Întoarce-te pe lane-ul din mijloc."
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_HeroIntroTitle"	"Eroul tău & Echipa ta"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"Bine ai venit la Dota! În acest tutorial te vom învăța elementele de bază.\n\nO vei controla pe Luna, un erou rapid, care aruncă lame în inamici de la distanță scurtă și invocă raze distrugătoare din ceruri. Vei juca pentru echipa Radiant împotriva echipei inamice Dire."
"[english]basics_HeroIntroBody"	"Welcome to Dota! In this tutorial, we will teach you the basics.\n\nYou will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky. You will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"Fântâna: O sursă de vindecare"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"Eroul tău va începe fiecare meci la fântâna echipei tale. Dacă vei muri în luptă, vei reînvia de asemenea aici.\n\n Dacă te afli în apropierea fântânei echipei tale, aceasta îți va reface rapid viața și mana."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_objective_MoveToAncientBody"	"Clic dreapta pentru a-ți deplasa eroul."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Ancientul tău: Apără-l cu orice preț"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"Acesta este Ancientul echipei Radiant, Ancientul tău.\n\nÎn Dota, pentru a câștiga un meci trebuie ca echipa ta să distrugă Ancientul echipei adverse înainte ca echipa adversă să poată să îl distrugă pe al vostru."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Întotdeauna cheltuiește aurul cu care începi"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_objective_MoveToShopTitle"	"Întoarce-te la fântână"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Deplasează-te (clic dreapta) înapoi la magazinul din preajma fântânei."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Deschide magazinul"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Apasă clic dreapta pe butonul \"Bazar\" aflat în colțul de jos al ecranului pentru a deschide bazarul."
"[english]basics_objective_OpenShopBody"	"Left-click the Shop button near the lower corner of your screen to open the shop."
"basics_BuyFromShopTitle"	"Magazinul: Echipează-ți eroul pentru victorie"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"Obiectele au diverse întrebuințări în Dota. Unele vindecă, altele cresc pasiv puterea unui erou, iar altele chiar oferă abilități unice.\n\nIa în calcul faptul că magazinul afișează o listă cu obiectele sugerate pentru eroul tău. Îți recomandăm să cumperi obiectele din această listă pe măsură ce înveți Dota."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Cumpără Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Clic dreapta pe obiectul Tango în magazin pentru achiziționare."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Cumpără Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Clic dreapta pe Healing Salve în magazin pentru achiziționare."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Cumpără Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Clic dreapta pe Clarity în magazin pentru achiziționare."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Cumpără Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Clic dreapta pe Circlet în magazin pentru achiziționare."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Cumpără Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Clic dreapta pe Slippers of Agility în magazin pentru achiziționare."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_objective_MoveToMidLaneTitle"	"Deplasează-te pe lane-ul din mijloc."
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Deplasează-te (clic dreapta) pe lane-ul din mijloc."
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_objective_FollowCreepsBody"	"Deplasează-te (clic dreapta) pe lane-ul din mijloc."
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_objective_GetALevelTitle"	"Obține un nivel"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_LevelUpBody"	"Apasă clic dreapta pe butonul \"+\" aflat deasupra vrăjii Lucent Beam."
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityBody"	"Apasă clic dreapta pe butonul \"+\" aflat deasupra vrăjii Lucent Beam pentru a învăța vraja."
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_AttackTowerTitle"	"Turnuri: Retrage-te dacă ești atacat"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_objective_KillTowerTitle"	"Distruge turnul inamic"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"Distruge turnul pentru a termina tutorialul."
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_WinningIntroTitle"	"Victorie!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_QuestSuccessTitle"	"Ai câștigat!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"Ai terminat cu succes misiunea."
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"Ai pierdut!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"Ai eșuat să finalizezi misiunea."
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
