"dota"
{
"InfoScreenClose"	"Continuar"
"basics_LaningIntroBody"	"Uma onda de creeps está prestes a surgir. Segue-os para o combate.\n\nTenta posicionar-te de forma que sejam os creeps a sofrer os ataques dos inimigos. Quando uma onda de creeps morre, recua e junta-te à próxima onda de creeps."
"[english]basics_LaningIntroBody"	"A wave of creeps is about to spawn. Follow them into combat.\n\nTry to position yourself so that the creeps receive any enemy attacks. When a wave of creeps dies, back up and regroup with the next creep wave."
"basics_objective_FollowCreepsTitle"	"Segue os teus creeps até à batalha"
"[english]basics_objective_FollowCreepsTitle"	"Follow your Creeps into battle"
"basics_objective_FollowCreepsBody"	"Desloca-te para a lane do meio (clicando com o botão direito do rato)"
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_AttackingIntroTitle"	"Atacar: É só clicar com o botão direito num inimigo"
"[english]basics_AttackingIntroTitle"	"Attacking: Simply Right-Click an Enemy"
"basics_AttackingIntroBody"	"Ataca unidades inimigas clicando nelas com o botão direito do rato.\n\nAssim que começares a atacar um inimigo, o teu herói continuará a atacá-lo até que o inimigo morra, ou até que executes outra ação."
"[english]basics_AttackingIntroBody"	"Attack enemy units by right-clicking on them.\n\nOnce you begin attacking an enemy, your hero will continue attacking until the enemy dies, or until you perform another action."
"basics_BountiesIntroTitle"	"Golpes Finais: Ganha ouro rapidamente"
"[english]basics_BountiesIntroTitle"	"Last Hits: Earn Gold Quickly"
"basics_BountiesIntroBody"	"Sempre que desferires o golpe fatal num inimigo, ganharás um bónus de ouro. Este ataque fatal chama-se \"Golpe Final\".\n\nAtaca unidades inimigas cuja vida está em baixo e desfere o Golpe Final agora."
"[english]basics_BountiesIntroBody"	"Whenever you strike the killing blow on an enemy, you will earn an additional bounty of gold. This is called a Last Hit.\n\nAttack enemy units whose health is low to earn a Last Hit now."
"basics_objective_LastHitCreepsTitle"	"Ganha ouro"
"[english]basics_objective_LastHitCreepsTitle"	"Earn a Bounty"
"basics_objective_LastHitCreepsBody"	"Desfere o Golpe Final num inimigo (ataca com o botão direito do rato)."
"[english]basics_objective_LastHitCreepsBody"	"Strike the Last Hit on an enemy (right-click)."
"basics_ExpIntroTitle"	"Como ganhar experiência"
"[english]basics_ExpIntroTitle"	"Earning Experience from Nearby Battles"
"basics_ExpIntroBody"	"Ao contrário do ouro ganho por desferir o Golpe Final, a experiência (XP) é partilhada por todos os heróis aliados nas redondezas sempre que um inimigo for morto.\n\nÉ ganhando pontos de experiência e níveis que poderás melhorar as habilidades do teu herói."
"[english]basics_ExpIntroBody"	"Unlike Last Hit bounties, experience points are shared between all nearby allied heroes whenever an enemy is slain.\n\nEarning experience points and gaining levels allows you to augment your hero's abilities."
"basics_objective_GetALevelTitle"	"Ganha um nível"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_GetALevelBody"	"Sobe o nível do teu herói ajudando a matar unidades inimigas."
"[english]basics_objective_GetALevelBody"	"Level up your hero by helping kill enemy units."
"basics_AbilityIntroTitle"	"Habilidades: Os poderes especiais dos heróis"
"[english]basics_AbilityIntroTitle"	"Abilities: Your Hero's Special Powers"
"basics_AbilityIntroBody"	"Sempre que um herói sobe de nível, é ganho um ponto que será gasto para aprender ou fortalecer uma habilidade.\n\nAtenção que a habilidade do tipo \"Ultimate\", que é a habilidade mais importante de um herói, só pode ser aprendida a partir de nível 6.\n\nClica no botão dourado \"+\" acima da habilidade Lucent Beam para a aprenderes."
"[english]basics_AbilityIntroBody"	"Whenever a hero gains a level, they earn a point to spend toward learning, or strengthening, one of their abilities.\n\nNote that the Ultimate ability, which is a hero's signature power, cannot be learned until level 6.\n\nClick on the gold \"+\" button above Lucent Beam to learn that ability."
"basics_objective_LevelUpTitle"	"Sobe de nível"
"[english]basics_objective_LevelUpTitle"	"Level Up"
"basics_objective_LevelUpBody"	"Clica com o botão esquerdo do rato no botão \"+\" acima de Lucent Beam."
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityTitle"	"Aprende uma habilidade"
"[english]basics_objective_BuyAbilityTitle"	"Learn an Ability"
"basics_objective_BuyAbilityBody"	"Clica com o botão esquerdo no botão \"+\" para aprenderes Lucent Beam."
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_HealYourselfTitle"	"Como usar itens: Seleciona o item, e depois o alvo"
"[english]basics_HealYourselfTitle"	"Using Items: Select the Item, then its Target"
"basics_HealYourselfBody"	"Tenta usar uma Healing Salve para te curares. Ativa o item premindo a tecla mostrada em cima do mesmo. Depois clica (com o botão esquerdo) no teu herói. Também podes fazer duplo clique para usares automaticamente o item em ti.\n\nATENÇÃO: Os efeitos da Healing Salve serão cancelados se sofreres dano!"
"[english]basics_HealYourselfBody"	"Try using a Healing Salve to heal yourself. First, activate the item by pressing the key above its icon. Then, left-click on your hero. You can also double-click the Healing Salve to immediately use it on yourself.\n\nNOTE: Healing Salve's effects will be cancelled if you are damaged!"
"basics_CastIntroTitle"	"Uso de habilidades: Habilidades ativas e passivas"
"[english]basics_CastIntroTitle"	"Using Abilities: Activation and Passive Abilities"
"basics_CastIntroBody"	"Para usares uma habilidade, ativa-a premindo a tecla mostrada por cima do respetivo ícone e depois clica com o botão esquerdo num alvo. Muitas das habilidades que precisam de ser ativadas gastam mana.\n\nHabilidades passivas, como a Lunar Blessing da Luna, são automáticas, estão sempre ativas, e não precisam de mana para funcionar."
"[english]basics_CastIntroBody"	"To use an ability, first activate it by pressing the key shown above the ability's icon, then left-click on a target. Abilities which require activation cost mana to use.\n\nPassive abilities, such as Luna's Lunar Blessing, are automatic, always active, and do not require mana to function."
"basics_objective_CastSpellTitle"	"Usa a habilidade Lucent Beam"
"[english]basics_objective_CastSpellTitle"	"Use Lucent Beam"
"basics_objective_CastSpellBody"	"Prime {g:dota_key:keyname} e depois clica com o botão esquerdo num inimigo para usares Lucent Beam."
"[english]basics_objective_CastSpellBody"	"Press {g:dota_key:keyname} to activate Lucent Beam, then left-click on an enemy to cast."
"basics_AttackTowerTitle"	"Torres: Recua se fores atacado"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_AttackTowerBody"	"As Torres têm muita vida e lançam ataques devastadores contra os seus inimigos. Normalmente, atacam a unidade inimiga mais próxima e continuam a atacá-la até que essa unidade morra ou fique fora de alcance.\n\nSe uma torre começar a atacar o teu herói, deves recuar antes que sofras demasiado dano.\n\nDestrói a torre para concluíres o tutorial."
"[english]basics_AttackTowerBody"	"Towers have a lot of health and launch powerful blasts at enemies. Generally, they target the closest opposing unit, then continue attacking until that unit dies or leaves its range.\n\nIf a Tower begins attacking your hero, you should retreat before you take too much damage.\n\nDestroy the tower to complete the tutorial."
"basics_objective_KillTowerTitle"	"Destrói a Torre inimiga"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"Destrói a Torre para concluíres o tutorial."
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_RazorIntroTitle"	"Combater com heróis inimigos"
"[english]basics_RazorIntroTitle"	"Battling Enemy Heroes"
"basics_RazorIntroBody"	"Um novo herói entrou na batalha!\n\nO Razor juntou-se à equipa dos Dire e vai tentar defender a torre da sua equipa com as suas habilidades eletrizantes.\n\nCausar dano ao Razor pode obrigá-lo a retirar-se."
"[english]basics_RazorIntroBody"	"A new hero has entered the battle!\n\nRazor has joined the enemy Dire team, and will try to defend his team's tower with his lightning abilities.\n\nDamaging Razor can force him to retreat."
"basics_WinningIntroTitle"	"Vitória!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"Bom trabalho! Destruíste a Torre e completaste o tutorial de Mecânicas do jogo.\n\nEstás agora pronto para as Partidas Guiadas com Bots. Este tipo de partidas leva-te passo a passo através de uma partida completa de Dota, com a ajuda de aliados e inimigos controlados pelo computador. Boa sorte, e diverte-te!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Mechanics tutorial.\n\nYou are now ready for the Guided Bot Matches. Guided Bot Matches take you through a full match of Dota, step by step, with the help of computer-controlled allies and enemies. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"Ganhaste!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"Completaste a missão com sucesso."
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"Perdeste!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"Não conseguiste completar a missão."
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
