"dota"
{
"InfoScreenClose"	"Continuar"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"En cada partida, tu héroe empieza en la fuente de tu equipo. Si caes en batalla, reaparecerás junto a dicha fuente.\n\nPosicionarte cerca de la fuente de tu equipo restaurará rápidamente tu salud y maná."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"Controles básicos de la cámara y el héroe"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"Las órdenes de movimiento y ataque se envían haciendo clic con el botón derecho en el lugar a donde quieras que se dirija tu héroe, o a lo que quieras que ataque.\n\nLa cámara se puede mover acercando el puntero del ratón al borde de la pantalla. En cualquier momento puedes centrar la vista en tu héroe presionando {g:dota_key:keyname}."
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"Muévete hacia tu Fortaleza Ancestral"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"Haz clic derecho para mover a tu héroe."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Tu Fortaleza Ancestral: Defiéndela a toda costa"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"Esta es la Fortaleza Ancestral del equipo Radiant, es decir, tu Fortaleza.\n\nEn Dota, con el objetivo de ganar una partida, tu equipo debe destruir la Fortaleza Ancestral del equipo enemigo antes de que éste destruya la vuestra."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Gasta siempre tu oro inicial"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"Al principio de cada partida los jugadores reciben una pequeña cantidad de oro. Acuérdate siempre de gastar este oro en objetos de la tienda antes de salir hacia el campo de batalla.\n\nLa tienda está disponible en la fuente de tu equipo. Dirígete allí ahora."
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"Vuelve a la fuente"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Vuelve a la tienda que se encuentra junto a la fuente (clic derecho)."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Abre la tienda"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Haz clic izquierdo en el botón Tienda que hay cerca de la esquina inferior de tu pantalla para abrir la tienda."
"[english]basics_objective_OpenShopBody"	"Left-click the Shop button near the lower corner of your screen to open the shop."
"basics_BuyFromShopTitle"	"La tienda: Equipar a tu héroe para la victoria"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"Los objetos tienen varios usos en Dota. Algunos curan, otros tienen propiedades que aumentan el poder de un héroe, e incluso algunos proporcionan habilidades únicas.\n\nTen en cuenta que la tienda muestra una lista de objetos recomendados para tu héroe. Te sugerimos que compres objetos de la lista de objetos recomendados mientras aprendes a jugar a Dota."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Compra Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Haz clic derecho en el objeto Tango de la tienda para comprarlo."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Compra Bálsamo Curativo"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Haz clic derecho en el Bálsamo Curativo en la tienda para comprarlo."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Compra Claridad"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Haz clic derecho en la Claridad en la tienda para comprarla."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Compra Tiara"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Haz clic derecho en la Tiara en la tienda para comprarla."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Compra Zapatillas de Agilidad"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Haz clic derecho en las Zapatillas de Agilidad en la tienda para comprarlas."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"Objetos iniciales: Sobreviviendo en el campo de batalla"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_BoughtStartingBody"	"Algunos de tus Objetos Iniciales pueden ser consumidos para curarte o restaurar maná:\n-Tango: Utilízalo para consumir un árbol y curarte lentamente.\n-Bálsamo Curativo: Cura gradualmente una gran cantidad de vida.\n-Claridad: Restaura paulatinamente una gran cantidad de maná.\n\nCuidado: Los efectos del Bálsamo Curativo y de Claridad se cancelarán si recibes daño."
"[english]basics_BoughtStartingBody"	"Some of your Starting Items can be consumed to heal or restore mana:\n- Tango: Use this to swallow a tree and slowly heal\n- Healing Salve: Gradually heals a large amount of health\n- Clarity: Slowly restores a large amount of mana\n\nNOTE: Healing Salve and Clarity's effects are cancelled if you are damaged."
"basics_LaneIntroTitle"	"Sendas: Tres rutas de ataque"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"Hay tres sendas que cruzan el campo de batalla, conectando las bases de ambos equipos. Estas se llaman senda superior, senda central y senda inferior."
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"Dirígete a la senda central"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Dirígete a la senda central (clic derecho)."
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"Creeps: Infantería de guerra"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_CreepsIntroBody"	"Los soldados rasos de tu equipo, llamados creeps, aparecerán cerca de tu base en todas las sendas cada 30 segundos.\n\nLos creeps avanzan automáticamente hacia la base enemiga, atacando a cualquier unidad o estructura enemiga que encuentren."
"[english]basics_CreepsIntroBody"	"Your team's foot soldiers, called creeps, will spawn in each lane near the edge of your base every 30 seconds.\n\nCreeps automatically march toward the enemy base, attacking any enemy units or buildings they encounter."
"basics_LaningIntroTitle"	"Comienza la batalla: Sigue a tus creeps"
"[english]basics_LaningIntroTitle"	"The Battle Begins: Follow Your Creeps"
"basics_LaningIntroBody"	"Una oleada de creeps está a punto de aparecer. Síguelos a la batalla.\n\nIntenta situarte de manera que sean los creeps los que sufran los ataques de los enemigos. Cuando una oleada de creeps muera, retrocede y reagrúpate con la siguiente oleada de creeps."
"[english]basics_LaningIntroBody"	"A wave of creeps is about to spawn. Follow them into combat.\n\nTry to position yourself so that the creeps receive any enemy attacks. When a wave of creeps dies, back up and regroup with the next creep wave."
"basics_objective_FollowCreepsTitle"	"Sigue a tus creeps a la batalla"
"[english]basics_objective_FollowCreepsTitle"	"Follow your Creeps into battle"
"basics_objective_FollowCreepsBody"	"Dirígete a la senda central (clic derecho)."
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_AttackingIntroTitle"	"Atacar: Simplemente haz clic derecho sobre un enemigo"
"[english]basics_AttackingIntroTitle"	"Attacking: Simply Right-Click an Enemy"
"basics_AttackingIntroBody"	"Ataca a las unidades enemigas haciendo clic con el botón derecho sobre ellas.\n\nUna vez que hayas comenzado a atacar a un enemigo, tu héroe seguirá atacándolo hasta que el enemigo muera, o realices otra acción."
"[english]basics_AttackingIntroBody"	"Attack enemy units by right-clicking on them.\n\nOnce you begin attacking an enemy, your hero will continue attacking until the enemy dies, or until you perform another action."
"basics_BountiesIntroTitle"	"Últimos golpes: Consigue oro rápidamente"
"[english]basics_BountiesIntroTitle"	"Last Hits: Earn Gold Quickly"
"basics_BountiesIntroBody"	"Cada vez que asestes el golpe mortal en un enemigo, ganarás oro adicional. Esto se conoce como último golpe.\n\nAtaca a las unidades enemigas que tengan poca vida para hacer un último golpe ahora."
"[english]basics_BountiesIntroBody"	"Whenever you strike the killing blow on an enemy, you will earn an additional bounty of gold. This is called a Last Hit.\n\nAttack enemy units whose health is low to earn a Last Hit now."
"basics_objective_LastHitCreepsTitle"	"Gana una recompensa"
"[english]basics_objective_LastHitCreepsTitle"	"Earn a Bounty"
"basics_objective_LastHitCreepsBody"	"Asesta el último golpe a un enemigo (clic derecho)."
"[english]basics_objective_LastHitCreepsBody"	"Strike the Last Hit on an enemy (right-click)."
"basics_ExpIntroTitle"	"Ganar experiencia de batallas cercanas"
"[english]basics_ExpIntroTitle"	"Earning Experience from Nearby Battles"
"basics_ExpIntroBody"	"A diferencia de las recompensas de los últimos golpes, los puntos de experiencia se reparten entre todos los héroes aliados cercanos cada vez que se asesina a un enemigo.\n\nGanar experiencia y subir de nivel te permitirá mejorar las habilidades de tu héroe."
"[english]basics_ExpIntroBody"	"Unlike Last Hit bounties, experience points are shared between all nearby allied heroes whenever an enemy is slain.\n\nEarning experience points and gaining levels allows you to augment your hero's abilities."
"basics_objective_GetALevelTitle"	"Sube de nivel"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_GetALevelBody"	"Sube tu héroe de nivel ayudando a matar unidades enemigas."
"[english]basics_objective_GetALevelBody"	"Level up your hero by helping kill enemy units."
"basics_AbilityIntroTitle"	"Habilidades: Los poderes especiales de tu héroe"
"[english]basics_AbilityIntroTitle"	"Abilities: Your Hero's Special Powers"
"basics_AbilityIntroBody"	"Cuando un héroe sube de nivel, obtiene un punto que puede gastarse para aprender o mejorar una de sus habilidades.\n\nTen en cuenta que la habilidad definitiva, la que define a tu héroe, no puede aprenderse hasta el nivel 6.\n\nHaz clic en el botón + dorado que hay sobre Haz Lumínico para aprender esta habilidad."
"[english]basics_AbilityIntroBody"	"Whenever a hero gains a level, they earn a point to spend toward learning, or strengthening, one of their abilities.\n\nNote that the Ultimate ability, which is a hero's signature power, cannot be learned until level 6.\n\nClick on the gold \"+\" button above Lucent Beam to learn that ability."
"basics_objective_LevelUpTitle"	"Sube de nivel"
"[english]basics_objective_LevelUpTitle"	"Level Up"
"basics_objective_LevelUpBody"	"Haz clic izquierdo en el botón «+» que hay sobre Haz Lumínico."
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityTitle"	"Aprende una habilidad"
"[english]basics_objective_BuyAbilityTitle"	"Learn an Ability"
"basics_objective_BuyAbilityBody"	"Haz clic izquierdo en el botón «+» que hay sobre Haz Lumínico para aprender esta habilidad."
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_HealYourselfTitle"	"Usar objetos: Selecciona el objeto y después su objetivo"
"[english]basics_HealYourselfTitle"	"Using Items: Select the Item, then its Target"
"basics_HealYourselfBody"	"Prueba a usar un Bálsamo Curativo para curarte. Primero, activa el objeto pulsando la tecla que aparece sobre su icono. Después, haz clic izquierdo en tu héroe. También puedes hacer doble clic en el Bálsamo Curativo para usarlo sobre ti mismo instantáneamente.\n\nCuidado: ¡el efecto del Bálsamo Curativo se cancelará si recibes daño!"
"[english]basics_HealYourselfBody"	"Try using a Healing Salve to heal yourself. First, activate the item by pressing the key above its icon. Then, left-click on your hero. You can also double-click the Healing Salve to immediately use it on yourself.\n\nNOTE: Healing Salve's effects will be cancelled if you are damaged!"
"basics_CastIntroTitle"	"Usar habilidades: Activación y habilidades pasivas"
"[english]basics_CastIntroTitle"	"Using Abilities: Activation and Passive Abilities"
"basics_CastIntroBody"	"Para lanzar la habilidad que acabas de aprender, actívala presionando la tecla que aparece sobre su icono, después haz clic izquierdo en un objetivo. Las habilidades que requieren activación consumen maná al usarse.\n\nLas habilidades pasivas, tales como Bendición Lunar de Luna, son automáticas, es decir, siempre están activas y no requieren maná para funcionar."
"[english]basics_CastIntroBody"	"To use an ability, first activate it by pressing the key shown above the ability's icon, then left-click on a target. Abilities which require activation cost mana to use.\n\nPassive abilities, such as Luna's Lunar Blessing, are automatic, always active, and do not require mana to function."
"basics_objective_CastSpellTitle"	"Usa Haz Lumínico"
"[english]basics_objective_CastSpellTitle"	"Use Lucent Beam"
"basics_objective_CastSpellBody"	"Pulsa {g:dota_key:keyname} para activar Haz Lumínico y después haz clic izquierdo sobre un enemigo para lanzarlo."
"[english]basics_objective_CastSpellBody"	"Press {g:dota_key:keyname} to activate Lucent Beam, then left-click on an enemy to cast."
"basics_AttackTowerTitle"	"Torres: Retrocede si eres atacado"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_AttackTowerBody"	"Las torres tienen una gran cantidad de vida y lanzan poderosos ataques a los enemigos. Generalmente, fijarán a la unidad enemiga más cercana y continuarán atacando hasta que dicha unidad muera o esté fuera de su alcance.\n\nSi una torre empieza a atacar a tu héroe, deberías retroceder antes de recibir demasiado daño.\n\nDestruye la torre para completar el tutorial."
"[english]basics_AttackTowerBody"	"Towers have a lot of health and launch powerful blasts at enemies. Generally, they target the closest opposing unit, then continue attacking until that unit dies or leaves its range.\n\nIf a Tower begins attacking your hero, you should retreat before you take too much damage.\n\nDestroy the tower to complete the tutorial."
"basics_objective_KillTowerTitle"	"Destruye la torre enemiga"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"Destruye la torre enemiga para completar el tutorial."
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_RazorIntroTitle"	"Enfrentarse a héroes enemigos"
"[english]basics_RazorIntroTitle"	"Battling Enemy Heroes"
"basics_RazorIntroBody"	"¡Un nuevo héroe ha entrado en la batalla! Razor se ha unido al equipo enemigo, Dire, e intentará defender la torre de su equipo utilizando sus habilidades electrizantes.\n\nDañar a Razor puede obligarlo a retroceder."
"[english]basics_RazorIntroBody"	"A new hero has entered the battle!\n\nRazor has joined the enemy Dire team, and will try to defend his team's tower with his lightning abilities.\n\nDamaging Razor can force him to retreat."
"basics_WinningIntroTitle"	"¡Victoria!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"¡Bien hecho! Has destruido la torre y completado el tutorial de mecánicas.\n\nAhora estás preparado para las partidas guiadas con bots. Estas partidas te llevarán paso a paso a través de una partida completa de Dota, con la ayuda de aliados y enemigos controlados por el ordenador. ¡Buena suerte y pásalo bien!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Mechanics tutorial.\n\nYou are now ready for the Guided Bot Matches. Guided Bot Matches take you through a full match of Dota, step by step, with the help of computer-controlled allies and enemies. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"¡Has ganado!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"Has completado la misión con éxito."
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"¡Has perdido!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"No has logrado completar la misión."
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
