"dota"
{
"InfoScreenClose"	"Kontynuuj"
"basics_ExcessiveTowerDamageBody"	"Ała!! Otrzymujesz mnóstwo obrażeń od wieży!\n\nSpróbuj się wycofać do momentu, aż wieża zacznie atakować coś innego."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Zamknij sklep (lewy przycisk myszy)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Jeszcze raz kliknij na przycisk sklepu, aby go zamknąć."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Powróć na środkową ścieżkę"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_objective_BackToCombatBody"	"Właśnie tu znajduje się samouczek!"
"[english]basics_objective_BackToCombatBody"	"That's where the tutorial is!"
"basics_HeroIntroTitle"	"Twój bohater i twoja drużyna"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"Witaj w Dota! W tym samouczku nauczymy cię podstaw.\n\nBędziesz kontrolować Lunę, zwinną bohaterkę, która rzuca we wrogów ostrzami z niewielkiej odległości i przyzywa z nieba promienie zadające obrażenia. Zagrasz dla drużyny Świetlistych przeciwko drużynie Mrocznych."
"[english]basics_HeroIntroBody"	"Welcome to Dota! In this tutorial, we will teach you the basics.\n\nYou will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky. You will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"Fontanna: źródło leczenia"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"Twój bohater rozpoczyna każdy mecz przy fontannie twojej drużyny. Jeśli polegniesz w walce, również odrodzisz się tutaj.\n\nPrzebywanie w pobliżu fontanny twojej drużyny szybko przywróci ci zdrowie i manę."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"Podstawowe sterowanie bohaterem i kamerą"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"Komendy ruchu i ataku są wydawane poprzez klikanie PPM na miejscu, do którego chcesz się udać, lub na celu, który chcesz zaatakować.\n\nPołożenie kamery można zmieniać, przesuwając kursor myszki do krawędzi ekranu. W dowolnym momencie możesz wyśrodkować widok na swojego bohatera, wciskając {g:dota_key:keyname}."
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"Udaj się do swojego Starożytnego"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"Aby poruszyć swoim bohaterem, wciśnij PPM."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Twój Starożytny: broń go za wszelką cenę"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"To jest Starożytny zespołu Świetlistych - należy on do was.\n\nŻeby wygrać mecz w Dota, twój zespół musi zniszczyć wrogiego Starożytnego, zanim przeciwny zespół zniszczy waszego."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Zawsze wydawaj złoto otrzymywane na starcie"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"Na początku każdego meczu gracze otrzymują niewielką ilość złota. Pamiętaj, aby zawsze je wydać na przedmioty ze sklepu, nim wyruszysz walczyć.\n\nSklep znajduje się przy fontannie twojej drużyny. Udaj się tam teraz."
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"Wróć do Fontanny"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Udaj się (PPM) do sklepu w pobliżu fontanny."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Otwórz sklep"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Wciśnij LPM ikonę sklepu przy dolnym rogu twojego ekranu, aby otworzyć sklep."
"[english]basics_objective_OpenShopBody"	"Left-click the Shop button near the lower corner of your screen to open the shop."
"basics_BuyFromShopTitle"	"Sklep: Wyposażanie swojego bohatera dla zwycięstwa"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"W Dota przedmioty pełnią wiele funkcji. Niektóre leczą, inne pasywnie zwiększają moc bohatera, a część nawet zapewnia unikalne zdolności.\n\nZwróć uwagę, że sklep wyświetla listę sugerowanych przedmiotów dla twojego bohatera. Podczas nauki gry w Dota zalecamy kupowanie przedmiotów tylko z tej listy."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Kup Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Kliknij prawym przyciskiem myszy na przedmiocie Tango w sklepie, aby zakupić."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Kup Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Kliknij prawym przyciskiem myszy na Healing Salve w sklepie, aby zakupić."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Kup Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Kliknij prawym przyciskiem myszy na Clarity w sklepie, aby zakupić."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Kup Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Kliknij prawym przyciskiem myszy na Circlet w sklepie, aby zakupić."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Zakup Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Kliknij PPM na Slippers of Agility w sklepie, aby zakupić."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"Przedmioty startowe: Przetrwać na polu bitwy"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_BoughtStartingBody"	"Niektóre ze startowych przedmiotów można zużyć, żeby przywrócić manę lub zdrowie:\n- Tango: użyj tego do zjedzenia drzewa i powoli się ulecz\n- Healing Salve: stopniowo przywraca dużą ilość zdrowia\n- Clarity: powoli przywraca dużą ilość many\n\nUWAGA: Efekt Healing Salve i Clarity zostaną anulowane, jeśli otrzymasz obrażenia."
"[english]basics_BoughtStartingBody"	"Some of your Starting Items can be consumed to heal or restore mana:\n- Tango: Use this to swallow a tree and slowly heal\n- Healing Salve: Gradually heals a large amount of health\n- Clarity: Slowly restores a large amount of mana\n\nNOTE: Healing Salve and Clarity's effects are cancelled if you are damaged."
"basics_LaneIntroTitle"	"Ścieżki: Trzy drogi ataku"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"Są trzy ścieżki przechodzące przez pole bitwy, łączące bazy obydwu drużyn. Te ścieżki nazywane są: górna (Top), środkowa (Middle), dolna (Bottom)."
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"Udaj się na środkową ścieżkę"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Wykonaj ruch (prawy przycisk myszki) na środkową ścieżkę"
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"Creepy: Piechota na wojnie"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_CreepsIntroBody"	"Piechota twojej drużyny, czyli creepy, pojawiają się na każdej ścieżce przy granicy twojej bazy co każde 30 sekund.\n\nCreepy automatycznie maszerują w kierunku wrogiej bazy, atakując po drodze każde napotkane nieprzyjacielskie jednostki lub budynki."
"[english]basics_CreepsIntroBody"	"Your team's foot soldiers, called creeps, will spawn in each lane near the edge of your base every 30 seconds.\n\nCreeps automatically march toward the enemy base, attacking any enemy units or buildings they encounter."
"basics_LaningIntroTitle"	"Początek bitwy: Podążaj za swoimi creepami"
"[english]basics_LaningIntroTitle"	"The Battle Begins: Follow Your Creeps"
"basics_LaningIntroBody"	"Zaraz odrodzi się fala creepów. Podążaj za nimi do walki.\n\nPostaraj się ustawić tak, aby to creepy przyjmowały wrogie ataki. Jeśli twoje creepy umrą, wycofaj się i przegrupuj z następną falą creepów."
"[english]basics_LaningIntroBody"	"A wave of creeps is about to spawn. Follow them into combat.\n\nTry to position yourself so that the creeps receive any enemy attacks. When a wave of creeps dies, back up and regroup with the next creep wave."
"basics_objective_FollowCreepsTitle"	"Podążaj za swoimi creepami do bitwy"
"[english]basics_objective_FollowCreepsTitle"	"Follow your Creeps into battle"
"basics_objective_FollowCreepsBody"	"Udaj się (PPM) do środkowej ścieżki."
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_AttackingIntroTitle"	"Atakowanie: Zwykłe klikanie PPM na wroga"
"[english]basics_AttackingIntroTitle"	"Attacking: Simply Right-Click an Enemy"
"basics_AttackingIntroBody"	"Atakuj wrogie jednostki, klikając na nie PPM.\n\nGdy tylko zaczniesz atakować wroga, twój bohater nie przestanie, dopóki wróg nie umrze lub ty nie wykonasz innej akcji."
"[english]basics_AttackingIntroBody"	"Attack enemy units by right-clicking on them.\n\nOnce you begin attacking an enemy, your hero will continue attacking until the enemy dies, or until you perform another action."
"basics_BountiesIntroTitle"	"Ostatnie trafienia: zdobądź szybko złoto"
"[english]basics_BountiesIntroTitle"	"Last Hits: Earn Gold Quickly"
"basics_BountiesIntroBody"	"Za każdym razem, gdy zadasz zabójczy cios przeciwnikowi, otrzymasz dodatkową nagrodę w złocie. Nazywamy to ostatnim trafieniem.\n\nZaatakuj teraz wrogie jednostki, gdy mają niewiele PZ, żeby zadawać ostatnie trafienia."
"[english]basics_BountiesIntroBody"	"Whenever you strike the killing blow on an enemy, you will earn an additional bounty of gold. This is called a Last Hit.\n\nAttack enemy units whose health is low to earn a Last Hit now."
"basics_objective_LastHitCreepsTitle"	"Zdobądź nagrodę"
"[english]basics_objective_LastHitCreepsTitle"	"Earn a Bounty"
"basics_objective_LastHitCreepsBody"	"Zadaj wrogowi ostatnie trafienie (PPM)."
"[english]basics_objective_LastHitCreepsBody"	"Strike the Last Hit on an enemy (right-click)."
"basics_ExpIntroTitle"	"Zdobywaj doświadczenie z pobliskich bitw"
"[english]basics_ExpIntroTitle"	"Earning Experience from Nearby Battles"
"basics_ExpIntroBody"	"W przeciwieństwie do nagrody za ostatnie trafienie punkty doświadczenia są dzielone między wszystkich pobliskich sojuszniczych bohaterów, gdy tylko zginie przeciwnik.\n\nZdobywanie punktów doświadczenia oraz poziomów pozwala na ulepszanie umiejętności twojego bohatera."
"[english]basics_ExpIntroBody"	"Unlike Last Hit bounties, experience points are shared between all nearby allied heroes whenever an enemy is slain.\n\nEarning experience points and gaining levels allows you to augment your hero's abilities."
"basics_objective_GetALevelTitle"	"Zdobądź poziom"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_GetALevelBody"	"Podwyższaj poziom swojego bohatera, pomagając w zabijaniu wrogich jednostek."
"[english]basics_objective_GetALevelBody"	"Level up your hero by helping kill enemy units."
"basics_AbilityIntroTitle"	"Umiejętności: Specjalne moce twojego bohatera"
"[english]basics_AbilityIntroTitle"	"Abilities: Your Hero's Special Powers"
"basics_AbilityIntroBody"	"Za każdym razem, gdy bohater zdobywa poziom, otrzymuje on punkt, który może wydać na nauczenie się lub ulepszenie jednej umiejętności.\n\nZwróć uwagę, że umiejętności ostatecznych, które są wyjątkowymi mocami każdego bohatera, można się nauczyć dopiero po osiągnięciu 6. poziomu.\n\nKliknij na złoty przycisk „+” nad Lucent Beam, żeby nauczyć się tej umiejętności."
"[english]basics_AbilityIntroBody"	"Whenever a hero gains a level, they earn a point to spend toward learning, or strengthening, one of their abilities.\n\nNote that the Ultimate ability, which is a hero's signature power, cannot be learned until level 6.\n\nClick on the gold \"+\" button above Lucent Beam to learn that ability."
"basics_objective_LevelUpTitle"	"Awans"
"[english]basics_objective_LevelUpTitle"	"Level Up"
"basics_objective_LevelUpBody"	"Kliknij lewym przyciskiem myszy na przycisku „+” nad Lucent Beam."
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityTitle"	"Naucz się umiejętności"
"[english]basics_objective_BuyAbilityTitle"	"Learn an Ability"
"basics_objective_BuyAbilityBody"	"Kliknij lewym przyciskiem myszy na przycisku „+” nad Lucent Beam, aby nauczyć się tej umiejętności."
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_HealYourselfTitle"	"Używanie przedmiotów: Wybieranie przedmiotu i jego celu"
"[english]basics_HealYourselfTitle"	"Using Items: Select the Item, then its Target"
"basics_HealYourselfBody"	"Spróbuj użyć Healing Salve, żeby się uleczyć. Najpierw aktywuj przedmiot, naciskając klawisz nad jego ikonką. Następnie kliknij lewym przyciskiem na swoim bohaterze. Możesz również podwójnie kliknąć Healing Salve, żeby natychmiast użyć go na sobie.\n\nUWAGA: Efekt Healing Salve zostanie anulowany, jeśli otrzymasz obrażenia!"
"[english]basics_HealYourselfBody"	"Try using a Healing Salve to heal yourself. First, activate the item by pressing the key above its icon. Then, left-click on your hero. You can also double-click the Healing Salve to immediately use it on yourself.\n\nNOTE: Healing Salve's effects will be cancelled if you are damaged!"
"basics_CastIntroTitle"	"Używanie umiejętności: Aktywacja i umiejętności pasywne"
"[english]basics_CastIntroTitle"	"Using Abilities: Activation and Passive Abilities"
"basics_CastIntroBody"	"Aby użyć umiejętności, pierw musisz ją aktywować, wciskając klawisz ukazany nad ikoną danej umiejętności, a następnie klikając LPM na cel. Umiejętności, które pierw trzeba aktywować, wymagają do używania many.\n\nUmiejętności pasywne, takie jak Lunar Blessing Luny, są zawsze aktywne, a większość z nich nie wymaga do używania many."
"[english]basics_CastIntroBody"	"To use an ability, first activate it by pressing the key shown above the ability's icon, then left-click on a target. Abilities which require activation cost mana to use.\n\nPassive abilities, such as Luna's Lunar Blessing, are automatic, always active, and do not require mana to function."
"basics_objective_CastSpellTitle"	"Użyj Lucent Beam"
"[english]basics_objective_CastSpellTitle"	"Use Lucent Beam"
"basics_objective_CastSpellBody"	"Naciśnij {g:dota_key:keyname}, by aktywować Lucent Beam, a następnie kliknij LPM na wrogu, żeby użyć."
"[english]basics_objective_CastSpellBody"	"Press {g:dota_key:keyname} to activate Lucent Beam, then left-click on an enemy to cast."
"basics_AttackTowerTitle"	"Wieże: Jeśli atakowane, wycofaj się"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_AttackTowerBody"	"Wieże posiadają dużo zdrowia, a ich ataki są potężne. Generalnie obierają za cel jednostkę znajdującą się najbliżej i atakują ją, dopóki ta nie zginie lub nie opuści ich zasięgu.\n\nJeśli Wieża będzie atakować twojego bohatera, wycofaj się, zanim odniesiesz zbyt duże obrażenia.\n\nZniszcz Wieżę, aby ukończyć poradnik."
"[english]basics_AttackTowerBody"	"Towers have a lot of health and launch powerful blasts at enemies. Generally, they target the closest opposing unit, then continue attacking until that unit dies or leaves its range.\n\nIf a Tower begins attacking your hero, you should retreat before you take too much damage.\n\nDestroy the tower to complete the tutorial."
"basics_objective_KillTowerTitle"	"Zniszcz wieżę przeciwnika"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"Zniszcz wieżę, aby ukończyć poradnik."
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_RazorIntroTitle"	"Walka z bohaterami przeciwnika"
"[english]basics_RazorIntroTitle"	"Battling Enemy Heroes"
"basics_RazorIntroBody"	"Nowy bohater dołącza do bitwy!\n\nRazor przyłącza się do wrogiej drużyny Mrocznych i będzie próbował bronić ich Wieży, korzystając ze swych umiejętności.\n\nAtakowanie Razora może zmusić go do odwrotu."
"[english]basics_RazorIntroBody"	"A new hero has entered the battle!\n\nRazor has joined the enemy Dire team, and will try to defend his team's tower with his lightning abilities.\n\nDamaging Razor can force him to retreat."
"basics_WinningIntroTitle"	"Zwycięstwo!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"Gratulacje! Zniszczono wieżę i ukończono poradnik mechanik.\n\nMożesz teraz wziąć udział w kierowanym meczu z botami. Zapoznasz się w nim ze wszystkimi szczegółami meczu Dota, a towarzyszyć ci będą sterowani przez komputer sojusznicy oraz wrogowie. Powodzenia i miłej zabawy!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Mechanics tutorial.\n\nYou are now ready for the Guided Bot Matches. Guided Bot Matches take you through a full match of Dota, step by step, with the help of computer-controlled allies and enemies. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"Zwycięstwo!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"Zadanie ukończono pomyślnie."
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"Porażka!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"Nie udało ci się ukończyć tego wyzwania."
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
