"dota"
{
"InfoScreenClose"	"Jatka"
"basics_alert_SecondDeathTitle"	"Kuolema: Pakene uhkaavista tilanteista"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Ole tarkkana mihin sijoitat sankarisi kentällä. Vihollisen tornin, sankarin tai kätyrin hyökätessä kannattaa harkita perääntymistä.\n\nTasosi noustessa sankarisi pysyy pidempään kuolleena."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Synnyt pian uudelleen"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"Sankarisi syntyy pian uudelleen joukkueesi lähteelle.\n\nSuuntaa pikaisesti takaisin taisteluun!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"Tangon käyttäminen"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
"basics_alert_TangoUsageBody"	"Tangon käyttämällä voit syödä puun, mikä palauttaa terveyttä ajan myötä.\n\nOlet jo aktivoinut Tangon joko painamalla sen kuviota tai sitä vastaavaa näppäintä. Valitse seuraavaksi jokin puu hiiren vasemmalla napilla käyttääksesi Tangon."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"Healing Salven käyttäminen."
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Healing Salvella voi parantaa myös valitsemaasi sankaria (hiiren vasen nappi).\n\nVahingoittuminen keskeyttää vaikutuksen."
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"Clarityn käyttäminen"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"Clarity palauttaa manaa hitaasti valitsemaasi sankariin.\n\nVahingoittuminen keskeyttää vaikutuksen."
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"Tornit ovat vaarallisia. Peräänny!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"Varo! Tornin tulitus on tehnyt pahaa jälkeä!\n\nPeräänny, kunnes tornin huomio siirtyy pois sinusta."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Kaupan sulkeminen (hiiren vasen nappi)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Napsauta Kauppa-painiketta uudestaan sulkeaksesi."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Palaa keskilinjalle"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_objective_BackToCombatBody"	"Harjoitus jatkuu siellä!"
"[english]basics_objective_BackToCombatBody"	"That's where the tutorial is!"
"basics_HeroIntroTitle"	"Sankarisi & joukkueesi"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"Tässä tutoriaalissa ohjaat Lunaa, vikkelää sankaria, joka käyttää lyhyen kantaman heitettävää miekkaparia, ja pystyy kutsumaan vaarallisia säteitä taivaalta. Pelaat Radiant-joukkueessa Dire-vihollisjoukkuetta vastaan."
"[english]basics_HeroIntroBody"	"In this tutorial, you will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky.\n\nYou will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"Suihkulähde: Parannuksen alkuperä"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"Sankarisi aloittaa jokaisen pelin joukkueesi suihkulähteeltä. Jos kaadut taistelussa, synnyt uudelleen sen vierelle.\n\nTämän lisäksi lähde palauttaa nopeasti terveyttä ja manaa, jos olet sen lähellä."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"Sankarin & kameran ohjaus"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"Liikkuminen ja hyökkääminen tapahtuvat hiiren oikealla painikkeella. Sankarisi liikkuu haluttuun paikkaan maastoa klikkaamalla ja hyökkää vihollista klikkaamalla.\n\nVoit liikuttaa kameraa siirtämällä hiirtä ruudun reunoille. Kameran voi keskittää sankarisi sijaintiin painamalla {g:dota_key:keyname}."
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"Siirry Muinaislinnoituksen eli päärakennuksen lähelle"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"Voit liikuttaa sankariasi hiiren oikealla painikkeella."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Joukkueesi Muinaislinnoitus: Puolusta kaikin voimin"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"Tämä on Radiant-joukkueen Muinaislinnoitus – päärakennuksenne.\n\nDota-ottelun voittaa joukkue, joka tuhoaa vastustajan Muinaislinnoituksen ensin."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Käytä aloituskultasi"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"Pelaajat saavat pienen määrän kultaa jokaisen ottelun alussa. Muista kuluttaa saamasi kulta kaupassa ennen kentälle lähtöä.\n\nKauppa on käytettävissä joukkueesi lähteellä. Mene sinne."
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"Palaa lähteelle"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Siirry (hiiren oikealla painikkeella) takaisin lähteen lähellä olevalle kaupalle."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Avaa kauppa"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Avaa klikkaamalla kultaista Kauppa-painiketta ruudun alakulmassa hiiren vasemmalla painikkeella."
"[english]basics_objective_OpenShopBody"	"Left-click the golden Shop button in lower corner of your screen."
"basics_BuyFromShopTitle"	"Kauppa: Varustaudu voittoa varten"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"Dotan esineillä on lukuisia käyttötarkoituksia. Jotkut parantavat, kun taas toiset tekevät sankaristasi vahvemman, ja jotkut jopa tarjoavat ainutlaatuisia kykyjä.\n\nKauppa näyttää sankarillesi suositeltuja esineitä. Suosittelemme, että ostat esineitä tästä listasta Dotaa oppiessasi."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Osta Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Osta kaupasta Tango-esine klikkaamalla sitä hiiren oikealla."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Osta Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Osta kaupasta Healing Salve klikkaamalla sitä hiiren oikealla."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Osta Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Osta kaupasta Clarity klikkaamalla sitä hiiren oikealla."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Osta Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Osta kaupasta Circlet klikkaamalla sitä hiiren oikealla."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Osta Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Osta kaupasta Slippers of Agility klikkaamalla sitä hiiren oikealla."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"Aloitusesineet: Kentällä selviäminen"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_BoughtStartingBody"	"Osan aloitusesineistä voi käyttää terveyden tai manan palauttamiseen:\n\n- Tango: parantaa hitaasti syötyäsi puun.\n- Healing Salve: parantaa enemmän vähitellen.\n- Clarity: palauttaa hitaasti suuren määrän manaa.\n\nHUOMAA: Healing Salven ja Clarityn vaikutukset mitätöidään, jos otat vahinkoa viholliselta."
"[english]basics_BoughtStartingBody"	"Some of your Starting Items can be consumed to heal or restore mana:\n\n- Tango: Use this to swallow a tree to slowly heal\n- Healing Salve: Gradually heals a large amount of health\n- Clarity: Slowly restores a large amount of mana\n\nNOTE: Healing Salve and Clarity's effects are cancelled if you take damage from an enemy hero."
"basics_LaneIntroTitle"	"Linjat: Hyökkäys kolmesta suunnasta"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"Taistelukentän läpi kulkee kolme linjaa, jotka yhdistävät tukikohdat. Näitä linjoja kutsutaan ylä-, keski- ja alalinjaksi."
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"Siirry keskilinjalle"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Siirry (hiiren oikealla painikkeella) keskilinjalle."
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"Kätyrit: Sodan jalkaväki"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_CreepsIntroBody"	"Joukkueesi jalkäväkeä kutsutaan kätyreiksi. Niitä syntyy 30 sekunnin välein jokaisen linjan alkuun.\n\nKätyrit marssivat automaattisesti vihollisen tukikohtaa kohti ja hyökkäävät jokaisen kohtaamansa vihollishahmon tai -rakennuksen kimppuun."
"[english]basics_CreepsIntroBody"	"Your team's foot soldiers, called creeps, will spawn in each lane near the edge of your base every 30 seconds.\n\nCreeps automatically march toward the enemy base, attacking any enemy units or buildings they encounter."
"basics_LaningIntroTitle"	"Taistelu alkaa: Seuraa kätyreitäsi"
"[english]basics_LaningIntroTitle"	"The Battle Begins: Follow Your Creeps"
"basics_LaningIntroBody"	"Joukko kätyreitä syntyy pian. Seuraa niitä taisteluun.\n\nKoeta asettua niin, että kätyrit vastaanottavat vihollisten iskut. Kun kätyrijoukko kuolee, vetäydy ja valmistaudu uutta kätyrijoukkoa varten."
"[english]basics_LaningIntroBody"	"A wave of creeps is about to spawn. Follow them into combat.\n\nTry to position yourself so that the creeps receive any enemy attacks. When a wave of creeps dies, back up and regroup with the next creep wave."
"basics_objective_FollowCreepsTitle"	"Seuraa kätyreitäsi taisteluun"
"[english]basics_objective_FollowCreepsTitle"	"Follow your Creeps into battle"
"basics_objective_FollowCreepsBody"	"Siirry (hiiren oikealla painikkeella) keskilinjalle."
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
"basics_AttackingIntroTitle"	"Hyökkäys: Klikkaa vihollista hiiren oikealla"
"[english]basics_AttackingIntroTitle"	"Attacking: Simply Right-Click an Enemy"
"basics_AttackingIntroBody"	"Hyökkää vihollisten kimppuun hiiren oikealla painikkeella.\n\nKun hyökkäys alkaa, sankarisi jatkaa, kunnes vihollinen kuolee tai aloitat jonkin muun toiminnon."
"[english]basics_AttackingIntroBody"	"Attack enemy units by right-clicking on them.\n\nOnce you begin attacking an enemy, your hero will continue attacking until the enemy dies, or until you perform another action."
"basics_BountiesIntroTitle"	"Kätyritapot: Ansaitse kultaa nopeammin"
"[english]basics_BountiesIntroTitle"	"Last Hits: Earn Gold Quickly"
"basics_BountiesIntroBody"	"Kun vihollinen kuolee sinun iskustasi, ansaitset ylimääräisen kultapalkkion. Tätä kutsutaan kätyritapoksi.\n\nHyökkää vähäisellä terveydellä olevien vihollisten kimppuun saadaksesi kätyritappoja."
"[english]basics_BountiesIntroBody"	"Whenever you strike the killing blow on an enemy, you will earn an additional bounty of gold. This is called a Last Hit.\n\nAttack enemy units whose health is low to earn a Last Hit now."
"basics_objective_LastHitCreepsTitle"	"Ansaitse palkkio"
"[english]basics_objective_LastHitCreepsTitle"	"Earn a Bounty"
"basics_objective_LastHitCreepsBody"	"Tee kätyritappo (hiiren oikealla)."
"[english]basics_objective_LastHitCreepsBody"	"Strike the Last Hit on an enemy (right-click)."
"basics_ExpIntroTitle"	"Saa kokemusta olemalla lähellä muita"
"[english]basics_ExpIntroTitle"	"Earning Experience from Nearby Battles"
"basics_ExpIntroBody"	"Kokemuspisteet jaetaan kaikkien lähellä olevien liittolaisten kesken, kun vihollinen on kukistettu.\n\nKokemuspisteiden ja tasonousujen avulla voit saada sankarillesi lisää kykyjä."
"[english]basics_ExpIntroBody"	"Experience points are shared between all nearby allied heroes whenever an enemy is slain.\n\nEarning experience points and gaining levels allows you to augment your hero's abilities."
"basics_objective_GetALevelTitle"	"Nosta tasoa"
"[english]basics_objective_GetALevelTitle"	"Gain a Level"
"basics_objective_GetALevelBody"	"Nosta sankarisi tasoa vihollisia nitistämällä."
"[english]basics_objective_GetALevelBody"	"Level up your hero by helping kill enemy units."
"basics_AbilityIntroTitle"	"Kyvyt: Sankarin erikoisvoimat"
"[english]basics_AbilityIntroTitle"	"Abilities: Your Hero's Special Powers"
"basics_AbilityIntroBody"	"Kun sankari saavuttaa uuden tason, se saa tasopisteen, jonka voi käyttää kykyjen oppimiseen tai vahvistamiseen.\n\nHuomaa, että Ultimate-kykyä – sankarin äärimmäistä voimaa – ei voi oppia ennen tasoa 6.\n\nOpi Lucent Beam klikkaamalla sen yllä olevaa kultaista \"+\"-painiketta."
"[english]basics_AbilityIntroBody"	"Whenever a hero gains a level, they earn a point to spend toward learning, or strengthening, one of their abilities.\n\nNote that the Ultimate ability, which is a hero's signature power, cannot be learned until level 6.\n\nClick on the gold \"+\" button above Lucent Beam to learn that ability."
"basics_objective_LevelUpTitle"	"Uusi taso"
"[english]basics_objective_LevelUpTitle"	"Level Up"
"basics_objective_LevelUpBody"	"Napsauta \"+\"-painiketta Lucent Beam -kyvyn yläpuolella."
"[english]basics_objective_LevelUpBody"	"Left-click the \"+\" button above Lucent Beam."
"basics_objective_BuyAbilityTitle"	"Opi kyky"
"[english]basics_objective_BuyAbilityTitle"	"Learn an Ability"
"basics_objective_BuyAbilityBody"	"Napsauta \"+\"-painiketta Lucent Beam -kyvyn yläpuolella oppiaksesi sen."
"[english]basics_objective_BuyAbilityBody"	"Left-click the \"+\" button above Lucent Beam to learn it."
"basics_HealYourselfTitle"	"Esineiden käyttö: Valitse esine, ja sitten sen kohde"
"[english]basics_HealYourselfTitle"	"Using Items: Select the Item, then its Target"
"basics_HealYourselfBody"	"Käytä Healing Salvea itsesi parantamiseen. Aktivoi se ensin painamalla sen kuvion yläpuolella näkyvää näppäintä. Sitten napsauta sankariasi. Voit myös tuplaklikata kuviota käyttääksesi Healing Salven heti itseesi.\n\nHUOMIO: Jos vahingoitut, Healing Salven vaikutus lakkaa!"
"[english]basics_HealYourselfBody"	"Try using a Healing Salve to heal yourself. First, activate the item by pressing the key above its icon. Then, left-click on your hero. You can also double-click the Healing Salve to immediately use it on yourself.\n\nNOTE: Healing Salve's effects will be cancelled if you are damaged!"
"basics_CastIntroTitle"	"Kykyjen käyttö: Aktivoinnista ja passiivisista kyvyistä"
"[english]basics_CastIntroTitle"	"Using Abilities: Activation and Passive Abilities"
"basics_CastIntroBody"	"Aktivoi kyky painamalla sen kuvakkeen yläpuolella näkyvää painiketta ja klikkaa sen jälkeen kohdetta hiiren vasemmalla. Aktivointia vaativat kyvyt kuluttavat manaa.\n\nPassiiviset kyvyt, kuten Lunan Lunar Blessing, ovat automaattisia ja aina päällä, eivätkä täten kuluta manaa."
"[english]basics_CastIntroBody"	"To use an ability, first activate it by pressing the key shown above the ability's icon, then left-click on a target. Abilities which require activation cost mana to use.\n\nPassive abilities, such as Luna's Lunar Blessing, are automatic, always active, and do not require mana to function."
"basics_objective_CastSpellTitle"	"Käytä Lucent Beamiä"
"[english]basics_objective_CastSpellTitle"	"Use Lucent Beam"
"basics_objective_CastSpellBody"	"Paina {g:dota_key:keyname} aktivoidaksesi Lucent Beamin, ja klikkaa vihollista käyttääksesi kykyä."
"[english]basics_objective_CastSpellBody"	"Press {g:dota_key:keyname} to activate Lucent Beam, then left-click on an enemy to cast."
"basics_AttackTowerTitle"	"Tornit: Peräänny niiden hyökätessä"
"[english]basics_AttackTowerTitle"	"Towers: Retreat if Attacked"
"basics_AttackTowerBody"	"Tornit ovat kestäviä ja ampuvat vihollisia järeillä panoksilla. Yleensä ne tulittavat lähintä kohdetta ja jatkavat, kunnes kohde kuolee tai siirtyy pois tulitusetäisyydeltä. \n\nJos torni ottaa sankarisi kohteekseen, kannattaa perääntyä, ennen kuin sankarisi ottaa liikaa vahinkoa.\n\nTuhoa torni päästäksesi tästä harjoituksesta läpi."
"[english]basics_AttackTowerBody"	"Towers have a lot of health and launch powerful blasts at enemies. Generally, they target the closest opposing unit, then continue attacking until that unit dies or leaves its range.\n\nIf a Tower begins attacking your hero, you should retreat before you take too much damage.\n\nDestroy the tower to complete the tutorial."
"basics_objective_KillTowerTitle"	"Tuhoa vihollistorni"
"[english]basics_objective_KillTowerTitle"	"Destroy the Enemy Tower"
"basics_objective_KillTowerBody"	"Tuhoa torni läpäistäksesi harjoituksen."
"[english]basics_objective_KillTowerBody"	"Destroy the Tower to complete the tutorial."
"basics_RazorIntroTitle"	"Vihollissankareiden kohtaaminen"
"[english]basics_RazorIntroTitle"	"Battling Enemy Heroes"
"basics_RazorIntroBody"	"Uusi sankari on saapunut taisteluun!\n\nRazor liittyi vihollisjoukkue Diren riveihin puolustamaan tornia salamoiden voimat apunaan.\n\nPainosta Razor perääntymään vahingoittamalla tätä."
"[english]basics_RazorIntroBody"	"A new hero has entered the battle!\n\nRazor has joined the enemy Dire team, and will try to defend his team's tower with his lightning abilities.\n\nDamaging Razor can force him to retreat."
"basics_WinningIntroTitle"	"Voitto!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"Hienoa! Olet tuhonnut tornin ja läpäissyt mekaniikkaharjoituksen.\n\nVoit nyt siirtyä muihin uuden pelaajan tavoitteisiin. Onnea, ja pidä hauskaa!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Basic Mechanics tutorial.\n\nYou are now ready to continue on to the other New Player Objectives. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"Voitit!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestSuccessBody"	"Sait tehtävän suoritettua."
"[english]basics_QuestSuccessBody"	"You successfully completed the quest."
"basics_QuestFailureTitle"	"Hävisit!"
"[english]basics_QuestFailureTitle"	"You Lose!"
"basics_QuestFailureBody"	"Epäonnistuit tehtävässä."
"[english]basics_QuestFailureBody"	"You failed to complete the quest."
}
