"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_label_bane_thank"	"You're so nice."
"dota_chatwheel_message_bane_deny"	"祝你下次好运。"
"[english]dota_chatwheel_message_bane_deny"	"Better luck next time."
"dota_chatwheel_label_bane_deny"	"祝你下次好运。"
"[english]dota_chatwheel_label_bane_deny"	"Better luck next time."
"dota_chatwheel_message_bane_1"	"我是你命中的祸根。"
"[english]dota_chatwheel_message_bane_1"	"Bane of your existence."
"dota_chatwheel_label_bane_1"	"我是你命中的祸根。"
"[english]dota_chatwheel_label_bane_1"	"Bane of your existence."
"dota_chatwheel_message_bane_2"	"我一直在梦想着这一时刻。"
"[english]dota_chatwheel_message_bane_2"	"I've been dreaming of this moment."
"dota_chatwheel_label_bane_2"	"我一直在梦想着这一时刻。"
"[english]dota_chatwheel_label_bane_2"	"I've been dreaming of this moment."
"dota_chatwheel_message_bane_3"	"公平交易。"
"[english]dota_chatwheel_message_bane_3"	"Fair exchange."
"dota_chatwheel_label_bane_3"	"公平交易。"
"[english]dota_chatwheel_label_bane_3"	"Fair exchange."
"dota_chatwheel_message_bane_4"	"现在你将永远做噩梦了。"
"[english]dota_chatwheel_message_bane_4"	"Now your nightmare lasts forever."
"dota_chatwheel_label_bane_4"	"现在你将永远做噩梦了。"
"[english]dota_chatwheel_label_bane_4"	"Now your nightmare lasts forever."
"dota_chatwheel_message_bane_5"	"啊哈哈呀呀呀！"
"[english]dota_chatwheel_message_bane_5"	"Ah ya ya ya ya ya yai eeyas!"
"dota_chatwheel_label_bane_5"	"啊哈哈呀呀呀！"
"[english]dota_chatwheel_label_bane_5"	"Ah ya ya ya ya ya yai eeyas!"
"dota_chatwheel_message_bloodseeker_laugh"	"呵呵呵呵哈哈！"
"[english]dota_chatwheel_message_bloodseeker_laugh"	"Hmm-heh-heh-heh-heh-ha!"
"dota_chatwheel_label_bloodseeker_laugh"	"[大笑]"
"[english]dota_chatwheel_label_bloodseeker_laugh"	"[Laugh]"
"dota_chatwheel_message_bloodseeker_thank"	"好多鲜血。"
"[english]dota_chatwheel_message_bloodseeker_thank"	"So much blood."
"dota_chatwheel_label_bloodseeker_thank"	"好多鲜血。"
"[english]dota_chatwheel_label_bloodseeker_thank"	"So much blood."
"dota_chatwheel_message_bloodseeker_deny"	"一滴血都不给你留。"
"[english]dota_chatwheel_message_bloodseeker_deny"	"No blood for you."
"dota_chatwheel_label_bloodseeker_deny"	"一滴血都不给你留。"
"[english]dota_chatwheel_label_bloodseeker_deny"	"No blood for you."
"dota_chatwheel_message_bloodseeker_1"	"我看到了血红色……这太不可思议了！"
"[english]dota_chatwheel_message_bloodseeker_1"	"I'm seeing red...and it's amazing!"
"dota_chatwheel_label_bloodseeker_1"	"我看到了血红色……这太不可思议了！"
"[english]dota_chatwheel_label_bloodseeker_1"	"I'm seeing red...and it's amazing!"
"dota_chatwheel_message_bloodseeker_2"	"不要消极……要积极出击。"
"[english]dota_chatwheel_message_bloodseeker_2"	"Don't be negative...be positive."
"dota_chatwheel_label_bloodseeker_2"	"不要消极……"
"[english]dota_chatwheel_label_bloodseeker_2"	"Don't be negative..."
"dota_chatwheel_message_bloodseeker_3"	"继续跑啊。"
"[english]dota_chatwheel_message_bloodseeker_3"	"Go ahead...run."
"dota_chatwheel_label_bloodseeker_3"	"继续跑啊。"
"[english]dota_chatwheel_label_bloodseeker_3"	"Go ahead...run."
"dota_chatwheel_message_bloodseeker_4"	"躺下来……吃个点心吧。"
"[english]dota_chatwheel_message_bloodseeker_4"	"Lie down...have a cookie."
"dota_chatwheel_label_bloodseeker_4"	"躺下来……吃个点心吧。"
"[english]dota_chatwheel_label_bloodseeker_4"	"Lie down...have a cookie."
"dota_chatwheel_message_bloodseeker_5"	"战场上，血的味道越来越浓。"
"[english]dota_chatwheel_message_bloodseeker_5"	"Over the field of battle, the smell of blood rises like a promise."
"dota_chatwheel_label_bloodseeker_5"	"战场上……"
"[english]dota_chatwheel_label_bloodseeker_5"	"Over the field of battle..."
"dota_chatwheel_message_crystal_maiden_laugh"	"啊哈哈哈哈哈。"
"[english]dota_chatwheel_message_crystal_maiden_laugh"	"Ah ha ha ha ha ha."
"dota_chatwheel_label_crystal_maiden_laugh"	"[大笑]"
"[english]dota_chatwheel_label_crystal_maiden_laugh"	"[Laugh]"
"dota_chatwheel_message_crystal_maiden_thank"	"你非常酷！"
"[english]dota_chatwheel_message_crystal_maiden_thank"	"Very cool of you!"
"dota_chatwheel_label_crystal_maiden_thank"	"你非常酷！"
"[english]dota_chatwheel_label_crystal_maiden_thank"	"Very cool of you!"
"dota_chatwheel_message_crystal_maiden_deny"	"你也别想赢！"
"[english]dota_chatwheel_message_crystal_maiden_deny"	"Now nobody wins!"
"dota_chatwheel_label_crystal_maiden_deny"	"你也别想赢！"
"[english]dota_chatwheel_label_crystal_maiden_deny"	"Now nobody wins!"
"dota_chatwheel_message_crystal_maiden_1"	"把你堆成漂亮的白雪天使。"
"[english]dota_chatwheel_message_crystal_maiden_1"	"You'll make a nice snow angel."
"dota_chatwheel_label_crystal_maiden_1"	"把你堆成漂亮的白雪天使。"
"[english]dota_chatwheel_label_crystal_maiden_1"	"You'll make a nice snow angel."
"dota_chatwheel_message_crystal_maiden_2"	"我已经起鸡皮疙瘩了！"
"[english]dota_chatwheel_message_crystal_maiden_2"	"I've got goosebumps!"
"dota_chatwheel_label_crystal_maiden_2"	"我已经起鸡皮疙瘩了！"
"[english]dota_chatwheel_label_crystal_maiden_2"	"I've got goosebumps!"
"dota_chatwheel_message_crystal_maiden_3"	"没想到我会死。"
"[english]dota_chatwheel_message_crystal_maiden_3"	"I didn't see that coming."
"dota_chatwheel_label_crystal_maiden_3"	"没想到我会死。"
"[english]dota_chatwheel_label_crystal_maiden_3"	"I didn't see that coming."
"dota_chatwheel_message_crystal_maiden_4"	"情况在好转。"
"[english]dota_chatwheel_message_crystal_maiden_4"	"It just keeps getting better."
"dota_chatwheel_label_crystal_maiden_4"	"情况在好转。"
"[english]dota_chatwheel_label_crystal_maiden_4"	"It just keeps getting better."
"dota_chatwheel_message_crystal_maiden_5"	"是这里的温度低还是我自己冷？"
"[english]dota_chatwheel_message_crystal_maiden_5"	"Is it cold in here or is it just me?"
"dota_chatwheel_label_crystal_maiden_5"	"是这里的温度低还是……"
"[english]dota_chatwheel_label_crystal_maiden_5"	"Is it cold in here or..."
"dota_chatwheel_message_drow_ranger_laugh"	"啊哈哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_drow_ranger_laugh"	"Ah ha ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_drow_ranger_laugh"	"[大笑]"
"[english]dota_chatwheel_label_drow_ranger_laugh"	"[Laugh]"
"dota_chatwheel_message_drow_ranger_thank"	"又一次胜利！"
"[english]dota_chatwheel_message_drow_ranger_thank"	"Another triumph!"
"dota_chatwheel_label_drow_ranger_thank"	"又一次胜利！"
"[english]dota_chatwheel_label_drow_ranger_thank"	"Another triumph!"
"dota_chatwheel_message_drow_ranger_deny"	"你必须做得更好！"
"[english]dota_chatwheel_message_drow_ranger_deny"	"You'll have to do better than that!"
"dota_chatwheel_label_drow_ranger_deny"	"你必须做得更好！"
"[english]dota_chatwheel_label_drow_ranger_deny"	"You'll have to do better than that!"
"dota_chatwheel_message_drow_ranger_1"	"你活着实在太吵了。"
"[english]dota_chatwheel_message_drow_ranger_1"	"You were too noisy to live."
"dota_chatwheel_label_drow_ranger_1"	"你活着实在太吵了。"
"[english]dota_chatwheel_label_drow_ranger_1"	"You were too noisy to live."
"dota_chatwheel_message_drow_ranger_2"	"真业余。"
"[english]dota_chatwheel_message_drow_ranger_2"	"Amateur."
"dota_chatwheel_label_drow_ranger_2"	"真业余。"
"[english]dota_chatwheel_label_drow_ranger_2"	"Amateur."
"dota_chatwheel_message_drow_ranger_3"	"孤独地死去吧。"
"[english]dota_chatwheel_message_drow_ranger_3"	"You die alone."
"dota_chatwheel_label_drow_ranger_3"	"孤独地死去吧。"
"[english]dota_chatwheel_label_drow_ranger_3"	"You die alone."
"dota_chatwheel_message_drow_ranger_4"	"胜利是唯一的结束方式。"
"[english]dota_chatwheel_message_drow_ranger_4"	"This couldn't have ended any other way."
"dota_chatwheel_label_drow_ranger_4"	"胜利是唯一的……"
"[english]dota_chatwheel_label_drow_ranger_4"	"This couldn't have ended..."
"dota_chatwheel_message_drow_ranger_5"	"现在你死了，我愿意尊重你。"
"[english]dota_chatwheel_message_drow_ranger_5"	"Now that you're dead, I find it easy to respect you."
"dota_chatwheel_label_drow_ranger_5"	"现在你死了……"
"[english]dota_chatwheel_label_drow_ranger_5"	"Now that you're dead..."
"dota_chatwheel_message_earthshaker_laugh"	"哈哈哈哈哈哈哈哈哈。"
"[english]dota_chatwheel_message_earthshaker_laugh"	"Ha ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_earthshaker_laugh"	"[大笑]"
"[english]dota_chatwheel_label_earthshaker_laugh"	"[Laugh]"
"dota_chatwheel_message_earthshaker_thank"	"一起来撼动万物！"
"[english]dota_chatwheel_message_earthshaker_thank"	"Let's shake things up!"
"dota_chatwheel_label_earthshaker_thank"	"一起来撼动万物！"
"[english]dota_chatwheel_label_earthshaker_thank"	"Let's shake things up!"
"dota_chatwheel_message_earthshaker_deny"	"真糟糕……"
"[english]dota_chatwheel_message_earthshaker_deny"	"Shocking..."
"dota_chatwheel_label_earthshaker_deny"	"真糟糕……"
"[english]dota_chatwheel_label_earthshaker_deny"	"Shocking..."
"dota_chatwheel_message_earthshaker_1"	"都是你自己活该。"
"[english]dota_chatwheel_message_earthshaker_1"	"It was your own damn fault."
"dota_chatwheel_label_earthshaker_1"	"都是你自己活该。"
"[english]dota_chatwheel_label_earthshaker_1"	"It was your own damn fault."
"dota_chatwheel_message_earthshaker_2"	"哦……余震……"
"[english]dota_chatwheel_message_earthshaker_2"	"Whoa... Aftershocks..."
"dota_chatwheel_label_earthshaker_2"	"哦……余震……"
"[english]dota_chatwheel_label_earthshaker_2"	"Whoa... Aftershocks..."
"dota_chatwheel_message_earthshaker_3"	"砰！"
"[english]dota_chatwheel_message_earthshaker_3"	"Slammin'...?"
"dota_chatwheel_label_earthshaker_3"	"砰！"
"[english]dota_chatwheel_label_earthshaker_3"	"Slammin'...?"
"dota_chatwheel_message_earthshaker_4"	"真是太拥挤了。"
"[english]dota_chatwheel_message_earthshaker_4"	"It was getting far too crowded."
"dota_chatwheel_label_earthshaker_4"	"真是太拥挤了。"
"[english]dota_chatwheel_label_earthshaker_4"	"It was getting far too crowded."
"dota_chatwheel_message_earthshaker_5"	"这里有很多尘土，但这里只有一个撼地者。"
"[english]dota_chatwheel_message_earthshaker_5"	"There may be many earths, but there's only one Earthshaker."
"dota_chatwheel_label_earthshaker_5"	"这里有很多尘土……"
"[english]dota_chatwheel_label_earthshaker_5"	"There may be many earths..."
"dota_chatwheel_message_juggernaut_laugh"	"哈哈哈哈哈！"
"[english]dota_chatwheel_message_juggernaut_laugh"	"Ha ha ha ha ha!"
"dota_chatwheel_label_juggernaut_laugh"	"[大笑]"
"[english]dota_chatwheel_label_juggernaut_laugh"	"[Laugh]"
"dota_chatwheel_message_juggernaut_thank"	"哦，相当不错。"
"[english]dota_chatwheel_message_juggernaut_thank"	"Oh that's nice."
"dota_chatwheel_label_juggernaut_thank"	"哦，相当不错。"
"[english]dota_chatwheel_label_juggernaut_thank"	"Oh that's nice."
"dota_chatwheel_message_juggernaut_deny"	"嗯，样子不赖。"
"[english]dota_chatwheel_message_juggernaut_deny"	"Hm, looking good."
"dota_chatwheel_label_juggernaut_deny"	"嗯，样子不赖。"
"[english]dota_chatwheel_label_juggernaut_deny"	"Hm, looking good."
"dota_chatwheel_message_juggernaut_1"	"你将孤独一生。"
"[english]dota_chatwheel_message_juggernaut_1"	"You will be forever alone."
"dota_chatwheel_label_juggernaut_1"	"你将孤独一生。"
"[english]dota_chatwheel_label_juggernaut_1"	"You will be forever alone."
"dota_chatwheel_message_juggernaut_2"	"全都到身上了。"
"[english]dota_chatwheel_message_juggernaut_2"	"It's all falling into place."
"dota_chatwheel_label_juggernaut_2"	"全都到身上了。"
"[english]dota_chatwheel_label_juggernaut_2"	"It's all falling into place."
"dota_chatwheel_message_juggernaut_3"	"稍后再来算账。"
"[english]dota_chatwheel_message_juggernaut_3"	"I'll be back to finish this later."
"dota_chatwheel_label_juggernaut_3"	"稍后再来算账。"
"[english]dota_chatwheel_label_juggernaut_3"	"I'll be back to finish this later."
"dota_chatwheel_message_juggernaut_4"	"勇敢和鲁莽只有一剑之差。"
"[english]dota_chatwheel_message_juggernaut_4"	"There's a fine line between bravery and stupidity."
"dota_chatwheel_label_juggernaut_4"	"勇敢和鲁莽……"
"[english]dota_chatwheel_label_juggernaut_4"	"There's a fine line..."
"dota_chatwheel_message_juggernaut_5"	"嗯，很时髦。"
"[english]dota_chatwheel_message_juggernaut_5"	"Mm, snazzy."
"dota_chatwheel_label_juggernaut_5"	"嗯，很时髦。"
"[english]dota_chatwheel_label_juggernaut_5"	"Mm, snazzy."
"dota_chatwheel_message_mirana_laugh"	"哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_mirana_laugh"	"Ha ha ha ha ha ha!"
"dota_chatwheel_label_mirana_laugh"	"[大笑]"
"[english]dota_chatwheel_label_mirana_laugh"	"[Laugh]"
"dota_chatwheel_message_mirana_thank"	"暗夜的礼物！"
"[english]dota_chatwheel_message_mirana_thank"	"A gift from the night!"
"dota_chatwheel_label_mirana_thank"	"暗夜的礼物！"
"[english]dota_chatwheel_label_mirana_thank"	"A gift from the night!"
"dota_chatwheel_message_mirana_deny"	"有本事来抓我们呀！"
"[english]dota_chatwheel_message_mirana_deny"	"Catch us if you can!"
"dota_chatwheel_label_mirana_deny"	"有本事来抓我们呀！"
"[english]dota_chatwheel_label_mirana_deny"	"Catch us if you can!"
"dota_chatwheel_message_mirana_1"	"不学无术。"
"[english]dota_chatwheel_message_mirana_1"	"You have learned nothing."
"dota_chatwheel_label_mirana_1"	"不学无术。"
"[english]dota_chatwheel_label_mirana_1"	"You have learned nothing."
"dota_chatwheel_message_mirana_2"	"干得漂亮！"
"[english]dota_chatwheel_message_mirana_2"	"Nicely done!"
"dota_chatwheel_label_mirana_2"	"干得漂亮！"
"[english]dota_chatwheel_label_mirana_2"	"Nicely done!"
"dota_chatwheel_message_mirana_3"	"你这小贼，快滚！"
"[english]dota_chatwheel_message_mirana_3"	"Run like the dogs you are!"
"dota_chatwheel_label_mirana_3"	"你这小贼，快滚！"
"[english]dota_chatwheel_label_mirana_3"	"Run like the dogs you are!"
"dota_chatwheel_message_mirana_4"	"过来，大喵，过来大喵……."
"[english]dota_chatwheel_message_mirana_4"	"Here, kitty-kitty-kitty...."
"dota_chatwheel_label_mirana_4"	"过来，大喵，过来大喵……."
"[english]dota_chatwheel_label_mirana_4"	"Here, kitty-kitty-kitty...."
"dota_chatwheel_message_mirana_5"	"这不是运气，全靠技术！"
"[english]dota_chatwheel_message_mirana_5"	"It was not luck but skill!"
"dota_chatwheel_label_mirana_5"	"这不是运气，全靠技术！"
"[english]dota_chatwheel_label_mirana_5"	"It was not luck but skill!"
"dota_chatwheel_message_morphling_laugh"	"哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_morphling_laugh"	"Ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_morphling_laugh"	"[大笑]"
"[english]dota_chatwheel_label_morphling_laugh"	"[Laugh]"
"dota_chatwheel_message_morphling_thank"	"嗯，我很满意。"
"[english]dota_chatwheel_message_morphling_thank"	"I like what I see."
"dota_chatwheel_label_morphling_thank"	"嗯，我很满意。"
"[english]dota_chatwheel_label_morphling_thank"	"I like what I see."
"dota_chatwheel_message_morphling_deny"	"你跟我比起来差太远了。"
"[english]dota_chatwheel_message_morphling_deny"	"You're in over your head."
"dota_chatwheel_label_morphling_deny"	"你跟我比起来差太远了。"
"[english]dota_chatwheel_label_morphling_deny"	"You're in over your head."
"dota_chatwheel_message_morphling_1"	"沸腾之怒！"
"[english]dota_chatwheel_message_morphling_1"	"Boiling rage!"
"dota_chatwheel_label_morphling_1"	"沸腾之怒！"
"[english]dota_chatwheel_label_morphling_1"	"Boiling rage!"
"dota_chatwheel_message_morphling_2"	"自我净化中。"
"[english]dota_chatwheel_message_morphling_2"	"Always refreshing."
"dota_chatwheel_label_morphling_2"	"自我净化中。"
"[english]dota_chatwheel_label_morphling_2"	"Always refreshing."
"dota_chatwheel_message_morphling_3"	"潮汐在涌动！"
"[english]dota_chatwheel_message_morphling_3"	"The tide has turned!"
"dota_chatwheel_label_morphling_3"	"潮汐在涌动！"
"[english]dota_chatwheel_label_morphling_3"	"The tide has turned!"
"dota_chatwheel_message_morphling_4"	"你没看见巨浪在向你挥手吗？"
"[english]dota_chatwheel_message_morphling_4"	"Didn't you see me waving?"
"dota_chatwheel_label_morphling_4"	"你没看见巨浪在向你挥手吗？"
"[english]dota_chatwheel_label_morphling_4"	"Didn't you see me waving?"
"dota_chatwheel_message_morphling_5"	"你失败了！"
"[english]dota_chatwheel_message_morphling_5"	"You're washed up!"
"dota_chatwheel_label_morphling_5"	"你失败了！"
"[english]dota_chatwheel_label_morphling_5"	"You're washed up!"
"dota_chatwheel_message_nevermore_laugh"	"啊哈哈哈哈哈！"
"[english]dota_chatwheel_message_nevermore_laugh"	"Ah ha ha ha ha ha!"
"dota_chatwheel_label_nevermore_laugh"	"[大笑]"
"[english]dota_chatwheel_label_nevermore_laugh"	"[Laugh]"
"dota_chatwheel_message_nevermore_thank"	"愿神保佑你的灵魂。"
"[english]dota_chatwheel_message_nevermore_thank"	"Well bless your soul."
"dota_chatwheel_label_nevermore_thank"	"愿神保佑你的灵魂。"
"[english]dota_chatwheel_label_nevermore_thank"	"Well bless your soul."
"dota_chatwheel_message_nevermore_deny"	"你技术真差，哈哈哈哈哈。"
"[english]dota_chatwheel_message_nevermore_deny"	"Outplayed."
"dota_chatwheel_label_nevermore_deny"	"你技术真差。"
"[english]dota_chatwheel_label_nevermore_deny"	"Outplayed."
"dota_chatwheel_message_nevermore_1"	"我的藏品里又多了一个美丽的灵魂。"
"[english]dota_chatwheel_message_nevermore_1"	"A beautiful soul for my collection."
"dota_chatwheel_label_nevermore_1"	"我的藏品里又多了一个美丽的灵魂。"
"[english]dota_chatwheel_label_nevermore_1"	"A beautiful soul for my collection."
"dota_chatwheel_message_nevermore_2"	"我的存在让你恐惧了吧。"
"[english]dota_chatwheel_message_nevermore_2"	"Fear my presence."
"dota_chatwheel_label_nevermore_2"	"我的存在让你恐惧了吧。"
"[english]dota_chatwheel_label_nevermore_2"	"Fear my presence."
"dota_chatwheel_message_nevermore_3"	"黄金归我。"
"[english]dota_chatwheel_message_nevermore_3"	"I'll take it."
"dota_chatwheel_label_nevermore_3"	"黄金归我。"
"[english]dota_chatwheel_label_nevermore_3"	"I'll take it."
"dota_chatwheel_message_nevermore_4"	"你无处可藏！"
"[english]dota_chatwheel_message_nevermore_4"	"You can never hide!"
"dota_chatwheel_label_nevermore_4"	"你无处可藏！"
"[english]dota_chatwheel_label_nevermore_4"	"You can never hide!"
"dota_chatwheel_message_nevermore_5"	"灵魂由我吞噬。"
"[english]dota_chatwheel_message_nevermore_5"	"Ozh icha gluth izh sol."
"dota_chatwheel_label_nevermore_5"	"灵魂由我吞噬。"
"[english]dota_chatwheel_label_nevermore_5"	"Ozh icha gluth izh sol."
"dota_chatwheel_message_phantom_lancer_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_phantom_lancer_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_phantom_lancer_laugh"	"[大笑]"
"[english]dota_chatwheel_label_phantom_lancer_laugh"	"[Laugh]"
"dota_chatwheel_message_phantom_lancer_thank"	"多么神奇的东西。"
"[english]dota_chatwheel_message_phantom_lancer_thank"	"What an amazing thing."
"dota_chatwheel_label_phantom_lancer_thank"	"多么神奇的东西。"
"[english]dota_chatwheel_label_phantom_lancer_thank"	"What an amazing thing."
"dota_chatwheel_message_phantom_lancer_deny"	"头脑太简单。"
"[english]dota_chatwheel_message_phantom_lancer_deny"	"Such simple minds."
"dota_chatwheel_label_phantom_lancer_deny"	"头脑太简单。"
"[english]dota_chatwheel_label_phantom_lancer_deny"	"Such simple minds."
"dota_chatwheel_message_phantom_lancer_1"	"咱们来消灭你！"
"[english]dota_chatwheel_message_phantom_lancer_1"	"We come for you!"
"dota_chatwheel_label_phantom_lancer_1"	"咱们来消灭你！"
"[english]dota_chatwheel_label_phantom_lancer_1"	"We come for you!"
"dota_chatwheel_message_phantom_lancer_2"	"这没什么意义。"
"[english]dota_chatwheel_message_phantom_lancer_2"	"Now this is just silly."
"dota_chatwheel_label_phantom_lancer_2"	"这没什么意义。"
"[english]dota_chatwheel_label_phantom_lancer_2"	"Now this is just silly."
"dota_chatwheel_message_phantom_lancer_3"	"这里还有无数个我。"
"[english]dota_chatwheel_message_phantom_lancer_3"	"We have more where that came from."
"dota_chatwheel_label_phantom_lancer_3"	"这里还有无数个我。"
"[english]dota_chatwheel_label_phantom_lancer_3"	"We have more where that came from."
"dota_chatwheel_message_phantom_lancer_4"	"人海战术永远是最强的！"
"[english]dota_chatwheel_message_phantom_lancer_4"	"Numbers have accomplished what strategy alone could not."
"dota_chatwheel_label_phantom_lancer_4"	"人海战术……"
"[english]dota_chatwheel_label_phantom_lancer_4"	"Numbers have accomplished..."
"dota_chatwheel_message_phantom_lancer_5"	"咱们的人比你多。咱们的人比你们全队都多！"
"[english]dota_chatwheel_message_phantom_lancer_5"	"We outnumbered you. We outnumber them all!"
"dota_chatwheel_label_phantom_lancer_5"	"咱们的人比你多……"
"[english]dota_chatwheel_label_phantom_lancer_5"	"We outnumbered you..."
"dota_chatwheel_message_puck_laugh"	"哈哈！"
"[english]dota_chatwheel_message_puck_laugh"	"Ha ha!"
"dota_chatwheel_label_puck_laugh"	"[大笑]"
"[english]dota_chatwheel_label_puck_laugh"	"[Laugh]"
"dota_chatwheel_message_puck_thank"	"好有趣呀。"
"[english]dota_chatwheel_message_puck_thank"	"Interesting."
"dota_chatwheel_label_puck_thank"	"好有趣呀。"
"[english]dota_chatwheel_label_puck_thank"	"Interesting."
"dota_chatwheel_message_puck_deny"	"你想要悔棋吗？"
"[english]dota_chatwheel_message_puck_deny"	"You might wish to retract your last move."
"dota_chatwheel_label_puck_deny"	"你想要悔棋吗？"
"[english]dota_chatwheel_label_puck_deny"	"You might wish to retract..."
"dota_chatwheel_message_puck_1"	"你好！"
"[english]dota_chatwheel_message_puck_1"	"Greetings!"
"dota_chatwheel_label_puck_1"	"你好！"
"[english]dota_chatwheel_label_puck_1"	"Greetings!"
