"lang"
{
"Language"	"turkish"
"[english]#npc_dota_hero_bane"	"Bane"
"#npc_dota_hero_crystal_maiden"	"Crystal Maiden"
"[english]#npc_dota_hero_crystal_maiden"	"Crystal Maiden"
"#npc_dota_hero_sven"	"Sven"
"[english]#npc_dota_hero_sven"	"Sven"
"#npc_dota_hero_skeleton_king"	"Wraith King"
"[english]#npc_dota_hero_skeleton_king"	"Wraith King"
"#npc_dota_hero_storm_spirit"	"Storm Spirit"
"[english]#npc_dota_hero_storm_spirit"	"Storm Spirit"
"#npc_dota_hero_sand_king"	"Sand King"
"[english]#npc_dota_hero_sand_king"	"Sand King"
"#npc_dota_hero_nevermore"	"Shadow Fiend"
"[english]#npc_dota_hero_nevermore"	"Shadow Fiend"
"#npc_dota_hero_drow_ranger"	"Drow Ranger"
"[english]#npc_dota_hero_drow_ranger"	"Drow Ranger"
"#npc_dota_hero_axe"	"Axe"
"[english]#npc_dota_hero_axe"	"Axe"
"#npc_dota_hero_bloodseeker"	"Bloodseeker"
"[english]#npc_dota_hero_bloodseeker"	"Bloodseeker"
"#npc_dota_hero_phantom_lancer"	"Phantom Lancer"
"[english]#npc_dota_hero_phantom_lancer"	"Phantom Lancer"
"#npc_dota_hero_razor"	"Razor"
"[english]#npc_dota_hero_razor"	"Razor"
"#npc_dota_hero_morphling"	"Morphling"
"[english]#npc_dota_hero_morphling"	"Morphling"
"#npc_dota_hero_zuus"	"Zeus"
"[english]#npc_dota_hero_zuus"	"Zeus"
"#npc_dota_hero_tiny"	"Tiny"
"[english]#npc_dota_hero_tiny"	"Tiny"
"#npc_dota_hero_puck"	"Puck"
"[english]#npc_dota_hero_puck"	"Puck"
"#npc_dota_hero_windrunner"	"Windranger"
"[english]#npc_dota_hero_windrunner"	"Windranger"
"#npc_dota_hero_lich"	"Lich"
"[english]#npc_dota_hero_lich"	"Lich"
"#npc_dota_hero_shadow_shaman"	"Shadow Shaman"
"[english]#npc_dota_hero_shadow_shaman"	"Shadow Shaman"
"#npc_dota_hero_riki"	"Riki"
"[english]#npc_dota_hero_riki"	"Riki"
"#npc_dota_hero_enigma"	"Enigma"
"[english]#npc_dota_hero_enigma"	"Enigma"
"#npc_dota_hero_tinker"	"Tinker"
"[english]#npc_dota_hero_tinker"	"Tinker"
"#npc_dota_hero_sniper"	"Sniper"
"[english]#npc_dota_hero_sniper"	"Sniper"
"#npc_dota_hero_necrolyte"	"Necrophos"
"[english]#npc_dota_hero_necrolyte"	"Necrophos"
"#npc_dota_hero_warlock"	"Warlock"
"[english]#npc_dota_hero_warlock"	"Warlock"
"#npc_dota_hero_beastmaster"	"Beastmaster"
"[english]#npc_dota_hero_beastmaster"	"Beastmaster"
"#npc_dota_hero_venomancer"	"Venomancer"
"[english]#npc_dota_hero_venomancer"	"Venomancer"
"#npc_dota_hero_faceless_void"	"Faceless Void"
"[english]#npc_dota_hero_faceless_void"	"Faceless Void"
"#npc_dota_hero_death_prophet"	"Death Prophet"
"[english]#npc_dota_hero_death_prophet"	"Death Prophet"
"#npc_dota_hero_pugna"	"Pugna"
"[english]#npc_dota_hero_pugna"	"Pugna"
"#npc_dota_hero_templar_assassin"	"Templar Assassin"
"[english]#npc_dota_hero_templar_assassin"	"Templar Assassin"
"#npc_dota_hero_viper"	"Viper"
"[english]#npc_dota_hero_viper"	"Viper"
"#npc_dota_hero_luna"	"Luna"
"[english]#npc_dota_hero_luna"	"Luna"
"#npc_dota_hero_dragon_knight"	"Dragon Knight"
"[english]#npc_dota_hero_dragon_knight"	"Dragon Knight"
"#npc_dota_hero_dazzle"	"Dazzle"
"[english]#npc_dota_hero_dazzle"	"Dazzle"
"#npc_dota_hero_rattletrap"	"Clockwerk"
"[english]#npc_dota_hero_rattletrap"	"Clockwerk"
"#npc_dota_hero_leshrac"	"Leshrac"
"[english]#npc_dota_hero_leshrac"	"Leshrac"
"#npc_dota_hero_furion"	"Nature's Prophet"
"[english]#npc_dota_hero_furion"	"Nature's Prophet"
"#npc_dota_hero_life_stealer"	"Lifestealer"
"[english]#npc_dota_hero_life_stealer"	"Lifestealer"
"#npc_dota_hero_dark_seer"	"Dark Seer"
"[english]#npc_dota_hero_dark_seer"	"Dark Seer"
"#npc_dota_hero_clinkz"	"Clinkz"
"[english]#npc_dota_hero_clinkz"	"Clinkz"
"#npc_dota_hero_omniknight"	"Omniknight"
"[english]#npc_dota_hero_omniknight"	"Omniknight"
"#npc_dota_hero_enchantress"	"Enchantress"
"[english]#npc_dota_hero_enchantress"	"Enchantress"
"#npc_dota_hero_huskar"	"Huskar"
"[english]#npc_dota_hero_huskar"	"Huskar"
"#npc_dota_hero_night_stalker"	"Night Stalker"
"[english]#npc_dota_hero_night_stalker"	"Night Stalker"
"#npc_dota_hero_broodmother"	"Broodmother"
"[english]#npc_dota_hero_broodmother"	"Broodmother"
"#npc_dota_hero_bounty_hunter"	"Bounty Hunter"
"[english]#npc_dota_hero_bounty_hunter"	"Bounty Hunter"
"#npc_dota_hero_weaver"	"Weaver"
"[english]#npc_dota_hero_weaver"	"Weaver"
"#npc_dota_hero_jakiro"	"Jakiro"
"[english]#npc_dota_hero_jakiro"	"Jakiro"
"#npc_dota_hero_batrider"	"Batrider"
"[english]#npc_dota_hero_batrider"	"Batrider"
"#npc_dota_hero_chen"	"Chen"
"[english]#npc_dota_hero_chen"	"Chen"
"#npc_dota_hero_spectre"	"Spectre"
"[english]#npc_dota_hero_spectre"	"Spectre"
"#npc_dota_hero_doom_bringer"	"Doom"
"[english]#npc_dota_hero_doom_bringer"	"Doom"
"#npc_dota_hero_ancient_apparition"	"Ancient Apparition"
"[english]#npc_dota_hero_ancient_apparition"	"Ancient Apparition"
"#npc_dota_hero_ursa"	"Ursa"
"[english]#npc_dota_hero_ursa"	"Ursa"
"#npc_dota_hero_spirit_breaker"	"Spirit Breaker"
"[english]#npc_dota_hero_spirit_breaker"	"Spirit Breaker"
"#npc_dota_hero_gyrocopter"	"Gyrocopter"
"[english]#npc_dota_hero_gyrocopter"	"Gyrocopter"
"#npc_dota_hero_alchemist"	"Alchemist"
"[english]#npc_dota_hero_alchemist"	"Alchemist"
"#npc_dota_hero_invoker"	"Invoker"
"[english]#npc_dota_hero_invoker"	"Invoker"
"#npc_dota_hero_silencer"	"Silencer"
"[english]#npc_dota_hero_silencer"	"Silencer"
"#npc_dota_hero_obsidian_destroyer"	"Outworld Devourer"
"[english]#npc_dota_hero_obsidian_destroyer"	"Outworld Devourer"
"#npc_dota_hero_lycan"	"Lycan"
"[english]#npc_dota_hero_lycan"	"Lycan"
"#npc_dota_hero_brewmaster"	"Brewmaster"
"[english]#npc_dota_hero_brewmaster"	"Brewmaster"
"#npc_dota_hero_shadow_demon"	"Shadow Demon"
"[english]#npc_dota_hero_shadow_demon"	"Shadow Demon"
"#npc_dota_hero_lone_druid"	"Lone Druid"
"[english]#npc_dota_hero_lone_druid"	"Lone Druid"
"#npc_dota_hero_chaos_knight"	"Chaos Knight"
"[english]#npc_dota_hero_chaos_knight"	"Chaos Knight"
"#npc_dota_hero_treant"	"Treant Protector"
"[english]#npc_dota_hero_treant"	"Treant Protector"
"#npc_dota_hero_meepo"	"Meepo"
"[english]#npc_dota_hero_meepo"	"Meepo"
"#npc_dota_hero_ogre_magi"	"Ogre Magi"
"[english]#npc_dota_hero_ogre_magi"	"Ogre Magi"
"#npc_dota_hero_undying"	"Undying"
"[english]#npc_dota_hero_undying"	"Undying"
"#npc_dota_hero_rubick"	"Rubick"
"[english]#npc_dota_hero_rubick"	"Rubick"
"#npc_dota_hero_disruptor"	"Disruptor"
"[english]#npc_dota_hero_disruptor"	"Disruptor"
"#npc_dota_hero_nyx_assassin"	"Nyx Assassin"
"[english]#npc_dota_hero_nyx_assassin"	"Nyx Assassin"
"#npc_dota_hero_naga_siren"	"Naga Siren"
"[english]#npc_dota_hero_naga_siren"	"Naga Siren"
"#npc_dota_hero_keeper_of_the_light"	"Keeper of the Light"
"[english]#npc_dota_hero_keeper_of_the_light"	"Keeper of the Light"
"#npc_dota_hero_visage"	"Visage"
"[english]#npc_dota_hero_visage"	"Visage"
"#npc_dota_hero_wisp"	"Io"
"[english]#npc_dota_hero_wisp"	"Io"
"#npc_dota_hero_slark"	"Slark"
"[english]#npc_dota_hero_slark"	"Slark"
"#npc_dota_hero_medusa"	"Medusa"
"[english]#npc_dota_hero_medusa"	"Medusa"
"#npc_dota_hero_troll_warlord"	"Troll Warlord"
"[english]#npc_dota_hero_troll_warlord"	"Troll Warlord"
"#npc_dota_hero_centaur"	"Centaur Warrunner"
"[english]#npc_dota_hero_centaur"	"Centaur Warrunner"
"#npc_dota_hero_magnataur"	"Magnus"
"[english]#npc_dota_hero_magnataur"	"Magnus"
"#npc_dota_hero_shredder"	"Timbersaw"
"[english]#npc_dota_hero_shredder"	"Timbersaw"
"#npc_dota_hero_bristleback"	"Bristleback"
"[english]#npc_dota_hero_bristleback"	"Bristleback"
"#npc_dota_hero_tusk"	"Tusk"
"[english]#npc_dota_hero_tusk"	"Tusk"
"#npc_dota_hero_skywrath_mage"	"Skywrath Mage"
"[english]#npc_dota_hero_skywrath_mage"	"Skywrath Mage"
"#npc_dota_hero_abaddon"	"Abaddon"
"[english]#npc_dota_hero_abaddon"	"Abaddon"
"#npc_dota_hero_elder_titan"	"Elder Titan"
"[english]#npc_dota_hero_elder_titan"	"Elder Titan"
"#npc_dota_hero_legion_commander"	"Legion Commander"
"[english]#npc_dota_hero_legion_commander"	"Legion Commander"
"#npc_dota_hero_ember_spirit"	"Ember Spirit"
"[english]#npc_dota_hero_ember_spirit"	"Ember Spirit"
"#npc_dota_hero_earth_spirit"	"Earth Spirit"
"[english]#npc_dota_hero_earth_spirit"	"Earth Spirit"
"#npc_dota_hero_abyssal_underlord"	"Underlord"
"[english]#npc_dota_hero_abyssal_underlord"	"Underlord"
"#npc_dota_hero_phoenix"	"Phoenix"
"[english]#npc_dota_hero_phoenix"	"Phoenix"
"#npc_dota_hero_terrorblade"	"Terrorblade"
"[english]#npc_dota_hero_terrorblade"	"Terrorblade"
"#npc_dota_hero_oracle"	"Oracle"
"[english]#npc_dota_hero_oracle"	"Oracle"
"#npc_dota_hero_techies"	"Techies"
"[english]#npc_dota_hero_techies"	"Techies"
"#npc_dota_hero_target_dummy"	"Hedef Mankeni"
"[english]#npc_dota_hero_target_dummy"	"Target Dummy"
"#npc_dota_hero_winter_wyvern"	"Winter Wyvern"
"[english]#npc_dota_hero_winter_wyvern"	"Winter Wyvern"
"#npc_dota_hero_arc_warden"	"Arc Warden"
"[english]#npc_dota_hero_arc_warden"	"Arc Warden"
"#npc_dota_hero_monkey_king"	"Monkey King"
"[english]#npc_dota_hero_monkey_king"	"Monkey King"
"#npc_dota_hero_pangolier"	"Pangolier"
"[english]#npc_dota_hero_pangolier"	"Pangolier"
"#npc_dota_hero_dark_willow"	"Dark Willow"
"[english]#npc_dota_hero_dark_willow"	"Dark Willow"
"#DOTA_lobby_type_name_lobby"	"Lobi"
"[english]#DOTA_lobby_type_name_lobby"	"Lobby"
"#DOTA_lobby_type_name_unranked"	"Derecesiz"
"[english]#DOTA_lobby_type_name_unranked"	"Unranked"
"#DOTA_lobby_type_name_ranked"	"Dereceli"
"[english]#DOTA_lobby_type_name_ranked"	"Ranked"
"#DOTA_lobby_type_name_bot_match"	"Botlar"
"[english]#DOTA_lobby_type_name_bot_match"	"Bots"
"#DOTA_lobby_type_name_spectator"	"İzleyici"
"[english]#DOTA_lobby_type_name_spectator"	"Spectator"
"#demo_hero_mode_name"	"Kahraman Dene"
"[english]#demo_hero_mode_name"	"Demo Hero"
"#game_mode_lobby_name_0"	"-"
"[english]#game_mode_lobby_name_0"	"-"
"#game_mode_lobby_name_1"	"Serbest Seçim"
"[english]#game_mode_lobby_name_1"	"All Pick"
"#game_mode_lobby_name_2"	"Kaptan Modu"
"[english]#game_mode_lobby_name_2"	"Captains Mode"
"#game_mode_lobby_name_3"	"Rastgele Çekiliş"
"[english]#game_mode_lobby_name_3"	"Random Draft"
"#game_mode_lobby_name_4"	"Tek Çekiliş"
"[english]#game_mode_lobby_name_4"	"Single Draft"
"#game_mode_lobby_name_5"	"Tümü Rastgele"
"[english]#game_mode_lobby_name_5"	"All Random"
"#game_mode_lobby_name_6"	"-"
"[english]#game_mode_lobby_name_6"	"-"
"#game_mode_lobby_name_7"	"Diretide"
"[english]#game_mode_lobby_name_7"	"Diretide"
"#game_mode_lobby_name_8"	"Ters Kaptan Modu"
"[english]#game_mode_lobby_name_8"	"Reverse Captains Mode"
"#game_mode_lobby_name_9"	"The Greeviling"
"[english]#game_mode_lobby_name_9"	"The Greeviling"
"#game_mode_lobby_name_10"	"Eğitim"
"[english]#game_mode_lobby_name_10"	"Tutorial"
"#game_mode_lobby_name_11"	"Sadece Orta"
"[english]#game_mode_lobby_name_11"	"Mid Only"
"#game_mode_lobby_name_12"	"Az Oynanan"
"[english]#game_mode_lobby_name_12"	"Least Played"
"#game_mode_lobby_name_13"	"Sınırlı Kahraman"
"[english]#game_mode_lobby_name_13"	"Limited Heroes"
"#game_mode_lobby_name_14"	"Dergi"
"[english]#game_mode_lobby_name_14"	"Compendium"
"#game_mode_lobby_name_15"	"Özel"
"[english]#game_mode_lobby_name_15"	"Custom"
"#game_mode_lobby_name_16"	"Kaptan Çekilişi"
"[english]#game_mode_lobby_name_16"	"Captains Draft"
"#game_mode_lobby_name_17"	"Dengeli Çekiliş"
"[english]#game_mode_lobby_name_17"	"Balanced Draft"
"#game_mode_lobby_name_18"	"Yetenek Çekilişi"
"[english]#game_mode_lobby_name_18"	"Ability Draft"
"#game_mode_lobby_name_20"	"Tümü Rastgele Ölüm Maçı"
"[english]#game_mode_lobby_name_20"	"All Random Deathmatch"
"#game_mode_lobby_name_21"	"1v1 Solo Orta"
"[english]#game_mode_lobby_name_21"	"1v1 Solo Mid"
"#game_mode_lobby_name_22"	"Dereceli Serbest Seçim"
"[english]#game_mode_lobby_name_22"	"Ranked All Pick"
"#game_mode_lobby_name_23"	"Turbo"
"[english]#game_mode_lobby_name_23"	"Turbo"
}
}
