"lang"
{
"Language"	"bulgarian"
"DOTA_BroadcastFact_Stat_full_set_win_rate"	"<pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc>, спечелвайки <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_full_set_win_rate"	"<pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> and won <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_full_set_pick_rate"	"<pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc> в <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_full_set_pick_rate"	"<pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> in <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_item_hero_win_count"	"Играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic>, спечелвайки <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_item_hero_win_count"	"<hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> and won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_item_hero_pick_count"	"Играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic> в <nc>{d:count}</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_item_hero_pick_count"	"<hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> in <nc>{d:count}</nc> of their games."
"DOTA_BroadcastFact_Stat_item_player_win_count"	"Играчите, които са купували <ic>{s:item_name}</ic>, имат спечелени <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_item_player_win_count"	"Players who bought <ic>{s:item_name}</ic> have won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_item_player_pick_count"	"Предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{d:count}</nc> спечелени мача."
"[english]DOTA_BroadcastFact_Stat_item_player_pick_count"	"<ic>{s:item_name}</ic> has been bought won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_hero_player_win_count"	"{s:player_name} е избирал <hc>{s:hero_name}</hc>, спечелвайки <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_hero_player_win_count"	"{s:player_name} has picked <hc>{s:hero_name}</hc> and won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_hero_player_pick_count"	"{s:player_name} е избирал <hc>{s:hero_name}</hc> в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_hero_player_pick_count"	"{s:player_name} has picked <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_item_pick_count"	"Предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_item_pick_count"	"<ic>{s:item_name}</ic> has been picked in <nc>{d:count}</nc> games"
"DOTA_BroadcastFact_Stat_item_win_count"	"Когато предметът <ic>{s:item_name}</ic> е бил купуван, играчите са спечелили <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_item_win_count"	"In games where <ic>{s:item_name}</ic> was purchased, players have won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_hero_pick_count"	"<hc>{s:hero_name}</hc> е бил избиран в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_hero_pick_count"	"<hc>{s:hero_name}</hc> has been picked in <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_hero_win_count"	"<hc>{s:hero_name}</hc> има спечелени <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_hero_win_count"	"<hc>{s:hero_name}</hc> has won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_item_hero_win_count"	"През <ec>{s:event_name}</ec>, играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic>, спечелвайки <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_league_item_hero_win_count"	"At <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> and won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_item_hero_pick_count"	"През <ec>{s:event_name}</ec>, играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic> в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_league_item_hero_pick_count"	"At <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> in <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_item_player_win_count"	"Играчите, които са купували <ic>{s:item_name}</ic>, имат спечелени <nc>{d:count}</nc> мача през <ec>{s:event_name}</ec>."
"[english]DOTA_BroadcastFact_Stat_league_item_player_win_count"	"Players who bought <ic>{s:item_name}</ic> have won <nc>{d:count}</nc> games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_player_pick_count"	"Предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{d:count}</nc> мача през <ec>{s:event_name}</ec>."
"[english]DOTA_BroadcastFact_Stat_league_item_player_pick_count"	"<ic>{s:item_name}</ic> has been bought in <nc>{d:count}</nc> games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_player_win_count"	"По време на {s:event_name}, {s:player_name} е избирал {s:hero_name}, спечелвайки {d:count} мача."
"[english]DOTA_BroadcastFact_Stat_league_hero_player_win_count"	"During <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> and won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_hero_player_pick_count"	"През <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> е избирал <hc>{s:hero_name}</hc> в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_league_hero_player_pick_count"	"At <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_item_pick_count"	"През <ec>{s:event_name}</ec>, предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_league_item_pick_count"	"At <ec>{s:event_name}</ec>, <ic>{s:item_name}</ic> has been picked in <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_item_win_count"	"Когато предметът <ic>{s:item_name}</ic> е бил купуван, играчите са спечелили <nc>{d:count}</nc> мача през <ec>{s:event_name}</ec>."
"[english]DOTA_BroadcastFact_Stat_league_item_win_count"	"In games where <ic>{s:item_name}</ic> was bought, players have won <nc>{d:count}</nc> games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_pick_count"	"<hc>{s:hero_name}</hc> е бил избиран <nc>{d:count}</nc> пъти през <ec>{s:event_name}</ec>."
"[english]DOTA_BroadcastFact_Stat_league_hero_pick_count"	"<hc>{s:hero_name}</hc> has been picked <nc>{d:count}</nc> times at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_win_count"	"<hc>{s:hero_name}</hc> е спечелил <nc>{d:count}</nc> мача през <ec>{s:event_name}</ec>."
"[english]DOTA_BroadcastFact_Stat_league_hero_win_count"	"<hc>{s:hero_name}</hc> has won <nc>{d:count}</nc> games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_full_set_win_count"	"<pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc>, спечелвайки <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_full_set_win_count"	"<pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> and won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_full_set_pick_count"	"<pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc> в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_full_set_pick_count"	"<pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_full_set_win_count"	"През <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc>, спечелвайки <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_league_full_set_win_count"	"At <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> and won <nc>{d:count}</nc> games."
"DOTA_BroadcastFact_Stat_league_full_set_pick_count"	"По време на <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc> в <nc>{d:count}</nc> мача."
"[english]DOTA_BroadcastFact_Stat_league_full_set_pick_count"	"During <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> games."
}
}
