"lang"
{
"Language"	"vietnamese"
"#npc_dota_hero_abaddon"	"Abaddon"
"#npc_dota_hero_elder_titan"	"Elder Titan"
"#npc_dota_hero_legion_commander"	"Legion Commander"
"#npc_dota_hero_ember_spirit"	"Ember Spirit"
"#npc_dota_hero_earth_spirit"	"Earth Spirit"
"#npc_dota_hero_abyssal_underlord"	"Underlord"
"#npc_dota_hero_phoenix"	"Phoenix"
"#npc_dota_hero_terrorblade"	"Terrorblade"
"#npc_dota_hero_oracle"	"Oracle"
"#npc_dota_hero_techies"	"Techies"
"#npc_dota_hero_target_dummy"	"Mục tiêu bù nhìn"
"#npc_dota_hero_winter_wyvern"	"Winter Wyvern"
"#npc_dota_hero_arc_warden"	"Arc Warden"
"#npc_dota_hero_monkey_king"	"Monkey King"
"#npc_dota_hero_pangolier"	"Pangolier"
"#npc_dota_hero_dark_willow"	"Dark Willow"
"#DOTA_lobby_type_name_lobby"	"Phòng"
"#DOTA_lobby_type_name_unranked"	"Thường"
"#DOTA_lobby_type_name_ranked"	"Xếp hạng"
"#DOTA_lobby_type_name_bot_match"	"Máy"
"#DOTA_lobby_type_name_spectator"	"Khán giả"
"#demo_hero_mode_name"	"Thử tướng"
"#game_mode_lobby_name_0"	"-"
"#game_mode_lobby_name_1"	"Chọn tự do"
"#game_mode_lobby_name_2"	"Captains Mode"
"#game_mode_lobby_name_3"	"Random Draft"
"#game_mode_lobby_name_4"	"Single Draft"
"#game_mode_lobby_name_5"	"All Random"
"#game_mode_lobby_name_6"	"-"
"#game_mode_lobby_name_7"	"Diretide"
"#game_mode_lobby_name_8"	"Reverse Captains Mode"
"#game_mode_lobby_name_9"	"The Greeviling"
"#game_mode_lobby_name_10"	"Hướng dẫn"
"#game_mode_lobby_name_11"	"Chỉ đường giữa"
"#game_mode_lobby_name_12"	"Least Played"
"#game_mode_lobby_name_13"	"Limited Heroes"
"#game_mode_lobby_name_14"	"Compendium"
"#game_mode_lobby_name_15"	"Tùy biến"
"#game_mode_lobby_name_16"	"Captains Draft"
"#game_mode_lobby_name_17"	"Balanced Draft"
"#game_mode_lobby_name_18"	"Ability Draft"
"#game_mode_lobby_name_20"	"All Random Deathmatch"
"#game_mode_lobby_name_21"	"1v1 đường giữa"
"#game_mode_lobby_name_22"	"Xếp hạng (Chọn tự do)"
"#game_mode_lobby_name_23"	"Turbo"
"#game_mode_lobby_name_24"	"Đột biến"
"#game_mode_24"	"Đột biến"
}
}
