"lang"
{
"Language"	"tchinese"
"DOTA_BroadcastFact_Stat_full_set_win_rate"	"<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_full_set_win_rate"	"<pc>{s:player_name}</pc> has won <nc>{s:percent}%</nc> of his games when purchasing <ic>{s:item_name}</ic> on <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_full_set_pick_rate"	"<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_full_set_pick_rate"	"<pc>{s:player_name}</pc> has purchased <ic>{s:item_name}</ic> in <nc>{s:percent}%</nc> of his games on <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_item_hero_win_count"	"選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的選手的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_hero_win_count"	"<hc>{s:hero_name}</hc> players have won <nc>{d:count}</nc> game(s) when purchasing <ic>{s:item_name}</ic>."
"DOTA_BroadcastFact_Stat_item_hero_pick_count"	"選擇<hc>{s:hero_name}</hc>的選手曾在 <nc>{d:count}</nc> 場比賽中購買<ic>{s:item_name}</ic>。"
"[english]DOTA_BroadcastFact_Stat_item_hero_pick_count"	"<hc>{s:hero_name}</hc> players have purchased <ic>{s:item_name}</ic> in <nc>{d:count}</nc> game(s)."
"DOTA_BroadcastFact_Stat_item_player_win_count"	"曾購買<ic>{s:item_name}</ic>的選手的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_player_win_count"	"<pc>{s:player_name}</pc> has won <nc>{d:count}</nc> game(s) with <ic>{s:item_name}</ic>."
"DOTA_BroadcastFact_Stat_item_player_pick_count"	"<ic>{s:item_name}</ic>的購買者總計贏得 <nc>{d:count}</nc> 場比賽。"
"[english]DOTA_BroadcastFact_Stat_item_player_pick_count"	"<pc>{s:player_name}</pc> has purchased <ic>{s:item_name}</ic> in <nc>{d:count}</nc> game(s)."
"DOTA_BroadcastFact_Stat_hero_player_win_count"	"{s:player_name} 曾在 <nc>{d:count}</nc> 場比賽中選擇<hc>{s:hero_name}</hc>上場。"
"[english]DOTA_BroadcastFact_Stat_hero_player_win_count"	"<pc>{s:player_name}</pc> has won <nc>{d:count}</nc> game(s) when picking <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_hero_player_pick_count"	"{s:player_name} 曾在 <nc>{d:count}</nc> 場比賽中選擇<hc>{s:hero_name}</hc>上場。"
"[english]DOTA_BroadcastFact_Stat_hero_player_pick_count"	"<pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> game(s)."
"DOTA_BroadcastFact_Stat_item_pick_count"	"有選手購買<ic>{s:item_name}</ic>的比賽場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_pick_count"	"<ic>{s:item_name}</ic> has been purchased in <nc>{d:count}</nc> game(s)"
"DOTA_BroadcastFact_Stat_item_win_count"	"在有選手購買<ic>{s:item_name}</ic>的比賽中，該物品的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_win_count"	"<nc>{d:count}</nc> games have been decided in which <ic>{s:item_name}</ic> was purchased by the winning team."
"DOTA_BroadcastFact_Stat_hero_pick_count"	"<hc>{s:hero_name}</hc>總計出賽 <nc>{d:count}</nc> 次。"
"[english]DOTA_BroadcastFact_Stat_hero_pick_count"	"<hc>{s:hero_name}</hc> has been picked in <nc>{d:count}</nc> game(s)."
"DOTA_BroadcastFact_Stat_hero_win_count"	"在<ec>{s:event_name}</ec>中，<hc>{s:hero_name}</hc>的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_hero_win_count"	"<hc>{s:hero_name}</hc> has won <nc>{d:count}</nc> game(s)."
"DOTA_BroadcastFact_Stat_league_item_hero_win_count"	"在<ec>{s:event_name}</ec>中，選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_item_hero_win_count"	"<hc>{s:hero_name}</hc> players have won <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec> with <ic>{s:item_name}</ic> purchased."
"DOTA_BroadcastFact_Stat_league_item_hero_pick_count"	"在<ec>{s:event_name}</ec>中，選擇<hc>{s:hero_name}</hc>上場的選手曾在 <nc>{d:count}</nc> 場比賽中購買<ic>{s:item_name}</ic>。"
"[english]DOTA_BroadcastFact_Stat_league_item_hero_pick_count"	"<hc>{s:hero_name}</hc> players have purchased <ic>{s:item_name}</ic> in <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_player_win_count"	"在<ec>{s:event_name}</ec>中，購買<ic>{s:item_name}</ic>的選手總計贏得 <nc>{d:count}</nc> 場比賽。"
"[english]DOTA_BroadcastFact_Stat_league_item_player_win_count"	"<pc>{s:player_name}</pc> has won <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec> with <ic>{s:item_name}</ic> purchased."
"DOTA_BroadcastFact_Stat_league_item_player_pick_count"	"在<ec>{s:event_name}</ec>中，總計 <nc>{d:count}</nc> 場比賽有選手購買<ic>{s:item_name}</ic>。"
"[english]DOTA_BroadcastFact_Stat_league_item_player_pick_count"	"<pc>{s:player_name}</pc> has purchased <ic>{s:item_name}</ic> in <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_player_win_count"	"<ec>{s:event_name}</ec>期間內，<pc>{s:player_name}</pc> 曾在 <nc>{d:count}</nc> 場比賽中選擇<hc>{s:hero_name}</hc>上場。"
"[english]DOTA_BroadcastFact_Stat_league_hero_player_win_count"	"<pc>{s:player_name}</pc> has won <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec> with <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_league_hero_player_pick_count"	"<ec>{s:event_name}</ec>期間內，<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>上場的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_hero_player_pick_count"	"<pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_pick_count"	"在<ec>{s:event_name}</ec>中，總計 <nc>{d:count}</nc> 場比賽有選手購買<ic>{s:item_name}</ic>。"
"[english]DOTA_BroadcastFact_Stat_league_item_pick_count"	"<ic>{s:item_name}</ic> has been picked in <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_win_count"	"在<ec>{s:event_name}</ec>中，購買<ic>{s:item_name}</ic>的選手的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_item_win_count"	"<nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec> have ended with a <ic>{s:item_name}</ic> on the winning team."
"DOTA_BroadcastFact_Stat_league_hero_pick_count"	"在<ec>{s:event_name}</ec>中，<hc>{s:hero_name}</hc>曾上場 <nc>{d:count}</nc> 次。"
"[english]DOTA_BroadcastFact_Stat_league_hero_pick_count"	"<hc>{s:hero_name}</hc> has been picked <nc>{d:count}</nc> time(s) at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_win_count"	"在<ec>{s:event_name}</ec>中，<hc>{s:hero_name}</hc>的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_hero_win_count"	"<hc>{s:hero_name}</hc> has won <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_full_set_win_count"	"<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_full_set_win_count"	"<pc>{s:player_name}</pc> has won <nc>{d:count}</nc> game(s) after purchasing <ic>{s:item_name}</ic> on <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_full_set_pick_count"	"<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_full_set_pick_count"	"<pc>{s:player_name}</pc> has purchased <ic>{s:item_name}</ic> on <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> game(s)."
"DOTA_BroadcastFact_Stat_league_full_set_win_count"	"在<ec>{s:event_name}</ec>中，<pc>{s:player_name}</pc>選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_full_set_win_count"	"<pc>{s:player_name}</pc> has won <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec> after purchasing <ic>{s:item_name}</ic> on <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_league_full_set_pick_count"	"<ec>{s:event_name}</ec>期間內，<pc>{s:player_name}</pc>選擇<ic>{s:item_name}</ic>並購買<ic>{s:item_name}</ic>的勝場數為 <nc>{d:count}</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_full_set_pick_count"	"<pc>{s:player_name}</pc> has purchased <ic>{s:item_name}</ic> on <hc>{s:hero_name}</hc> in <nc>{d:count}</nc> game(s) at <ec>{s:event_name}</ec>."
}
}
